date,iv_atm
2017-07-04,30.820312
2017-07-05,29.84375
2017-07-06,28.691406
2017-07-07,28.886719
2017-07-10,29.785156
2017-07-11,28.144531
2017-07-12,27.871094
2017-07-13,29.042969
2017-07-14,25.976562
2017-07-17,30.039062
2017-07-18,29.199219
2017-07-19,27.617188
2017-07-20,26.875
2017-07-21,26.523438
2017-07-24,33.710938
2017-07-25,34.84375
2017-07-27,31.035156
2017-07-28,31.376953
2017-07-31,33.52539
2017-08-01,36.328125
2017-08-02,34.940624
2017-08-03,29.353544
2017-08-04,27.636719
2017-08-07,26.328125
2017-08-08,26.328125
2017-08-09,28.668352
2017-08-10,26.328125
2017-08-11,32.27466
2017-08-14,30.253906
2017-08-16,28.671875
2017-08-17,28.300781
2017-08-18,28.144531
2017-08-21,28.925781
2017-08-22,28.042046
2017-08-23,27.694078
2017-08-24,23.789062
2017-08-28,29.296875
2017-08-29,32.460938
2017-08-30,27.03125
2017-08-31,27.8125
2017-09-01,26.251871
2017-09-04,28.105469
2017-09-05,31.230469
2017-09-06,31.503906
2017-09-07,30.155228
2017-09-08,31.572283
2017-09-11,30.46875
2017-09-12,29.472656
2017-09-13,30.292969
2017-09-14,29.003906
2017-09-15,28.554688
2017-09-18,30.488281
2017-09-19,30.0
2017-09-20,32.63672
2017-09-21,29.699715
2017-09-22,29.53125
2017-09-25,33.398438
2017-09-26,38.75
2017-09-27,44.356415
2017-09-28,29.862902
2017-09-29,30.177635
2017-10-03,30.761719
2017-10-04,30.0
2017-10-05,29.335938
2017-10-06,29.686346
2017-10-09,31.503906
2017-10-10,30.3125
2017-10-11,30.371094
2017-10-12,28.242188
2017-10-13,28.808594
2017-10-16,30.351562
2017-10-17,30.253906
2017-10-18,28.164062
2017-10-23,32.460938
2017-10-24,33.35047
2017-10-25,36.171875
2017-10-26,35.166016
2017-10-27,34.882812
2017-10-30,37.54883
2017-10-31,34.960938
2017-11-01,33.535156
2017-11-02,36.152344
2017-11-03,37.529297
2017-11-06,40.039062
2017-11-07,37.285156
2017-11-08,33.222656
2017-11-09,36.054688
2017-11-10,33.30078
2017-11-13,31.171953
2017-11-14,30.476324
2017-11-15,30.644531
2017-11-16,29.59961
2017-11-17,31.878777
2017-11-20,32.96875
2017-11-21,36.914062
2017-11-22,35.253906
2017-11-23,31.953125
2017-11-24,34.296875
2017-11-27,40.507812
2017-11-28,33.44813
2017-11-29,32.573162
2017-11-30,28.984375
2017-12-01,28.896484
2017-12-04,29.746094
2017-12-05,29.550781
2017-12-06,29.160156
2017-12-07,27.188316
2017-12-08,31.210938
2017-12-11,31.035156
2017-12-12,32.421875
2017-12-13,34.921875
2017-12-14,36.972656
2017-12-15,34.686813
2017-12-18,31.098381
2017-12-19,29.697266
2017-12-20,27.050781
2017-12-21,23.4375
2017-12-22,23.027344
2017-12-26,32.8125
2017-12-27,23.28125
2017-12-28,31.25
2017-12-29,30.3125
2018-01-01,32.802734
2018-01-02,33.61328
2018-01-03,33.99414
2018-01-04,35.83008
2018-01-05,35.91797
2018-01-08,36.26953
2018-01-09,36.601562
2018-01-10,34.541016
2018-01-11,33.50586
2018-01-12,33.964844
2018-01-15,38.164062
2018-01-16,39.19922
2018-01-17,36.38672
2018-01-18,36.947765
2018-01-19,35.117188
2018-01-22,40.429688
2018-01-23,43.568943
2018-01-24,45.820312
2018-01-25,47.509766
2018-01-29,49.746094
2018-01-30,50.29297
2018-01-31,50.24414
2018-02-01,47.25586
2018-02-02,42.51953
2018-02-05,42.265625
2018-02-06,42.490234
2018-02-07,40.76172
2018-02-08,38.30078
2018-02-09,36.816406
2018-02-12,34.55078
2018-02-14,34.902344
2018-02-15,31.425781
2018-02-16,26.211569
2018-02-19,31.71875
2018-02-20,39.257812
2018-02-21,37.29906
2018-02-22,29.482422
2018-02-23,27.539062
2018-02-26,28.330078
2018-02-27,27.304688
2018-02-28,28.339844
2018-03-01,28.769531
2018-03-05,30.097656
2018-03-06,29.965923
