date,iv_atm
2017-07-04,21.677246
2017-07-05,22.009277
2017-07-06,20.686035
2017-07-07,21.78711
2017-07-10,22.09961
2017-07-11,21.45752
2017-07-12,21.90918
2017-07-13,24.27002
2017-07-14,22.536621
2017-07-17,31.767578
2017-07-18,26.396484
2017-07-19,23.34961
2017-07-20,21.992188
2017-07-21,20.126057
2017-07-24,25.708008
2017-07-25,26.47461
2017-07-27,19.880371
2017-07-28,20.773926
2017-07-31,22.354736
2017-08-01,21.904297
2017-08-02,21.921387
2017-08-03,20.275879
2017-08-04,19.709473
2017-08-07,20.856934
2017-08-08,19.4458
2017-08-09,21.088867
2017-08-10,25.297852
2017-08-11,25.930176
2017-08-14,23.085938
2017-08-16,23.892855
2017-08-17,24.831543
2017-08-18,22.294922
2017-08-21,24.53125
2017-08-22,21.860352
2017-08-23,17.30957
2017-08-24,16.04004
2017-08-28,21.547852
2017-08-29,25.791016
2017-08-30,24.082031
2017-08-31,19.438715
2017-09-01,19.82666
2017-09-04,21.542969
2017-09-05,21.271973
2017-09-06,20.736525
2017-09-07,21.602848
2017-09-08,20.546417
2017-09-11,20.405273
2017-09-12,19.91211
2017-09-13,18.862305
2017-09-14,17.37793
2017-09-15,17.01416
2017-09-18,18.496094
2017-09-19,18.15918
2017-09-20,18.103027
2017-09-21,18.276367
2017-09-22,21.59668
2017-09-25,30.619135
2017-09-26,29.6875
2017-09-27,39.89258
2017-09-28,23.95752
2017-09-29,23.041992
2017-10-03,24.555664
2017-10-04,23.891602
2017-10-05,21.828613
2017-10-06,24.020996
2017-10-09,24.65292
2017-10-10,22.416992
2017-10-11,24.521484
2017-10-12,26.748047
2017-10-13,28.029785
2017-10-16,28.259277
2017-10-17,29.570759
2017-10-18,23.955078
2017-10-23,23.688808
2017-10-24,26.035156
2017-10-25,3.1088455
2017-10-26,22.546387
2017-10-27,23.64502
2017-10-30,21.796875
2017-10-31,21.306152
2017-11-01,20.517578
2017-11-02,18.847656
2017-11-03,19.726562
2017-11-06,21.760254
2017-11-07,25.72998
2017-11-08,22.421875
2017-11-09,22.766113
2017-11-10,20.805664
2017-11-13,24.072266
2017-11-14,22.861328
2017-11-15,24.069769
2017-11-16,22.033691
2017-11-17,21.481934
2017-11-20,23.798828
2017-11-21,24.916992
2017-11-22,24.838867
2017-11-23,26.347656
2017-11-24,24.604492
2017-11-27,31.94021
2017-11-28,29.394531
2017-11-29,33.48633
2017-11-30,31.35254
2017-12-01,23.754883
2017-12-04,20.810547
2017-12-05,24.697266
2017-12-06,24.431152
2017-12-07,22.409668
2017-12-08,22.46509
2017-12-11,22.695429
2017-12-12,24.189453
2017-12-13,26.958008
2017-12-14,30.610352
2017-12-15,26.096191
2017-12-18,24.145508
2017-12-19,22.722168
2017-12-20,20.371094
2017-12-21,21.586914
2017-12-22,17.868757
2017-12-26,27.763672
2017-12-27,28.339844
2017-12-28,17.06543
2017-12-29,20.705566
2018-01-01,21.901855
2018-01-02,21.50879
2018-01-03,21.350098
2018-01-04,26.367188
2018-01-05,22.954102
2018-01-08,23.493181
2018-01-09,25.136719
2018-01-10,26.096191
2018-01-11,26.40625
2018-01-12,25.05127
2018-01-15,31.225586
2018-01-16,30.949707
2018-01-17,29.106445
2018-01-18,26.499023
2018-01-19,20.673828
2018-01-22,23.822659
2018-01-23,30.860296
2018-01-24,25.957031
2018-01-25,24.567871
2018-01-29,23.986816
2018-01-30,23.840332
2018-01-31,24.570312
2018-02-01,26.809082
2018-02-02,10.085449
2018-02-05,25.39795
2018-02-06,25.610352
2018-02-07,28.901367
2018-02-08,26.742289
2018-02-09,40.131836
2018-02-12,25.541332
2018-02-14,21.679688
2018-02-15,21.09375
2018-02-16,23.22754
2018-02-19,25.994547
2018-02-20,37.5
2018-02-21,20.46875
2018-02-22,20.161133
2018-02-23,18.032227
2018-02-26,19.11621
2018-02-27,18.668869
2018-02-28,18.29834
2018-03-01,17.077637
2018-03-05,19.101562
2018-03-06,19.579754
2018-03-07,19.86084
2018-03-08,20.161854
2018-03-09,19.11377
2018-03-12,19.284668
2018-03-13,18.408203
2018-03-14,21.445312
2018-03-15,17.807617
2018-03-16,20.083008
2018-03-19,24.824219
2018-03-20,23.999023
2018-03-21,20.913086
2018-03-22,24.854343
2018-03-23,18.81836
2018-03-26,25.136719
2018-03-27,30.605469
2018-03-28,21.23291
2018-04-02,22.287598
2018-04-03,23.774414
2018-04-04,23.659668
2018-04-05,22.08252
2018-04-06,21.799316
2018-04-09,24.79004
2018-04-10,24.674915
2018-04-11,24.13086
2018-04-12,24.370117
2018-04-13,24.780273
2018-04-16,25.808105
2018-04-17,25.72754
2018-04-18,24.91455
2018-04-19,27.114258
2018-04-20,30.12207
2018-04-23,44.091797
2018-04-24,55.80078
2018-04-25,68.45703
2018-04-26,20.05371
2018-04-27,19.89624
2018-04-30,19.470215
2018-05-02,24.155273
2018-05-03,19.700924
2018-05-04,19.79004
2018-05-07,21.850586
2018-05-08,18.623047
2018-05-09,20.36517
2018-05-10,20.495605
2018-05-11,21.181507
2018-05-14,21.39757
2018-05-15,21.96045
2018-05-16,21.152344
2018-05-17,20.71289
2018-05-18,22.949219
2018-05-21,32.83203
2018-05-22,32.35763
2018-05-23,28.461914
2018-05-24,24.15039
2018-05-25,24.121094
2018-05-28,29.40918
2018-05-29,31.748047
2018-05-30,38.92578
2018-05-31,23.666992
2018-06-01,26.904297
2018-06-04,27.263184
2018-06-05,26.594238
2018-06-06,23.54248
2018-06-07,22.973633
2018-06-08,24.492188
2018-06-11,25.283203
2018-06-12,24.013672
2018-06-13,24.158323
2018-06-14,24.16504
2018-06-15,24.630285
2018-06-18,25.844727
2018-06-19,25.902534
2018-06-20,24.052734
2018-06-21,21.875
2018-06-22,21.378588
2018-06-25,27.421875
2018-06-26,32.86133
2018-06-27,32.734375
2018-06-28,25.915527
2018-06-29,25.05371
2018-07-02,26.398926
2018-07-03,25.983738
2018-07-04,26.003418
2018-07-05,26.89209
2018-07-06,27.792969
2018-07-09,29.077148
2018-07-10,29.0625
2018-07-11,29.691658
2018-07-12,32.010017
2018-07-13,32.407227
2018-07-16,36.55838
2018-07-17,35.864258
2018-07-18,37.90103
2018-07-19,30.9375
2018-07-20,28.661583
2018-07-23,32.39258
2018-07-24,36.165257
2018-07-25,35.664062
2018-07-26,24.821777
2018-07-27,24.82666
2018-07-30,23.173828
2018-07-31,23.337402
2018-08-01,23.942871
2018-08-02,23.273926
2018-08-03,22.963867
2018-08-06,23.310547
2018-08-07,24.716797
2018-08-08,24.716606
2018-08-09,24.248047
2018-08-10,24.140625
2018-08-13,25.019531
2018-08-14,24.75586
2018-08-16,27.27539
2018-08-17,25.427246
2018-08-20,26.483492
2018-08-21,27.504883
2018-08-23,27.714844
2018-08-24,25.429688
2018-08-27,31.746836
2018-08-28,32.211914
2018-08-29,34.697266
2018-08-30,23.869629
2018-08-31,24.123535
2018-09-03,24.157715
2018-09-04,26.540527
2018-09-05,27.026367
2018-09-06,27.927246
2018-09-07,24.716797
2018-09-10,29.238281
2018-09-11,28.120117
2018-09-12,26.107853
2018-09-14,26.171875
2018-09-17,28.293457
2018-09-18,27.24121
2018-09-19,24.198883
2018-09-21,25.629883
2018-09-24,32.460938
2018-09-25,33.964844
2018-09-26,37.373047
2018-09-27,33.85254
2018-09-28,23.33496
2018-10-01,41.02341
2018-10-03,35.24414
2018-10-04,35.13916
2018-10-05,33.59131
2018-10-08,37.836914
2018-10-09,36.85791
2018-10-10,37.580566
2018-10-11,38.168945
2018-10-12,35.722656
2018-10-15,41.101074
2018-10-16,41.364746
2018-10-17,37.868797
2018-10-19,40.01465
2018-10-22,43.286133
2018-10-23,812.88086
2018-10-24,44.921875
2018-10-25,35.26382
2018-10-26,29.865723
2018-10-29,33.1958
2018-10-30,30.72754
2018-10-31,28.513184
2018-11-01,28.623047
2018-11-02,27.04834
2018-11-05,27.973633
2018-11-06,27.373047
2018-11-09,26.14502
2018-11-12,29.692383
2018-11-13,28.496094
2018-11-14,29.814453
2018-11-15,29.697266
2018-11-16,26.415047
2018-11-19,29.204102
2018-11-20,28.476562
2018-11-21,26.523438
2018-11-22,24.223633
2018-11-26,28.188477
2018-11-27,26.611328
2018-11-28,28.063498
2018-11-29,25.29541
2018-11-30,28.64746
2018-12-03,30.24414
2018-12-04,30.725098
2018-12-05,28.789062
2018-12-06,31.44043
2018-12-07,42.521973
2018-12-10,32.695312
2018-12-11,28.69629
2018-12-12,25.974121
2018-12-13,26.04248
2018-12-14,29.470215
2018-12-17,28.786596
2018-12-18,28.005371
2018-12-19,31.266285
2018-12-20,35.399338
2018-12-21,34.833984
2018-12-24,29.140625
2018-12-26,29.30664
2018-12-27,27.13379
2018-12-28,26.364746
2018-12-31,26.091309
2019-01-01,26.65039
2019-01-02,27.368164
2019-01-03,27.817383
2019-01-04,28.47168
2019-01-07,28.894043
2019-01-08,29.63623
2019-01-09,27.253418
2019-01-10,28.840332
2019-01-11,29.189453
2019-01-14,29.707031
2019-01-15,28.041992
2019-01-16,27.111816
2019-01-17,26.811565
2019-01-18,28.058523
2019-01-21,31.638737
2019-01-22,33.496094
2019-01-23,37.060547
2019-01-24,28.757324
2019-01-25,32.79297
2019-01-28,52.768555
2019-01-29,41.015625
2019-01-30,38.632812
2019-01-31,30.578613
2019-02-01,28.886719
2019-02-04,30.332031
2019-02-05,30.212402
2019-02-06,28.857422
2019-02-07,27.65625
2019-02-08,28.310547
2019-02-11,30.214844
2019-02-12,29.292425
2019-02-13,29.233398
2019-02-14,28.691406
2019-02-15,32.475586
2019-02-18,35.844727
2019-02-19,33.603516
2019-02-20,29.077148
2019-02-21,29.086914
2019-02-22,28.164062
2019-02-25,30.576172
2019-02-26,34.501953
2019-02-27,44.84375
2019-02-28,29.404297
2019-03-01,27.121582
2019-03-05,27.438965
2019-03-06,27.695312
2019-03-07,27.583008
2019-03-08,27.033691
2019-03-11,26.872131
2019-03-12,27.067871
2019-03-13,28.745117
2019-03-14,29.28955
2019-03-15,29.003906
2019-03-18,32.790527
2019-03-19,32.929688
2019-03-20,30.517578
2019-03-22,29.521484
2019-03-25,31.421791
2019-03-26,29.375
2019-03-27,30.488281
2019-03-28,28.381348
2019-03-29,29.833984
2019-04-01,33.813107
2019-04-02,32.475586
2019-04-03,31.416016
2019-04-04,32.815907
2019-04-05,31.074219
2019-04-08,33.637695
2019-04-09,31.269531
2019-04-10,31.413574
2019-04-11,29.492188
2019-04-12,30.136719
2019-04-15,29.985409
2019-04-16,26.49414
2019-04-18,26.308594
2019-04-22,38.530273
2019-04-23,40.615234
2019-04-24,36.63086
2019-04-25,25.991446
2019-04-26,24.831543
2019-04-30,25.167236
2019-05-02,26.362919
2019-05-03,27.856445
2019-05-06,32.15576
2019-05-07,32.434082
2019-05-08,32.67263
2019-05-09,32.351074
2019-05-10,32.518654
2019-05-13,36.384277
2019-05-14,33.99414
2019-05-15,36.206055
2019-05-16,38.560745
2019-05-17,34.675293
2019-05-20,37.182617
2019-05-21,40.595703
2019-05-22,41.362305
2019-05-23,28.07241
2019-05-24,25.541992
2019-05-27,31.064453
2019-05-28,30.365158
2019-05-29,29.628193
2019-05-30,23.8208
2019-05-31,24.746094
2019-06-03,24.60205
2019-06-04,25.27832
2019-06-06,25.88623
2019-06-07,24.348145
2019-06-10,25.22705
2019-06-11,23.259277
2019-06-12,23.14209
2019-06-13,21.730957
2019-06-14,21.547852
2019-06-17,23.103027
2019-06-18,21.445312
2019-06-19,22.041016
2019-06-20,20.40039
2019-06-21,20.795898
2019-06-24,24.59961
2019-06-25,24.179688
2019-06-26,20.351562
2019-06-27,23.806152
2019-06-28,24.411621
2019-07-01,25.249023
2019-07-02,25.303955
2019-07-03,25.319824
2019-07-04,25.314941
2019-07-05,25.488281
2019-07-08,28.21045
2019-07-09,28.75
2019-07-10,29.042969
2019-07-11,28.503418
2019-07-12,28.520508
2019-07-15,29.230957
2019-07-16,28.103027
2019-07-17,28.18376
2019-07-18,28.740234
2019-07-19,32.314453
2019-07-22,37.265625
2019-07-23,30.030914
2019-07-24,31.660156
2019-07-25,27.773438
2019-07-26,25.71333
2019-07-29,27.989502
2019-07-30,28.496094
2019-07-31,31.258474
2019-08-01,29.348145
2019-08-02,29.689753
2019-08-05,32.02881
2019-08-06,30.458984
2019-08-07,32.38037
2019-08-08,35.561523
2019-08-09,30.598145
2019-08-13,34.387207
2019-08-14,31.481934
2019-08-16,30.771484
2019-08-19,34.143066
2019-08-20,33.876953
2019-08-21,34.685417
2019-08-22,493.43262
2019-08-23,33.774414
2019-08-26,36.220703
2019-08-27,38.88672
2019-08-28,34.70703
2019-08-29,30.054203
2019-08-30,30.004883
2019-09-03,35.90151
