date,iv_atm
2017-07-04,28.984375
2017-07-05,28.671875
2017-07-06,28.59375
2017-07-07,28.339844
2017-07-10,29.375
2017-07-11,28.124025
2017-07-12,29.573765
2017-07-13,29.121094
2017-07-14,28.617329
2017-07-17,30.625
2017-07-18,30.3125
2017-07-19,27.304688
2017-07-20,28.828125
2017-07-21,24.375
2017-07-24,28.515625
2017-07-25,30.859375
2017-07-27,33.366688
2017-07-28,32.646175
2017-07-31,35.755333
2017-08-01,36.416016
2017-08-02,28.88668
2017-08-03,26.972656
2017-08-04,25.644531
2017-08-07,24.6875
2017-08-08,25.019531
2017-08-09,26.015625
2017-08-10,30.078125
2017-08-11,29.785156
2017-08-14,30.058594
2017-08-16,29.414062
2017-08-17,28.621159
2017-08-18,27.890625
2017-08-21,30.426233
2017-08-22,28.75
2017-08-23,26.367188
2017-08-24,25.351562
2017-08-28,34.453125
2017-08-29,38.203125
2017-08-30,33.59375
2017-08-31,28.164062
2017-09-01,27.363281
2017-09-04,30.527344
2017-09-05,29.179688
2017-09-06,28.964844
2017-09-07,28.945312
2017-09-08,29.082031
2017-09-11,28.476562
2017-09-12,29.042969
2017-09-13,27.695312
2017-09-14,26.953125
2017-09-15,26.944485
2017-09-18,29.6875
2017-09-19,29.93671
2017-09-20,30.0
2017-09-21,32.850998
2017-09-22,28.007812
2017-09-25,36.367188
2017-09-26,29.53125
2017-09-27,39.21875
2017-09-28,32.109375
2017-09-29,29.042969
2017-10-03,31.328125
2017-10-04,30.097656
2017-10-05,28.984375
2017-10-06,27.851562
2017-10-09,30.097656
2017-10-10,28.417969
2017-10-11,33.359375
2017-10-12,29.492188
2017-10-13,29.6875
2017-10-16,31.065315
2017-10-17,31.972656
2017-10-18,28.476562
2017-10-23,35.234375
2017-10-24,35.658173
2017-10-25,40.234375
2017-10-26,30.175781
2017-10-27,32.304688
2017-10-30,32.890625
2017-10-31,33.720703
2017-11-01,35.25001
2017-11-02,33.128548
2017-11-03,35.195312
2017-11-06,39.472656
2017-11-07,40.95703
2017-11-08,41.210938
2017-11-09,37.2206
2017-11-10,35.268505
2017-11-13,33.964844
2017-11-14,34.902344
2017-11-15,34.726562
2017-11-16,34.140625
2017-11-17,33.515625
2017-11-20,35.371094
2017-11-21,36.210938
2017-11-22,34.746094
2017-11-23,32.695312
2017-11-24,34.277126
2017-11-27,37.96875
2017-11-28,34.960938
2017-11-29,34.296875
2017-11-30,30.585938
2017-12-01,30.24414
2017-12-04,32.94922
2017-12-05,29.716797
2017-12-06,34.101562
2017-12-07,33.52539
2017-12-08,32.128906
2017-12-11,33.59375
2017-12-12,34.616367
2017-12-13,34.648438
2017-12-14,37.708405
2017-12-15,35.253906
2017-12-18,33.242188
2017-12-19,31.152344
2017-12-20,30.976562
2017-12-21,28.984375
2017-12-22,25.136719
2017-12-26,32.18913
2017-12-27,26.09375
2017-12-28,30.996094
2017-12-29,31.708984
2018-01-01,33.85742
2018-01-02,37.16797
2018-01-03,33.18781
2018-01-04,36.171875
2018-01-05,34.42383
2018-01-08,36.26953
2018-01-09,38.14453
2018-01-10,37.226562
2018-01-11,36.09375
2018-01-12,35.273438
2018-01-15,36.523438
2018-01-16,34.765625
2018-01-17,33.320312
2018-01-18,37.695312
2018-01-19,30.507812
2018-01-22,37.578125
2018-01-23,40.546875
2018-01-24,45.546875
2018-01-25,38.76953
2018-01-29,38.339844
2018-01-30,36.96289
2018-01-31,37.216797
2018-02-01,36.71875
2018-02-02,41.308594
2018-02-05,43.398438
2018-02-06,46.09375
2018-02-07,45.839844
2018-02-08,39.84375
2018-02-09,39.882812
2018-02-12,39.55078
2018-02-14,40.078125
2018-02-15,39.257812
2018-02-16,33.75
2018-02-19,37.890625
2018-02-20,40.46875
2018-02-21,34.53125
2018-02-22,36.289062
2018-02-23,29.504938
2018-02-26,30.568125
2018-02-27,31.33953
2018-02-28,32.206898
2018-03-01,32.001953
2018-03-05,34.433594
2018-03-06,32.82891
2018-03-07,35.009766
2018-03-08,32.48047
2018-03-09,32.05078
2018-03-12,30.820312
2018-03-13,31.442156
2018-03-14,30.664062
2018-03-15,30.195312
2018-03-16,31.738281
2018-03-19,35.17578
2018-03-20,34.21875
2018-03-21,34.101562
2018-03-22,30.78125
2018-03-23,29.0625
2018-03-26,35.46875
2018-03-27,29.140625
2018-03-28,29.199219
2018-04-02,31.140041
2018-04-03,32.578125
2018-04-04,37.246094
2018-04-05,35.097656
2018-04-06,33.828125
2018-04-09,34.785156
2018-04-10,34.785156
2018-04-11,34.140625
2018-04-12,32.80014
2018-04-13,32.128906
2018-04-16,35.351562
2018-04-17,35.742188
2018-04-18,35.60547
2018-04-19,33.476562
2018-04-20,32.851562
2018-04-23,37.070312
2018-04-24,35.859375
2018-04-25,30.3125
2018-04-26,32.089844
2018-04-27,30.449219
2018-04-30,30.566406
2018-05-02,33.087543
2018-05-03,34.570312
2018-05-04,35.29297
2018-05-07,34.746094
2018-05-08,36.38672
2018-05-09,37.1875
2018-05-10,38.066406
2018-05-11,36.529842
2018-05-14,42.226562
2018-05-15,39.453125
2018-05-16,42.20703
2018-05-17,42.96875
2018-05-18,33.867188
2018-05-21,33.4375
2018-05-22,34.179688
2018-05-23,32.421875
2018-05-24,31.835938
2018-05-25,28.164062
2018-05-28,33.554688
2018-05-29,37.76751
2018-05-30,39.375
2018-05-31,33.90625
2018-06-01,33.63097
2018-06-04,34.746094
2018-06-05,35.32485
2018-06-06,34.51172
2018-06-07,35.878906
2018-06-08,34.98047
2018-06-11,36.42578
2018-06-12,35.78125
2018-06-13,37.382812
2018-06-14,35.664062
2018-06-15,34.492188
2018-06-18,36.289062
2018-06-19,35.546875
2018-06-20,34.19056
2018-06-21,32.382812
2018-06-22,30.039062
2018-06-25,37.829063
2018-06-26,46.291798
2018-06-27,48.125
2018-06-28,40.195312
2018-06-29,35.371094
2018-07-02,35.64453
2018-07-03,35.64453
2018-07-04,35.195312
2018-07-05,35.976562
2018-07-06,34.37152
2018-07-09,35.44922
2018-07-10,35.46875
2018-07-11,35.664062
2018-07-12,36.132812
2018-07-13,32.94922
2018-07-16,37.03125
2018-07-17,34.492188
2018-07-18,34.375
2018-07-19,36.71875
2018-07-20,32.109375
2018-07-23,43.28125
2018-07-24,40.859375
2018-07-25,41.09375
2018-07-26,34.101562
2018-07-27,37.734375
2018-07-30,39.873047
2018-07-31,39.492188
2018-08-01,41.796875
2018-08-02,40.722656
2018-08-03,39.08203
2018-08-06,39.51172
2018-08-07,40.01953
2018-08-08,41.51367
2018-08-09,42.148438
2018-08-10,33.870564
2018-08-13,33.496094
2018-08-14,31.601562
2018-08-16,29.863281
2018-08-17,29.609375
2018-08-20,32.578125
2018-08-21,29.6875
2018-08-23,31.699219
2018-08-24,35.418964
2018-08-27,41.015625
2018-08-28,39.21875
2018-08-29,43.515625
2018-08-30,32.54883
2018-08-31,31.65039
2018-09-03,32.74455
2018-09-04,32.30725
2018-09-05,33.515625
2018-09-06,32.226562
2018-09-07,32.109375
2018-09-10,35.788837
2018-09-11,37.75826
2018-09-12,36.347656
2018-09-14,33.320312
2018-09-17,35.859375
2018-09-18,34.35547
2018-09-19,32.226562
2018-09-21,34.194782
2018-09-24,40.117188
2018-09-25,36.796875
2018-09-26,44.921875
2018-09-27,39.990234
2018-09-28,41.07422
2018-10-01,40.927734
2018-10-03,59.160156
2018-10-04,46.289062
2018-10-05,44.84375
2018-10-08,47.148438
2018-10-09,45.058594
2018-10-10,44.016087
2018-10-11,45.245247
2018-10-12,42.16797
2018-10-15,45.273438
2018-10-16,41.171875
2018-10-17,35.820312
2018-10-19,40.390625
2018-10-22,54.375
2018-10-23,49.140625
2018-10-24,52.1875
2018-10-25,5.6054688
2018-10-26,40.683594
2018-10-29,43.75
2018-10-30,42.5
2018-10-31,44.570312
2018-11-01,42.36328
2018-11-02,39.628906
2018-11-05,43.4375
2018-11-06,36.953125
2018-11-09,31.015625
2018-11-12,33.28125
2018-11-13,31.582031
2018-11-14,31.933594
2018-11-15,30.429688
2018-11-16,31.503906
2018-11-19,32.382812
2018-11-20,32.79297
2018-11-21,28.196949
2018-11-22,26.328125
2018-11-26,33.359375
2018-11-27,38.332977
2018-11-28,36.71875
2018-11-29,31.269531
2018-11-30,33.632812
2018-12-03,36.219048
2018-12-04,35.996094
2018-12-05,35.560596
2018-12-06,37.851562
2018-12-07,38.45703
2018-12-10,42.41128
2018-12-11,34.08203
2018-12-12,34.140625
2018-12-13,34.66797
2018-12-14,32.94922
2018-12-17,36.523438
2018-12-18,34.648438
2018-12-19,33.888
2018-12-20,37.32422
2018-12-21,37.088604
2018-12-24,28.515625
2018-12-26,32.265625
2018-12-27,34.433594
2018-12-28,29.199219
2018-12-31,29.521786
2019-01-01,30.253906
2019-01-02,30.703125
2019-01-03,31.347656
2019-01-04,30.15625
2019-01-07,30.742188
2019-01-08,29.628906
2019-01-09,28.359375
2019-01-10,26.953125
2019-01-11,27.167969
2019-01-14,28.554688
2019-01-15,28.515625
2019-01-16,26.26983
2019-01-17,25.790657
2019-01-18,26.210938
2019-01-21,30.30254
2019-01-22,30.996094
2019-01-23,30.078125
2019-01-24,27.109375
2019-01-25,28.945312
2019-01-28,44.414062
2019-01-29,33.28218
2019-01-30,35.9375
2019-01-31,34.618187
2019-02-01,35.9375
2019-02-04,35.80078
2019-02-05,36.972656
2019-02-06,41.339317
2019-02-07,37.398983
2019-02-08,37.43057
2019-02-11,40.72821
2019-02-12,40.91797
2019-02-13,44.431175
2019-02-14,46.679688
2019-02-15,38.45703
2019-02-18,39.492188
2019-02-19,36.523438
2019-02-20,31.5625
2019-02-21,27.304688
2019-02-22,27.617188
2019-02-25,38.359375
2019-02-26,30.546875
2019-02-27,43.515625
2019-02-28,33.449047
2019-03-01,31.425781
2019-03-05,31.628563
2019-03-06,32.753906
2019-03-07,32.03125
2019-03-08,31.347656
2019-03-11,30.390625
2019-03-12,29.0625
2019-03-13,30.976562
2019-03-14,31.894531
2019-03-15,33.652344
2019-03-18,37.67578
2019-03-19,37.851562
2019-03-20,33.75
2019-03-22,33.046875
2019-03-25,34.84375
2019-03-26,39.023438
2019-03-27,42.109375
2019-03-28,33.92578
2019-03-29,33.54492
2019-04-01,38.652344
2019-04-02,37.20703
2019-04-03,38.45703
2019-04-04,38.73047
2019-04-05,35.17578
2019-04-08,37.51953
2019-04-09,35.996094
2019-04-10,36.07422
2019-04-11,34.472656
2019-04-12,34.257812
2019-04-15,33.867188
2019-04-16,33.632812
2019-04-18,30.48952
2019-04-22,39.765625
2019-04-23,19.521126
2019-04-24,23.515625
2019-04-25,33.085938
2019-04-26,33.007812
2019-04-30,38.671875
2019-05-02,40.44922
2019-05-03,43.28125
2019-05-06,48.73047
2019-05-07,49.53125
2019-05-08,49.51172
2019-05-09,52.63672
2019-05-10,41.191406
2019-05-13,43.76953
2019-05-14,43.802074
2019-05-15,43.632812
2019-05-16,44.208157
2019-05-17,43.710938
2019-05-20,43.671875
2019-05-21,44.628906
2019-05-22,50.390625
2019-05-23,31.210938
2019-05-24,26.464844
2019-05-27,32.03125
2019-05-28,26.826704
2019-05-29,47.96875
2019-05-30,35.996094
2019-05-31,29.154793
2019-06-03,31.777344
2019-06-04,28.417969
2019-06-06,30.800781
2019-06-07,30.039062
2019-06-10,29.257812
2019-06-11,28.457031
2019-06-12,27.539062
2019-06-13,26.933594
2019-06-14,24.355469
2019-06-17,24.863281
2019-06-18,24.527876
2019-06-19,24.785156
2019-06-20,22.382812
2019-06-21,21.367188
2019-06-24,23.984375
2019-06-25,25.273438
2019-06-26,24.0625
2019-06-27,28.720703
2019-06-28,27.69279
2019-07-01,29.980469
2019-07-02,28.399218
2019-07-03,28.727629
2019-07-04,29.384766
2019-07-05,30.351562
2019-07-08,30.273438
2019-07-09,29.902344
2019-07-10,29.6875
2019-07-11,28.4375
2019-07-12,28.789062
2019-07-15,28.554688
2019-07-16,25.15625
2019-07-17,25.429688
2019-07-18,28.108883
2019-07-19,27.1875
2019-07-22,27.34375
2019-07-23,27.96875
2019-07-24,27.96875
2019-07-25,32.158203
2019-07-26,30.714193
2019-07-29,34.765625
2019-07-30,36.328125
2019-07-31,35.26367
2019-08-01,35.33203
2019-08-02,35.703125
2019-08-05,37.646484
2019-08-06,35.078125
2019-08-07,30.292969
2019-08-08,27.5
2019-08-09,26.660156
2019-08-13,30.9375
2019-08-14,28.808594
2019-08-16,26.972656
2019-08-19,28.261719
2019-08-20,27.617188
2019-08-21,29.413403
2019-08-22,27.851562
2019-08-23,29.739723
2019-08-26,28.830915
2019-08-27,27.5
2019-08-28,35.15625
2019-08-29,29.683239
2019-08-30,28.710938
2019-09-03,30.654495
2019-09-04,31.019566
2019-09-05,28.636728
2019-09-06,29.628906
2019-09-09,27.246094
2019-09-11,28.457031
2019-09-12,27.675781
2019-09-13,26.425781
2019-09-16,28.93021
2019-09-17,29.492188
2019-09-18,27.65625
2019-09-19,28.359375
2019-09-20,27.597656
2019-09-23,43.29949
2019-09-24,45.078125
2019-09-25,14.84375
2019-09-26,115.48828
2019-09-27,29.082031
2019-09-30,30.71289
2019-10-01,34.003906
2019-10-03,35.195312
2019-10-04,35.46875
2019-10-07,32.705822
2019-10-09,32.31912
2019-10-10,33.45703
2019-10-11,32.421875
2019-10-14,32.558594
2019-10-15,32.685547
2019-10-16,29.873047
2019-10-17,33.26172
2019-10-18,31.503906
2019-10-22,40.429688
2019-10-23,37.714844
2019-10-24,36.835938
2019-10-25,32.265625
2019-10-29,38.554688
2019-10-30,20.3125
2019-10-31,38.964844
2019-11-01,41.38672
2019-11-04,39.08203
2019-11-05,37.441406
2019-11-06,38.945312
2019-11-07,32.695312
2019-11-08,30.899712
2019-11-11,31.542969
2019-11-13,31.818014
2019-11-14,30.761719
2019-11-15,27.089844
2019-11-18,30.039062
2019-11-19,29.589844
2019-11-20,29.6875
2019-11-21,29.496115
2019-11-22,25.195312
2019-11-25,30.0
2019-11-26,32.382812
2019-11-27,24.765625
2019-11-28,31.298828
2019-11-29,28.242188
2019-12-02,26.933594
2019-12-03,24.882812
2019-12-04,24.785156
2019-12-05,26.191406
2019-12-06,27.958984
2019-12-09,29.375
2019-12-10,29.684258
2019-12-11,26.269531
2019-12-12,29.746094
2019-12-13,30.0
2019-12-16,31.191406
2019-12-17,29.53125
2019-12-18,32.63672
2019-12-19,27.734375
2019-12-20,24.804688
2019-12-23,24.609375
2019-12-24,21.171875
2019-12-26,22.832031
2019-12-27,22.041016
2019-12-30,23.655949
2019-12-31,24.863281
2020-01-01,24.267578
2020-01-02,24.072266
2020-01-03,25.253906
2020-01-06,31.396484
2020-01-07,27.444073
2020-01-08,26.992188
2020-01-09,25.722656
2020-01-10,24.570312
2020-01-13,24.101562
2020-01-14,24.44336
2020-01-15,24.433594
2020-01-16,22.773438
2020-01-17,24.707031
2020-01-20,25.507812
2020-01-21,25.898438
2020-01-22,25.527344
2020-01-23,26.015625
2020-01-24,23.828125
2020-01-27,26.640625
2020-01-28,24.140625
2020-01-29,25.3125
2020-01-30,32.197266
2020-01-31,30.3125
2020-02-01,34.98047
2020-02-03,35.683594
2020-02-04,35.585938
2020-02-05,33.945312
2020-02-06,35.273438
2020-02-07,31.109297
2020-02-10,28.125
2020-02-11,29.6875
2020-02-12,26.171875
2020-02-13,28.769531
2020-02-14,27.5
2020-02-17,32.5
2020-02-18,28.496094
2020-02-19,33.183594
2020-02-20,29.023438
2020-02-24,32.226562
2020-02-25,31.245266
2020-02-26,27.109375
2020-02-27,41.308594
2020-02-28,35.29297
2020-03-02,38.652344
2020-03-03,35.71289
2020-03-04,35.615234
2020-03-05,32.83203
2020-03-06,40.078125
2020-03-09,45.742188
2020-03-11,46.035156
2020-03-12,58.14453
2020-03-13,55.839844
2020-03-16,91.36719
2020-03-17,135.42969
2020-03-18,101.90795
2020-03-19,18.027344
2020-03-20,83.32031
2020-03-23,43.90625
2020-03-24,1.25
2020-03-25,2.5
2020-03-26,0.0390625
2020-03-27,0.3125
2020-03-30,99.00391
2020-03-31,77.265625
2020-04-01,79.921875
2020-04-03,68.875656
2020-04-07,69.23828
2020-04-08,79.51172
2020-04-09,0.3125
2020-04-13,74.57031
2020-04-15,71.62109
2020-04-16,69.82422
2020-04-17,76.28906
2020-04-20,71.42578
2020-04-21,72.77344
2020-04-22,72.35361
2020-04-23,63.28125
2020-04-24,77.85156
2020-04-27,62.421875
2020-04-28,55.546875
2020-04-29,48.828125
2020-04-30,62.246094
2020-05-04,64.78516
2020-05-05,81.11328
2020-05-06,69.04297
2020-05-07,70.74219
2020-05-08,63.378906
2020-05-11,61.640625
2020-05-12,60.859375
2020-05-13,66.44531
2020-05-14,62.773438
2020-05-15,65.546875
2020-05-18,65.3125
2020-05-19,59.04297
2020-05-20,49.921875
2020-05-21,48.164062
2020-05-22,31.289062
2020-05-26,46.328125
2020-05-27,53.90625
2020-05-28,52.67578
2020-05-29,43.496094
2020-06-01,44.59961
2020-06-02,42.695312
2020-06-03,43.73047
2020-06-04,45.78125
2020-06-05,42.470703
2020-06-08,50.253906
2020-06-09,50.703125
2020-06-10,49.375
2020-06-11,47.859013
2020-06-12,46.015625
2020-06-15,54.65567
2020-06-16,52.004326
2020-06-17,48.28125
2020-06-18,45.117188
2020-06-19,40.546875
2020-06-22,43.085938
2020-06-23,42.421875
2020-06-24,70.46875
2020-06-25,48.183594
2020-06-26,42.558594
2020-06-29,40.64453
2020-06-30,41.09375
2020-07-01,37.96875
2020-07-02,38.183594
2020-07-03,39.04297
2020-07-06,39.570312
2020-07-07,39.726562
2020-07-08,42.285156
2020-07-09,40.527344
2020-07-10,40.93857
2020-07-13,44.492188
2020-07-14,47.8125
2020-07-15,45.06212
2020-07-16,44.414062
2020-07-17,38.26172
2020-07-20,45.34523
2020-07-21,45.351562
2020-07-22,42.83203
2020-07-23,45.29297
2020-07-24,42.890625
2020-07-27,48.46878
2020-07-28,43.4375
2020-07-29,41.77836
2020-07-30,41.552734
2020-07-31,39.13086
2020-08-03,40.625
2020-08-04,42.128906
2020-08-05,41.63086
2020-08-06,41.07422
2020-08-07,41.40625
2020-08-10,45.546875
2020-08-11,45.351562
2020-08-12,45.078125
2020-08-13,48.964844
2020-08-14,44.86328
2020-08-17,41.367188
2020-08-18,38.085938
2020-08-19,34.902344
2020-08-20,41.640625
2020-08-21,34.335938
2020-08-24,38.59375
2020-08-25,36.171875
2020-08-26,25.78125
2020-08-27,34.072266
2020-08-28,34.228516
2020-08-31,40.595703
2020-09-01,38.73047
2020-09-02,38.027344
2020-09-03,36.308594
2020-09-04,36.933594
2020-09-07,36.835938
2020-09-08,38.964844
2020-09-09,36.42578
2020-09-10,39.238476
2020-09-11,38.060757
2020-09-14,41.132812
2020-09-15,42.421875
2020-09-16,43.027344
2020-09-17,43.320312
2020-09-18,39.19922
2020-09-21,47.539062
2020-09-22,48.334267
2020-09-23,28.039858
2020-09-24,37.851562
2020-09-25,0.078125
2020-09-28,33.66211
2020-09-29,34.23828
2020-09-30,32.09961
2020-10-01,32.32422
2020-10-05,34.570312
2020-10-06,34.01367
2020-10-07,36.58203
2020-10-08,33.554688
2020-10-09,36.914062
2020-10-12,41.42578
2020-10-13,41.914062
2020-10-14,37.01026
2020-10-15,38.652344
2020-10-16,40.390625
2020-10-19,41.464844
2020-10-20,40.703125
2020-10-21,35.410156
2020-10-22,33.789062
2020-10-23,32.851562
2020-10-26,40.898438
2020-10-27,42.265625
2020-10-28,30.625
2020-10-29,39.023438
2020-10-30,37.626953
2020-11-02,45.40039
2020-11-03,41.347656
2020-11-04,40.859375
2020-11-05,35.507812
2020-11-06,32.63672
2020-11-09,31.40625
2020-11-10,31.953125
2020-11-11,32.887913
2020-11-12,34.257812
2020-11-13,33.45703
2020-11-14,34.82422
2020-11-17,35.91797
2020-11-18,35.351562
2020-11-19,36.26953
2020-11-20,32.851562
2020-11-23,38.828125
2020-11-24,36.034435
2020-11-25,35.625
2020-11-26,31.367188
2020-11-27,29.277344
2020-12-01,31.679688
2020-12-02,32.128906
2020-12-03,35.625
2020-12-04,33.36914
2020-12-07,33.535156
2020-12-08,34.11133
2020-12-09,32.841797
2020-12-10,33.48633
2020-12-11,36.308594
2020-12-14,36.816406
2020-12-15,37.16797
2020-12-16,35.95703
2020-12-17,40.13672
2020-12-18,36.191406
2020-12-21,42.285862
2020-12-22,36.58203
2020-12-23,32.34375
2020-12-24,29.609375
2020-12-28,34.540943
2020-12-29,30.625
2020-12-30,39.726562
2020-12-31,34.072266
2021-01-01,31.435547
2021-01-04,0.15625
2021-01-05,30.947266
2021-01-06,32.666016
2021-01-07,32.03125
2021-01-08,33.79883
2021-01-11,32.20703
2021-01-12,36.445312
2021-01-13,39.335938
2021-01-14,40.95703
2021-01-15,39.84375
2021-01-18,39.609375
2021-01-19,37.382812
2021-01-20,36.933594
2021-01-21,38.496094
2021-01-22,26.855469
2021-01-25,18.671875
2021-01-27,25.3125
2021-01-28,40.91797
2021-01-29,46.435547
2021-02-01,40.654297
2021-02-02,43.964844
2021-02-03,45.98633
2021-02-04,44.091797
2021-02-05,48.027344
2021-02-08,49.23828
2021-02-09,50.029297
2021-02-10,52.529297
2021-02-11,51.279297
2021-02-12,42.96875
2021-02-15,45.039062
2021-02-16,43.14453
2021-02-17,40.371094
2021-02-18,39.277344
2021-02-19,34.140625
2021-02-22,47.421875
2021-02-23,20.273438
2021-02-24,43.007812
2021-02-25,45.039062
2021-02-26,54.365234
2021-03-01,48.222656
2021-03-02,46.503906
2021-03-03,43.554688
2021-03-04,44.804688
2021-03-05,45.322266
2021-03-08,44.44491
2021-03-09,44.814453
2021-03-10,40.20508
2021-03-12,42.11914
2021-03-15,44.921875
2021-03-16,41.953125
2021-03-17,38.476562
2021-03-18,33.007812
2021-03-19,34.067005
2021-03-22,36.328125
2021-03-23,35.294006
2021-03-24,34.257812
2021-03-25,0.01953125
2021-03-26,30.732422
2021-03-30,32.34375
2021-03-31,34.91211
2021-04-01,31.654045
2021-04-05,38.76953
2021-04-06,39.063858
2021-04-07,37.958984
2021-04-08,39.775146
2021-04-09,37.47445
2021-04-12,50.656425
2021-04-13,42.32422
