date,iv_atm
2017-07-04,25.390625
2017-07-05,25.078125
2017-07-06,27.304688
2017-07-07,24.804688
2017-07-10,26.171875
2017-07-11,31.210938
2017-07-12,31.992188
2017-07-13,31.523438
2017-07-14,31.289062
2017-07-17,41.289062
2017-07-18,40.703125
2017-07-19,42.8125
2017-07-20,41.09375
2017-07-21,24.648438
2017-07-24,27.03125
2017-07-25,23.90625
2017-07-27,16.132812
2017-07-28,15.3125
2017-07-31,15.5078125
2017-08-01,16.914062
2017-08-02,16.20595
2017-08-03,15.036627
2017-08-04,15.060527
2017-08-07,15.019531
2017-08-08,15.234375
2017-08-09,15.5859375
2017-08-10,15.3125
2017-08-11,17.34375
2017-08-14,15.6640625
2017-08-16,15.78125
2017-08-17,15.234375
2017-08-18,17.070312
2017-08-21,17.673931
2017-08-22,15.859375
2017-08-23,14.9609375
2017-08-24,13.046875
2017-08-28,18.828125
2017-08-29,22.65625
2017-08-30,22.5
2017-08-31,16.561075
2017-09-01,15.8984375
2017-09-04,16.25
2017-09-05,15.9375
2017-09-06,16.263258
2017-09-07,17.498142
2017-09-08,17.460938
2017-09-11,19.16805
2017-09-12,19.69341
2017-09-13,19.921875
2017-09-14,19.570312
2017-09-15,18.046875
2017-09-18,16.445312
2017-09-19,17.34375
2017-09-20,16.40625
2017-09-21,12.1875
2017-09-22,14.1015625
2017-09-25,20.15625
2017-09-26,19.53125
2017-09-27,20.3125
2017-09-28,19.453125
2017-09-29,19.179688
2017-10-03,20.9375
2017-10-04,22.304688
2017-10-05,23.945312
2017-10-06,22.892218
2017-10-09,23.211065
2017-10-10,24.78776
2017-10-11,23.632812
2017-10-12,24.804688
2017-10-13,25.585938
2017-10-16,30.3125
2017-10-17,32.190426
2017-10-18,19.21875
2017-10-23,22.734375
2017-10-24,24.296875
2017-10-25,25.257858
2017-10-26,16.757812
2017-10-27,16.25
2017-10-30,17.070312
2017-10-31,16.25
2017-11-01,17.226562
2017-11-02,15.0
2017-11-03,14.609375
2017-11-06,15.471256
2017-11-07,19.003906
2017-11-08,19.233227
2017-11-09,19.726562
2017-11-10,17.421875
2017-11-13,18.710938
2017-11-14,17.460938
2017-11-15,15.6640625
2017-11-16,17.734375
2017-11-17,16.015625
2017-11-20,18.476562
2017-11-21,19.179688
2017-11-22,17.8125
2017-11-23,17.304688
2017-11-24,17.890625
2017-11-27,22.34375
2017-11-28,25.0
2017-11-29,32.80981
2017-11-30,21.523438
2017-12-01,21.25
2017-12-04,21.835938
2017-12-05,21.523438
2017-12-06,21.20983
2017-12-07,21.638552
2017-12-08,20.273438
2017-12-11,21.09375
2017-12-12,20.351562
2017-12-13,22.309166
2017-12-14,23.398438
2017-12-15,22.851562
2017-12-18,22.34375
2017-12-19,25.3125
2017-12-20,22.65625
2017-12-21,26.25
2017-12-22,22.65625
2017-12-26,33.90625
2017-12-27,36.25
2017-12-28,23.710938
2017-12-29,25.402647
2018-01-01,27.265625
2018-01-02,28.125
2018-01-03,28.671875
2018-01-04,28.261719
2018-01-05,28.789062
2018-01-08,31.171875
2018-01-09,32.96875
2018-01-10,34.01261
2018-01-11,33.203125
2018-01-12,32.265625
2018-01-15,34.648438
2018-01-16,36.5625
2018-01-17,36.71875
2018-01-18,37.578125
2018-01-19,34.835995
2018-01-22,35.859375
2018-01-23,33.828125
2018-01-24,45.3125
2018-01-25,24.472656
2018-01-29,26.992188
2018-01-30,26.464844
2018-01-31,29.199219
2018-02-01,24.6875
2018-02-02,22.03125
2018-02-05,25.585938
2018-02-06,28.164062
2018-02-07,27.695312
2018-02-08,24.921875
2018-02-09,27.382812
2018-02-12,25.298347
2018-02-14,23.125
2018-02-15,22.734375
2018-02-16,23.75
2018-02-19,28.59375
2018-02-20,26.875
2018-02-21,33.373863
2018-02-22,18.945312
2018-02-23,19.980469
2018-02-26,19.570312
2018-02-27,19.140625
2018-02-28,19.648438
2018-03-01,18.254572
2018-03-05,19.609375
2018-03-06,19.273119
2018-03-07,19.463755
2018-03-08,19.415724
2018-03-09,19.570312
2018-03-12,19.804688
2018-03-13,20.859375
2018-03-14,21.897518
2018-03-15,23.36227
2018-03-16,22.305931
2018-03-19,24.296875
2018-03-20,25.117188
2018-03-21,24.453125
2018-03-22,23.046875
2018-03-23,20.859375
2018-03-26,34.53125
2018-03-27,36.5625
2018-03-28,27.890625
2018-04-02,29.034174
2018-04-03,29.414062
2018-04-04,28.789062
2018-04-05,29.648438
2018-04-06,28.398438
2018-04-09,29.0625
2018-04-10,29.375
2018-04-11,30.703125
2018-04-12,30.234375
2018-04-13,29.765625
2018-04-16,32.03125
2018-04-17,33.867188
2018-04-18,33.59375
2018-04-19,33.476562
2018-04-20,38.90625
2018-04-23,57.421875
2018-04-24,77.5
2018-04-25,97.34375
2018-04-26,24.042969
2018-04-27,22.34375
2018-04-30,22.753906
2018-05-02,22.148438
2018-05-03,21.40625
2018-05-04,21.09375
2018-05-07,21.054688
2018-05-08,21.835938
2018-05-09,22.265625
2018-05-10,21.601562
2018-05-11,21.484375
2018-05-14,21.484375
2018-05-15,21.407871
2018-05-16,21.601562
2018-05-17,22.539062
2018-05-18,22.265625
2018-05-21,22.96875
2018-05-22,21.015625
2018-05-23,19.960938
2018-05-24,19.609375
2018-05-25,18.737944
2018-05-28,27.711266
2018-05-29,28.4375
2018-05-30,23.59375
2018-05-31,22.03125
2018-06-01,21.289062
2018-06-04,23.203125
2018-06-05,23.789062
2018-06-06,21.679688
2018-06-07,21.805977
2018-06-08,21.835938
2018-06-11,21.440317
2018-06-12,22.8125
2018-06-13,21.09375
2018-06-14,21.757812
2018-06-15,23.867188
2018-06-18,22.109375
2018-06-19,22.5
2018-06-20,19.765625
2018-06-21,19.375
2018-06-22,20.13651
2018-06-25,27.5
2018-06-26,27.65625
2018-06-27,29.53125
2018-06-28,25.234375
2018-06-29,25.664062
2018-07-02,27.734375
2018-07-03,27.578125
2018-07-04,28.007812
2018-07-05,29.179688
2018-07-06,29.648438
2018-07-09,30.078125
2018-07-10,30.9375
2018-07-11,35.15625
2018-07-12,41.914062
2018-07-13,44.946426
2018-07-16,49.492188
2018-07-17,51.243603
2018-07-18,50.99645
2018-07-19,52.890625
2018-07-20,53.828125
2018-07-23,33.515625
2018-07-24,34.0625
2018-07-25,37.5
2018-07-26,21.992188
2018-07-27,21.5625
2018-07-30,21.679688
2018-07-31,24.707031
2018-08-01,22.460938
2018-08-02,22.65625
2018-08-03,21.40625
2018-08-06,21.601562
2018-08-07,21.953125
2018-08-08,21.523438
2018-08-09,22.148438
2018-08-10,21.152344
2018-08-13,25.351562
2018-08-14,22.265625
2018-08-16,23.320312
2018-08-17,20.833054
2018-08-20,21.132812
2018-08-21,25.019823
2018-08-23,24.21875
2018-08-24,24.469048
2018-08-27,31.015625
2018-08-28,29.53125
2018-08-29,33.125
2018-08-30,23.242188
2018-08-31,26.933594
2018-09-03,26.835938
2018-09-04,26.5649
2018-09-05,25.0
2018-09-06,24.179688
2018-09-07,23.320312
2018-09-10,25.0
2018-09-11,23.398438
2018-09-12,23.125
2018-09-14,22.126913
2018-09-17,25.3125
2018-09-18,25.608011
2018-09-19,23.828125
2018-09-21,36.71875
2018-09-24,37.96875
2018-09-25,40.546875
2018-09-26,38.155468
2018-09-27,29.921875
2018-09-28,31.5625
2018-10-01,34.101562
