date,iv_atm
2017-07-04,26.347656
2017-07-05,24.746094
2017-07-06,24.003906
2017-07-07,23.105469
2017-07-10,23.63425
2017-07-11,22.910156
2017-07-12,23.984375
2017-07-13,25.28065
2017-07-14,25.664062
2017-07-17,27.773438
2017-07-18,32.5
2017-07-19,34.067005
2017-07-20,33.342888
2017-07-21,37.617188
2017-07-24,52.173836
2017-07-25,38.046875
2017-07-27,23.925781
2017-07-28,22.265625
2017-07-31,24.394531
2017-08-01,23.417969
2017-08-02,23.34961
2017-08-03,20.800781
2017-08-04,22.021484
2017-08-07,23.398438
2017-08-08,23.847656
2017-08-09,23.632812
2017-08-10,30.175781
2017-08-11,30.0
2017-08-14,28.164062
2017-08-16,27.910156
2017-08-17,27.519531
2017-08-18,28.681437
2017-08-21,27.695312
2017-08-22,25.273438
2017-08-23,23.671875
2017-08-24,20.664062
2017-08-28,26.015625
2017-08-29,34.308537
2017-08-30,25.95191
2017-08-31,23.730469
2017-09-01,23.261719
2017-09-04,24.824219
2017-09-05,24.0625
2017-09-06,22.96875
2017-09-07,24.355469
2017-09-08,23.183594
2017-09-11,24.093964
2017-09-12,24.443375
2017-09-13,23.680182
2017-09-14,23.886719
2017-09-15,24.648438
2017-09-18,24.960938
2017-09-19,24.53125
2017-09-20,25.078125
2017-09-21,24.0625
2017-09-22,22.580265
2017-09-25,31.210938
2017-09-26,27.8125
2017-09-27,29.21875
2017-09-28,24.082031
2017-09-29,23.408203
2017-10-03,25.800781
2017-10-04,25.253906
2017-10-05,25.605469
2017-10-06,23.691406
2017-10-09,28.554688
2017-10-10,29.003906
2017-10-11,30.253906
2017-10-12,30.0
2017-10-13,30.195312
2017-10-16,34.140625
2017-10-17,36.004406
2017-10-18,34.101562
2017-10-23,54.15382
2017-10-24,51.40625
2017-10-25,38.203125
2017-10-26,26.191406
2017-10-27,23.886719
2017-10-30,24.453125
2017-10-31,22.72461
2017-11-01,23.828125
2017-11-02,23.105469
2017-11-03,22.753906
2017-11-06,23.476562
2017-11-07,25.761719
2017-11-08,23.925781
2017-11-09,24.53125
2017-11-10,24.804688
2017-11-13,25.703125
2017-11-14,24.023438
2017-11-15,24.080698
2017-11-16,21.757812
2017-11-17,23.632812
2017-11-20,25.507812
2017-11-21,26.484375
2017-11-22,38.984375
2017-11-23,39.101562
2017-11-24,35.29297
2017-11-27,40.664062
2017-11-28,39.6875
2017-11-29,38.28125
2017-11-30,28.046875
2017-12-01,26.823927
2017-12-04,27.34375
2017-12-05,27.460938
2017-12-06,27.207031
2017-12-07,26.347656
2017-12-08,27.910156
2017-12-11,29.023438
2017-12-12,28.300781
2017-12-13,30.703125
2017-12-14,30.957031
2017-12-15,25.896357
2017-12-18,26.897896
2017-12-19,25.39218
2017-12-20,23.984375
2017-12-21,26.035156
2017-12-22,22.023754
2017-12-26,27.773438
2017-12-27,31.875
2017-12-28,25.644531
2017-12-29,24.59961
2018-01-01,24.121094
2018-01-02,26.25
2018-01-03,27.03125
2018-01-04,27.753906
2018-01-05,30.839844
2018-01-08,36.018394
2018-01-09,36.629658
2018-01-10,36.152344
2018-01-11,40.410156
2018-01-12,42.65625
2018-01-15,45.859375
2018-01-16,42.382812
2018-01-17,36.601562
2018-01-18,32.148438
2018-01-19,28.867188
2018-01-22,34.53125
2018-01-23,39.6875
2018-01-24,36.484375
2018-01-25,28.769531
2018-01-29,28.730303
2018-01-30,29.21875
2018-01-31,28.730469
2018-02-01,25.683594
2018-02-02,27.34375
2018-02-05,27.558594
2018-02-06,30.507812
2018-02-07,28.691406
2018-02-08,26.523438
2018-02-09,25.664062
2018-02-12,26.601562
2018-02-14,23.710938
2018-02-15,23.671875
2018-02-16,21.71875
2018-02-19,27.8125
2018-02-20,18.125
2018-02-21,24.21875
2018-02-22,23.276768
2018-02-23,23.261719
2018-02-26,22.753906
2018-02-27,22.871094
2018-02-28,23.085938
2018-03-01,22.519531
2018-03-05,24.570312
2018-03-06,23.847656
2018-03-07,24.277344
2018-03-08,24.433594
2018-03-09,23.398438
2018-03-12,22.648666
2018-03-13,22.460938
2018-03-14,22.890625
2018-03-15,23.890501
2018-03-16,23.027344
2018-03-19,24.042969
2018-03-20,24.511719
2018-03-21,24.296875
2018-03-22,23.75
2018-03-23,24.0625
2018-03-26,29.140625
2018-03-27,27.786888
2018-03-28,26.865234
2018-04-02,31.044922
2018-04-03,27.34375
2018-04-04,28.183594
2018-04-05,26.367188
2018-04-06,25.9375
2018-04-09,29.21875
2018-04-10,27.851562
2018-04-11,25.78125
2018-04-12,25.097656
2018-04-13,24.790277
2018-04-16,24.596455
2018-04-17,23.867188
2018-04-18,27.911125
2018-04-19,23.789062
2018-04-20,21.875
2018-04-23,28.359375
2018-04-24,30.46875
2018-04-25,24.6875
2018-04-26,27.272448
2018-04-27,26.75602
2018-04-30,28.221489
2018-05-02,30.248833
2018-05-03,30.844538
2018-05-04,30.039062
2018-05-07,32.729992
2018-05-08,31.445297
2018-05-09,32.4919
2018-05-10,31.386719
2018-05-11,25.058594
2018-05-14,24.707031
