date,iv_atm
2022-03-07,39.119194
2022-03-08,37.585224
2022-03-09,35.672897
2022-03-10,33.222736
2022-03-11,33.813747
2022-03-14,34.220184
2022-03-15,30.919178
2022-03-16,28.146118
2022-03-17,27.390095
2022-03-21,31.789684
2022-03-22,29.853697
2022-03-23,31.38835
2022-03-24,32.669456
2022-03-25,31.361238
2022-03-28,38.29717
2022-03-29,31.013083
2022-03-30,32.171436
2022-03-31,34.633984
2022-04-01,36.760925
2022-04-04,37.8176
2022-04-05,31.91771
2022-04-06,32.48905
2022-04-07,32.946285
2022-04-08,31.364225
2022-04-11,34.00723
2022-04-12,35.45733
2022-04-13,36.29774
2022-04-18,36.175503
2022-04-19,43.049397
2022-04-20,30.312313
2022-04-21,30.322422
2022-04-22,36.495007
2022-04-25,39.74325
2022-04-26,28.957932
2022-04-27,35.72635
2022-04-28,35.904102
2022-04-29,27.83562
2022-05-02,31.725906
2022-05-04,34.487614
2022-05-05,33.50188
2022-05-06,33.968395
2022-05-09,36.73853
2022-05-10,37.00212
2022-05-11,35.624355
2022-05-12,41.017555
2022-05-13,38.45113
2022-05-16,36.88558
2022-05-17,37.86573
2022-05-18,39.094994
2022-05-19,42.46906
2022-05-20,38.355774
2022-05-23,43.899204
2022-05-24,44.307335
2022-05-25,34.112156
2022-05-26,31.942095
2022-05-27,32.300274
2022-05-30,30.878666
2022-05-31,30.711481
2022-06-01,29.794601
2022-06-02,35.844772
2022-06-03,35.442104
2022-06-06,36.39813
2022-06-07,29.339197
2022-06-08,28.828005
2022-06-09,28.035162
2022-06-10,27.130823
2022-06-13,30.580347
2022-06-14,30.701578
2022-06-15,30.728811
2022-06-16,31.715227
2022-06-17,34.371635
2022-06-20,34.82163
2022-06-21,32.2875
2022-06-22,32.07233
2022-06-23,34.81864
2022-06-24,28.529417
2022-06-27,26.334896
2022-06-28,33.963093
2022-06-29,34.4129
2022-06-30,28.194674
2022-07-01,27.514
2022-07-04,27.709848
2022-07-05,25.451794
2022-07-06,25.962112
2022-07-07,32.502434
2022-07-08,32.34032
2022-07-11,26.540215
2022-07-12,28.552498
2022-07-13,31.784513
2022-07-14,27.061766
2022-07-15,28.36233
2022-07-18,30.55598
2022-07-19,34.413437
2022-07-20,27.604427
2022-07-21,30.38369
2022-07-22,28.688004
2022-07-25,32.5352
2022-07-26,37.07379
2022-07-27,26.187658
2022-07-28,29.442072
2022-07-29,30.245035
2022-08-01,30.409634
2022-08-02,32.315655
2022-08-03,32.237328
2022-08-04,34.47344
2022-08-05,34.313007
2022-08-08,34.043137
2022-08-10,32.674366
2022-08-11,31.717016
2022-08-12,31.052786
2022-08-16,33.22406
2022-08-17,32.5647
2022-08-18,33.310608
2022-08-19,34.07594
2022-08-22,33.714024
2022-08-23,28.577602
2022-08-24,37.81882
2022-08-25,32.484665
2022-08-26,35.717705
2022-08-29,29.681128
2022-08-30,29.39175
2022-09-01,31.754103
2022-09-02,31.530642
2022-09-05,31.55979
2022-09-06,32.107887
2022-09-07,30.855051
2022-09-08,30.468554
2022-09-09,28.615814
2022-09-12,31.65342
2022-09-13,34.82468
2022-09-14,32.1301
2022-09-15,33.774223
2022-09-16,37.780994
2022-09-19,36.801937
2022-09-20,35.723972
2022-09-21,38.13091
2022-09-22,35.221375
2022-09-23,33.022636
2022-09-26,37.70435
2022-09-27,30.0466
2022-09-28,35.91845
2022-09-29,35.46501
2022-09-30,33.538055
2022-10-03,36.743286
2022-10-04,34.31177
2022-10-06,34.420715
2022-10-07,33.355312
2022-10-10,34.18342
2022-10-11,33.520603
2022-10-12,32.763588
2022-10-13,32.770428
2022-10-14,30.39349
2022-10-17,32.451283
2022-10-18,32.317455
2022-10-19,29.404472
2022-10-20,26.934847
2022-10-21,21.211683
2022-10-24,22.81059
2022-10-25,21.9352
2022-10-27,31.101387
2022-10-28,30.849533
2022-10-31,31.201694
2022-11-01,35.431416
2022-11-02,31.298817
2022-11-03,30.395758
2022-11-04,28.85483
2022-11-07,28.717869
2022-11-09,30.303373
2022-11-10,35.46257
2022-11-11,30.104185
2022-11-14,28.467916
2022-11-15,28.321419
2022-11-16,27.959167
2022-11-17,28.563835
2022-11-18,23.395407
2022-11-21,20.372437
2022-11-22,25.209944
2022-11-23,25.719013
2022-11-24,33.702457
2022-11-25,25.001162
2022-11-28,24.917759
2022-11-29,26.036478
2022-11-30,24.976473
2022-12-01,24.006102
2022-12-02,24.291878
2022-12-05,24.342285
2022-12-06,32.38609
2022-12-07,24.789309
2022-12-08,24.691805
2022-12-09,24.890034
2022-12-12,24.157158
2022-12-13,23.51572
2022-12-14,23.162058
2022-12-15,22.170883
2022-12-16,20.621351
2022-12-19,20.151653
2022-12-20,21.785446
2022-12-21,29.286186
2022-12-22,27.229696
2022-12-23,26.148026
2022-12-26,25.296146
2022-12-27,21.186302
2022-12-28,21.311134
2022-12-29,30.031818
2022-12-30,26.295134
2023-01-02,27.01603
2023-01-03,26.21256
2023-01-04,27.1768
2023-01-05,27.150255
2023-01-06,26.291634
2023-01-09,25.558731
2023-01-10,27.152216
2023-01-11,26.990332
2023-01-12,27.236954
2023-01-13,25.774374
2023-01-16,27.468342
2023-01-17,25.812525
2023-01-18,26.755814
2023-01-19,24.698828
2023-01-20,22.704945
2023-01-23,25.233055
2023-01-24,13.66791
2023-01-25,24.474298
2023-01-27,28.303934
2023-01-30,29.762112
2023-01-31,26.554121
2023-02-01,28.142275
2023-02-02,33.305103
2023-02-03,27.860641
2023-02-06,29.613632
2023-02-07,27.411396
2023-02-08,26.939365
2023-02-09,25.666424
2023-02-10,23.565536
2023-02-13,26.168737
2023-02-14,25.824223
2023-02-15,26.232052
2023-02-16,25.721285
2023-02-17,23.243141
2023-02-20,28.438383
2023-02-21,20.199772
2023-02-22,28.803818
2023-02-23,22.586115
2023-02-24,22.834188
2023-02-27,23.539114
2023-02-28,23.078499
2023-03-01,22.02812
2023-03-02,22.007727
2023-03-03,19.96143
2023-03-06,21.531605
2023-03-08,23.00168
2023-03-09,22.402233
2023-03-10,26.090261
2023-03-13,27.453878
2023-03-14,27.15409
2023-03-15,25.13466
2023-03-16,27.970062
2023-03-17,27.9905
2023-03-20,27.7504
2023-03-21,26.278261
2023-03-22,25.603245
2023-03-23,25.531445
2023-03-24,22.007654
2023-03-27,31.93784
2023-03-28,35.592052
2023-03-29,24.389624
2023-03-31,23.938414
2023-04-03,23.956627
2023-04-05,23.565132
2023-04-06,32.150837
2023-04-10,25.09995
2023-04-11,23.779787
