SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
500002,ABB India Limited,Active,A,2.00,INE117A01022,Heavy Electrical Equipment,ABB,Equity,https://www.bseindia.com/stock-share-price/abb-india-limited/abb/500002/,ABB India Limited,103411.29
500003,AEGIS LOGISTICS LTD.,Active,A,1.00,INE208C01025,Trading - Gas,AEGISLOG,Equity,https://www.bseindia.com/stock-share-price/aegis-logistics-ltd/aegislog/500003/,Aegis Logistics Ltd.,12867.66
500004,TORRENT POWER AEC LTD.,Delisted,B,10.00,INE424A01014,,TPAEC,Equity,https://www.bseindia.com/stock-share-price/torrent-power-aec-ltd/tpaec/500004/,Torrent Power AEC Limited,0.00
500005,AKAR LAMINATORS LTD.,Delisted,XD,10.00,INE984C01013,,AKARLAMIN,Equity,https://www.bseindia.com/stock-share-price/akar-laminators-ltd/akarlamin/500005/,"Akar Laminators Ltd.,",1.46
500006,ALPHA DRUG INDIA LTD.,Delisted,B,10.00,INE256B01026,,ALPHADR,Equity,https://www.bseindia.com/stock-share-price/alpha-drug-india-ltd/alphadr/500006/,Alpha Drugs India Ltd,0.00
500008,Amara Raja Energy & Mobility Ltd,Active,A,1.00,INE885A01032,Auto Components & Equipments,ARE&M,Equity,https://www.bseindia.com/stock-share-price/amara-raja-energy--mobility-ltd/arem/500008/,Amara Raja Energy & Mobility Limited,13859.73
500009,AMBALAL SARABHAI ENTERPRISES LTD.,Active,XT,10.00,INE432A01017,Pharmaceuticals,AMBALALSA,Equity,https://www.bseindia.com/stock-share-price/ambalal-sarabhai-enterprises-ltd/ambalalsa/500009/,"Ambalal Sarabhai Enterprise Ltd.,",307.68
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Suspended,A,2.00,INE001A01036,Housing Finance Company,HDFC,Equity,https://www.bseindia.com/stock-share-price/housing-development-finance-corpltd/hdfc/500010/,Housing Development Finance Corp.Lt,505430.17
500011,AMRUT INDUSTRIES LTD.,Delisted,Z,10.00,NA,,AMRTMIL-BDM,Equity,https://www.bseindia.com/stock-share-price/amrut-industries-ltd/amrtmil-bdm/500011/,Amrut Industries Ltd,
500012,ANDHRA PETROCHEMICALS LTD.,Active,X,10.00,INE714B01016,Commodity Chemicals,ANDHRAPET,Equity,https://www.bseindia.com/stock-share-price/andhra-petrochemicals-ltd/andhrapet/500012/,"Andhra Petrochemicals Ltd.,",875.21
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Suspended,Z,5.00,INE436A01026,Residential- Commercial Projects,ANSALAPI,Equity,https://www.bseindia.com/stock-share-price/ansal-properties--infrastructure-ltd/ansalapi/500013/,Ansal Properties & Infrastructure Ltd.,165.59
500014,Utique Enterprises Ltd,Active,X,10.00,INE096A01010,Precious Metals,UTIQUE,Equity,https://www.bseindia.com/stock-share-price/utique-enterprises-ltd/utique/500014/,UTIQUE ENTERPRISES LIMITED,50.05
500015,ICICI LTD.,Delisted,B,10.00,INE005A01011,,ICICIDM,Equity,https://www.bseindia.com/stock-share-price/icici-ltd/icicidm/500015/,ICICI Ltd.,4825.95
500016,ARUNA HOTELS LTD.,Active,X,10.00,INE957C01019,Hotels & Resorts,ARUNAHTEL,Equity,https://www.bseindia.com/stock-share-price/aruna-hotels-ltd/arunahtel/500016/,Aruna Hotels Ltd.,70.17
500018,ARPOLDM,Delisted,B,10.00,INE035A01018,,ARPOLDM,Equity,https://www.bseindia.com/stock-share-price/-/arpoldm/500018/,Arvind Polycot Limited,0.00
500019,BANK OF RAJASTHAN LTD.,Delisted,B,10.00,INE320A01014,,BOR,Equity,https://www.bseindia.com/stock-share-price/bank-of-rajasthan-ltd/bor/500019/,Bank Of Rajasthan Ltd.,0.00
500020,BOMBAY DYEING & MFG.CO.LTD.,Active,A,2.00,INE032A01023,Other Textile Products,BOMDYEING,Equity,https://www.bseindia.com/stock-share-price/bombay-dyeing--mfgcoltd/bomdyeing/500020/,"Bombay Dyeing & Mfg. Co. Ltd.,",3292.17
