date,name
2024-12-25,Christmas
2024-11-15,Gurunanak Jayanti
2024-11-02,Diwali-Balipratipada
2024-11-01,Diwali Laxmi Pujan*
2024-10-12,Dussehra
2024-10-02,Mahatma Gandhi Jayanti
2024-09-07,Ganesh Chaturthi
2024-08-15,Independence Day/Parsi New Year
2024-07-17,Moharram
2024-06-17,Bakri Id
2024-05-01,Maharashtra Day
2024-04-21,Shri Mahavir Jayanti
2024-04-17,Shri Ram Navmi
2024-04-14,Dr. Baba Saheb Ambedkar Jayanti
2024-04-11,Id-Ul-Fitr (Ramadan Eid)
2024-03-29,Good Friday
2024-03-25,Holi
2024-03-08,Mahashivratri
2024-01-26,Republic Day
2023-12-25,Christmas
2023-11-27,Gurunanak Jayanti
2023-11-14,Diwali-Balipratipada
2023-11-12,Diwali-Laxmi Pujan*
2023-10-24,Dussehra
2023-10-02,Mahatma Gandhi Jayanti
2023-09-19,Ganesh Chaturthi
2023-08-15,Independence Day
2023-07-29,Moharram
2023-06-28,Bakri Id
2023-05-01,Maharashtra Day
2023-04-22,Id-Ul-Fitr (Ramzan ID)
2023-04-14,Dr. Baba Saheb Ambedkar Jayanti
2023-04-07,Good Friday
2023-04-04,
2023-03-30,Ram Navami
2023-03-07,Holi
2023-02-18,Mahashivratri
2023-01-26,Republic Day
2022-12-25,Christmas
2022-11-08,Gurunanak Jayanti
2022-10-26,Diwali-Balipratipada
2022-10-24,Diwali-Laxmi Pujan*
2022-10-05,Dussehra
2022-10-02,Mahatma Gandhi Jayanti
2022-08-31,Ganesh Chaturthi
2022-08-15,Independence Day
2022-08-09,Moharram
2022-07-10,Bakri Id
2022-05-03,Id-Ul-Fitr (Ramzan ID)
2022-05-01,Maharashtra Day
2022-04-15,Good Friday
2022-04-14,Dr. Baba Saheb Ambedkar Jayanti/Mahavir Jayanti
2022-04-10,Ram Navami
2022-03-18,Holi
2022-03-01,Mahashivratri
2022-01-26,Republic Day
2021-12-25,Christmas
2021-11-19,Gurunanak Jayanti
2021-11-05,Diwali-Balipratipada
2021-11-04,Diwali-Laxmi Pujan*
2021-10-15,Dussehra
2021-10-02,Mahatma Gandhi Jayanti
2021-09-10,Ganesh Chaturthi
