date,iv_atm
2021-01-01,0.625
2021-01-04,54.083057
2021-01-05,45.69336
2021-01-06,44.91211
2021-01-07,43.007812
2021-01-08,41.20117
2021-01-11,52.70508
2021-01-12,37.22489
2021-01-13,43.61328
2021-01-14,42.36328
2021-01-15,53.779297
2021-01-18,55.195312
2021-01-19,40.80078
2021-01-20,60.390625
2021-01-21,0.3125
2021-01-22,1.25
2021-01-25,30.898438
2021-01-27,69.72656
2021-01-28,50.288086
2021-01-29,43.564453
2021-02-01,45.20508
2021-02-02,40.84961
2021-02-03,46.992188
2021-02-04,41.96289
2021-02-05,41.796875
2021-02-08,41.66992
2021-02-09,52.197266
2021-02-10,46.42892
2021-02-11,38.23242
2021-02-12,38.359375
2021-02-15,40.80078
2021-02-16,49.53125
2021-02-17,44.277344
2021-02-18,35.13672
2021-02-19,22.919922
2021-02-22,53.4375
2021-02-23,76.484375
2021-02-24,54.257812
2021-02-25,0.3125
2021-02-26,37.460938
2021-03-01,0.3125
2021-03-02,45.600586
2021-03-03,37.62207
2021-03-04,47.490234
2021-03-05,39.033203
2021-03-08,43.984375
2021-03-09,45.058594
2021-03-10,43.427734
2021-03-12,38.935547
2021-03-15,40.078125
2021-03-16,44.23828
2021-03-17,40.08789
2021-03-18,18.066406
2021-03-19,32.871094
2021-03-22,94.49219
2021-03-23,49.86328
2021-03-24,67.51953
2021-03-25,0.3125
2021-03-26,0.3125
2021-03-30,36.38672
2021-03-31,0.625
2021-04-01,38.222656
2021-04-05,49.96582
2021-04-06,51.5625
2021-04-07,0.625
2021-04-08,0.3125
2021-04-09,39.66797
2021-04-12,1.25
2021-04-13,40.126953
2021-04-15,49.30664
2021-04-16,0.625
2021-04-19,44.338726
2021-04-20,1.25
2021-04-22,44.648438
2021-04-23,44.570312
2021-04-26,41.191406
2021-04-27,58.789062
2021-04-28,43.496094
2021-04-29,0.15625
2021-04-30,0.3125
2021-05-03,0.3125
2021-05-04,0.15625
2021-05-05,68.13965
2021-05-06,0.625
2021-05-07,50.22461
2021-05-10,48.745117
2021-05-11,47.78719
2021-05-12,37.25586
2021-05-14,44.379883
2021-05-17,52.08008
2021-05-18,55.859375
2021-05-19,47.041016
2021-05-20,36.904297
2021-05-21,33.867188
2021-05-24,31.238346
2021-05-25,27.089844
2021-05-26,44.570312
2021-05-27,28.208008
2021-05-28,0.625
2021-05-31,0.3125
2021-06-01,0.15625
2021-06-02,33.76465
2021-06-03,34.404297
2021-06-04,37.060547
2021-06-07,34.335938
2021-06-08,37.29492
2021-06-09,0.3125
2021-06-10,41.953125
2021-06-11,42.685547
2021-06-14,45.273438
2021-06-15,48.447266
2021-06-16,53.267033
2021-06-17,46.22387
2021-06-18,33.07596
2021-06-21,53.998302
2021-06-22,30.937893
2021-06-23,30.633266
2021-06-24,31.680037
2021-06-25,46.308155
2021-06-28,45.657475
2021-06-29,26.200212
2021-06-30,45.06518
2021-07-01,30.40131
2021-07-02,31.848568
2021-07-05,29.976526
2021-07-06,33.052357
2021-07-07,32.59982
2021-07-08,32.6367
2021-07-09,31.030846
2021-07-12,29.537285
2021-07-13,28.973904
2021-07-14,28.858845
2021-07-15,28.815224
2021-07-16,27.578922
2021-07-19,32.54721
2021-07-20,33.183834
2021-07-22,24.822327
2021-07-23,26.418505
2021-07-26,42.51958
2021-07-27,26.638998
2021-07-28,25.168169
2021-07-29,31.337837
2021-07-30,34.53101
2021-08-02,31.696072
2021-08-03,38.831615
2021-08-04,36.18489
2021-08-05,36.22803
2021-08-06,43.32926
2021-08-09,39.83297
2021-08-10,38.70586
2021-08-11,35.644028
2021-08-12,35.67229
2021-08-13,36.48305
2021-08-16,38.317177
2021-08-17,41.90733
2021-08-18,41.398003
2021-08-20,42.025883
2021-08-23,30.40908
2021-08-24,25.761024
2021-08-25,24.172861
2021-08-26,30.320236
2021-08-27,30.358866
2021-08-30,31.061184
2021-08-31,31.62084
2021-09-01,31.25372
2021-09-02,35.671112
2021-09-03,36.764915
2021-09-06,38.566013
2021-09-07,36.03983
2021-09-08,38.095467
2021-09-09,35.00042
2021-09-13,38.483677
2021-09-14,38.650295
2021-09-15,41.35191
2021-09-16,42.73661
2021-09-17,42.788097
2021-09-20,44.15113
2021-09-21,38.909603
2021-09-22,43.908623
2021-09-23,44.018833
2021-09-24,40.991253
2021-09-27,55.559956
2021-09-28,57.343624
2021-09-29,56.998505
2021-09-30,41.849472
2021-10-01,40.768677
2021-10-04,47.67803
2021-10-05,44.110676
2021-10-06,44.78726
2021-10-07,44.78286
2021-10-08,43.8481
2021-10-11,43.564068
2021-10-12,45.526836
2021-10-13,43.330673
2021-10-14,28.394165
2021-10-18,59.178116
2021-10-19,72.85305
2021-10-20,63.143112
2021-10-21,62.506332
2021-10-22,40.165936
2021-10-25,47.094543
2021-10-26,49.314594
2021-10-27,33.945084
2021-10-28,44.597115
2021-10-29,43.4231
2021-11-01,44.753067
2021-11-02,36.95446
2021-11-03,45.886066
2021-11-04,34.972523
2021-11-08,36.454376
2021-11-09,37.858025
2021-11-10,38.741165
