date,iv_atm
2021-12-31,44.48786
2022-01-03,46.409477
2022-01-04,45.124466
2022-01-05,42.823105
2022-01-06,48.09606
2022-01-07,53.701782
2022-01-10,45.88804
2022-01-11,54.097843
2022-01-12,52.24988
2022-01-13,53.157585
2022-01-14,51.23942
2022-01-17,53.115547
2022-01-18,47.38111
2022-01-19,45.475597
2022-01-20,52.738693
2022-01-21,51.1006
2022-01-24,48.088615
2022-01-25,51.84311
2022-01-27,52.80767
2022-01-28,52.2393
2022-01-31,52.28032
2022-02-01,52.376644
2022-02-02,44.329395
2022-02-03,46.222725
2022-02-04,39.638603
2022-02-07,38.959736
2022-02-08,42.118332
2022-02-09,39.966816
2022-02-10,37.47554
2022-02-11,39.882004
2022-02-14,47.982986
2022-02-15,43.75741
2022-02-16,40.09
2022-02-17,52.580204
2022-02-18,37.377167
2022-02-21,55.82274
2022-02-22,49.339607
2022-02-23,49.369503
2022-02-24,51.587147
2022-02-25,44.919727
2022-02-28,46.661705
2022-03-02,47.26229
2022-03-03,50.454147
2022-03-04,51.097942
2022-03-07,51.91604
2022-03-08,53.021496
2022-03-09,54.071255
2022-03-10,48.37707
2022-03-11,46.949696
2022-03-14,47.36926
2022-03-15,51.94688
2022-03-16,51.785686
2022-03-17,51.519497
2022-03-21,53.615597
2022-03-22,54.473587
2022-03-23,51.997677
2022-03-24,52.94488
2022-03-25,51.112175
2022-03-28,56.554096
2022-03-29,57.33952
2022-03-30,45.371563
2022-03-31,52.58957
2022-04-01,52.860867
2022-04-04,42.581257
2022-04-05,42.38705
2022-04-06,43.809666
2022-04-07,37.680473
2022-04-08,40.79132
2022-04-11,45.543747
2022-04-12,50.54718
2022-04-13,51.99902
2022-04-18,43.465645
2022-04-19,38.10594
2022-04-20,42.33528
2022-04-21,40.561626
2022-04-22,38.244987
2022-04-25,53.518555
2022-04-26,51.547466
2022-04-27,38.18668
2022-04-28,51.233154
2022-04-29,45.990406
2022-05-02,50.188652
2022-05-04,45.81518
2022-05-05,49.56315
2022-05-06,51.17123
2022-05-09,44.54711
2022-05-10,48.82033
2022-05-11,50.373405
2022-05-12,57.362656
2022-05-13,51.19594
2022-05-16,60.94423
2022-05-17,56.506783
2022-05-18,54.08528
2022-05-19,48.08693
2022-05-20,44.011074
2022-05-23,49.772
2022-05-24,55.182747
2022-05-25,66.76154
2022-05-26,48.721004
2022-05-27,42.05952
2022-05-30,42.684822
2022-05-31,40.814972
2022-06-01,40.519592
2022-06-02,50.974842
2022-06-03,50.27296
2022-06-06,50.243946
2022-06-07,50.943768
2022-06-08,50.40172
2022-06-09,51.11894
2022-06-10,38.97161
2022-06-13,44.548195
2022-06-14,43.188534
2022-06-15,51.98396
2022-06-16,51.96768
2022-06-17,41.505383
2022-06-20,47.20339
2022-06-21,43.507835
2022-06-22,47.74161
2022-06-23,39.124928
2022-06-24,39.226635
2022-06-27,39.548107
2022-06-28,47.334835
2022-06-29,42.945923
2022-06-30,40.81242
2022-07-01,39.793842
2022-07-04,42.159992
2022-07-05,39.11435
2022-07-06,49.897827
2022-07-07,39.578033
2022-07-08,49.778328
2022-07-11,36.703987
2022-07-12,37.517094
2022-07-13,35.959316
2022-07-14,48.79057
2022-07-15,36.284203
2022-07-18,39.109394
2022-07-19,31.09906
2022-07-20,32.389565
2022-07-21,33.8986
2022-07-22,38.0289
2022-07-25,39.01754
2022-07-26,52.636986
2022-07-27,48.432877
2022-07-28,44.495705
2022-07-29,41.876564
2022-08-01,49.5281
2022-08-02,49.148647
2022-08-03,43.502396
2022-08-04,42.9701
2022-08-05,42.104244
2022-08-08,40.01688
2022-08-10,50.390305
2022-08-11,40.653507
2022-08-12,38.351406
2022-08-16,40.62252
2022-08-17,36.762394
2022-08-18,39.269897
2022-08-19,37.378185
2022-08-22,34.335888
2022-08-23,30.785362
2022-08-24,40.979183
2022-08-25,36.83975
2022-08-26,36.94887
2022-08-29,34.62206
2022-08-30,33.829987
2022-09-01,35.667305
2022-09-02,35.850883
2022-09-05,37.902615
2022-09-06,39.02486
2022-09-07,38.804752
2022-09-08,40.82279
2022-09-09,40.605194
2022-09-12,45.320515
2022-09-13,47.290592
2022-09-14,44.118187
2022-09-15,44.73637
2022-09-16,50.525833
2022-09-19,49.73552
2022-09-20,43.16228
2022-09-21,41.44209
2022-09-22,45.81233
2022-09-23,39.641136
2022-09-26,30.16143
2022-09-27,49.200115
2022-09-28,52.2318
2022-09-29,38.27551
2022-09-30,47.137566
2022-10-03,38.631104
2022-10-04,37.748978
2022-10-06,36.67842
2022-10-07,34.93649
2022-10-10,35.82311
2022-10-11,38.08345
2022-10-12,37.401382
2022-10-13,37.666588
2022-10-14,33.519318
2022-10-17,34.548798
2022-10-18,35.12979
2022-10-19,34.47904
2022-10-20,32.243
2022-10-21,28.611467
2022-10-24,37.180096
2022-10-25,41.786385
2022-10-27,46.443005
2022-10-28,40.27631
2022-10-31,45.981335
2022-11-01,39.134304
2022-11-02,39.4731
2022-11-03,36.87246
2022-11-04,37.27678
2022-11-07,40.919006
2022-11-09,38.7043
2022-11-10,36.655716
2022-11-11,36.01408
2022-11-14,38.995956
2022-11-15,39.09294
2022-11-16,33.58777
2022-11-17,31.37953
2022-11-18,23.358755
2022-11-21,32.09214
2022-11-22,30.564054
2022-11-23,48.39992
2022-11-24,30.01944
2022-11-25,33.807068
2022-11-28,35.029514
2022-11-29,35.52957
2022-11-30,35.180843
2022-12-01,33.94891
2022-12-02,35.210556
2022-12-05,36.70387
2022-12-06,36.8675
2022-12-07,36.90022
2022-12-08,35.409393
2022-12-09,33.517147
2022-12-12,33.671577
2022-12-13,34.797848
2022-12-14,34.17089
2022-12-15,31.135588
2022-12-16,28.813074
2022-12-19,32.734264
2022-12-20,29.724955
2022-12-21,30.119558
2022-12-22,25.048523
2022-12-23,27.227196
2022-12-26,28.432888
2022-12-27,23.630924
2022-12-28,28.199575
2022-12-29,32.61895
2022-12-30,31.091866
2023-01-02,33.094357
2023-01-03,33.77369
2023-01-04,33.393826
2023-01-05,32.834778
2023-01-06,31.47759
2023-01-09,31.46318
2023-01-10,30.872135
2023-01-11,34.297688
2023-01-12,33.33119
2023-01-13,30.65676
2023-01-16,31.043924
2023-01-17,30.70323
2023-01-18,30.690895
2023-01-19,27.508265
2023-01-20,23.482452
2023-01-23,33.803764
2023-01-24,32.114975
2023-01-25,32.661892
2023-01-27,44.17184
2023-01-30,40.596127
2023-01-31,34.02175
2023-02-01,39.228947
2023-02-02,40.74564
2023-02-03,36.66948
2023-02-06,33.836174
2023-02-07,35.051308
2023-02-08,31.039648
2023-02-09,31.898901
2023-02-10,31.083668
2023-02-13,31.734495
2023-02-14,28.632298
2023-02-15,30.113531
2023-02-16,30.634918
2023-02-17,23.202627
2023-02-20,29.951006
2023-02-21,34.735718
2023-02-22,32.47683
2023-02-23,27.914213
2023-02-24,28.18885
2023-02-27,42.362034
2023-02-28,28.933867
2023-03-01,29.173126
2023-03-02,29.480625
2023-03-03,26.249418
2023-03-06,26.806896
2023-03-08,29.063519
2023-03-09,28.568647
2023-03-10,27.811628
2023-03-13,31.032585
2023-03-14,29.292763
2023-03-15,30.044298
2023-03-16,29.39956
2023-03-17,30.33886
2023-03-20,36.12917
2023-03-21,32.906345
2023-03-22,36.994755
2023-03-23,30.549564
2023-03-24,36.27294
2023-03-27,45.80424
2023-03-28,44.641228
2023-03-29,29.724363
2023-03-31,28.41953
2023-04-03,29.017303
2023-04-05,30.457169
2023-04-06,30.394297
2023-04-10,31.384533
2023-04-11,30.410072
2023-04-12,30.242464
2023-04-13,29.66073
2023-04-17,37.103256
2023-04-18,36.02834
2023-04-19,34.277763
2023-04-20,33.27041
2023-04-21,24.71431
2023-04-24,29.605913
2023-04-25,26.774414
2023-04-26,37.91473
2023-04-27,43.36652
2023-04-28,28.77202
2023-05-02,31.589937
2023-05-03,30.491179
2023-05-04,30.931139
2023-05-05,31.206528
2023-05-08,34.655502
2023-05-09,36.446438
2023-05-10,36.92018
2023-05-11,32.98623
2023-05-12,29.72819
2023-05-15,29.6704
2023-05-16,26.529928
2023-05-17,26.938969
2023-05-18,25.509329
2023-05-19,28.125616
2023-05-22,30.349102
2023-05-23,38.727592
2023-05-24,30.590225
2023-05-25,27.440042
2023-05-26,27.463934
2023-05-29,27.630474
2023-05-30,28.14572
2023-05-31,27.474842
2023-06-01,26.179344
2023-06-02,28.17589
2023-06-05,27.619081
2023-06-06,27.950644
2023-06-07,27.14499
2023-06-08,26.807636
2023-06-09,28.92187
2023-06-12,32.230038
2023-06-13,34.46792
2023-06-14,36.02259
2023-06-15,34.94975
2023-06-16,33.315147
2023-06-19,37.433083
2023-06-20,37.206238
2023-06-21,38.441204
2023-06-22,35.04346
2023-06-23,26.80228
2023-06-26,46.867252
2023-06-27,35.871353
2023-06-28,31.644083
2023-06-30,35.043674
2023-07-03,35.59265
2023-07-04,35.754524
2023-07-05,35.456196
2023-07-06,35.219913
2023-07-07,36.379272
2023-07-10,35.467278
2023-07-11,36.436295
2023-07-12,38.216778
2023-07-13,34.96054
2023-07-14,36.37691
2023-07-17,37.07437
2023-07-18,37.831215
2023-07-19,35.45917
2023-07-20,36.548653
2023-07-21,35.501667
2023-07-24,43.50221
2023-07-25,50.23045
2023-07-26,52.690754
2023-07-27,41.49928
2023-07-28,34.989544
2023-07-31,35.96174
2023-08-01,34.788677
2023-08-02,34.867996
2023-08-03,32.764816
2023-08-04,34.399315
2023-08-07,31.968046
2023-08-08,31.254232
2023-08-09,32.70065
2023-08-10,33.336708
2023-08-11,31.865055
2023-08-14,40.554077
2023-08-16,26.406776
2023-08-17,27.781336
2023-08-18,25.378035
2023-08-21,25.487366
2023-08-22,25.619492
2023-08-23,26.64507
2023-08-24,30.563873
2023-08-25,22.26675
2023-08-28,29.439177
2023-08-29,27.899443
