date,iv_atm
2017-07-04,24.49707
2017-07-05,23.964844
2017-07-06,21.655273
2017-07-07,24.821705
2017-07-10,24.199219
2017-07-11,25.08789
2017-07-12,28.02246
2017-07-13,28.160843
2017-07-14,27.060547
2017-07-17,33.710938
2017-07-18,28.710938
2017-07-19,24.765625
2017-07-20,25.205078
2017-07-21,23.466797
2017-07-24,26.777344
2017-07-25,27.597656
2017-07-27,21.245117
2017-07-28,21.367188
2017-07-31,21.376953
2017-08-01,22.416992
2017-08-02,22.661133
2017-08-03,21.855469
2017-08-04,22.875977
2017-08-07,22.177734
2017-08-08,22.555803
2017-08-09,24.467773
2017-08-10,21.90918
2017-08-11,24.467773
2017-08-14,32.539062
2017-08-16,21.84082
2017-08-17,22.646484
2017-08-18,21.68457
2017-08-21,24.394531
2017-08-22,22.978516
2017-08-23,19.902344
2017-08-24,17.382812
2017-08-28,22.929688
2017-08-29,24.726562
2017-08-30,21.445312
2017-08-31,21.601562
2017-09-01,17.910156
2017-09-04,22.763672
2017-09-05,21.225586
2017-09-06,21.40625
2017-09-07,21.427307
2017-09-08,21.00726
2017-09-11,21.518555
2017-09-12,22.695312
2017-09-13,21.855469
2017-09-14,21.425781
2017-09-15,18.989258
2017-09-18,21.40625
2017-09-19,20.751953
2017-09-20,20.908203
2017-09-21,21.16211
2017-09-22,25.605469
2017-09-25,32.16797
2017-09-26,31.5625
2017-09-27,35.751846
2017-09-28,27.314453
2017-09-29,25.449219
2017-10-03,24.586061
2017-10-04,25.063477
2017-10-05,23.95061
2017-10-06,24.179688
2017-10-09,24.594727
2017-10-10,26.640625
2017-10-11,24.453125
2017-10-12,26.762695
2017-10-13,27.895508
2017-10-16,30.410156
2017-10-17,26.00586
2017-10-18,21.197214
2017-10-23,27.519531
2017-10-24,29.492188
2017-10-25,31.280724
2017-10-26,23.720703
2017-10-27,20.9375
2017-10-30,22.490234
2017-10-31,22.231445
2017-11-01,22.392578
2017-11-02,21.50879
2017-11-03,20.512695
2017-11-06,21.809864
2017-11-07,23.486328
2017-11-08,24.072266
2017-11-09,23.745117
2017-11-10,19.394531
2017-11-13,21.884766
2017-11-14,25.805664
2017-11-15,24.276987
2017-11-16,23.901367
2017-11-17,24.311523
2017-11-20,26.210938
2017-11-21,25.029297
2017-11-22,32.822266
2017-11-23,25.615234
2017-11-24,22.001953
2017-11-27,26.894531
2017-11-28,25.257956
2017-11-29,29.257812
2017-11-30,20.629883
2017-12-01,21.333008
2017-12-04,21.4152
2017-12-05,21.227295
2017-12-06,21.254883
2017-12-07,20.644531
2017-12-08,21.464844
2017-12-11,22.47032
2017-12-12,20.292969
2017-12-13,24.238281
2017-12-14,24.301758
2017-12-15,23.691406
2017-12-18,23.632812
2017-12-19,21.432367
2017-12-20,22.373047
2017-12-21,20.927734
2017-12-22,17.74414
2017-12-26,28.359375
2017-12-27,23.535156
2017-12-28,20.395508
2017-12-29,20.260225
2018-01-01,23.300781
2018-01-02,22.984901
2018-01-03,24.277344
2018-01-04,22.954102
2018-01-05,22.27213
2018-01-08,23.930664
2018-01-09,24.189453
2018-01-10,24.797396
2018-01-11,23.881836
2018-01-12,24.072266
2018-01-15,26.640625
2018-01-16,26.220703
2018-01-17,24.248047
2018-01-18,24.335938
2018-01-19,18.496094
2018-01-22,23.03711
2018-01-23,23.417969
2018-01-24,18.867188
2018-01-25,26.279297
2018-01-29,28.144531
2018-01-30,26.044922
2018-01-31,26.777344
2018-02-01,24.394531
2018-02-02,28.232422
2018-02-05,28.842773
2018-02-06,34.804688
2018-02-07,33.758934
