date,iv_atm
2017-07-04,21.855469
2017-07-05,20.664062
2017-07-06,21.146868
2017-07-07,21.16211
2017-07-10,21.113281
2017-07-11,21.409521
2017-07-12,21.777344
2017-07-13,21.80664
2017-07-14,20.703125
2017-07-17,22.773438
2017-07-18,24.707031
2017-07-19,25.351562
2017-07-20,25.605469
2017-07-21,30.898438
2017-07-24,45.76172
2017-07-25,43.515625
2017-07-27,19.091797
2017-07-28,18.544922
2017-07-31,19.111328
2017-08-01,18.720703
2017-08-02,18.185867
2017-08-03,17.718536
2017-08-04,16.396313
2017-08-07,17.143555
2017-08-08,17.5
2017-08-09,19.18644
2017-08-10,20.175781
2017-08-11,21.220703
2017-08-14,19.944939
2017-08-16,20.3125
2017-08-17,19.970703
2017-08-18,19.648438
2017-08-21,20.820312
2017-08-22,20.185375
2017-08-23,19.384766
2017-08-24,16.55206
2017-08-28,20.058594
2017-08-29,24.375
2017-08-30,23.632812
2017-08-31,19.697266
2017-09-01,20.888672
2017-09-04,23.164062
2017-09-05,22.88086
2017-09-06,22.128906
2017-09-07,21.660156
2017-09-08,21.09375
2017-09-11,22.333984
2017-09-12,20.273438
2017-09-13,20.090233
2017-09-14,21.220703
2017-09-15,20.429688
2017-09-18,20.3125
2017-09-19,19.814453
2017-09-20,20.195312
2017-09-21,20.644531
2017-09-22,20.703125
2017-09-25,22.324219
2017-09-26,27.03125
2017-09-27,26.601562
2017-09-28,23.613281
2017-09-29,22.509766
2017-10-03,24.819336
2017-10-04,24.550781
2017-10-05,24.892578
2017-10-06,23.59375
2017-10-09,24.44336
2017-10-10,27.519531
2017-10-11,28.183594
2017-10-12,27.646484
2017-10-13,26.269531
2017-10-16,29.589844
2017-10-17,25.878494
2017-10-18,28.144531
2017-10-23,41.23047
2017-10-24,42.8125
2017-10-25,39.726562
2017-10-26,20.86914
2017-10-27,19.355469
2017-10-30,19.101562
2017-10-31,19.140625
2017-11-01,19.013672
2017-11-02,19.296875
2017-11-03,19.179688
2017-11-06,19.863579
2017-11-07,21.78711
2017-11-08,22.460938
2017-11-09,24.746094
2017-11-10,21.523438
2017-11-13,21.347656
2017-11-14,21.904297
2017-11-15,21.738281
2017-11-16,21.279297
2017-11-17,23.484636
2017-11-20,23.535156
2017-11-21,22.998047
2017-11-22,22.617188
2017-11-23,21.25
2017-11-24,20.751953
2017-11-27,24.316406
2017-11-28,25.507812
2017-11-29,28.75
2017-11-30,21.5625
2017-12-01,19.765625
2017-12-04,22.578125
2017-12-05,21.02539
2017-12-06,20.888672
2017-12-07,21.63086
2017-12-08,21.298828
2017-12-11,22.623543
2017-12-12,24.316406
2017-12-13,25.146484
2017-12-14,25.263672
2017-12-15,23.478838
2017-12-18,20.898438
2017-12-19,19.492188
2017-12-20,20.302734
2017-12-21,19.414062
2017-12-22,18.90625
2017-12-26,24.445354
2017-12-27,27.65625
2017-12-28,20.629883
2017-12-29,20.78125
2018-01-01,22.045898
2018-01-02,23.515625
2018-01-03,22.1875
2018-01-04,23.164062
2018-01-05,22.734375
2018-01-08,23.642578
2018-01-09,23.730469
2018-01-10,25.273438
2018-01-11,24.267426
2018-01-12,24.013317
2018-01-15,26.660156
2018-01-16,26.933594
2018-01-17,26.621094
2018-01-18,28.90625
2018-01-19,29.785156
2018-01-22,47.070312
2018-01-23,33.828125
2018-01-24,33.551067
2018-01-25,21.425781
2018-01-29,21.992188
2018-01-30,22.802734
2018-01-31,22.304688
2018-02-01,20.810547
2018-02-02,21.308594
2018-02-05,23.808594
2018-02-06,25.250721
2018-02-07,25.742188
2018-02-08,23.027344
2018-02-09,24.742207
2018-02-12,23.261719
2018-02-14,22.421875
2018-02-15,21.289062
2018-02-16,18.134766
2018-02-19,23.652344
2018-02-20,30.3125
2018-02-21,32.773438
2018-02-22,19.233398
2018-02-23,19.628906
2018-02-26,20.234375
2018-02-27,19.570312
2018-02-28,18.232422
2018-03-01,18.916016
2018-03-05,18.710938
2018-03-06,19.355469
2018-03-07,19.737072
2018-03-08,18.173828
2018-03-09,19.033203
2018-03-12,18.173828
2018-03-13,18.310547
2018-03-14,17.41211
2018-03-15,18.300781
2018-03-16,18.027344
2018-03-19,21.230469
2018-03-20,20.184465
2018-03-21,19.726562
2018-03-22,18.59375
2018-03-23,19.0625
2018-03-26,24.414062
2018-03-27,22.265625
2018-03-28,19.589844
2018-04-02,19.580078
2018-04-03,19.628906
2018-04-04,21.396484
2018-04-05,20.512445
2018-04-06,19.902344
2018-04-09,22.714844
2018-04-10,22.58789
2018-04-11,22.348894
2018-04-12,21.82563
2018-04-13,20.673828
2018-04-16,23.085938
2018-04-17,20.722656
2018-04-18,17.751146
2018-04-19,18.614756
2018-04-20,16.853848
2018-04-23,23.652344
2018-04-24,23.515625
2018-04-25,20.585938
2018-04-26,21.44043
2018-04-27,21.279297
2018-04-30,22.15332
2018-05-02,24.174805
2018-05-03,24.487305
2018-05-04,24.038086
2018-05-07,25.234375
2018-05-08,25.722656
2018-05-09,25.634766
2018-05-10,25.800781
2018-05-11,23.115234
2018-05-14,22.060547
2018-05-15,20.173916
2018-05-16,20.761719
2018-05-17,20.04653
2018-05-18,21.533203
2018-05-21,22.832031
2018-05-22,21.5625
2018-05-23,21.054688
2018-05-24,21.25
2018-05-25,21.171875
2018-05-28,26.464844
2018-05-29,27.363281
2018-05-30,25.0
2018-05-31,19.711914
2018-06-01,20.297852
2018-06-04,22.470703
2018-06-05,21.16211
2018-06-06,21.00586
2018-06-07,20.654297
2018-06-08,20.800781
2018-06-11,20.566406
2018-06-12,20.634766
2018-06-13,19.94341
2018-06-14,19.345703
2018-06-15,18.97461
2018-06-18,20.829268
2018-06-19,21.484375
2018-06-20,20.585938
2018-06-21,20.195312
2018-06-22,17.952806
2018-06-25,22.441406
2018-06-26,26.054688
2018-06-27,24.023438
2018-06-28,20.493164
2018-06-29,20.874023
2018-07-02,23.271484
2018-07-03,24.384766
2018-07-04,24.091797
2018-07-05,23.769531
2018-07-06,24.257812
2018-07-09,27.265625
2018-07-10,25.932617
2018-07-11,26.269531
2018-07-12,26.523438
2018-07-13,27.207031
2018-07-16,32.94922
2018-07-17,34.179688
2018-07-18,36.210938
2018-07-19,37.128906
2018-07-20,37.041016
2018-07-23,52.246094
2018-07-24,81.328125
2018-07-25,37.558594
2018-07-26,21.640625
2018-07-27,21.010742
2018-07-30,21.699219
2018-07-31,21.911425
2018-08-01,22.149626
2018-08-02,22.124023
2018-08-03,21.84082
2018-08-06,21.293945
2018-08-07,23.54004
2018-08-08,23.50586
2018-08-09,23.237305
2018-08-10,23.300781
2018-08-13,25.3125
2018-08-14,24.208984
2018-08-16,25.22461
2018-08-17,23.03711
2018-08-20,26.16211
2018-08-21,25.136719
2018-08-23,24.0625
2018-08-24,22.558594
2018-08-27,25.78125
2018-08-28,28.710938
2018-08-29,25.664062
2018-08-30,21.035156
2018-08-31,20.810547
2018-09-03,22.597656
2018-09-04,23.691406
2018-09-05,23.291016
2018-09-06,23.19336
2018-09-07,21.455078
2018-09-10,24.765625
2018-09-11,24.091797
2018-09-12,21.972656
2018-09-14,22.43164
2018-09-17,23.876835
2018-09-18,22.910156
2018-09-19,22.177734
2018-09-21,26.640625
2018-09-24,32.96875
2018-09-25,29.84375
2018-09-26,30.507812
2018-09-27,24.53125
2018-09-28,28.77551
2018-10-01,27.578125
2018-10-03,31.16211
2018-10-04,33.45215
2018-10-05,34.101562
2018-10-08,35.444656
2018-10-09,41.445312
2018-10-10,38.912815
2018-10-11,37.958984
2018-10-12,34.673153
2018-10-15,41.464844
2018-10-16,36.89453
2018-10-17,34.384766
2018-10-19,42.36328
2018-10-22,60.46875
2018-10-23,41.445312
2018-10-24,40.273438
2018-10-25,26.865234
2018-10-26,26.640625
2018-10-29,26.16211
2018-10-30,25.722656
2018-10-31,24.663086
2018-11-01,24.677734
2018-11-02,24.106445
2018-11-05,25.27832
2018-11-06,23.115234
2018-11-09,23.847656
2018-11-12,24.404297
2018-11-13,24.716797
2018-11-14,24.628906
2018-11-15,23.52539
2018-11-16,23.105469
2018-11-19,24.726562
2018-11-20,25.175781
2018-11-21,23.173828
2018-11-22,20.136719
2018-11-26,26.447445
2018-11-27,23.911476
2018-11-28,25.625
2018-11-29,23.073421
2018-11-30,23.466797
2018-12-03,25.498047
2018-12-04,24.345703
2018-12-05,25.15625
2018-12-06,27.294922
2018-12-07,25.019531
2018-12-10,28.66211
2018-12-11,26.298828
2018-12-12,23.886719
