date,iv_atm
2021-10-29,38.80009
2021-11-01,36.801334
2021-11-02,38.407227
2021-11-03,37.35223
2021-11-04,44.231155
2021-11-08,37.889076
2021-11-09,38.329353
2021-11-10,38.960453
2021-11-11,37.080322
2021-11-12,39.44402
2021-11-15,35.687836
2021-11-16,38.767662
2021-11-17,36.437145
2021-11-18,38.469707
2021-11-22,40.07647
2021-11-23,51.035587
2021-11-24,39.198296
2021-11-25,38.283188
2021-11-26,39.156784
2021-11-29,39.961742
2021-11-30,40.796146
2021-12-01,38.230427
2021-12-02,38.809803
2021-12-03,40.612045
2021-12-06,40.986103
2021-12-07,38.338837
2021-12-08,38.147274
2021-12-09,39.599724
2021-12-10,39.423676
2021-12-13,39.140736
2021-12-14,39.679115
2021-12-15,37.663372
2021-12-16,40.84964
2021-12-17,39.920925
2021-12-20,38.050713
2021-12-21,37.4943
2021-12-22,38.907356
2021-12-23,39.799942
2021-12-24,39.36512
2021-12-27,35.3283
2021-12-28,39.60619
2021-12-29,38.978
2021-12-30,37.84347
2021-12-31,37.701477
2022-01-03,35.71541
2022-01-04,36.101505
2022-01-05,35.783005
2022-01-06,36.95719
2022-01-07,35.86822
2022-01-10,36.324368
2022-01-11,37.909172
2022-01-12,34.78574
2022-01-13,36.72678
2022-01-14,36.752377
2022-01-17,38.10077
2022-01-18,40.63587
2022-01-19,34.686714
2022-01-20,39.202927
2022-01-21,37.150013
2022-01-24,40.57474
2022-01-25,38.85889
2022-01-27,37.78931
2022-01-28,37.034332
2022-01-31,35.63171
2022-02-01,41.062546
2022-02-02,39.238277
2022-02-03,38.879208
2022-02-04,39.607
2022-02-07,35.9271
2022-02-08,38.673862
2022-02-09,38.74359
2022-02-10,40.364956
2022-02-11,36.777298
2022-02-14,42.698715
2022-02-15,38.89191
2022-02-16,41.554493
2022-02-17,42.094643
2022-02-18,39.360126
2022-02-21,37.95702
2022-02-22,39.332264
2022-02-23,38.665688
2022-02-24,42.373814
2022-02-25,42.206448
2022-02-28,41.38344
2022-03-02,41.19539
2022-03-03,44.49944
2022-03-04,38.33884
2022-03-07,43.417637
2022-03-08,44.300907
2022-03-09,36.840374
2022-03-10,37.27613
2022-03-11,32.596764
2022-03-14,36.28644
2022-03-15,40.03978
2022-03-16,43.317524
2022-03-17,40.777187
2022-03-21,40.154167
2022-03-22,39.689
2022-03-23,43.104633
2022-03-24,36.175217
2022-03-25,55.833527
2022-03-28,53.874607
2022-03-29,35.764122
2022-03-30,34.692635
2022-03-31,37.063248
2022-04-01,41.84565
2022-04-04,35.211025
2022-04-05,38.21273
2022-04-06,39.56496
2022-04-07,33.97037
2022-04-08,40.443172
2022-04-11,39.72972
2022-04-12,40.242443
2022-04-13,41.14459
2022-04-18,41.787083
2022-04-19,41.162876
2022-04-20,42.026756
2022-04-21,38.999973
2022-04-22,39.626328
2022-04-25,40.59318
2022-04-26,35.012344
2022-04-27,45.920612
2022-04-28,36.025703
2022-04-29,47.199837
2022-05-02,37.185593
2022-05-04,45.30378
2022-05-05,37.63533
2022-05-06,44.203236
2022-05-09,47.368576
2022-05-10,42.702232
2022-05-11,41.937576
2022-05-12,43.195675
2022-05-13,41.359776
2022-05-16,39.392582
2022-05-17,39.467102
2022-05-18,38.557575
