date,iv_atm
2021-02-26,0.0048828125
2021-03-01,42.060547
2021-03-02,55.40039
2021-03-03,0.3125
2021-03-04,51.401367
2021-03-05,37.08008
2021-03-08,55.88867
2021-03-09,53.652344
2021-03-10,53.740234
2021-03-12,46.393314
2021-03-15,49.716797
2021-03-16,43.066406
2021-03-17,47.285156
2021-03-18,45.585938
2021-03-19,46.35742
2021-03-22,29.238281
2021-03-23,61.367188
2021-03-24,49.101562
2021-03-25,0.625
2021-03-26,40.410156
2021-03-30,53.271484
2021-03-31,45.810547
2021-04-01,41.689453
2021-04-05,43.33008
2021-04-06,56.868122
2021-04-07,45.546875
2021-04-08,45.29297
2021-04-09,51.259766
2021-04-12,54.28711
2021-04-13,60.38086
2021-04-15,64.4043
2021-04-16,60.38086
2021-04-19,58.808594
2021-04-20,69.02344
2021-04-22,133.33984
2021-04-23,74.375
2021-04-26,67.77344
2021-04-27,99.23828
2021-04-28,273.08594
2021-04-29,0.15625
2021-04-30,55.44922
2021-05-03,56.601562
2021-05-04,54.19922
2021-05-05,51.748047
2021-05-06,47.597656
2021-05-07,48.617958
2021-05-10,48.027344
2021-05-11,46.289062
2021-05-12,45.884758
2021-05-14,43.50586
2021-05-17,43.828125
2021-05-18,45.859375
2021-05-19,47.65625
2021-05-20,39.804688
2021-05-21,31.523438
2021-05-24,49.21875
2021-05-25,37.539062
2021-05-26,39.0625
2021-05-27,44.003906
2021-05-28,43.535156
2021-05-31,42.753906
2021-06-01,43.01758
2021-06-02,40.595703
2021-06-03,41.464844
2021-06-04,36.04492
2021-06-07,42.714798
2021-06-08,43.408203
2021-06-09,41.347656
2021-06-10,43.896484
2021-06-11,50.80078
2021-06-14,51.367188
2021-06-15,51.350857
2021-06-16,47.989887
2021-06-17,44.452362
2021-06-18,30.312656
2021-06-21,52.256454
2021-06-22,46.82903
2021-06-23,48.017563
2021-06-24,37.728863
2021-06-25,26.073885
2021-06-28,36.38676
2021-06-29,38.254585
2021-06-30,38.073986
2021-07-01,36.73158
2021-07-02,36.014355
2021-07-05,38.481266
2021-07-06,37.450626
2021-07-07,36.501934
2021-07-08,38.10167
2021-07-09,38.188934
2021-07-12,38.68711
2021-07-13,38.273003
2021-07-14,35.251934
2021-07-15,38.135307
2021-07-16,35.842014
2021-07-19,37.169704
2021-07-20,36.45399
2021-07-22,42.697243
2021-07-23,33.50143
2021-07-26,40.603024
2021-07-27,39.85366
2021-07-28,41.213715
2021-07-29,55.13564
2021-07-30,39.636646
2021-08-02,42.803158
2021-08-03,43.610573
2021-08-04,44.634792
2021-08-05,46.628197
2021-08-06,45.322144
2021-08-09,42.08117
2021-08-10,39.736633
2021-08-11,40.56549
2021-08-12,39.399563
2021-08-13,37.477795
2021-08-16,38.462215
2021-08-17,38.037304
2021-08-18,36.012096
2021-08-20,36.762417
2021-08-23,41.930367
2021-08-24,48.923027
2021-08-25,40.00232
2021-08-26,41.58481
2021-08-27,39.161266
2021-08-30,41.161057
2021-08-31,54.889786
2021-09-01,53.391273
2021-09-02,50.564
2021-09-03,48.663895
2021-09-06,49.709923
2021-09-07,48.468193
2021-09-08,46.78333
2021-09-09,46.234634
2021-09-13,50.21004
2021-09-14,51.903324
2021-09-15,51.45665
2021-09-16,51.040474
2021-09-17,52.616104
2021-09-20,56.52503
2021-09-21,48.61047
2021-09-22,51.63773
2021-09-23,47.879738
2021-09-24,50.89792
2021-09-27,60.06775
2021-09-28,57.58825
2021-09-29,58.026398
2021-09-30,57.59007
2021-10-01,54.123085
2021-10-04,52.991875
2021-10-05,52.984314
2021-10-06,55.833847
2021-10-07,55.00016
2021-10-08,51.806732
2021-10-11,55.36953
2021-10-12,54.40882
2021-10-13,57.670464
2021-10-14,58.769672
2021-10-18,61.70745
2021-10-19,59.65251
2021-10-20,63.781273
2021-10-21,51.17779
2021-10-22,56.727406
2021-10-25,67.49914
2021-10-26,73.47714
2021-10-27,75.03849
2021-10-28,60.239567
2021-10-29,49.116882
2021-11-01,47.69148
2021-11-02,45.449356
2021-11-03,45.886677
2021-11-04,55.757988
2021-11-08,48.56131
2021-11-09,46.544514
2021-11-10,48.06537
2021-11-11,43.822018
2021-11-12,42.992817
2021-11-15,42.931976
2021-11-16,41.097065
2021-11-17,38.786552
2021-11-18,33.44086
2021-11-22,47.86071
2021-11-23,43.5995
2021-11-24,29.771706
2021-11-25,30.942099
2021-11-26,53.918003
2021-11-29,38.828712
2021-11-30,40.271854
2021-12-01,38.305107
2021-12-02,36.97684
2021-12-03,38.266735
2021-12-06,55.36192
2021-12-07,38.200977
2021-12-08,34.473206
2021-12-09,34.39166
