date,iv_atm
2017-07-04,28.28125
2017-07-05,27.421875
2017-07-06,27.578125
2017-07-07,28.007812
2017-07-10,28.632812
2017-07-11,29.433594
2017-07-12,29.960938
2017-07-13,30.703125
2017-07-14,30.523897
2017-07-17,34.492188
2017-07-18,35.859375
2017-07-19,37.714844
2017-07-20,45.546875
2017-07-21,43.007812
2017-07-24,60.703125
2017-07-25,77.578125
2017-07-27,25.273438
2017-07-28,25.185547
2017-07-31,26.015625
2017-08-01,25.917969
2017-08-02,25.429688
2017-08-03,24.296875
2017-08-04,23.984375
2017-08-07,25.527344
2017-08-08,25.800781
2017-08-09,28.359375
2017-08-10,28.710938
2017-08-11,27.949219
2017-08-14,26.542969
2017-08-16,26.992188
2017-08-17,26.855469
2017-08-18,25.418076
2017-08-21,25.800781
2017-08-22,24.765625
2017-08-23,22.617188
2017-08-24,21.09375
2017-08-28,25.234375
2017-08-29,26.879383
2017-08-30,24.878069
2017-08-31,23.886719
2017-09-01,22.792969
2017-09-04,23.378906
2017-09-05,23.275522
2017-09-06,24.179688
2017-09-07,22.636719
2017-09-08,22.324219
2017-09-11,22.148438
2017-09-12,22.382812
2017-09-13,22.207031
2017-09-14,22.511242
2017-09-15,23.320312
2017-09-18,23.515625
2017-09-19,22.65625
2017-09-20,23.476562
2017-09-21,23.288315
2017-09-22,22.34375
2017-09-25,28.984375
2017-09-26,30.15625
2017-09-27,35.039272
2017-09-28,27.675781
2017-09-29,28.105469
2017-10-03,29.511719
2017-10-04,30.332031
2017-10-05,30.117188
2017-10-06,29.980469
2017-10-09,33.085938
2017-10-10,32.714844
2017-10-11,33.339844
2017-10-12,33.41797
2017-10-13,32.539062
2017-10-16,40.664062
2017-10-17,41.54297
2017-10-18,32.578125
2017-10-23,40.15625
2017-10-24,39.21875
2017-10-25,56.87107
2017-10-26,29.492188
2017-10-27,25.761719
2017-10-30,26.044922
2017-10-31,29.945225
2017-11-01,29.785156
2017-11-02,29.023438
2017-11-03,30.058517
2017-11-06,29.921875
2017-11-07,32.1875
2017-11-08,36.953125
2017-11-09,36.845703
2017-11-10,37.72174
2017-11-13,33.535156
2017-11-14,32.910156
2017-11-15,33.476562
2017-11-16,30.898438
2017-11-17,30.761719
2017-11-20,32.239563
2017-11-21,31.582031
2017-11-22,29.758324
2017-11-23,30.664062
2017-11-24,30.742188
2017-11-27,35.234375
2017-11-28,32.734375
2017-11-29,29.84375
2017-11-30,30.205078
2017-12-01,29.375
2017-12-04,29.345703
2017-12-05,29.335938
2017-12-06,28.964844
2017-12-07,27.402344
2017-12-08,26.972656
2017-12-11,27.265625
2017-12-12,29.726562
2017-12-13,31.875
2017-12-14,32.851562
2017-12-15,29.609375
2017-12-18,27.81944
2017-12-19,25.234375
2017-12-20,24.6875
2017-12-21,25.488281
2017-12-22,23.59375
2017-12-26,33.007812
2017-12-27,35.97718
2017-12-28,26.8361
2017-12-29,29.53125
2018-01-01,29.765625
2018-01-02,30.49907
2018-01-03,30.323156
2018-01-04,30.833864
2018-01-05,30.878906
2018-01-08,32.67578
2018-01-09,33.73047
2018-01-10,34.70703
2018-01-11,35.273438
2018-01-12,36.484375
