date,iv_atm
2017-07-04,21.105957
2017-07-05,20.476074
2017-07-06,21.430664
2017-07-07,20.039062
2017-07-10,21.84082
2017-07-11,22.404785
2017-07-12,23.769531
2017-07-13,22.939453
2017-07-14,23.076172
2017-07-17,25.197367
2017-07-18,25.763115
2017-07-19,28.081055
2017-07-20,22.998047
2017-07-21,19.25293
2017-07-24,22.050781
2017-07-25,23.808594
2017-07-27,19.75586
2017-07-28,17.858887
2017-07-31,18.50586
2017-08-01,19.838867
2017-08-02,18.354492
2017-08-03,16.501465
2017-08-04,17.277832
2017-08-07,18.598633
2017-08-08,22.875977
2017-08-09,22.346191
2017-08-10,22.578125
2017-08-11,21.887207
2017-08-14,22.851562
2017-08-16,22.46582
2017-08-17,22.392578
2017-08-18,20.135061
2017-08-21,20.854492
2017-08-22,21.362167
2017-08-23,18.69629
2017-08-24,18.701172
2017-08-28,28.789062
2017-08-29,28.97461
2017-08-30,22.197266
2017-08-31,21.054688
2017-09-01,21.728516
2017-09-04,23.554688
2017-09-05,22.86377
2017-09-06,23.457031
2017-09-07,23.17871
2017-09-08,24.09668
2017-09-11,22.5
2017-09-12,22.592773
2017-09-13,21.679688
2017-09-14,21.342773
2017-09-15,22.402344
2017-09-18,25.039062
2017-09-19,24.499193
2017-09-20,22.832031
2017-09-21,23.388672
2017-09-22,23.515625
2017-09-25,30.664062
2017-09-26,33.847656
2017-09-27,30.488281
2017-09-28,22.980957
2017-09-29,25.180664
2017-10-03,24.6875
2017-10-04,25.12207
2017-10-05,25.19043
2017-10-06,23.484745
2017-10-09,25.426195
2017-10-10,28.701172
2017-10-11,28.857422
2017-10-12,28.745117
2017-10-13,28.38379
2017-10-16,28.413086
2017-10-17,23.49121
2017-10-18,20.629883
2017-10-23,24.384766
2017-10-24,24.023438
2017-10-25,22.207031
2017-10-26,20.222168
2017-10-27,20.195312
2017-10-30,21.750244
2017-10-31,22.023407
2017-11-01,22.802734
2017-11-02,23.613281
2017-11-03,21.484375
2017-11-06,22.766188
2017-11-07,21.865234
2017-11-08,20.515137
2017-11-09,20.012207
2017-11-10,19.555664
2017-11-13,21.652832
2017-11-14,21.887207
2017-11-15,22.895508
2017-11-16,21.635742
2017-11-17,21.96289
2017-11-20,22.231445
2017-11-21,21.870117
2017-11-22,23.95996
2017-11-23,21.206055
2017-11-24,23.291016
2017-11-27,25.615234
2017-11-28,30.546875
2017-11-29,30.3125
2017-11-30,24.34082
2017-12-01,28.146973
2017-12-04,22.363281
2017-12-05,21.564941
2017-12-06,22.368164
2017-12-07,22.563477
2017-12-08,22.341309
2017-12-11,22.531738
2017-12-12,23.22754
2017-12-13,24.96582
2017-12-14,25.317383
2017-12-15,24.482422
2017-12-18,23.02246
2017-12-19,23.457031
2017-12-20,22.09961
2017-12-21,20.97168
2017-12-22,22.201504
2017-12-26,24.726562
2017-12-27,30.820312
2017-12-28,21.691895
2017-12-29,21.850586
2018-01-01,23.154297
2018-01-02,23.759472
2018-01-03,23.125
2018-01-04,21.577148
2018-01-05,21.16211
2018-01-08,21.523438
2018-01-09,21.882324
2018-01-10,21.78711
2018-01-11,21.992188
2018-01-12,21.552734
2018-01-15,21.197565
2018-01-16,22.773933
2018-01-17,22.609135
2018-01-18,21.433393
2018-01-19,18.09082
2018-01-22,27.41211
2018-01-23,28.554688
2018-01-24,39.08203
2018-01-25,25.466309
2018-01-29,28.513184
2018-01-30,27.573242
2018-01-31,26.621094
2018-02-01,25.704376
2018-02-02,30.493164
2018-02-05,27.165527
