date,iv_atm
2017-07-04,137.50732
2017-07-05,24.438477
2017-07-06,26.027832
2017-07-07,45.925293
2017-07-10,163.3252
2017-07-11,166.46973
2017-07-12,45.861816
2017-07-13,30.078125
2017-07-14,25.576172
2017-07-17,82.84912
2017-07-18,140.31738
2017-07-19,43.657227
2017-07-20,28.166504
2017-07-21,46.157227
2017-07-24,29.047852
2017-07-25,362.7539
2017-07-27,160.05371
2017-07-28,162.4585
2017-07-31,25.699492
2017-08-01,22.209473
2017-08-02,26.570908
2017-08-03,22.089844
2017-08-04,23.682861
2017-08-07,28.773165
2017-08-08,179.91455
2017-08-09,70.23193
2017-08-10,40.690918
2017-08-11,28.942871
2017-08-14,51.376953
2017-08-16,28.669434
2017-08-17,32.175293
2017-08-18,27.436523
2017-08-21,25.91539
2017-08-22,70.83984
2017-08-23,304.8755
2017-08-24,38.881836
2017-08-28,54.780273
2017-08-29,18.857422
2017-08-30,36.75825
2017-08-31,5.7836914
2017-09-01,6.640625
2017-09-04,29.702148
2017-09-05,25.527344
2017-09-06,29.61646
2017-09-07,19.279785
2017-09-08,31.276855
2017-09-11,175.85938
2017-09-12,31.020508
2017-09-13,12.133789
2017-09-14,29.643555
2017-09-15,30.356445
2017-09-18,253.95508
2017-09-19,269.1089
2017-09-20,22.206427
2017-09-21,26.870117
2017-09-22,8.457031
2017-09-25,19.208984
2017-09-26,34.604492
2017-09-27,35.84961
2017-09-28,34.77295
2017-09-29,29.47754
2017-10-03,40.932617
2017-10-04,32.868652
2017-10-05,31.235352
2017-10-06,33.477783
2017-10-09,48.22754
2017-10-10,32.46582
2017-10-11,20.90332
2017-10-12,32.336426
2017-10-13,33.94287
2017-10-16,30.39795
2017-10-17,32.18506
2017-10-18,20.117188
2017-10-23,48.49121
2017-10-24,34.248047
2017-10-25,61.14258
2017-10-26,31.020508
2017-10-27,33.63037
2017-10-30,24.782715
2017-10-31,38.409424
2017-11-01,39.70215
2017-11-02,27.03125
2017-11-03,37.089844
2017-11-06,31.425781
2017-11-07,32.39746
2017-11-08,21.61377
2017-11-09,26.486816
2017-11-10,23.613281
2017-11-13,27.543945
2017-11-14,27.836914
2017-11-15,21.733398
2017-11-16,27.76123
2017-11-17,60.600586
