date,iv_atm
2017-07-04,30.22461
2017-07-05,29.111328
2017-07-06,29.707031
2017-07-07,29.873047
2017-07-10,30.371094
2017-07-11,32.43164
2017-07-12,31.71875
2017-07-13,30.009766
2017-07-14,28.554688
2017-07-17,30.654297
2017-07-18,36.914062
2017-07-19,38.14453
2017-07-20,33.059807
2017-07-21,30.332031
2017-07-24,37.226562
2017-07-25,33.55397
2017-07-27,28.266602
2017-07-28,27.481121
2017-07-31,30.031021
2017-08-01,30.121765
2017-08-02,30.742188
2017-08-03,29.995117
2017-08-04,27.841797
2017-08-07,30.53711
2017-08-08,33.66299
2017-08-09,36.171875
2017-08-10,43.339844
2017-08-11,36.267628
2017-08-14,32.60742
2017-08-16,32.63672
2017-08-17,29.277344
2017-08-18,29.628906
2017-08-21,34.589844
2017-08-22,31.582031
2017-08-23,28.19336
2017-08-24,25.615234
2017-08-28,28.999283
2017-08-29,38.007812
2017-08-30,33.007812
2017-08-31,31.171875
2017-09-01,29.144138
2017-09-04,30.205078
2017-09-05,27.65625
2017-09-06,28.955078
2017-09-07,29.84375
2017-09-08,29.018555
2017-09-11,27.890625
2017-09-12,30.839844
2017-09-13,28.779297
2017-09-14,27.675781
2017-09-15,27.236328
2017-09-18,28.883608
2017-09-19,26.738281
2017-09-20,27.138672
2017-09-21,26.71875
2017-09-22,24.980469
2017-09-25,28.671875
2017-09-26,38.828125
2017-09-27,38.359375
2017-09-28,28.710938
2017-09-29,29.541016
2017-10-03,29.21875
2017-10-04,29.598507
2017-10-05,27.734375
2017-10-06,25.371094
2017-10-09,27.695312
2017-10-10,26.240234
2017-10-11,27.597656
2017-10-12,25.859375
2017-10-13,25.15625
2017-10-16,26.152344
2017-10-17,28.090267
2017-10-18,22.988281
2017-10-23,32.65625
2017-10-24,27.890625
2017-10-25,41.875
2017-10-26,34.39453
2017-10-27,30.957031
2017-10-30,33.320312
2017-10-31,33.57422
2017-11-01,34.091797
2017-11-02,34.414062
2017-11-03,34.570312
2017-11-06,37.802734
2017-11-07,40.46875
2017-11-08,35.839844
2017-11-09,33.90625
2017-11-10,31.367188
2017-11-13,31.429062
2017-11-14,31.640215
2017-11-15,30.86393
2017-11-16,32.002193
2017-11-17,30.527344
2017-11-20,37.597656
2017-11-21,30.917969
2017-11-22,35.95703
2017-11-23,29.277344
2017-11-24,28.045769
2017-11-27,33.203125
2017-11-28,33.046875
2017-11-29,31.445312
2017-11-30,29.316406
2017-12-01,28.476562
2017-12-04,28.697481
2017-12-05,28.860312
2017-12-06,30.878906
2017-12-07,27.59854
2017-12-08,25.283684
2017-12-11,27.910156
2017-12-12,28.671875
2017-12-13,26.972656
2017-12-14,32.421875
2017-12-15,29.863281
2017-12-18,29.179688
2017-12-19,28.671875
2017-12-20,25.429688
2017-12-21,27.832031
2017-12-22,28.007812
2017-12-26,32.148438
2017-12-27,30.625
2017-12-28,29.824219
2017-12-29,26.835938
2018-01-01,29.189453
2018-01-02,28.257734
2018-01-03,30.419922
2018-01-04,32.197266
2018-01-05,30.78125
2018-01-08,34.70703
2018-01-09,33.496094
2018-01-10,32.76367
2018-01-11,30.9375
2018-01-12,32.070312
2018-01-15,29.804688
2018-01-16,32.1875
2018-01-17,27.792969
2018-01-18,33.085938
2018-01-19,27.280537
2018-01-22,31.289062
2018-01-23,34.921875
2018-01-24,43.671875
2018-01-25,33.68164
2018-01-29,33.085938
2018-01-30,32.70508
2018-01-31,35.46875
2018-02-01,28.105469
2018-02-02,27.685547
2018-02-05,38.242188
2018-02-06,39.648438
2018-02-07,39.316406
2018-02-08,38.945312
2018-02-09,39.70703
2018-02-12,36.85547
2018-02-14,35.15625
2018-02-15,30.546875
2018-02-16,24.863281
2018-02-19,24.023438
2018-02-20,31.835938
2018-02-21,35.234375
2018-02-22,27.353516
2018-02-23,25.06836
2018-02-26,25.742188
2018-02-27,26.201172
2018-02-28,27.558594
2018-03-01,26.767578
2018-03-05,30.273438
2018-03-06,29.501953
2018-03-07,29.179688
2018-03-08,27.636719
2018-03-09,28.574219
2018-03-12,30.395668
2018-03-13,28.925781
2018-03-14,28.945312
2018-03-15,28.164062
2018-03-16,29.667969
2018-03-19,32.714844
2018-03-20,31.171875
2018-03-21,30.073826
2018-03-22,28.845541
2018-03-23,31.464844
2018-03-26,29.96382
2018-03-27,30.210297
2018-03-28,28.964844
2018-04-02,27.636719
2018-04-03,29.082031
2018-04-04,30.771484
2018-04-05,28.066406
2018-04-06,27.1875
2018-04-09,27.050781
2018-04-10,27.617188
2018-04-11,30.214844
2018-04-12,28.964844
2018-04-13,29.892578
2018-04-16,30.0
2018-04-17,29.628906
2018-04-18,28.671875
2018-04-19,25.683594
2018-04-20,22.148438
2018-04-23,23.632812
2018-04-24,25.46875
2018-04-25,27.5
2018-04-26,25.058594
2018-04-27,25.830078
2018-04-30,29.511719
2018-05-02,28.164062
2018-05-03,28.75
2018-05-04,28.808594
2018-05-07,29.457787
2018-05-08,28.496094
2018-05-09,30.996094
2018-05-10,30.625
2018-05-11,31.239902
2018-05-14,32.646484
2018-05-15,33.847656
2018-05-16,34.73757
2018-05-17,35.629562
2018-05-18,36.816406
2018-05-21,45.15625
2018-05-22,37.578125
2018-05-23,34.66975
2018-05-24,37.734375
2018-05-25,30.15625
2018-05-28,37.304688
2018-05-29,48.359375
2018-05-30,45.78125
2018-05-31,32.558594
2018-06-01,32.695312
2018-06-04,34.160156
2018-06-05,32.67578
2018-06-06,31.660156
2018-06-07,29.199219
2018-06-08,28.945312
2018-06-11,30.253906
2018-06-12,32.460938
2018-06-13,30.332031
2018-06-14,30.332031
2018-06-15,29.121094
2018-06-18,30.703125
2018-06-19,30.820312
2018-06-20,29.375
2018-06-21,34.101562
2018-06-22,28.28125
2018-06-25,37.421875
2018-06-26,35.859375
2018-06-27,40.546875
2018-06-28,31.09375
2018-06-29,30.2171
2018-07-02,35.283203
2018-07-03,30.605469
2018-07-04,29.418127
2018-07-05,33.52539
2018-07-06,28.613281
