date,iv_atm
2017-07-04,65.90088
2017-07-05,66.87012
2017-07-06,21.149902
2017-07-07,14.667969
2017-07-10,26.330566
2017-07-11,16.308594
2017-07-12,18.833008
2017-07-13,21.086426
2017-07-14,21.079102
2017-07-17,19.96582
2017-07-18,25.097656
2017-07-19,27.680664
2017-07-20,23.930664
2017-07-21,11.108398
2017-07-24,16.704102
2017-07-25,12.705078
2017-07-27,24.423828
2017-07-28,24.870605
2017-07-31,25.41504
2017-08-01,22.849121
2017-08-02,21.210938
2017-08-03,19.230957
2017-08-04,22.443848
2017-08-07,11.755371
2017-08-08,21.726074
2017-08-09,14.213867
2017-08-10,13.45459
2017-08-11,28.452148
2017-08-14,25.381857
2017-08-16,25.791016
2017-08-17,22.705078
2017-08-18,24.72168
2017-08-21,24.418945
2017-08-22,17.60254
2017-08-23,24.335938
2017-08-24,19.921875
2017-08-28,18.671875
2017-08-29,12.294922
2017-08-30,25.456905
2017-08-31,24.812012
2017-09-01,123.300385
2017-09-04,18.242188
2017-09-05,135.65343
2017-09-06,138.35953
2017-09-07,20.81543
2017-09-08,18.847656
2017-09-11,21.750488
2017-09-12,21.96289
2017-09-13,24.240723
2017-09-14,18.452148
2017-09-15,33.40088
2017-09-18,19.726562
2017-09-19,16.503906
2017-09-20,16.757812
2017-09-21,19.956055
2017-09-22,13.881836
2017-09-25,33.125
2017-09-26,3.7109375
2017-09-27,40.20508
2017-09-28,90.23926
2017-09-29,91.14014
2017-10-03,99.541016
2017-10-04,100.754395
2017-10-05,20.273438
2017-10-06,16.848145
2017-10-09,116.711426
2017-10-10,21.848145
2017-10-11,14.694824
2017-10-12,20.166016
2017-10-13,20.878906
2017-10-16,15.490723
2017-10-17,17.175293
2017-10-18,12.124023
2017-10-23,425.3662
2017-10-24,58.100586
2017-10-25,42.39258
2017-10-26,16.625977
2017-10-27,72.995605
2017-10-30,20.871582
2017-10-31,83.88916
2017-11-01,33.42041
2017-11-02,32.097153
2017-11-03,88.59863
2017-11-06,94.06738
2017-11-07,30.510254
2017-11-08,30.205078
2017-11-09,29.11621
2017-11-10,28.21045
2017-11-13,30.720215
2017-11-14,28.532715
2017-11-15,27.58789
2017-11-16,28.498535
2017-11-17,29.594727
2017-11-20,25.820312
2017-11-21,28.093304
2017-11-22,38.71582
2017-11-23,22.834473
2017-11-24,42.82959
2017-11-27,44.9709
2017-11-28,38.085938
2017-11-29,19.833984
2017-11-30,22.978516
2017-12-01,26.120605
2017-12-04,8.411611
2017-12-05,22.277832
2017-12-06,22.77832
2017-12-07,22.299805
2017-12-08,20.974121
2017-12-11,21.66748
2017-12-12,115.84717
2017-12-13,31.298828
2017-12-14,18.405762
2017-12-15,26.762695
2017-12-18,27.475586
2017-12-19,27.578125
2017-12-20,41.018066
2017-12-21,30.302734
2017-12-22,46.540527
2017-12-26,78.68652
2017-12-27,36.02539
2017-12-28,25.959473
2017-12-29,28.75
2018-01-01,47.644043
2018-01-02,33.24707
2018-01-03,29.440918
2018-01-04,32.005615
2018-01-05,34.816895
2018-01-08,31.035156
2018-01-09,25.24414
2018-01-10,29.589844
2018-01-11,36.202293
2018-01-12,36.157227
2018-01-15,33.637695
2018-01-16,30.893555
2018-01-17,81.953125
2018-01-18,47.72461
