date,iv_atm
2021-10-29,54.677006
2021-11-01,54.735004
2021-11-02,52.684933
2021-11-03,52.682796
2021-11-04,51.943096
2021-11-08,54.532135
2021-11-09,46.37973
2021-11-10,52.431274
2021-11-11,52.002064
2021-11-12,53.141403
2021-11-15,54.22767
2021-11-16,54.816357
2021-11-17,56.179623
2021-11-18,52.56119
2021-11-22,42.453693
2021-11-23,55.283775
2021-11-24,39.368122
2021-11-25,39.696537
2021-11-26,47.361637
2021-11-29,54.342415
2021-11-30,54.813587
2021-12-01,51.97631
2021-12-02,50.274036
2021-12-03,54.853867
2021-12-06,52.06721
2021-12-07,50.437737
2021-12-08,46.59894
2021-12-09,47.185863
2021-12-10,46.398117
2021-12-13,48.36063
2021-12-14,48.50162
2021-12-15,48.4288
2021-12-16,55.64039
2021-12-17,47.475014
2021-12-20,49.251152
2021-12-21,45.41016
2021-12-22,42.157673
2021-12-23,41.016277
2021-12-24,37.124737
2021-12-27,46.344746
2021-12-28,47.531673
2021-12-29,54.971672
2021-12-30,48.282036
2021-12-31,54.47249
2022-01-03,42.5038
2022-01-04,45.11819
2022-01-05,46.635017
2022-01-06,48.248062
2022-01-07,55.56885
2022-01-10,49.698093
2022-01-11,50.908092
2022-01-12,55.390022
2022-01-13,48.451378
2022-01-14,46.774437
2022-01-17,51.858856
2022-01-18,53.59342
2022-01-19,50.488026
2022-01-20,48.8647
2022-01-21,52.39218
2022-01-24,46.263794
2022-01-25,47.423126
2022-01-27,55.692028
2022-01-28,55.899895
2022-01-31,53.90797
2022-02-01,47.2815
2022-02-02,46.491837
2022-02-03,46.4747
2022-02-04,53.758144
2022-02-07,52.88
2022-02-08,44.571133
2022-02-09,46.429264
2022-02-10,45.791794
2022-02-11,44.49491
2022-02-14,46.448
2022-02-15,55.419056
2022-02-16,41.585407
2022-02-17,41.188667
2022-02-18,36.568214
2022-02-21,40.55829
2022-02-22,40.84204
2022-02-23,51.336864
2022-02-24,41.14431
2022-02-25,40.464714
2022-02-28,42.42649
2022-03-02,44.971226
2022-03-03,43.230038
2022-03-04,42.571083
2022-03-07,46.21616
2022-03-08,52.76409
2022-03-09,59.449997
2022-03-10,47.34249
2022-03-11,53.65613
2022-03-14,56.989227
2022-03-15,56.043022
2022-03-16,52.219273
2022-03-17,52.66948
2022-03-21,60.56824
2022-03-22,62.317303
2022-03-23,60.42845
2022-03-24,57.739456
2022-03-25,44.340103
2022-03-28,55.1313
2022-03-29,53.1499
2022-03-30,37.87483
2022-03-31,54.788017
2022-04-01,55.332565
2022-04-04,50.314304
2022-04-05,50.45769
2022-04-06,50.79731
2022-04-07,52.125217
2022-04-08,50.172523
2022-04-11,49.013878
2022-04-12,51.10979
2022-04-13,47.45621
2022-04-18,56.938705
2022-04-19,56.298077
2022-04-20,51.58645
2022-04-21,52.740532
2022-04-22,48.26508
2022-04-25,56.51615
2022-04-26,46.158703
2022-04-27,54.1995
2022-04-28,53.117138
2022-04-29,53.612362
2022-05-02,48.664806
2022-05-04,50.36719
2022-05-05,55.458324
2022-05-06,48.54977
2022-05-09,55.1536
2022-05-10,54.618183
2022-05-11,54.379158
2022-05-12,53.30119
2022-05-13,58.890957
2022-05-16,54.29346
2022-05-17,56.5032
2022-05-18,59.72411
2022-05-19,77.92261
2022-05-20,53.343945
2022-05-23,58.385857
2022-05-24,67.65657
2022-05-25,71.073
2022-05-26,57.415245
2022-05-27,52.91375
2022-05-30,51.66171
2022-05-31,51.282104
2022-06-01,51.263435
2022-06-02,50.55176
2022-06-03,52.923534
2022-06-06,53.364002
2022-06-07,52.641464
2022-06-08,51.999516
2022-06-09,53.300438
2022-06-10,53.653362
2022-06-13,52.070274
2022-06-14,53.040497
2022-06-15,51.784737
2022-06-16,54.43816
2022-06-17,55.215897
2022-06-20,54.125393
2022-06-21,51.980606
2022-06-22,54.21589
2022-06-23,50.964966
2022-06-24,49.399498
2022-06-27,64.003685
2022-06-28,69.39619
2022-06-29,70.70537
2022-06-30,54.080463
2022-07-01,49.86953
2022-07-04,51.115433
2022-07-05,48.741455
2022-07-06,50.158077
2022-07-07,48.753475
2022-07-08,48.539234
2022-07-11,50.3598
2022-07-12,50.447212
2022-07-13,50.371246
2022-07-14,49.765858
2022-07-15,47.27431
2022-07-18,50.238525
2022-07-19,47.770107
2022-07-20,48.480083
2022-07-21,48.112423
2022-07-22,50.93978
2022-07-25,54.50727
2022-07-26,45.18797
2022-07-27,45.726025
2022-07-28,52.026695
2022-07-29,53.41071
2022-08-01,58.137253
2022-08-02,58.500008
2022-08-03,51.934265
2022-08-04,52.86221
2022-08-05,49.26503
2022-08-08,50.188606
2022-08-10,51.613583
2022-08-11,51.356834
2022-08-12,49.703117
2022-08-16,51.755547
2022-08-17,53.073833
2022-08-18,52.836254
2022-08-19,50.18298
2022-08-22,55.42594
2022-08-23,44.475296
2022-08-24,49.879765
2022-08-25,45.711628
2022-08-26,45.681652
2022-08-29,46.27178
2022-08-30,45.92293
2022-09-01,45.939808
2022-09-02,45.868225
2022-09-05,46.961876
2022-09-06,46.918144
2022-09-07,46.69146
2022-09-08,46.569122
2022-09-09,44.13468
2022-09-12,48.00155
2022-09-13,49.409245
2022-09-14,47.80049
2022-09-15,50.521027
2022-09-16,52.22793
2022-09-19,52.22845
2022-09-20,52.314163
2022-09-21,49.93159
2022-09-22,46.21506
2022-09-23,40.596306
2022-09-26,42.396294
2022-09-27,43.676582
2022-09-28,49.87168
2022-09-29,49.892624
2022-09-30,42.325634
2022-10-03,45.83187
2022-10-04,43.288036
2022-10-06,43.907177
2022-10-07,43.714676
2022-10-10,45.972736
2022-10-11,46.67198
2022-10-12,45.475307
2022-10-13,46.32825
2022-10-14,43.290134
2022-10-17,43.724983
2022-10-18,40.050762
2022-10-19,40.496647
2022-10-20,31.293283
2022-10-21,24.325968
2022-10-24,24.893358
2022-10-25,21.274612
2022-10-27,42.10599
2022-10-28,40.11253
2022-10-31,41.54941
2022-11-01,39.928818
2022-11-02,39.99415
2022-11-03,38.362465
2022-11-04,38.13055
2022-11-07,37.527706
2022-11-09,37.99213
2022-11-10,38.577652
2022-11-11,38.698257
2022-11-14,36.77717
2022-11-15,34.758358
2022-11-16,40.137527
2022-11-17,37.206665
2022-11-18,28.476696
2022-11-21,35.77619
2022-11-22,34.546883
2022-11-23,38.612133
2022-11-24,38.12494
2022-11-25,35.479702
2022-11-28,36.045887
2022-11-29,36.80389
2022-11-30,36.189617
2022-12-01,36.374702
2022-12-02,35.614418
2022-12-05,37.09024
2022-12-06,38.524418
2022-12-07,38.91211
2022-12-08,38.70607
2022-12-09,39.246063
2022-12-12,38.756313
2022-12-13,41.221603
2022-12-14,40.109787
2022-12-15,41.40711
2022-12-16,41.007835
2022-12-19,41.91919
2022-12-20,40.20631
2022-12-21,41.51442
2022-12-22,39.036777
2022-12-23,38.22412
2022-12-26,39.901382
2022-12-27,46.545097
2022-12-28,31.809944
2022-12-29,43.997265
2022-12-30,38.82607
2023-01-02,51.977417
2023-01-03,51.511692
2023-01-04,40.955063
2023-01-05,40.12452
2023-01-06,39.774326
2023-01-09,40.397213
2023-01-10,40.370026
2023-01-11,40.593746
2023-01-12,39.969376
2023-01-13,38.188087
2023-01-16,37.31951
2023-01-17,34.960243
2023-01-18,32.469242
2023-01-19,33.839848
2023-01-20,25.658337
2023-01-23,29.782242
2023-01-24,26.75033
2023-01-25,54.38633
2023-01-27,42.34132
2023-01-30,42.10454
2023-01-31,40.37754
2023-02-01,41.3524
2023-02-02,39.990017
2023-02-03,39.829426
2023-02-06,44.63101
2023-02-07,41.02919
2023-02-08,36.55423
2023-02-09,33.910694
2023-02-10,30.97039
2023-02-13,35.00894
2023-02-14,32.876595
2023-02-15,32.181423
2023-02-16,30.53062
2023-02-17,25.856901
2023-02-20,30.375273
2023-02-21,32.766792
2023-02-22,44.004543
2023-02-23,32.610386
2023-02-24,31.458183
2023-02-27,32.28509
2023-02-28,31.23896
2023-03-01,28.595297
2023-03-02,29.755909
2023-03-03,27.94816
2023-03-06,30.397196
2023-03-08,31.291105
2023-03-09,31.316877
2023-03-10,31.956654
2023-03-13,37.96573
2023-03-14,35.10181
2023-03-15,35.650898
2023-03-16,36.215843
2023-03-17,33.33164
2023-03-20,34.896297
2023-03-21,33.200726
2023-03-22,30.849012
2023-03-23,29.551975
2023-03-24,27.664875
2023-03-27,42.58053
2023-03-28,38.26706
2023-03-29,34.14943
2023-03-31,31.181196
2023-04-03,31.563997
2023-04-05,29.693167
2023-04-06,28.607904
2023-04-10,31.758097
2023-04-11,30.212152
