date,iv_atm
2020-08-20,61.16211
2020-08-21,53.740234
2020-08-24,50.64453
2020-08-25,41.308594
2020-08-26,43.476562
2020-08-27,0.15625
2020-08-28,0.3125
2020-08-31,0.3125
2020-09-01,44.55078
2020-09-02,0.625
2020-09-03,47.109375
2020-09-04,0.625
2020-09-07,0.625
2020-09-08,0.3125
2020-09-09,0.15625
2020-09-10,0.625
2020-09-11,0.625
2020-09-14,0.625
2020-09-15,0.625
2020-09-16,50.844727
2020-09-17,43.28125
2020-09-18,42.23633
2020-09-21,45.12909
2020-09-22,72.65625
2020-09-23,2.5
2020-09-24,0.3125
2020-09-25,0.078125
2020-09-28,0.15625
2020-09-29,0.078125
2020-09-30,0.3125
2020-10-01,0.15625
2020-10-05,0.15625
2020-10-06,0.078125
2020-10-07,48.051758
2020-10-08,0.15625
2020-10-09,0.15625
2020-10-12,59.40918
2020-10-13,73.366806
2020-10-14,63.99414
2020-10-15,55.83496
2020-10-16,57.543945
2020-10-19,0.625
2020-10-20,60.166016
2020-10-21,0.3125
2020-10-22,73.80859
2020-10-23,0.3125
2020-10-26,51.5616
2020-10-27,1.25
2020-10-28,1.25
2020-10-29,0.3125
2020-10-30,51.82617
2020-11-02,0.3125
2020-11-03,0.078125
2020-11-04,51.586914
2020-11-05,50.60547
2020-11-06,0.625
2020-11-09,0.3125
2020-11-10,0.625
2020-11-11,54.814453
2020-11-12,0.15625
2020-11-13,0.15625
2020-11-14,0.15625
2020-11-17,37.592773
2020-11-18,52.982784
2020-11-19,78.4668
2020-11-20,60.009766
2020-11-23,0.009765625
2020-11-24,0.625
2020-11-25,1.25
2020-11-26,0.625
2020-11-27,46.02295
2020-12-01,0.625
2020-12-02,44.03076
2020-12-03,47.875977
2020-12-04,50.74707
2020-12-07,47.822266
2020-12-08,46.035156
2020-12-09,47.79297
2020-12-10,47.402344
2020-12-11,47.456055
2020-12-14,45.268555
2020-12-15,50.57617
2020-12-16,49.194336
2020-12-17,46.499023
2020-12-18,47.871094
2020-12-21,52.486156
2020-12-22,49.628906
2020-12-23,43.07129
2020-12-24,35.756836
2020-12-28,48.515625
2020-12-29,54.472656
2020-12-30,46.035156
2020-12-31,50.595703
2021-01-01,32.736816
2021-01-04,47.199707
2021-01-05,49.365234
2021-01-06,49.210106
2021-01-07,0.625
2021-01-08,58.271484
2021-01-11,58.10547
2021-01-12,61.411133
2021-01-13,67.57568
2021-01-14,71.372246
2021-01-15,0.625
2021-01-18,73.18359
2021-01-19,61.49414
2021-01-20,60.878906
2021-01-21,60.76172
2021-01-22,55.351562
2021-01-25,0.625
2021-01-27,92.24609
2021-01-28,56.350098
2021-01-29,55.1709
2021-02-01,50.57129
2021-02-02,49.98535
2021-02-03,49.70215
2021-02-04,52.104492
2021-02-05,53.31787
2021-02-08,47.597656
2021-02-09,0.3125
2021-02-10,50.981445
2021-02-11,55.52246
2021-02-12,44.87793
2021-02-15,53.310547
2021-02-16,47.474182
2021-02-17,49.140625
2021-02-18,44.814453
2021-02-19,44.59961
2021-02-22,39.414062
2021-02-23,39.70703
2021-02-24,67.28516
2021-02-25,0.625
2021-02-26,52.39258
2021-03-01,41.030273
2021-03-02,40.95703
2021-03-03,47.8125
2021-03-04,69.47266
2021-03-05,45.405273
2021-03-08,49.467773
2021-03-09,43.671875
2021-03-10,48.354492
2021-03-12,46.30371
2021-03-15,51.567383
2021-03-16,50.9375
2021-03-17,52.490234
2021-03-18,51.32056
2021-03-19,40.06836
2021-03-22,53.554688
2021-03-23,49.232285
2021-03-24,49.277344
2021-03-25,47.15576
2021-03-26,31.777344
2021-03-30,0.625
2021-03-31,0.3125
2021-04-01,43.842773
2021-04-05,46.567383
2021-04-06,46.577374
2021-04-07,42.470703
2021-04-08,51.069336
2021-04-09,46.59668
2021-04-12,51.61133
2021-04-13,60.720215
2021-04-15,101.77246
2021-04-16,1.25
2021-04-19,57.37793
2021-04-20,56.31836
2021-04-22,58.833008
2021-04-23,50.41504
2021-04-26,58.75
2021-04-27,50.498047
2021-04-28,76.09375
2021-04-29,0.15625
2021-04-30,0.625
2021-05-03,66.21338
2021-05-04,0.15625
2021-05-05,55.620117
2021-05-06,51.7334
2021-05-07,44.6875
2021-05-10,47.90039
2021-05-11,50.4541
2021-05-12,52.03125
2021-05-14,48.83789
2021-05-17,47.270508
2021-05-18,51.37207
2021-05-19,52.382812
2021-05-20,49.160156
2021-05-21,47.6319
2021-05-24,34.589844
2021-05-25,40.98126
2021-05-26,56.31836
2021-05-27,49.450684
2021-05-28,0.3125
2021-05-31,0.3125
2021-06-01,74.45068
2021-06-02,43.979492
2021-06-03,44.450768
2021-06-04,42.023926
2021-06-07,42.338867
2021-06-08,41.61133
2021-06-09,45.46631
2021-06-10,44.467773
2021-06-11,42.541504
2021-06-14,49.887695
2021-06-15,41.782227
2021-06-16,49.495968
2021-06-17,51.257576
2021-06-18,45.48156
2021-06-21,41.558582
2021-06-22,44.421795
2021-06-23,61.19
2021-06-24,41.380936
2021-06-25,38.03274
2021-06-28,38.24448
2021-06-29,36.9449
2021-06-30,59.517773
2021-07-01,38.440132
2021-07-02,36.1677
2021-07-05,37.619072
2021-07-06,39.81207
2021-07-07,41.614986
2021-07-08,44.35209
2021-07-09,40.381218
2021-07-12,45.39765
2021-07-13,42.808723
2021-07-14,41.779118
2021-07-15,55.460297
2021-07-16,35.127476
2021-07-19,37.583252
2021-07-20,39.57293
2021-07-22,35.8688
2021-07-23,35.316433
2021-07-26,39.126434
2021-07-27,56.789494
2021-07-28,34.170258
2021-07-29,44.02006
2021-07-30,40.74252
2021-08-02,40.105324
2021-08-03,41.544353
2021-08-04,41.52118
2021-08-05,42.072742
2021-08-06,40.90741
2021-08-09,40.43399
2021-08-10,39.552917
2021-08-11,41.095684
2021-08-12,38.88012
2021-08-13,36.52445
2021-08-16,37.150517
2021-08-17,37.89943
2021-08-18,39.986736
2021-08-20,45.426254
2021-08-23,47.944893
2021-08-24,43.84335
2021-08-25,48.633232
2021-08-26,45.006386
2021-08-27,41.331917
2021-08-30,40.54318
2021-08-31,40.17783
2021-09-01,42.131844
2021-09-02,42.756573
2021-09-03,42.445347
2021-09-06,43.176144
2021-09-07,44.74613
