date,iv_atm
2017-07-04,24.882812
2017-07-05,25.22461
2017-07-06,26.914062
2017-07-07,51.464844
2017-07-10,67.890625
2017-07-11,45.966797
2017-07-12,16.435547
2017-07-13,17.324219
2017-07-14,24.414062
2017-07-17,20.439453
2017-07-18,21.083984
2017-07-19,20.605469
2017-07-20,21.757812
2017-07-21,22.96875
2017-07-24,46.07422
2017-07-25,23.493608
2017-07-27,24.189453
2017-07-28,24.58496
2017-07-31,25.375977
2017-08-01,19.25293
2017-08-02,30.205078
2017-08-03,25.292969
2017-08-04,26.00586
2017-08-07,26.835938
2017-08-08,24.541016
2017-08-09,26.113281
2017-08-10,31.894531
2017-08-11,22.1875
2017-08-14,31.982422
2017-08-16,31.71875
2017-08-17,44.32617
2017-08-18,36.105064
2017-08-21,15.214844
2017-08-22,41.533203
2017-08-23,41.58203
2017-08-24,34.04297
2017-08-28,71.13281
2017-08-29,103.42803
2017-08-30,54.804688
2017-08-31,34.74121
2017-09-01,33.671875
2017-09-04,30.99121
2017-09-05,29.101562
2017-09-06,34.84375
2017-09-07,14.194336
2017-09-08,24.326172
2017-09-11,26.870117
2017-09-12,27.988281
2017-09-13,24.189453
2017-09-14,38.691406
2017-09-15,30.351562
2017-09-18,45.460484
2017-09-19,29.033203
2017-09-20,31.503906
2017-09-21,31.533203
2017-09-22,22.539062
2017-09-25,31.640625
2017-09-26,37.148438
2017-09-27,46.328125
2017-09-28,31.68457
2017-09-29,26.982422
2017-10-03,27.021484
2017-10-04,41.220703
2017-10-05,42.16797
2017-10-06,29.970703
2017-10-09,47.65625
2017-10-10,31.015625
2017-10-11,46.054688
2017-10-12,35.55664
2017-10-13,26.855469
2017-10-16,28.427734
2017-10-17,40.078125
2017-10-18,18.154297
2017-10-23,31.601562
2017-10-24,68.84766
2017-10-25,129.45312
2017-10-26,29.643555
2017-10-27,30.981445
2017-10-30,35.27832
2017-10-31,29.736328
2017-11-01,34.033203
2017-11-02,38.217773
2017-11-03,39.04297
2017-11-06,34.716797
2017-11-07,39.990234
2017-11-08,37.592773
2017-11-09,38.623047
2017-11-10,33.183594
2017-11-13,41.69922
2017-11-14,43.76953
2017-11-15,52.74414
2017-11-16,58.515625
2017-11-17,31.865234
2017-11-20,62.76367
2017-11-21,38.75
2017-11-22,34.189453
2017-11-23,31.923828
2017-11-24,38.70117
2017-11-27,22.578125
2017-11-28,25.722656
2017-11-29,38.359375
2017-11-30,25.439453
2017-12-01,23.603516
2017-12-04,26.728516
2017-12-05,27.871094
2017-12-06,21.396484
2017-12-07,24.28711
2017-12-08,23.642578
2017-12-11,24.238281
2017-12-12,26.298828
2017-12-13,22.851562
2017-12-14,24.521484
2017-12-15,33.84137
2017-12-18,42.53923
2017-12-19,58.26172
2017-12-20,62.685547
2017-12-21,21.660156
2017-12-22,80.546875
2017-12-26,19.628906
2017-12-27,204.29688
2017-12-28,30.180664
2017-12-29,31.054688
2018-01-01,26.074219
2018-01-02,19.414062
2018-01-03,26.899414
2018-01-04,28.569044
2018-01-05,29.63557
2018-01-08,32.12479
2018-01-09,31.622196
2018-01-10,39.023438
2018-01-11,37.509766
2018-01-12,35.0
