date,iv_atm
2021-02-26,0.625
2021-03-01,0.3125
2021-03-02,0.625
2021-03-03,0.625
2021-03-04,66.40625
2021-03-05,63.203125
2021-03-08,65.15625
2021-03-09,0.625
2021-03-10,0.15625
2021-03-12,57.34375
2021-03-15,0.625
2021-03-16,56.5625
2021-03-17,39.375
2021-03-18,54.375
2021-03-19,44.375
2021-03-22,46.40625
2021-03-23,45.78125
2021-03-24,145.3125
2021-03-25,0.625
2021-03-26,1.25
2021-03-30,0.625
2021-03-31,0.625
2021-04-01,0.3125
2021-04-05,0.3125
2021-04-06,0.625
2021-04-07,0.625
2021-04-08,0.625
2021-04-09,0.625
2021-04-12,49.375
2021-04-13,57.8125
2021-04-15,0.3125
2021-04-16,1.25
2021-04-19,44.375
2021-04-20,52.65625
2021-04-22,35.46875
2021-04-23,43.828125
2021-04-26,48.28125
2021-04-27,40.15625
2021-04-28,5.0
2021-04-29,43.242188
2021-04-30,1.25
2021-05-03,48.081963
2021-05-04,0.625
2021-05-05,46.054688
2021-05-06,47.226562
2021-05-07,47.382812
2021-05-10,1.25
2021-05-11,0.625
2021-05-12,1.25
2021-05-14,1.25
2021-05-17,72.8125
2021-05-18,45.234375
2021-05-19,36.875
2021-05-20,51.25
2021-05-21,60.390625
2021-05-24,1.25
2021-05-25,2.5
2021-05-26,50.625
2021-05-27,0.625
2021-05-28,41.132812
2021-05-31,0.625
2021-06-01,0.15625
2021-06-02,1.25
2021-06-03,0.625
2021-06-04,0.625
2021-06-07,1.25
2021-06-08,50.15625
2021-06-09,44.296875
2021-06-10,46.484375
2021-06-11,47.265625
2021-06-14,53.984375
2021-06-15,51.015625
2021-06-16,47.641727
2021-06-17,44.18975
2021-06-18,32.834743
2021-06-21,37.9529
2021-06-22,47.056206
2021-06-23,42.800293
2021-06-24,47.091366
2021-06-25,47.74222
2021-06-28,35.193405
2021-06-29,33.30381
2021-06-30,47.53753
2021-07-01,30.64124
2021-07-02,47.083652
2021-07-05,47.29534
2021-07-06,34.302048
2021-07-07,34.974148
2021-07-08,46.258095
2021-07-09,44.374165
2021-07-12,44.529236
2021-07-13,46.734425
2021-07-14,45.076904
2021-07-15,43.35445
2021-07-16,43.75325
2021-07-19,35.418934
2021-07-20,44.678936
2021-07-22,33.509506
2021-07-23,29.999989
2021-07-26,14.193279
2021-07-27,44.58155
2021-07-28,24.557003
2021-07-29,28.734262
2021-07-30,31.005634
2021-08-02,44.969753
2021-08-03,34.90126
2021-08-04,36.240925
2021-08-05,43.392147
2021-08-06,9.757597
2021-08-09,35.19976
2021-08-10,42.333435
2021-08-11,40.58042
2021-08-12,42.612064
2021-08-13,38.030586
2021-08-16,33.584763
2021-08-17,29.436876
2021-08-18,28.942764
2021-08-20,33.345596
2021-08-23,33.257904
2021-08-24,37.862835
2021-08-25,43.028805
2021-08-26,29.452995
2021-08-27,42.29743
2021-08-30,43.040764
2021-08-31,30.568607
2021-09-01,33.74658
2021-09-02,42.696644
2021-09-03,37.34336
2021-09-06,37.414375
2021-09-07,38.045063
2021-09-08,43.510445
2021-09-09,43.495785
2021-09-13,43.779938
2021-09-14,41.470383
2021-09-15,41.63536
2021-09-16,44.114002
2021-09-17,42.558846
2021-09-20,43.698208
2021-09-21,31.872103
2021-09-22,38.106274
2021-09-23,42.71837
2021-09-24,30.299234
2021-09-27,36.431957
2021-09-28,34.502007
2021-09-29,55.83156
2021-09-30,43.916847
2021-10-01,58.366173
2021-10-04,53.951412
2021-10-05,52.726704
2021-10-06,52.749077
2021-10-07,53.119568
2021-10-08,56.77422
2021-10-11,58.219563
2021-10-12,57.374172
2021-10-13,56.996235
2021-10-14,53.866806
2021-10-18,60.015568
2021-10-19,52.951298
2021-10-20,42.316883
2021-10-21,44.63217
2021-10-22,56.92091
2021-10-25,81.356026
2021-10-26,54.107975
2021-10-27,42.33641
2021-10-28,51.224888
2021-10-29,40.9371
2021-11-01,43.892616
2021-11-02,47.593002
2021-11-03,49.217052
2021-11-04,54.956158
2021-11-08,50.81073
2021-11-09,54.596817
2021-11-10,53.561962
2021-11-11,46.34
2021-11-12,49.37305
2021-11-15,41.736813
2021-11-16,32.855007
2021-11-17,42.414917
2021-11-18,28.220144
2021-11-22,43.002415
2021-11-23,45.157494
2021-11-24,33.381588
2021-11-25,41.861164
2021-11-26,40.56858
2021-11-29,42.595284
2021-11-30,34.257504
2021-12-01,40.481728
2021-12-02,31.883015
2021-12-03,35.32371
2021-12-06,40.60197
2021-12-07,35.71048
2021-12-08,39.1691
2021-12-09,35.643646
2021-12-10,36.372906
2021-12-13,38.35387
2021-12-14,43.17238
2021-12-15,39.197952
2021-12-16,32.55734
2021-12-17,30.11986
2021-12-20,41.806778
2021-12-21,32.224567
2021-12-22,29.624344
