date,iv_atm
2017-07-04,25.429688
2017-07-05,20.518106
2017-07-06,19.941406
2017-07-07,20.625
2017-07-10,21.171875
2017-07-11,18.867188
2017-07-12,19.0625
2017-07-13,19.414062
2017-07-14,17.421875
2017-07-17,20.507812
2017-07-18,22.890625
2017-07-19,20.117188
2017-07-20,22.65625
2017-07-21,18.007812
2017-07-24,24.464424
2017-07-25,25.234375
2017-07-27,25.227003
2017-07-28,24.931597
2017-07-31,22.714844
2017-08-01,34.6875
2017-08-02,26.289062
2017-08-03,21.933594
2017-08-04,22.597656
2017-08-07,19.257812
2017-08-08,20.546875
2017-08-09,19.257812
2017-08-10,18.085938
2017-08-11,17.8125
2017-08-14,28.203125
2017-08-16,24.140625
2017-08-17,23.24271
2017-08-18,20.781294
2017-08-21,22.5
2017-08-22,22.617188
2017-08-23,21.054688
2017-08-24,14.921875
2017-08-28,29.36095
2017-08-29,31.059042
2017-08-30,40.811935
2017-08-31,24.042969
2017-09-01,24.101562
2017-09-04,20.722656
2017-09-05,22.109375
2017-09-06,22.34375
2017-09-07,24.179688
2017-09-08,21.914062
2017-09-11,28.632812
2017-09-12,21.953125
2017-09-13,27.148438
2017-09-14,23.125
2017-09-15,24.179688
2017-09-18,25.3125
2017-09-19,24.609375
2017-09-20,28.359375
2017-09-21,28.398438
2017-09-22,32.1875
2017-09-25,49.655624
2017-09-26,48.59375
2017-09-27,52.03125
2017-09-28,27.265625
2017-09-29,24.882812
2017-10-03,22.5
2017-10-04,22.734375
2017-10-05,23.085938
2017-10-06,23.476562
2017-10-09,23.789062
2017-10-10,23.671875
2017-10-11,26.289062
2017-10-12,25.859375
2017-10-13,23.632812
2017-10-16,24.087246
2017-10-17,24.179688
2017-10-18,21.835938
2017-10-23,28.510256
2017-10-24,32.1875
2017-10-25,35.625
2017-10-26,23.164062
2017-10-27,50.429688
2017-10-30,25.625
2017-10-31,24.492188
2017-11-01,25.625
2017-11-02,25.214844
2017-11-03,25.63799
2017-11-06,24.453125
2017-11-07,27.52823
2017-11-08,25.195312
2017-11-09,30.429688
2017-11-10,24.394531
2017-11-13,27.617188
2017-11-14,23.4375
2017-11-15,22.578125
2017-11-16,24.609375
2017-11-17,23.867188
2017-11-20,22.460938
2017-11-21,24.244421
2017-11-22,24.0625
2017-11-23,28.007828
2017-11-24,24.226116
2017-11-27,27.96875
2017-11-28,52.34375
2017-11-29,24.0625
2017-11-30,26.0224
2017-12-01,25.760273
2017-12-04,22.929688
2017-12-05,22.675781
2017-12-06,30.269197
2017-12-07,34.335938
