date,iv_atm
2021-10-01,45.226913
2021-10-04,55.640617
2021-10-05,54.999203
2021-10-06,44.619164
2021-10-07,58.812023
2021-10-08,46.20024
2021-10-11,55.256462
2021-10-12,56.89154
2021-10-13,58.439735
2021-10-14,47.2238
2021-10-18,70.61284
2021-10-19,44.778027
2021-10-20,53.97848
2021-10-21,52.525604
2021-10-22,38.766163
2021-10-25,34.081673
2021-10-26,37.932434
2021-10-27,47.731815
2021-10-28,39.738354
2021-10-29,38.1276
2021-11-01,44.326336
2021-11-02,37.094307
2021-11-03,35.151398
2021-11-04,46.996376
2021-11-08,34.967316
2021-11-09,39.458557
2021-11-10,32.446156
2021-11-11,45.18086
2021-11-12,37.120167
2021-11-15,45.777508
2021-11-16,43.932796
2021-11-17,32.572174
2021-11-18,25.265
2021-11-22,45.803947
2021-11-23,45.953182
2021-11-24,66.639175
2021-11-25,28.721584
2021-11-26,46.058907
2021-11-29,44.065582
2021-11-30,45.875717
2021-12-01,44.870575
2021-12-02,45.388348
2021-12-03,44.9303
2021-12-06,34.107677
2021-12-07,33.86587
2021-12-08,32.996464
2021-12-09,34.02135
2021-12-10,33.66328
2021-12-13,33.13212
2021-12-14,31.063478
2021-12-15,34.463844
2021-12-16,33.276928
2021-12-17,44.55421
2021-12-20,32.1253
2021-12-21,47.61229
2021-12-22,43.114735
2021-12-23,46.076263
2021-12-24,31.779516
2021-12-27,37.440273
2021-12-28,32.640244
2021-12-29,30.381346
2021-12-30,29.458973
2021-12-31,45.604927
2022-01-03,30.30055
2022-01-04,31.61036
2022-01-05,32.126102
2022-01-06,34.059566
2022-01-07,36.043564
2022-01-10,37.426315
2022-01-11,45.37166
2022-01-12,35.65939
2022-01-13,32.727715
2022-01-14,28.71846
2022-01-17,45.524265
2022-01-18,34.46795
2022-01-19,37.83031
2022-01-20,32.289146
2022-01-21,37.5766
2022-01-24,41.641083
2022-01-25,38.28617
2022-01-27,45.081005
2022-01-28,36.891323
2022-01-31,42.031513
2022-02-01,32.888744
2022-02-02,29.741564
2022-02-03,32.495655
2022-02-04,29.798784
2022-02-07,31.887583
2022-02-08,44.533745
2022-02-09,44.56406
2022-02-10,46.81934
2022-02-11,30.803465
2022-02-14,36.09882
2022-02-15,31.966017
2022-02-16,36.482903
2022-02-17,32.435898
2022-02-18,35.94514
2022-02-21,43.41859
2022-02-22,42.41776
2022-02-23,49.861332
2022-02-24,47.162243
2022-02-25,38.903915
2022-02-28,48.277824
2022-03-02,50.185413
2022-03-03,47.348446
2022-03-04,57.61553
2022-03-07,47.53456
2022-03-08,45.89651
2022-03-09,47.222317
2022-03-10,47.35746
2022-03-11,51.225285
2022-03-14,54.629284
2022-03-15,54.499584
2022-03-16,50.07111
2022-03-17,48.633263
2022-03-21,53.070755
2022-03-22,47.11326
2022-03-23,40.580715
2022-03-24,46.406815
2022-03-25,40.982655
2022-03-28,53.0232
2022-03-29,58.049946
2022-03-30,62.517204
2022-03-31,48.19102
2022-04-01,47.715042
2022-04-04,47.81608
2022-04-05,45.223263
2022-04-06,44.245094
2022-04-07,42.669716
2022-04-08,46.247787
2022-04-11,46.929897
2022-04-12,48.65506
2022-04-13,41.4495
2022-04-18,37.301754
2022-04-19,44.353336
2022-04-20,43.204296
2022-04-21,46.427963
2022-04-22,49.117577
2022-04-25,43.326435
2022-04-26,51.547802
2022-04-27,49.308434
2022-04-28,45.326286
2022-04-29,47.014423
2022-05-02,46.478767
2022-05-04,46.07667
2022-05-05,45.63391
2022-05-06,46.550205
2022-05-09,49.285873
2022-05-10,45.42419
2022-05-11,36.852295
2022-05-12,44.83289
2022-05-13,44.277096
2022-05-16,47.993626
2022-05-17,45.110245
2022-05-18,45.868736
2022-05-19,44.080345
2022-05-20,48.394608
2022-05-23,45.45695
2022-05-24,50.35066
2022-05-25,43.20903
2022-05-26,47.309002
2022-05-27,47.2117
2022-05-30,47.49716
2022-05-31,49.005836
2022-06-01,43.89341
2022-06-02,46.50616
2022-06-03,46.679943
2022-06-06,48.11575
2022-06-07,48.626755
2022-06-08,48.423317
2022-06-09,44.68531
2022-06-10,44.540333
2022-06-13,50.74962
2022-06-14,44.289078
2022-06-15,44.85861
2022-06-16,43.859978
2022-06-17,38.994522
2022-06-20,42.32906
2022-06-21,45.676563
2022-06-22,50.81837
2022-06-23,41.73513
2022-06-24,39.425735
2022-06-27,43.399494
2022-06-28,46.388603
2022-06-29,44.990936
2022-06-30,45.90504
2022-07-01,45.33756
2022-07-04,46.710453
2022-07-05,40.902283
2022-07-06,45.493862
2022-07-07,48.665512
2022-07-08,47.359188
2022-07-11,47.17537
2022-07-12,48.60915
2022-07-13,38.473114
2022-07-14,47.900524
2022-07-15,34.608288
2022-07-18,36.21527
2022-07-19,46.162437
2022-07-20,45.84444
2022-07-21,49.156036
2022-07-22,33.86893
2022-07-25,40.919205
2022-07-26,45.301907
2022-07-27,43.79075
2022-07-28,45.15104
2022-07-29,46.554134
2022-08-01,40.947987
2022-08-02,46.729347
2022-08-03,45.383812
2022-08-04,47.141186
2022-08-05,46.828865
2022-08-08,41.256447
2022-08-10,46.92801
2022-08-11,44.756798
2022-08-12,46.989872
2022-08-16,40.747643
2022-08-17,42.541176
2022-08-18,50.146255
2022-08-19,49.06716
2022-08-22,48.106403
2022-08-23,46.81735
2022-08-24,47.21427
2022-08-25,46.533928
2022-08-26,46.831665
2022-08-29,45.7534
2022-08-30,46.797127
2022-09-01,45.809513
2022-09-02,45.89041
2022-09-05,38.498486
2022-09-06,45.528946
2022-09-07,44.199272
2022-09-08,46.512314
2022-09-09,44.871353
2022-09-12,47.252678
2022-09-13,42.19306
2022-09-14,54.345657
2022-09-15,52.522892
2022-09-16,55.848663
2022-09-19,44.384636
2022-09-20,65.21934
2022-09-21,46.678368
2022-09-22,42.837547
2022-09-23,46.04798
2022-09-26,47.69291
2022-09-27,47.729362
2022-09-28,52.3853
2022-09-29,46.59077
2022-09-30,46.10851
2022-10-03,47.098114
2022-10-04,45.60642
2022-10-06,45.008522
2022-10-07,41.90849
2022-10-10,43.87779
2022-10-11,46.003433
2022-10-12,46.364098
2022-10-13,45.935192
2022-10-14,44.04058
2022-10-17,45.13583
2022-10-18,43.61669
2022-10-19,45.511585
2022-10-20,46.501873
2022-10-21,37.461514
2022-10-24,46.632465
2022-10-25,43.95104
2022-10-27,45.025295
