date,iv_atm
2021-02-26,0.078125
2021-03-01,0.15625
2021-03-02,60.234375
2021-03-03,57.993164
2021-03-04,49.925346
2021-03-05,55.429688
2021-03-08,63.398438
2021-03-09,57.783203
2021-03-10,58.73535
2021-03-12,59.8291
2021-03-15,56.82617
2021-03-16,56.25
2021-03-17,48.164062
2021-03-18,49.208984
2021-03-19,45.722656
2021-03-22,47.539062
2021-03-23,50.820312
2021-03-24,66.75781
2021-03-25,46.313477
2021-03-26,0.625
2021-03-30,44.74121
2021-03-31,0.3125
2021-04-01,0.3125
2021-04-05,41.557617
2021-04-06,44.541016
2021-04-07,46.76758
2021-04-08,0.625
2021-04-09,42.910156
2021-04-12,46.953125
2021-04-13,43.85742
2021-04-15,42.13867
2021-04-16,54.492188
2021-04-19,38.5457
2021-04-20,42.65625
2021-04-22,40.566406
2021-04-23,47.70816
2021-04-26,0.625
2021-04-27,58.554688
2021-04-28,41.289062
2021-04-29,50.10742
2021-04-30,0.15625
2021-05-03,66.3607
2021-05-04,62.260742
2021-05-05,59.09668
2021-05-06,53.115234
2021-05-07,56.14258
2021-05-10,51.362305
2021-05-11,54.95117
2021-05-12,53.745117
2021-05-14,44.956055
2021-05-17,47.529297
2021-05-18,50.234375
2021-05-19,49.677734
2021-05-20,56.54297
2021-05-21,47.96875
2021-05-24,44.01367
2021-05-25,43.130997
2021-05-26,36.09375
2021-05-27,0.15625
2021-05-28,41.958008
2021-05-31,43.496094
2021-06-01,41.33789
2021-06-02,44.023438
2021-06-03,45.024414
2021-06-04,49.08203
2021-06-07,47.69151
2021-06-08,47.558594
2021-06-09,50.683594
2021-06-10,50.20996
2021-06-11,47.929688
2021-06-14,54.86328
2021-06-15,57.851562
2021-06-16,58.636368
2021-06-17,54.911858
2021-06-18,42.554222
2021-06-21,43.621994
2021-06-22,38.779022
2021-06-23,35.61907
2021-06-24,38.69475
2021-06-25,35.910725
2021-06-28,37.073883
2021-06-29,56.962143
2021-06-30,36.432987
2021-07-01,36.85476
2021-07-02,36.043808
2021-07-05,36.28308
2021-07-06,35.0276
2021-07-07,36.00439
2021-07-08,35.838905
2021-07-09,35.394905
2021-07-12,39.256954
2021-07-13,36.156147
2021-07-14,38.04185
2021-07-15,37.417423
2021-07-16,36.945164
2021-07-19,38.17473
2021-07-20,36.20162
2021-07-22,40.32564
2021-07-23,35.456776
2021-07-26,39.658535
2021-07-27,45.265022
2021-07-28,44.51391
2021-07-29,43.562263
2021-07-30,37.29967
2021-08-02,38.657032
2021-08-03,35.971954
2021-08-04,35.817616
2021-08-05,33.975765
2021-08-06,32.418633
2021-08-09,54.501476
2021-08-10,37.8912
2021-08-11,35.383793
2021-08-12,34.767597
2021-08-13,33.259132
2021-08-16,35.656517
2021-08-17,34.625847
2021-08-18,34.943275
2021-08-20,34.550632
2021-08-23,34.94326
2021-08-24,39.898003
2021-08-25,33.944954
2021-08-26,33.480988
2021-08-27,53.558697
2021-08-30,33.13462
2021-08-31,32.103912
2021-09-01,32.659927
2021-09-02,33.27754
2021-09-03,33.119152
2021-09-06,34.456734
2021-09-07,34.70618
2021-09-08,34.53556
2021-09-09,32.898373
2021-09-13,38.669724
2021-09-14,37.535255
2021-09-15,37.29077
2021-09-16,37.008453
2021-09-17,37.788498
2021-09-20,41.455376
2021-09-21,40.652252
2021-09-22,36.14049
2021-09-23,41.80658
2021-09-24,37.90987
2021-09-27,40.152496
2021-09-28,38.79328
2021-09-29,34.685947
2021-09-30,46.072784
2021-10-01,43.71621
2021-10-04,42.13431
2021-10-05,53.28535
2021-10-06,49.535305
2021-10-07,47.915115
2021-10-08,47.599792
2021-10-11,54.233612
2021-10-12,51.99838
2021-10-13,53.678192
2021-10-14,51.896866
2021-10-18,65.72414
2021-10-19,76.3178
2021-10-20,93.64949
2021-10-21,85.020645
2021-10-22,66.18642
2021-10-25,57.498688
2021-10-26,56.73465
2021-10-27,57.680706
2021-10-28,56.440212
2021-10-29,57.725834
2021-11-01,49.20291
2021-11-02,49.539078
2021-11-03,46.11327
2021-11-04,46.907223
2021-11-08,49.77666
2021-11-09,56.023266
2021-11-10,55.560658
2021-11-11,46.58655
2021-11-12,57.342552
2021-11-15,57.387157
2021-11-16,41.82719
2021-11-17,42.184113
2021-11-18,34.42782
2021-11-22,55.410465
2021-11-23,52.33451
2021-11-24,35.78804
2021-11-25,30.570595
2021-11-26,39.936684
2021-11-29,42.822243
2021-11-30,40.192986
2021-12-01,55.476242
2021-12-02,36.539604
2021-12-03,35.72202
2021-12-06,37.066494
2021-12-07,35.41067
2021-12-08,35.126472
2021-12-09,34.014225
2021-12-10,34.085724
2021-12-13,36.929592
2021-12-14,37.74696
2021-12-15,38.82439
2021-12-16,36.851276
2021-12-17,40.046345
2021-12-20,44.89246
2021-12-21,42.254993
2021-12-22,38.933857
2021-12-23,34.662746
2021-12-24,31.257214
2021-12-27,45.526356
2021-12-28,47.59654
2021-12-29,37.37847
2021-12-30,41.794514
2021-12-31,41.55783
2022-01-03,41.27227
2022-01-04,39.716698
2022-01-05,40.54138
2022-01-06,41.94937
2022-01-07,40.817627
2022-01-10,40.3196
2022-01-11,53.80229
2022-01-12,39.699524
2022-01-13,38.62919
2022-01-14,53.072784
2022-01-17,36.76954
2022-01-18,40.694683
2022-01-19,40.31567
2022-01-20,40.82373
2022-01-21,40.425335
2022-01-24,51.747528
2022-01-25,58.004345
2022-01-27,55.527943
2022-01-28,47.216003
2022-01-31,48.632477
2022-02-01,40.683872
2022-02-02,38.223934
2022-02-03,54.12763
2022-02-04,53.949245
2022-02-07,38.93555
2022-02-08,39.12282
2022-02-09,37.630753
2022-02-10,39.023182
2022-02-11,39.930805
2022-02-14,54.626904
2022-02-15,48.163494
2022-02-16,52.867683
2022-02-17,46.402348
2022-02-18,42.977604
2022-02-21,54.276134
2022-02-22,50.76735
2022-02-23,31.47863
2022-02-24,56.713287
2022-02-25,42.377445
2022-02-28,44.399185
2022-03-02,49.25304
2022-03-03,46.88213
2022-03-04,57.370716
2022-03-07,55.586967
2022-03-08,52.062523
2022-03-09,48.445995
2022-03-10,45.670048
2022-03-11,43.88591
2022-03-14,51.379044
2022-03-15,52.252445
2022-03-16,47.42031
2022-03-17,46.29605
2022-03-21,50.504425
2022-03-22,58.712135
2022-03-23,50.338226
2022-03-24,45.720596
2022-03-25,46.700546
2022-03-28,48.824078
2022-03-29,32.97721
2022-03-30,34.618042
2022-03-31,46.028008
2022-04-01,43.748207
2022-04-04,43.257996
2022-04-05,43.19543
2022-04-06,44.330128
2022-04-07,46.448334
2022-04-08,43.94432
2022-04-11,45.962784
2022-04-12,43.600185
2022-04-13,43.870033
2022-04-18,45.66681
2022-04-19,54.76926
2022-04-20,42.773617
2022-04-21,40.489597
2022-04-22,39.182087
2022-04-25,40.719425
2022-04-26,51.70596
2022-04-27,51.605118
2022-04-28,53.045216
2022-04-29,42.929832
2022-05-02,43.56243
2022-05-04,46.525753
2022-05-05,43.030792
2022-05-06,52.932163
2022-05-09,42.334816
2022-05-10,56.43039
2022-05-11,52.95951
2022-05-12,54.65605
2022-05-13,43.315216
2022-05-16,44.669033
2022-05-17,40.922253
2022-05-18,39.445847
2022-05-19,43.83311
2022-05-20,38.738426
2022-05-23,52.344517
2022-05-24,44.63874
2022-05-25,52.698215
2022-05-26,45.72561
2022-05-27,42.659878
2022-05-30,39.07241
2022-05-31,38.263836
2022-06-01,38.829914
2022-06-02,38.768738
2022-06-03,45.66823
2022-06-06,46.08052
2022-06-07,46.357063
2022-06-08,47.548637
