date,iv_atm
2017-07-04,34.39453
2017-07-05,32.82465
2017-07-06,30.784525
2017-07-07,30.742188
2017-07-10,40.507812
2017-07-11,33.515625
2017-07-12,31.660156
2017-07-13,33.359375
2017-07-14,32.7761
2017-07-17,36.347656
2017-07-18,39.23828
2017-07-19,44.316406
2017-07-20,44.500896
2017-07-21,44.492188
2017-07-24,48.063755
2017-07-25,40.742188
2017-07-27,27.071482
2017-07-28,29.208984
2017-07-31,28.886719
2017-08-01,27.515676
2017-08-02,27.177734
2017-08-03,29.394531
2017-08-04,32.285156
2017-08-07,25.878906
2017-08-08,27.421875
2017-08-09,38.45703
2017-08-10,41.054688
2017-08-11,42.460938
2017-08-14,39.61914
2017-08-16,32.52019
2017-08-17,31.25
2017-08-18,32.851562
2017-08-21,36.23047
2017-08-22,32.929688
2017-08-23,36.328125
2017-08-24,27.617188
2017-08-28,30.9375
2017-08-29,40.234375
2017-08-30,31.09375
2017-08-31,44.58008
2017-09-01,45.9375
2017-09-04,49.25892
2017-09-05,44.765625
2017-09-06,46.816406
2017-09-07,46.89453
2017-09-08,42.714844
2017-09-11,49.335938
2017-09-12,50.22461
2017-09-13,51.07422
2017-09-14,57.128906
2017-09-15,61.235962
2017-09-18,66.95097
2017-09-19,81.77734
2017-09-20,50.117188
2017-09-21,45.820312
2017-09-22,44.98047
2017-09-25,48.789062
2017-09-26,46.42578
2017-09-27,78.00781
2017-09-28,58.671875
2017-09-29,54.58008
2017-10-03,53.28125
2017-10-04,49.73963
2017-10-05,51.07422
2017-10-06,48.398438
2017-10-09,50.20508
2017-10-10,47.773438
2017-10-11,49.54914
2017-10-12,44.26758
2017-10-13,44.921875
2017-10-16,45.351562
2017-10-17,44.628906
2017-10-18,37.734375
2017-10-23,44.6875
2017-10-24,43.476562
2017-10-25,41.09375
2017-10-26,38.50586
2017-10-27,39.785156
2017-10-30,44.570312
2017-10-31,43.76953
2017-11-01,40.065536
2017-11-02,44.48242
2017-11-03,39.89258
2017-11-06,39.510822
2017-11-07,40.59766
2017-11-08,40.24542
2017-11-09,37.089844
2017-11-10,36.73828
2017-11-13,35.126953
2017-11-14,36.757812
2017-11-15,41.289062
2017-11-16,38.164062
2017-11-17,39.73633
2017-11-20,42.51953
2017-11-21,42.285156
2017-11-22,44.228516
2017-11-23,42.01172
2017-11-24,43.486668
2017-11-27,46.210938
2017-11-28,40.742188
2017-11-29,43.203125
2017-11-30,33.852543
2017-12-01,35.234375
2017-12-04,36.39191
2017-12-05,40.486843
2017-12-06,36.961716
2017-12-07,34.345703
2017-12-08,35.78125
2017-12-11,37.910156
2017-12-12,42.90039
2017-12-13,37.79297
2017-12-14,38.310547
2017-12-15,39.960938
2017-12-18,38.203125
2017-12-19,38.896484
2017-12-20,34.257812
2017-12-21,44.08203
2017-12-22,35.820312
2017-12-26,42.578125
2017-12-27,40.15625
2017-12-28,33.161694
2017-12-29,34.44288
2018-01-01,36.152344
2018-01-02,35.855145
2018-01-03,36.33789
2018-01-04,35.781906
2018-01-05,38.61527
2018-01-08,40.615234
2018-01-09,39.16992
2018-01-10,36.49414
2018-01-11,38.945312
2018-01-12,36.33789
2018-01-15,34.726562
2018-01-16,36.914062
2018-01-17,35.48828
2018-01-18,35.043056
2018-01-19,34.797478
2018-01-22,56.914062
2018-01-23,32.96875
2018-01-24,44.687294
2018-01-25,42.177734
2018-01-29,39.73633
2018-01-30,35.791016
2018-01-31,38.78105
2018-02-01,37.86133
2018-02-02,38.33008
2018-02-05,36.07422
2018-02-06,40.29297
2018-02-07,40.78125
2018-02-08,37.128906
2018-02-09,39.941406
2018-02-12,41.71875
2018-02-14,69.7168
2018-02-15,43.14453
2018-02-16,57.773438
2018-02-19,49.960938
2018-02-20,35.664062
2018-02-21,43.828125
2018-02-22,36.748047
2018-02-23,30.65066
2018-02-26,30.732422
2018-02-27,32.897743
2018-02-28,30.69336
2018-03-01,30.361328
2018-03-05,32.148438
2018-03-06,33.14453
2018-03-07,33.183594
2018-03-08,32.958984
2018-03-09,33.92578
2018-03-12,30.799015
2018-03-13,27.802734
2018-03-14,32.978516
2018-03-15,36.29883
2018-03-16,35.439453
2018-03-19,41.132812
2018-03-20,40.60547
2018-03-21,39.476208
2018-03-22,35.100723
2018-03-23,26.054688
2018-03-26,26.416903
2018-03-27,36.445312
2018-03-28,33.27067
2018-04-02,34.316406
2018-04-03,25.0
2018-04-04,35.585938
2018-04-05,36.953125
2018-04-06,36.728516
2018-04-09,34.296875
2018-04-10,38.52539
2018-04-11,36.533203
2018-04-12,37.16797
2018-04-13,34.32617
2018-04-16,35.0
2018-04-17,31.982422
2018-04-18,31.244884
2018-04-19,25.292969
2018-04-20,25.898438
2018-04-23,38.125
2018-04-24,41.25
2018-04-25,27.1875
2018-04-26,28.261719
2018-04-27,30.043945
2018-04-30,127.99805
2018-05-02,31.347656
2018-05-03,39.61914
2018-05-04,31.855469
2018-05-07,33.710938
2018-05-08,32.304688
2018-05-09,31.66506
2018-05-10,36.396484
2018-05-11,31.458538
2018-05-14,38.28125
2018-05-15,34.296875
2018-05-16,34.21875
2018-05-17,37.158203
2018-05-18,35.722656
2018-05-21,39.79492
2018-05-22,43.515625
2018-05-23,41.953125
2018-05-24,42.56836
2018-05-25,48.476562
2018-05-28,53.77331
2018-05-29,46.367188
2018-05-30,28.28125
2018-05-31,39.335938
2018-06-01,37.32422
2018-06-04,35.664062
2018-06-05,34.627552
2018-06-06,39.89746
2018-06-07,34.345703
2018-06-08,36.411774
2018-06-11,23.320312
2018-06-12,37.5
2018-06-13,39.58008
2018-06-14,40.966797
2018-06-15,41.35742
2018-06-18,41.347656
2018-06-19,40.996094
2018-06-20,38.339844
2018-06-21,33.720543
2018-06-22,30.498047
2018-06-25,32.90068
2018-06-26,51.445312
2018-06-27,31.757812
2018-06-28,35.686516
2018-06-29,34.991783
2018-07-02,36.0628
2018-07-03,36.4123
2018-07-04,36.220703
2018-07-05,35.635757
2018-07-06,37.08008
2018-07-09,37.148438
2018-07-10,37.65625
2018-07-11,40.08789
2018-07-12,41.367188
2018-07-13,39.98047
2018-07-16,47.353516
2018-07-17,45.15625
2018-07-18,45.44922
2018-07-19,49.902344
2018-07-20,40.077038
2018-07-23,53.164062
2018-07-24,46.09375
2018-07-25,53.085938
2018-07-26,33.603516
2018-07-27,39.55078
2018-07-30,37.23633
2018-07-31,37.09961
2018-08-01,36.65039
2018-08-02,37.939453
2018-08-03,38.271484
2018-08-06,37.802734
2018-08-07,36.20117
2018-08-08,36.933594
2018-08-09,36.035156
2018-08-10,35.26367
2018-08-13,37.304688
2018-08-14,32.382812
2018-08-16,33.085938
2018-08-17,31.25
2018-08-20,39.89258
2018-08-21,36.66992
2018-08-23,36.796875
2018-08-24,32.714844
2018-08-27,42.109375
2018-08-28,34.003906
2018-08-29,41.5625
2018-08-30,44.560547
2018-08-31,34.677734
2018-09-03,37.070312
2018-09-04,35.91797
2018-09-05,39.316406
2018-09-06,36.323242
2018-09-07,40.10742
2018-09-10,43.896484
2018-09-11,42.23633
2018-09-12,37.74414
2018-09-14,37.021317
2018-09-17,41.579605
2018-09-18,37.696815
2018-09-19,35.80078
2018-09-21,36.00586
2018-09-24,43.76953
2018-09-25,43.066406
2018-09-26,46.90734
2018-09-27,37.51953
2018-09-28,40.76172
2018-10-01,41.464844
2018-10-03,42.08496
2018-10-04,44.658203
2018-10-05,41.73828
2018-10-08,45.546875
2018-10-09,50.29297
2018-10-10,42.973633
2018-10-11,48.554688
2018-10-12,48.652344
2018-10-15,46.712585
2018-10-16,40.429688
2018-10-17,39.0625
2018-10-19,42.11914
2018-10-22,40.429688
2018-10-23,60.29297
2018-10-24,52.304688
2018-10-25,42.226562
2018-10-26,41.00586
2018-10-29,41.220703
2018-10-30,37.91992
2018-10-31,36.572266
2018-11-01,36.44043
2018-11-02,33.964844
2018-11-05,35.50293
2018-11-06,33.398438
2018-11-09,34.53125
2018-11-12,37.368164
2018-11-13,38.48633
2018-11-14,35.214844
2018-11-15,35.654297
2018-11-16,35.33203
2018-11-19,35.458984
2018-11-20,32.98828
2018-11-21,28.632812
2018-11-22,29.765625
2018-11-26,37.16797
2018-11-27,35.390625
2018-11-28,32.48047
2018-11-29,34.243164
2018-11-30,36.601562
2018-12-03,37.773438
2018-12-04,36.850586
2018-12-05,35.375977
2018-12-06,36.484375
2018-12-07,35.273438
2018-12-10,36.865234
2018-12-11,33.154297
2018-12-12,30.71289
2018-12-13,29.433594
2018-12-14,28.969727
2018-12-17,28.83789
2018-12-18,28.339844
2018-12-19,27.41211
2018-12-20,27.128906
2018-12-21,27.324219
2018-12-24,24.609375
2018-12-26,25.585938
2018-12-27,32.070312
2018-12-28,28.896484
2018-12-31,28.955078
2019-01-01,28.242188
2019-01-02,29.360352
2019-01-03,35.69336
2019-01-04,28.173828
2019-01-07,35.84961
2019-01-08,28.03711
2019-01-09,31.02539
2019-01-10,28.798828
2019-01-11,28.222656
2019-01-14,29.112309
2019-01-15,28.598606
2019-01-16,26.777344
2019-01-17,32.471035
2019-01-18,28.046875
2019-01-21,28.154297
2019-01-22,29.453125
2019-01-23,26.80664
2019-01-24,28.925781
2019-01-25,30.214844
2019-01-28,29.960938
2019-01-29,32.773438
2019-01-30,30.664062
2019-01-31,38.515625
2019-02-01,36.12793
2019-02-04,31.020508
2019-02-05,29.570312
2019-02-06,28.17871
2019-02-07,25.90332
2019-02-08,25.898438
2019-02-11,28.652344
2019-02-12,26.826172
2019-02-13,27.158203
2019-02-14,29.042969
2019-02-15,35.146484
2019-02-18,39.248047
2019-02-19,33.203125
2019-02-20,34.365234
2019-02-21,32.25586
2019-02-22,30.401133
2019-02-25,31.073063
2019-02-26,26.464844
2019-02-27,33.554688
2019-02-28,29.638672
2019-03-01,27.070312
2019-03-05,28.393555
2019-03-06,32.13867
2019-03-07,32.963867
2019-03-08,30.688477
2019-03-11,29.624023
2019-03-12,29.754866
2019-03-13,32.67477
2019-03-14,30.618145
2019-03-15,29.648438
2019-03-18,31.757812
2019-03-19,32.109375
2019-03-20,30.947266
2019-03-22,32.851765
2019-03-25,32.246094
2019-03-26,27.070312
2019-03-27,45.742188
2019-03-28,30.585938
2019-03-29,27.998047
2019-04-01,26.850586
2019-04-02,27.011719
2019-04-03,29.257812
2019-04-04,24.973969
2019-04-05,23.978527
2019-04-08,25.722656
2019-04-09,27.24121
2019-04-10,24.892578
2019-04-11,24.995117
2019-04-12,23.691406
2019-04-15,23.564453
2019-04-16,27.03125
2019-04-18,16.660156
2019-04-22,34.677734
2019-04-23,33.847656
2019-04-24,15.566406
2019-04-25,25.05371
2019-04-26,23.051758
2019-04-30,24.985352
2019-05-02,29.350586
2019-05-03,33.862305
2019-05-06,35.566406
2019-05-07,36.240234
2019-05-08,43.39396
2019-05-09,66.552734
2019-05-10,39.926758
2019-05-13,41.899414
2019-05-14,40.620117
2019-05-15,44.521484
2019-05-16,56.967773
2019-05-17,43.80371
2019-05-20,46.88965
2019-05-21,50.234375
2019-05-22,57.353516
2019-05-23,40.478516
2019-05-24,148.75
2019-05-27,47.20703
2019-05-28,43.88672
2019-05-29,50.390625
2019-05-30,31.220703
2019-05-31,31.289062
2019-06-03,27.22168
2019-06-04,28.95996
2019-06-06,29.697266
2019-06-07,28.554688
2019-06-10,30.595703
2019-06-11,31.220703
2019-06-12,26.358414
2019-06-13,26.416016
2019-06-14,28.925781
2019-06-17,27.373047
2019-06-18,26.640625
2019-06-19,20.878906
2019-06-20,24.560547
2019-06-21,21.484375
2019-06-24,25.898438
2019-06-25,26.601562
2019-06-26,34.448578
2019-06-27,26.699219
2019-06-28,27.729492
2019-07-01,27.617188
2019-07-02,29.047852
2019-07-03,27.666016
2019-07-04,29.160156
2019-07-05,25.53711
2019-07-08,27.96875
2019-07-09,25.644531
2019-07-10,27.519531
2019-07-11,26.904297
2019-07-12,23.476562
2019-07-15,26.064453
2019-07-16,24.550781
2019-07-17,27.304688
2019-07-18,29.042969
2019-07-19,27.373047
2019-07-22,42.441406
2019-07-23,16.40625
2019-07-24,19.335938
2019-07-25,26.079102
2019-07-26,26.723633
