date,iv_atm
2017-07-04,37.79297
2017-07-05,37.148438
2017-07-06,36.220703
2017-07-07,35.953144
2017-07-10,37.578125
2017-07-11,39.433594
2017-07-12,36.549896
2017-07-13,37.05078
2017-07-14,36.660156
2017-07-17,37.8125
2017-07-18,37.98828
2017-07-19,39.19922
2017-07-20,36.25
2017-07-21,36.015625
2017-07-24,41.132812
2017-07-25,50.46875
2017-07-27,37.441406
2017-07-28,35.91797
2017-07-31,36.289062
2017-08-01,35.029297
2017-08-02,33.271484
2017-08-03,32.490234
2017-08-04,33.17383
2017-08-07,34.257812
2017-08-08,35.76172
2017-08-09,39.833984
2017-08-10,52.16797
2017-08-11,49.492188
2017-08-14,43.834873
2017-08-16,41.132812
2017-08-17,42.953342
2017-08-18,43.889267
2017-08-21,43.92578
2017-08-22,40.507812
2017-08-23,34.375
2017-08-24,32.79297
2017-08-28,38.828125
2017-08-29,56.379936
2017-08-30,49.21875
2017-08-31,40.17578
2017-09-01,38.515625
2017-09-04,39.785156
2017-09-05,38.07617
2017-09-06,37.626205
2017-09-07,36.16211
2017-09-08,36.688343
2017-09-11,37.72461
2017-09-12,37.177734
2017-09-13,37.27942
2017-09-14,35.722656
2017-09-15,36.69922
2017-09-18,41.015625
2017-09-19,36.777344
2017-09-20,40.3125
2017-09-21,39.960938
2017-09-22,36.679688
2017-09-25,35.039062
2017-09-26,34.414062
2017-09-27,44.21875
2017-09-28,41.523438
2017-09-29,38.76953
2017-10-03,37.29492
2017-10-04,36.523438
2017-10-05,35.478516
2017-10-06,34.82422
2017-10-09,35.33203
2017-10-10,35.146484
2017-10-11,35.390625
2017-10-12,32.32422
2017-10-13,32.460938
2017-10-16,33.398438
2017-10-17,28.323317
2017-10-18,26.313671
2017-10-23,27.620987
2017-10-24,37.578125
2017-10-25,36.274994
2017-10-26,37.67578
2017-10-27,37.177734
2017-10-30,42.76367
2017-10-31,36.63086
2017-11-01,37.01172
2017-11-02,36.42578
2017-11-03,35.53711
2017-11-06,35.634766
2017-11-07,39.765625
2017-11-08,38.41797
2017-11-09,37.460938
2017-11-10,36.71875
2017-11-13,37.265625
2017-11-14,37.31622
2017-11-15,39.921875
2017-11-16,36.82582
2017-11-17,36.59111
2017-11-20,39.296875
2017-11-21,40.80078
2017-11-22,42.03125
2017-11-23,38.90625
2017-11-24,38.164062
2017-11-27,46.455845
2017-11-28,41.796875
2017-11-29,59.375
2017-11-30,35.390625
2017-12-01,39.179688
2017-12-04,38.720703
2017-12-05,36.54297
2017-12-06,38.208565
2017-12-07,36.05022
2017-12-08,35.253906
2017-12-11,36.25
2017-12-12,37.495388
2017-12-13,40.13682
2017-12-14,41.289062
2017-12-15,37.246094
2017-12-18,34.746094
2017-12-19,32.070312
2017-12-20,32.96875
2017-12-21,31.875
2017-12-22,26.171875
2017-12-26,31.796875
2017-12-27,37.109375
2017-12-28,34.628906
2017-12-29,35.458984
2018-01-01,38.720703
2018-01-02,37.597656
2018-01-03,37.929688
2018-01-04,37.48047
2018-01-05,36.78711
2018-01-08,38.30078
2018-01-09,38.28125
2018-01-10,39.208984
2018-01-11,39.277344
2018-01-12,38.066406
2018-01-15,40.898438
2018-01-16,42.910156
2018-01-17,39.765625
2018-01-18,44.21875
2018-01-19,34.55078
2018-01-22,38.379898
2018-01-23,43.671875
2018-01-24,48.164062
2018-01-25,39.335938
2018-01-29,41.367188
2018-01-30,42.83203
2018-01-31,39.472656
2018-02-01,37.36328
2018-02-02,40.33203
2018-02-05,37.890625
2018-02-06,44.73633
2018-02-07,44.04297
2018-02-08,42.714844
2018-02-09,39.08203
2018-02-12,40.86914
2018-02-14,38.320312
2018-02-15,39.0625
2018-02-16,30.664062
2018-02-19,47.578125
2018-02-20,43.632812
2018-02-21,42.1875
2018-02-22,33.15685
2018-02-23,31.220703
2018-02-26,31.748047
2018-02-27,32.09961
2018-02-28,32.11914
2018-03-01,31.25
2018-03-05,32.54883
2018-03-06,34.77539
2018-03-07,36.376953
2018-03-08,32.285156
2018-03-09,31.259766
2018-03-12,32.36328
