date,iv_atm
2017-07-04,13.496094
2017-07-05,13.427734
2017-07-06,30.605469
2017-07-07,20.039062
2017-07-10,20.185547
2017-07-11,276.6211
2017-07-12,286.2207
2017-07-13,18.173828
2017-07-14,19.414062
2017-07-17,31.679688
2017-07-18,110.9668
2017-07-19,21.054688
2017-07-20,125.97656
2017-07-21,26.484375
2017-07-24,26.324015
2017-07-25,35.366882
2017-07-27,10.722656
2017-07-28,27.456055
2017-07-31,63.151764
2017-08-01,105.771484
2017-08-02,40.53711
2017-08-03,108.76953
2017-08-04,24.013672
2017-08-07,35.10742
2017-08-08,26.49414
2017-08-09,52.021484
2017-08-10,191.96931
2017-08-11,196.67445
2017-08-14,68.80859
2017-08-16,75.74219
2017-08-17,77.98828
2017-08-18,79.49219
2017-08-21,277.285
2017-08-22,330.1172
2017-08-23,308.04602
2017-08-24,20.352377
2017-08-28,22.382812
2017-08-29,32.929688
2017-08-30,31.899776
2017-08-31,46.435547
2017-09-01,25.644531
2017-09-04,85.76172
2017-09-05,50.51758
2017-09-06,104.35547
2017-09-07,26.835938
2017-09-08,26.503906
2017-09-11,58.027344
2017-09-12,24.472656
2017-09-13,24.023438
2017-09-14,42.597656
2017-09-15,42.939453
2017-09-18,31.421482
2017-09-19,31.816406
2017-09-20,51.523438
2017-09-21,28.027344
2017-09-22,57.36328
2017-09-25,51.367188
2017-09-26,11.533368
2017-09-27,38.4375
2017-09-28,22.41211
2017-09-29,185.72266
2017-10-03,28.134766
2017-10-04,28.779297
2017-10-05,26.064453
2017-10-06,23.115234
2017-10-09,25.800781
2017-10-10,39.589844
2017-10-11,34.23828
2017-10-12,24.69308
2017-10-13,37.34375
2017-10-16,28.75
2017-10-17,44.052734
2017-10-18,24.101562
2017-10-23,57.304688
2017-10-24,29.023438
2017-10-25,84.765625
2017-10-26,74.16992
2017-10-27,64.677734
2017-10-30,24.169922
2017-10-31,71.34766
2017-11-01,35.26367
2017-11-02,29.6875
2017-11-03,90.234375
2017-11-06,29.228516
2017-11-07,102.1582
2017-11-08,31.865234
2017-11-09,23.90625
2017-11-10,24.54621
2017-11-13,55.664062
2017-11-14,21.25
2017-11-15,120.83984
2017-11-16,23.125
2017-11-17,25.097656
2017-11-20,25.644531
2017-11-21,36.35742
2017-11-22,23.847656
2017-11-23,24.785156
2017-11-24,189.78516
2017-11-27,27.070312
2017-11-28,26.835938
2017-11-29,43.75
2017-11-30,18.095703
2017-12-01,29.765625
2017-12-04,95.49805
2017-12-05,98.56445
2017-12-06,53.984375
2017-12-07,28.691406
2017-12-08,58.027344
2017-12-11,26.411554
2017-12-12,34.75586
2017-12-13,30.419922
2017-12-14,18.154297
2017-12-15,30.664062
2017-12-18,33.59375
2017-12-19,30.921816
2017-12-20,26.308594
2017-12-21,25.15625
2017-12-22,39.55078
2017-12-26,34.0625
2017-12-27,58.828125
2017-12-28,32.314453
