date,iv_atm
2021-08-27,40.239487
2021-08-30,40.24999
2021-08-31,42.49073
2021-09-01,41.923107
2021-09-02,45.235806
2021-09-03,45.89463
2021-09-06,50.442173
2021-09-07,50.821148
2021-09-08,50.231983
2021-09-09,52.244583
2021-09-13,54.127144
2021-09-14,53.545933
2021-09-15,51.848175
2021-09-16,55.213352
2021-09-17,54.619534
2021-09-20,69.01034
2021-09-21,62.77911
2021-09-22,54.234867
2021-09-23,53.613384
2021-09-24,48.420452
2021-09-27,59.21789
2021-09-28,46.10137
2021-09-29,48.376366
2021-09-30,60.857655
2021-10-01,46.07898
2021-10-04,52.223904
2021-10-05,54.80271
2021-10-06,53.449566
2021-10-07,52.247967
2021-10-08,53.893623
2021-10-11,58.58483
2021-10-12,56.722294
2021-10-13,58.003147
2021-10-14,61.345184
2021-10-18,76.0008
2021-10-19,75.021736
2021-10-20,65.172615
2021-10-21,56.52167
2021-10-22,38.781788
2021-10-25,40.129833
2021-10-26,26.48927
2021-10-27,39.449078
2021-10-28,44.550583
2021-10-29,47.727028
2021-11-01,47.01331
2021-11-02,47.39325
2021-11-03,46.842102
2021-11-04,39.171806
2021-11-08,47.607872
2021-11-09,42.13303
2021-11-10,48.34986
2021-11-11,51.496693
2021-11-12,40.327427
2021-11-15,42.123447
2021-11-16,37.63976
2021-11-17,34.07138
2021-11-18,31.192142
2021-11-22,36.45242
2021-11-23,37.259018
2021-11-24,30.754915
2021-11-25,29.555685
2021-11-26,33.652233
2021-11-29,37.52787
2021-11-30,45.058315
2021-12-01,34.899807
2021-12-02,32.917625
2021-12-03,34.052906
2021-12-06,44.8001
2021-12-07,35.91931
2021-12-08,35.600403
2021-12-09,37.35058
2021-12-10,34.526424
2021-12-13,38.27841
2021-12-14,35.01079
2021-12-15,43.326412
2021-12-16,33.74543
2021-12-17,35.09732
2021-12-20,45.33472
2021-12-21,33.802868
2021-12-22,30.640821
2021-12-23,24.864208
2021-12-24,23.890436
2021-12-27,21.800325
2021-12-28,28.549627
2021-12-29,45.02014
2021-12-30,41.927444
2021-12-31,33.15856
2022-01-03,32.573418
2022-01-04,33.42324
2022-01-05,34.957134
2022-01-06,34.687134
2022-01-07,30.8694
2022-01-10,34.082058
2022-01-11,43.64348
2022-01-12,32.173843
2022-01-13,31.524815
2022-01-14,30.93145
2022-01-17,32.963512
2022-01-18,34.281723
2022-01-19,34.249073
2022-01-20,33.203335
2022-01-21,43.059288
2022-01-24,35.135357
2022-01-25,40.751026
2022-01-27,40.575912
2022-01-28,46.697407
2022-01-31,48.84793
2022-02-01,37.6101
2022-02-02,40.708828
2022-02-03,39.765636
2022-02-04,38.82366
2022-02-07,41.651993
2022-02-08,37.403328
2022-02-09,38.230835
2022-02-10,40.361244
2022-02-11,54.951206
2022-02-14,56.556362
2022-02-15,29.440197
2022-02-16,29.028923
2022-02-17,40.788303
2022-02-18,56.1732
2022-02-21,41.601616
2022-02-22,44.007442
2022-02-23,43.251736
2022-02-24,42.33955
2022-02-25,42.45853
2022-02-28,41.60594
2022-03-02,38.13754
2022-03-03,39.163403
2022-03-04,42.08188
2022-03-07,42.122147
2022-03-08,40.711624
2022-03-09,41.339897
2022-03-10,43.61145
2022-03-11,46.019733
2022-03-14,47.680874
2022-03-15,46.891575
2022-03-16,48.26086
2022-03-17,43.791096
2022-03-21,50.900993
2022-03-22,44.636543
2022-03-23,47.974964
2022-03-24,52.518208
2022-03-25,45.6727
2022-03-28,49.594723
2022-03-29,39.480827
2022-03-30,43.7341
2022-03-31,42.238274
2022-04-01,42.647305
2022-04-04,43.96011
2022-04-05,42.514355
2022-04-06,44.56022
2022-04-07,46.10425
2022-04-08,43.313812
2022-04-11,42.77935
2022-04-12,40.671726
2022-04-13,39.34135
2022-04-18,42.83979
2022-04-19,39.57901
2022-04-20,36.879223
2022-04-21,36.674572
2022-04-22,35.59607
2022-04-25,36.216198
2022-04-26,46.981842
2022-04-27,39.156605
2022-04-28,42.806675
2022-04-29,36.427753
2022-05-02,39.13712
2022-05-04,43.109756
2022-05-05,39.885017
2022-05-06,40.97451
2022-05-09,37.910873
2022-05-10,38.82298
2022-05-11,41.522434
2022-05-12,44.666275
2022-05-13,46.607754
2022-05-16,42.902225
2022-05-17,37.049095
2022-05-18,37.301037
2022-05-19,42.092716
2022-05-20,37.559437
2022-05-23,45.841938
2022-05-24,43.25977
2022-05-25,37.805733
2022-05-26,41.551567
2022-05-27,38.76892
2022-05-30,36.93632
2022-05-31,37.486053
2022-06-01,39.076557
2022-06-02,38.496933
2022-06-03,37.83837
2022-06-06,38.41498
2022-06-07,39.8724
2022-06-08,42.023727
2022-06-09,39.56462
2022-06-10,39.83302
2022-06-13,41.675644
2022-06-14,41.864574
2022-06-15,42.29132
2022-06-16,41.87191
2022-06-17,42.574745
2022-06-20,50.624016
2022-06-21,45.193394
2022-06-22,45.624466
2022-06-23,42.775352
2022-06-24,39.410942
2022-06-27,37.787464
2022-06-28,39.50119
2022-06-29,44.43752
2022-06-30,37.623985
2022-07-01,38.46671
2022-07-04,37.673687
2022-07-05,35.98915
2022-07-06,38.300106
2022-07-07,39.710133
2022-07-08,39.37976
2022-07-11,41.466015
2022-07-12,43.728268
2022-07-13,42.343685
2022-07-14,42.853436
2022-07-15,40.837627
2022-07-18,40.627617
2022-07-19,38.832745
2022-07-20,35.22008
2022-07-21,34.219418
2022-07-22,34.11943
2022-07-25,37.548542
2022-07-26,35.15846
2022-07-27,37.991978
2022-07-28,38.540455
2022-07-29,36.653133
2022-08-01,38.21096
2022-08-02,39.15073
2022-08-03,41.061775
2022-08-04,38.85578
2022-08-05,38.452568
2022-08-08,41.82458
2022-08-10,42.42551
2022-08-11,43.125515
2022-08-12,42.90578
2022-08-16,42.318436
2022-08-17,42.469444
2022-08-18,41.418102
2022-08-19,41.86156
2022-08-22,47.805794
2022-08-23,43.686497
2022-08-24,31.553736
2022-08-25,36.51807
2022-08-26,43.672367
2022-08-29,37.74499
2022-08-30,37.143555
2022-09-01,38.735508
2022-09-02,37.334286
2022-09-05,38.92064
2022-09-06,38.94906
2022-09-07,39.38484
2022-09-08,38.880226
2022-09-09,37.792835
2022-09-12,42.558674
2022-09-13,42.52185
2022-09-14,44.45793
2022-09-15,46.289387
2022-09-16,49.920444
2022-09-19,53.071568
2022-09-20,49.653267
2022-09-21,47.603336
2022-09-22,45.495754
2022-09-23,39.215218
2022-09-26,37.328148
2022-09-27,40.40172
2022-09-28,37.045223
2022-09-29,38.647102
2022-09-30,38.6331
2022-10-03,41.9566
2022-10-04,38.05615
2022-10-06,39.868755
2022-10-07,38.609673
2022-10-10,38.453293
2022-10-11,40.249443
2022-10-12,38.49338
2022-10-13,38.74915
2022-10-14,36.03009
2022-10-17,38.058712
2022-10-18,37.594685
2022-10-19,37.749424
2022-10-20,35.567886
2022-10-21,28.163319
2022-10-24,30.267471
2022-10-25,26.359343
2022-10-27,34.562965
2022-10-28,33.82392
2022-10-31,33.513885
2022-11-01,42.902527
2022-11-02,32.017735
2022-11-03,32.64601
2022-11-04,32.24354
2022-11-07,39.574127
2022-11-09,38.993927
2022-11-10,39.929768
2022-11-11,38.929455
2022-11-14,37.952663
2022-11-15,37.852837
2022-11-16,37.056736
2022-11-17,36.519394
2022-11-18,28.980726
2022-11-21,33.16461
2022-11-22,32.188557
2022-11-23,21.309675
2022-11-24,31.853745
2022-11-25,30.327354
2022-11-28,31.189095
2022-11-29,30.828222
2022-11-30,30.041395
2022-12-01,30.407572
2022-12-02,31.5715
2022-12-05,32.55273
2022-12-06,33.664204
2022-12-07,33.18468
2022-12-08,32.383377
2022-12-09,31.600567
2022-12-12,32.359005
2022-12-13,32.875374
2022-12-14,31.024292
2022-12-15,27.774231
2022-12-16,26.18388
2022-12-19,28.44247
2022-12-20,27.778423
2022-12-21,28.481598
2022-12-22,26.66652
2022-12-23,27.075556
2022-12-26,34.84055
2022-12-27,31.482723
2022-12-28,27.715218
2022-12-29,29.507566
2022-12-30,28.271091
2023-01-02,29.961674
2023-01-03,29.39019
2023-01-04,31.987759
2023-01-05,41.830547
2023-01-06,30.255024
2023-01-09,31.236057
2023-01-10,30.481607
2023-01-11,32.453278
2023-01-12,31.878262
2023-01-13,30.240358
2023-01-16,32.88177
2023-01-17,32.270237
2023-01-18,31.601522
2023-01-19,29.088123
2023-01-20,24.387066
2023-01-23,26.721857
2023-01-24,23.782085
2023-01-25,29.00235
2023-01-27,33.271175
2023-01-30,36.542797
2023-01-31,37.70184
2023-02-01,40.804256
2023-02-02,41.38118
2023-02-03,39.063137
2023-02-06,41.090164
2023-02-07,37.722286
2023-02-08,35.26529
2023-02-09,31.947844
2023-02-10,30.260427
2023-02-13,32.304688
2023-02-14,30.331825
2023-02-15,29.946121
2023-02-16,34.625458
2023-02-17,32.688488
2023-02-20,32.76615
2023-02-21,27.790688
2023-02-22,35.189156
2023-02-23,30.60641
2023-02-24,28.769596
2023-02-27,29.58967
2023-02-28,28.927872
2023-03-01,28.7557
2023-03-02,28.908415
2023-03-03,29.852146
2023-03-06,29.518412
2023-03-08,32.474243
2023-03-09,31.09434
2023-03-10,32.166485
2023-03-13,34.717506
2023-03-14,32.4787
2023-03-15,33.20098
2023-03-16,32.762066
2023-03-17,32.481056
2023-03-20,38.22013
2023-03-21,34.671444
2023-03-22,33.427322
2023-03-23,26.4649
2023-03-24,18.852837
2023-03-27,30.080751
2023-03-28,28.018772
2023-03-29,27.267399
2023-03-31,29.891518
2023-04-03,30.140678
2023-04-05,30.69684
2023-04-06,29.037611
2023-04-10,29.353687
2023-04-11,28.49305
2023-04-12,28.27414
2023-04-13,26.494583
2023-04-17,31.235708
2023-04-18,30.784588
2023-04-19,30.05511
2023-04-20,30.540493
2023-04-21,25.705853
2023-04-24,22.744524
2023-04-25,21.610203
2023-04-26,16.230835
2023-04-27,26.648367
2023-04-28,26.862293
2023-05-02,26.760597
2023-05-03,27.494593
2023-05-04,30.05292
2023-05-05,29.418028
2023-05-08,31.426489
2023-05-09,33.903343
2023-05-10,33.894436
2023-05-11,34.066517
2023-05-12,30.968481
2023-05-15,28.484324
2023-05-16,28.021513
2023-05-17,27.914913
2023-05-18,28.14312
2023-05-19,19.435423
2023-05-22,23.147444
2023-05-23,27.43999
2023-05-24,21.771315
2023-05-25,28.13332
2023-05-26,29.410116
2023-05-29,30.430006
2023-05-30,29.49598
2023-05-31,31.510363
2023-06-01,30.936468
2023-06-02,27.807371
2023-06-05,30.523993
2023-06-06,30.834286
2023-06-07,33.187084
2023-06-08,31.674318
2023-06-09,45.194233
2023-06-12,49.12629
2023-06-13,47.564762
2023-06-14,49.46788
2023-06-15,48.52412
2023-06-16,47.937805
2023-06-19,55.212765
2023-06-20,46.613197
2023-06-21,35.385525
2023-06-22,47.092
2023-06-23,40.404392
2023-06-26,28.242441
2023-06-27,20.228228
2023-06-28,32.567207
2023-06-30,35.5145
2023-07-03,35.61386
2023-07-04,34.70254
2023-07-05,35.610153
2023-07-06,35.825436
2023-07-07,38.679276
2023-07-10,41.422646
2023-07-11,42.128284
2023-07-12,39.549576
2023-07-13,37.90483
2023-07-14,35.62415
2023-07-17,41.286346
2023-07-18,38.33462
2023-07-19,38.594288
2023-07-20,36.28199
2023-07-21,32.902363
2023-07-24,36.199898
2023-07-25,25.400482
2023-07-26,18.137192
2023-07-27,29.967014
2023-07-28,32.497246
2023-07-31,33.56583
2023-08-01,33.1961
2023-08-02,33.113636
2023-08-03,33.03033
2023-08-04,32.437668
2023-08-07,33.734566
2023-08-08,33.141636
2023-08-09,33.977608
2023-08-10,36.15653
2023-08-11,34.226334
2023-08-14,32.69085
2023-08-16,31.496544
2023-08-17,30.796822
2023-08-18,29.044033
2023-08-21,27.675901
2023-08-22,30.98339
2023-08-23,42.039707
2023-08-24,32.809746
2023-08-25,29.064995
2023-08-28,28.158556
2023-08-29,25.274048
2023-08-30,19.292614
2023-08-31,34.142975
2023-09-01,32.299362
2023-09-04,34.2055
2023-09-05,33.53474
2023-09-06,32.225048
2023-09-07,31.721832
2023-09-08,31.802322
2023-09-11,33.45967
2023-09-12,33.06698
2023-09-13,30.167595
2023-09-14,29.313948
2023-09-15,28.423437
2023-09-18,34.106934
2023-09-20,33.99919
2023-09-21,30.253572
2023-09-22,21.967281
2023-09-25,16.969898
2023-09-26,25.441072
2023-09-27,20.104462
2023-09-28,40.751957
2023-09-29,27.880955
2023-10-03,28.151934
