date,iv_atm
2017-07-04,20.742188
2017-07-05,20.078125
2017-07-06,19.404297
2017-07-07,20.488281
2017-07-10,20.06836
2017-07-11,21.542969
2017-07-12,21.582031
2017-07-13,21.425781
2017-07-14,20.527344
2017-07-17,23.808594
2017-07-18,23.984375
2017-07-19,27.285156
2017-07-20,26.09375
2017-07-21,28.242607
2017-07-24,39.414062
2017-07-25,46.367188
2017-07-27,23.50586
2017-07-28,21.25
2017-07-31,21.3436
2017-08-01,21.386719
2017-08-02,21.210938
2017-08-03,21.02539
2017-08-04,20.984049
2017-08-07,20.86914
2017-08-08,19.345703
2017-08-09,19.853516
2017-08-10,26.230469
2017-08-11,22.72461
2017-08-14,22.509766
2017-08-16,20.976562
2017-08-17,19.789974
2017-08-18,19.472656
2017-08-21,20.878906
2017-08-22,18.98994
2017-08-23,17.938402
2017-08-24,17.695312
2017-08-28,20.9375
2017-08-29,24.414062
2017-08-30,25.859375
2017-08-31,19.189453
2017-09-01,20.234375
2017-09-04,21.290861
2017-09-05,21.855469
2017-09-06,21.777344
2017-09-07,21.328125
2017-09-08,19.648438
2017-09-11,20.498047
2017-09-12,19.316406
2017-09-13,19.59961
2017-09-14,18.359375
2017-09-15,16.894531
2017-09-18,20.078125
2017-09-19,19.257812
2017-09-20,18.652344
2017-09-21,21.601562
2017-09-22,21.464844
2017-09-25,24.296875
2017-09-26,30.243605
2017-09-27,25.273438
2017-09-28,21.464844
2017-09-29,20.958906
2017-10-03,21.679688
2017-10-04,20.527344
2017-10-05,22.722982
2017-10-06,23.535156
2017-10-09,23.417969
2017-10-10,25.88128
2017-10-11,25.791016
2017-10-12,26.582031
2017-10-13,24.6875
2017-10-16,26.47461
2017-10-17,30.429688
2017-10-18,30.722656
2017-10-23,42.96875
2017-10-24,54.414062
2017-10-25,46.640625
2017-10-26,23.330078
2017-10-27,21.020508
2017-10-30,23.183594
2017-10-31,21.616777
2017-11-01,21.835938
2017-11-02,19.857859
2017-11-03,20.263672
2017-11-06,21.113281
2017-11-07,22.148438
2017-11-08,22.1875
2017-11-09,22.509766
2017-11-10,20.3125
2017-11-13,21.357422
2017-11-14,20.644531
2017-11-15,21.914062
2017-11-16,22.373047
2017-11-17,22.304688
2017-11-20,23.496094
2017-11-21,22.363281
2017-11-22,21.367188
2017-11-23,23.222656
2017-11-24,21.835938
2017-11-27,23.125
2017-11-28,23.085938
2017-11-29,25.3125
2017-11-30,20.771484
2017-12-01,21.640625
2017-12-04,20.283203
2017-12-05,20.732422
2017-12-06,20.390625
2017-12-07,19.638672
2017-12-08,18.945312
2017-12-11,19.628906
2017-12-12,19.951172
2017-12-13,19.980469
2017-12-14,20.644531
2017-12-15,19.550781
2017-12-18,18.945312
2017-12-19,18.886719
2017-12-20,18.476562
2017-12-21,18.261719
2017-12-22,17.462112
2017-12-26,24.84375
2017-12-27,22.304688
2017-12-28,15.46875
2017-12-29,20.820312
2018-01-01,22.27539
2018-01-02,23.40332
2018-01-03,23.836601
2018-01-04,24.146925
2018-01-05,24.59389
2018-01-08,25.282576
2018-01-09,28.623047
2018-01-10,30.38086
2018-01-11,29.360134
2018-01-12,28.27857
2018-01-15,32.51953
2018-01-16,33.98842
2018-01-17,36.85547
2018-01-18,37.6171
2018-01-19,21.757812
2018-01-22,27.65625
2018-01-23,34.570312
2018-01-24,67.30469
2018-01-25,27.373047
2018-01-29,27.958984
2018-01-30,26.78711
2018-01-31,27.753906
2018-02-01,25.878906
2018-02-02,27.314453
2018-02-05,29.453125
2018-02-06,34.95117
2018-02-07,31.80664
2018-02-08,29.492188
2018-02-09,30.361328
2018-02-12,29.293531
2018-02-14,28.007812
2018-02-15,24.433594
2018-02-16,25.019531
2018-02-19,35.878906
2018-02-20,34.648438
2018-02-21,31.640625
2018-02-22,21.611328
2018-02-23,22.460938
2018-02-26,22.440037
2018-02-27,22.070312
2018-02-28,23.535156
2018-03-01,22.037685
2018-03-05,25.009766
2018-03-06,24.0625
2018-03-07,23.134766
2018-03-08,22.640364
2018-03-09,23.164062
2018-03-12,23.828125
2018-03-13,24.326172
2018-03-14,23.935547
2018-03-15,23.144531
2018-03-16,24.658203
2018-03-19,26.71875
