date,iv_atm
2020-02-28,33.984375
2020-03-02,40.04883
2020-03-03,37.5
2020-03-04,41.484375
2020-03-05,33.085938
2020-03-06,34.433594
2020-03-09,55.351562
2020-03-11,46.757812
2020-03-12,37.304688
2020-03-13,64.921875
2020-03-16,92.96875
2020-03-17,77.890625
2020-03-18,0.3125
2020-03-19,162.10938
2020-03-20,99.851746
2020-03-23,5.0
2020-03-24,88.359375
2020-03-25,73.515625
2020-03-26,99.75586
2020-03-27,76.71875
2020-03-30,0.625
2020-03-31,0.625
2020-04-01,82.44141
2020-04-03,54.55078
2020-04-07,171.60156
2020-04-08,55.80078
2020-04-09,57.34375
2020-04-13,89.19922
2020-04-15,103.999756
2020-04-16,0.3125
2020-04-17,58.90625
2020-04-20,57.515816
2020-04-21,58.778507
2020-04-22,54.51172
2020-04-23,63.632812
2020-04-24,77.1875
2020-04-27,101.5625
2020-04-28,64.296875
2020-04-29,46.71875
2020-04-30,41.71875
2020-05-04,54.902344
2020-05-05,55.078125
2020-05-06,52.421875
2020-05-07,50.60547
2020-05-08,51.015625
2020-05-11,48.73047
2020-05-12,48.710938
2020-05-13,53.203125
2020-05-14,57.578125
2020-05-15,56.5625
2020-05-18,52.695312
2020-05-19,47.929688
2020-05-20,46.757812
2020-05-21,40.039062
2020-05-22,49.140625
2020-05-26,54.453125
2020-05-27,62.65625
2020-05-28,37.83203
2020-05-29,34.648438
2020-06-01,41.777344
2020-06-02,43.22224
2020-06-03,52.83203
2020-06-04,42.058975
2020-06-05,39.941406
2020-06-08,42.109375
2020-06-09,42.16797
2020-06-10,42.148438
2020-06-11,42.421875
2020-06-12,41.152344
2020-06-15,44.98047
2020-06-16,40.546875
2020-06-17,40.234375
2020-06-18,40.507812
2020-06-19,34.375
2020-06-22,39.375
2020-06-23,44.648438
2020-06-24,50.703125
2020-06-25,38.828125
2020-06-26,40.878906
2020-06-29,36.875
2020-06-30,35.996094
2020-07-01,34.785156
2020-07-02,33.828125
2020-07-03,34.203056
2020-07-06,35.314224
2020-07-07,33.803856
2020-07-08,36.679688
2020-07-09,37.67578
2020-07-10,36.23047
2020-07-13,38.691406
2020-07-14,39.414062
2020-07-15,37.899303
2020-07-16,35.898438
2020-07-17,37.714844
2020-07-20,48.30174
2020-07-21,41.816406
2020-07-22,43.007812
2020-07-23,35.0
2020-07-24,32.088608
2020-07-27,38.75
2020-07-28,39.296875
2020-07-29,45.78125
2020-07-30,40.859375
2020-07-31,39.35547
2020-08-03,36.953125
2020-08-04,34.716797
2020-08-05,34.677734
2020-08-06,35.351696
2020-08-07,33.92578
2020-08-10,34.406918
2020-08-11,36.308594
2020-08-12,35.546875
2020-08-13,36.132812
2020-08-14,35.820312
2020-08-17,36.11328
2020-08-18,33.984375
2020-08-19,34.316406
2020-08-20,33.359375
2020-08-21,28.373823
2020-08-24,28.4375
2020-08-25,25.390625
2020-08-26,34.765625
2020-08-27,31.992188
2020-08-28,32.8125
2020-08-31,37.20703
2020-09-01,33.310547
2020-09-02,32.822266
2020-09-03,33.984375
2020-09-04,33.68281
2020-09-07,35.78125
2020-09-08,33.88672
2020-09-09,35.13672
2020-09-10,32.617188
2020-09-11,34.19922
2020-09-14,38.710938
2020-09-15,37.089844
2020-09-16,35.390625
2020-09-17,33.027344
2020-09-18,26.328125
2020-09-21,32.1875
2020-09-22,38.28125
2020-09-23,26.796875
2020-09-24,32.158203
2020-09-25,27.835472
2020-09-28,27.55516
2020-09-29,27.421875
2020-09-30,27.558594
2020-10-01,22.646484
2020-10-05,29.765625
2020-10-06,30.410156
2020-10-07,30.820312
2020-10-08,33.28125
2020-10-09,36.202244
2020-10-12,38.227936
2020-10-13,38.90625
2020-10-14,37.8125
2020-10-15,38.61328
2020-10-16,37.695312
2020-10-19,39.296875
2020-10-20,32.32422
2020-10-21,32.96875
2020-10-22,29.861233
2020-10-23,27.578125
2020-10-26,36.523438
2020-10-27,29.765625
2020-10-28,38.59375
2020-10-29,32.070312
2020-10-30,30.996094
2020-11-02,32.91018
2020-11-03,30.25125
2020-11-04,30.654297
2020-11-05,29.804688
2020-11-06,27.480469
2020-11-09,28.359375
2020-11-10,37.539062
2020-11-11,30.644531
2020-11-12,30.976562
2020-11-13,27.851562
2020-11-14,28.984375
2020-11-17,35.859375
2020-11-18,32.265625
2020-11-19,36.23047
2020-11-20,35.273438
2020-11-23,41.435024
2020-11-24,42.773438
2020-11-25,37.65625
2020-11-26,36.85547
2020-11-27,34.77539
2020-12-01,33.48633
2020-12-02,35.839844
2020-12-03,33.320312
2020-12-04,33.79883
2020-12-07,34.21875
2020-12-08,34.04297
2020-12-09,34.23828
2020-12-10,35.078125
2020-12-11,32.529297
2020-12-14,34.74237
2020-12-15,34.570312
2020-12-16,34.23828
2020-12-17,34.296875
2020-12-18,32.421875
2020-12-21,40.0
2020-12-22,28.398438
2020-12-23,27.773438
2020-12-24,23.378906
2020-12-28,36.598835
2020-12-29,32.261852
2020-12-30,29.330244
2020-12-31,35.351562
2021-01-01,33.90625
2021-01-04,33.242188
2021-01-05,32.16797
2021-01-06,31.933594
2021-01-07,33.935547
2021-01-08,30.703125
2021-01-11,33.90625
2021-01-12,34.882812
2021-01-13,37.05078
2021-01-14,37.714844
2021-01-15,40.64453
2021-01-18,38.652344
2021-01-19,38.554688
2021-01-20,35.878906
2021-01-21,36.328125
2021-01-22,39.39453
2021-01-25,24.023438
2021-01-27,34.140625
2021-01-28,31.738281
2021-01-29,33.222656
2021-02-01,32.441406
2021-02-02,34.19922
2021-02-03,33.408203
2021-02-04,35.585938
2021-02-05,34.726562
2021-02-08,38.26172
2021-02-09,36.07422
2021-02-10,40.48828
2021-02-11,35.3125
2021-02-12,32.36328
2021-02-15,31.992188
2021-02-16,31.601562
2021-02-17,30.9375
2021-02-18,31.464844
2021-02-19,26.074572
2021-02-22,30.351562
2021-02-23,30.507812
2021-02-24,37.34375
2021-02-25,33.867188
2021-02-26,35.527344
2021-03-01,33.398438
2021-03-02,32.1875
2021-03-03,30.048828
2021-03-04,32.51953
2021-03-05,35.126953
2021-03-08,34.04297
2021-03-09,33.644207
2021-03-10,31.989813
2021-03-12,31.347656
2021-03-15,30.742188
2021-03-16,30.820312
2021-03-17,25.819593
2021-03-18,24.121094
2021-03-19,22.949219
2021-03-22,29.6875
2021-03-23,32.891777
2021-03-24,25.36887
2021-03-25,23.935547
2021-03-26,23.378906
2021-03-30,24.326172
2021-03-31,23.808594
2021-04-01,21.884766
2021-04-05,25.635677
2021-04-06,25.322266
2021-04-07,24.28711
2021-04-08,25.058594
2021-04-09,24.648438
2021-04-12,27.929688
2021-04-13,26.875
2021-04-15,28.242188
2021-04-16,27.910156
2021-04-19,30.761719
2021-04-20,32.265625
2021-04-22,33.515625
2021-04-23,34.6875
2021-04-26,62.265625
2021-04-27,44.21875
2021-04-28,31.875
2021-04-29,27.910156
2021-04-30,29.381577
2021-05-03,30.078125
2021-05-04,28.583984
2021-05-05,28.740234
2021-05-06,28.849016
2021-05-07,27.519531
2021-05-10,27.636719
2021-05-11,27.519531
2021-05-12,26.855469
2021-05-14,28.164062
2021-05-17,29.746094
2021-05-18,28.398438
2021-05-19,27.8125
2021-05-20,28.867188
2021-05-21,24.824219
2021-05-24,25.039062
2021-05-25,31.523438
2021-05-26,30.78125
2021-05-27,24.127712
2021-05-28,24.419258
2021-05-31,25.292969
2021-06-01,24.541016
2021-06-02,24.326172
2021-06-03,23.603516
2021-06-04,24.726562
2021-06-07,24.941406
2021-06-08,24.765625
2021-06-09,27.089844
2021-06-10,27.050781
2021-06-11,27.910156
2021-06-14,29.941406
2021-06-15,29.394531
2021-06-16,29.057423
2021-06-17,29.026085
2021-06-18,23.108156
2021-06-21,27.442282
2021-06-22,23.607447
2021-06-23,21.278147
2021-06-24,23.902128
2021-06-25,21.801636
2021-06-28,24.058794
2021-06-29,21.777355
2021-06-30,20.53547
2021-07-01,19.124744
2021-07-02,18.435684
2021-07-05,18.717285
2021-07-06,18.253014
2021-07-07,19.23369
2021-07-08,18.75038
2021-07-09,19.244106
2021-07-12,20.604858
2021-07-13,20.809942
2021-07-14,19.809824
2021-07-15,22.835802
2021-07-16,22.946396
2021-07-19,23.722757
2021-07-20,16.072905
2021-07-22,16.351173
2021-07-23,15.098318
2021-07-26,16.341383
2021-07-27,19.129726
2021-07-28,23.872751
2021-07-29,17.547976
2021-07-30,19.400543
2021-08-02,18.528315
2021-08-03,18.551292
2021-08-04,19.15497
2021-08-05,18.779398
2021-08-06,18.719683
2021-08-09,20.549044
2021-08-10,18.793589
2021-08-11,20.265972
2021-08-12,20.07604
2021-08-13,17.761574
2021-08-16,17.884537
2021-08-17,17.360395
2021-08-18,15.909738
2021-08-20,18.938501
2021-08-23,22.53255
2021-08-24,16.829506
2021-08-25,26.803457
2021-08-26,21.569078
2021-08-27,20.62585
2021-08-30,18.243383
2021-08-31,17.763102
2021-09-01,18.130384
2021-09-02,25.244997
2021-09-03,26.6102
2021-09-06,25.138134
2021-09-07,24.97473
2021-09-08,24.81819
2021-09-09,23.804213
2021-09-13,24.158945
2021-09-14,24.26938
2021-09-15,24.80008
2021-09-16,23.7908
2021-09-17,25.273096
2021-09-20,26.665415
2021-09-21,25.139668
2021-09-22,22.940432
2021-09-23,25.991703
2021-09-24,22.415113
2021-09-27,27.527584
2021-09-28,27.188648
2021-09-29,23.322447
2021-09-30,32.241917
2021-10-01,29.152643
2021-10-04,27.722914
2021-10-05,38.49916
2021-10-06,28.835054
2021-10-07,29.153713
2021-10-08,28.958698
2021-10-11,28.917562
2021-10-12,30.433907
2021-10-13,30.755394
2021-10-14,38.46872
2021-10-18,35.760242
2021-10-19,36.3342
2021-10-20,39.28444
2021-10-21,38.95041
2021-10-22,31.829266
2021-10-25,30.154518
2021-10-26,28.2907
2021-10-27,26.83403
2021-10-28,36.667877
2021-10-29,21.981895
2021-11-01,20.712008
2021-11-02,21.848366
2021-11-03,21.120375
2021-11-04,34.798584
2021-11-08,37.584133
2021-11-09,23.550478
2021-11-10,21.802723
2021-11-11,22.375517
2021-11-12,23.048704
2021-11-15,22.24048
2021-11-16,21.920458
2021-11-17,20.359058
2021-11-18,17.280354
2021-11-22,22.645676
2021-11-23,22.516579
2021-11-24,22.132801
2021-11-25,17.230972
2021-11-26,24.331875
2021-11-29,21.917612
2021-11-30,20.954573
2021-12-01,34.79799
2021-12-02,34.344555
2021-12-03,19.347942
2021-12-06,20.301355
2021-12-07,34.720276
2021-12-08,18.904245
2021-12-09,18.521284
2021-12-10,19.162636
2021-12-13,21.077091
2021-12-14,21.37749
2021-12-15,21.759644
2021-12-16,21.03678
2021-12-17,20.31073
2021-12-20,24.268461
2021-12-21,21.197876
2021-12-22,18.982899
2021-12-23,18.514015
2021-12-24,17.98773
2021-12-27,18.469221
2021-12-28,21.638353
2021-12-29,19.543955
2021-12-30,22.113033
2021-12-31,20.678936
2022-01-03,21.351908
2022-01-04,34.882935
2022-01-05,35.418686
2022-01-06,22.18553
2022-01-07,20.836342
2022-01-10,21.49079
2022-01-11,22.332705
2022-01-12,23.455036
2022-01-13,23.098324
2022-01-14,23.225586
2022-01-17,24.9992
2022-01-18,25.31977
2022-01-19,25.824581
2022-01-20,25.05329
2022-01-21,26.157875
2022-01-24,21.810602
2022-01-25,15.686819
2022-01-27,24.091215
2022-01-28,25.111355
2022-01-31,26.786266
2022-02-01,25.227734
2022-02-02,22.996162
2022-02-03,24.36345
2022-02-04,23.862732
2022-02-07,27.995026
2022-02-08,26.608006
2022-02-09,27.169138
2022-02-10,27.707489
2022-02-11,27.28594
2022-02-14,36.9271
2022-02-15,30.260298
2022-02-16,29.52084
2022-02-17,27.219614
2022-02-18,23.428604
2022-02-21,25.363462
2022-02-22,27.5942
2022-02-23,19.65744
2022-02-24,32.2035
2022-02-25,30.266659
2022-02-28,34.92049
2022-03-02,34.357037
2022-03-03,36.345016
2022-03-04,37.762737
2022-03-07,42.70364
2022-03-08,39.48781
2022-03-09,37.415638
2022-03-10,35.27305
2022-03-11,35.082687
2022-03-14,38.69329
2022-03-15,39.29569
2022-03-16,35.15064
2022-03-17,29.791946
2022-03-21,35.57215
2022-03-22,35.53302
2022-03-23,34.397488
2022-03-24,33.78488
2022-03-25,30.290289
2022-03-28,35.820805
2022-03-29,30.605742
2022-03-30,30.433062
2022-03-31,34.618538
2022-04-01,29.678532
2022-04-04,34.33363
2022-04-05,32.95809
2022-04-06,33.444695
2022-04-07,33.045994
2022-04-08,31.740982
2022-04-11,32.16883
2022-04-12,32.384274
2022-04-13,30.03726
2022-04-18,35.609077
2022-04-19,40.28515
2022-04-20,36.071735
2022-04-21,32.823624
2022-04-22,34.003357
2022-04-25,38.536148
2022-04-26,56.812637
2022-04-27,40.15026
2022-04-28,27.884844
2022-04-29,27.200863
2022-05-02,27.779549
2022-05-04,28.408367
2022-05-05,27.106897
2022-05-06,27.396685
2022-05-09,28.917402
2022-05-10,29.773417
2022-05-11,30.694035
2022-05-12,33.117573
2022-05-13,30.903446
2022-05-16,30.97641
2022-05-17,37.225838
2022-05-18,28.99401
2022-05-19,31.488445
2022-05-20,25.26776
2022-05-23,27.76434
2022-05-24,26.2691
2022-05-25,33.399864
2022-05-26,35.080116
2022-05-27,26.717821
2022-05-30,24.935253
2022-05-31,25.956425
2022-06-01,26.007435
2022-06-02,26.320026
2022-06-03,25.489561
2022-06-06,27.014858
2022-06-07,26.952633
2022-06-08,27.015318
2022-06-09,26.029055
2022-06-10,27.656473
2022-06-13,29.598034
2022-06-14,30.832956
2022-06-15,29.533321
2022-06-16,30.432144
2022-06-17,32.31352
2022-06-20,29.80338
2022-06-21,26.777657
2022-06-22,29.35954
2022-06-23,26.252796
2022-06-24,24.951818
2022-06-27,32.204563
2022-06-28,28.84385
2022-06-29,38.36765
2022-06-30,30.238058
2022-07-01,35.82427
2022-07-04,26.413208
2022-07-05,26.848747
2022-07-06,26.996563
2022-07-07,28.05775
2022-07-08,29.443993
2022-07-11,29.955248
2022-07-12,30.67607
2022-07-13,30.85733
2022-07-14,30.472038
2022-07-15,28.796368
2022-07-18,30.911613
2022-07-19,28.02281
2022-07-20,26.779922
2022-07-21,26.644169
2022-07-22,25.456991
2022-07-25,28.495893
2022-07-26,29.532326
2022-07-27,31.41284
2022-07-28,28.084866
2022-07-29,27.134293
2022-08-01,28.461926
2022-08-02,27.8395
2022-08-03,27.474962
2022-08-04,28.504211
2022-08-05,28.790892
2022-08-08,28.831167
2022-08-10,28.135164
2022-08-11,26.47634
2022-08-12,24.998314
2022-08-16,28.159994
2022-08-17,27.859283
2022-08-18,28.394262
2022-08-19,24.321442
2022-08-22,20.428478
2022-08-23,20.877918
2022-08-24,23.410429
2022-08-25,29.152534
2022-08-26,26.872595
2022-08-29,26.875763
2022-08-30,26.243689
2022-09-01,27.90914
2022-09-02,28.543493
2022-09-05,28.644138
2022-09-06,29.096073
2022-09-07,27.861609
2022-09-08,28.39795
2022-09-09,28.447067
2022-09-12,29.61982
2022-09-13,30.55928
2022-09-14,33.433628
2022-09-15,34.492363
2022-09-16,39.51423
2022-09-19,35.037144
2022-09-20,31.593395
2022-09-21,31.665367
2022-09-22,30.476768
2022-09-23,27.329508
2022-09-26,33.25966
2022-09-27,31.869204
2022-09-28,32.324486
2022-09-29,29.004698
2022-09-30,26.524944
2022-10-03,30.267294
2022-10-04,27.494873
2022-10-06,27.57225
2022-10-07,29.311409
2022-10-10,31.01895
2022-10-11,31.119717
2022-10-12,31.12363
2022-10-13,30.82939
2022-10-14,29.515903
2022-10-17,29.57181
2022-10-18,28.29079
2022-10-19,28.846632
2022-10-20,26.654053
2022-10-21,23.190207
2022-10-24,25.720901
2022-10-25,22.119715
2022-10-27,24.448622
2022-10-28,22.209896
2022-10-31,21.95498
2022-11-01,21.532938
2022-11-02,22.02907
2022-11-03,23.166275
2022-11-04,24.728476
2022-11-07,24.369461
2022-11-09,25.251211
2022-11-10,24.927221
2022-11-11,24.841629
2022-11-14,25.901743
2022-11-15,25.377222
2022-11-16,23.404133
2022-11-17,21.114897
2022-11-18,16.29108
2022-11-21,18.062347
2022-11-22,20.836634
2022-11-23,23.852339
2022-11-24,22.51141
2022-11-25,23.148071
2022-11-28,22.722107
2022-11-29,22.06595
2022-11-30,21.899847
2022-12-01,20.713278
2022-12-02,21.250546
2022-12-05,21.298172
2022-12-06,21.982895
2022-12-07,21.1314
2022-12-08,20.178991
2022-12-09,21.062424
2022-12-12,20.883394
2022-12-13,22.207767
2022-12-14,22.227148
2022-12-15,22.773857
2022-12-16,23.629635
2022-12-19,23.414333
2022-12-20,22.499147
2022-12-21,24.946424
2022-12-22,25.744455
2022-12-23,24.666658
2022-12-26,27.393549
2022-12-27,26.114971
2022-12-28,21.915558
2022-12-29,21.813313
2022-12-30,22.202715
2023-01-02,23.022787
2023-01-03,24.55958
2023-01-04,25.776731
2023-01-05,25.25194
2023-01-06,24.799852
2023-01-09,24.876045
2023-01-10,24.42537
2023-01-11,24.121243
2023-01-12,24.175367
2023-01-13,23.971855
2023-01-16,25.310965
2023-01-17,25.798416
2023-01-18,27.388363
2023-01-19,28.100714
2023-01-20,23.896572
2023-01-23,23.67417
2023-01-24,23.104614
2023-01-25,20.198273
2023-01-27,23.044409
2023-01-30,25.169064
2023-01-31,25.108532
2023-02-01,36.82081
2023-02-02,37.339302
2023-02-03,34.210037
2023-02-06,33.550457
2023-02-07,31.029413
2023-02-08,27.286951
2023-02-09,25.546934
2023-02-10,25.025326
2023-02-13,25.27143
2023-02-14,23.763361
2023-02-15,23.935745
2023-02-16,24.948744
2023-02-17,23.469307
2023-02-20,32.25091
2023-02-21,36.929977
2023-02-22,35.790726
2023-02-23,23.499685
2023-02-24,23.464268
2023-02-27,23.645378
2023-02-28,23.323154
2023-03-01,24.126282
2023-03-02,23.601368
2023-03-03,22.45523
2023-03-06,23.343359
2023-03-08,23.906065
2023-03-09,24.996506
2023-03-10,23.844
2023-03-13,30.131706
2023-03-14,30.327703
2023-03-15,29.220306
2023-03-16,29.71683
2023-03-17,27.802233
2023-03-20,30.28951
2023-03-21,28.275904
2023-03-22,28.061125
2023-03-23,24.686378
2023-03-24,26.793041
2023-03-27,29.674706
2023-03-28,30.378042
2023-03-29,21.80034
2023-03-31,21.914633
2023-04-03,22.419212
2023-04-05,21.71294
2023-04-06,20.189785
2023-04-10,21.486408
2023-04-11,21.990694
2023-04-12,21.704702
2023-04-13,24.059456
2023-04-17,24.488216
2023-04-18,23.646362
2023-04-19,23.868258
2023-04-20,24.155308
2023-04-21,27.05259
2023-04-24,31.264603
2023-04-25,31.735088
2023-04-26,41.49931
2023-04-27,22.060993
2023-04-28,19.362928
2023-05-02,18.663311
2023-05-03,20.28278
2023-05-04,20.528044
2023-05-05,19.90046
2023-05-08,19.830717
2023-05-09,20.495026
2023-05-10,22.155273
2023-05-11,20.682493
2023-05-12,21.710472
2023-05-15,22.764442
2023-05-16,23.515879
2023-05-17,22.998543
2023-05-18,22.365173
2023-05-19,19.659624
2023-05-22,25.913723
2023-05-23,26.354961
2023-05-24,27.400312
2023-05-25,19.330572
2023-05-26,17.354284
2023-05-29,19.457012
2023-05-30,20.41748
2023-05-31,20.907967
2023-06-01,19.85061
2023-06-02,19.314926
2023-06-05,20.060932
2023-06-06,19.607548
2023-06-07,21.725359
2023-06-08,20.864191
2023-06-09,19.790781
2023-06-12,20.534903
2023-06-13,21.109854
2023-06-14,21.696476
2023-06-15,22.973549
2023-06-16,29.149094
2023-06-19,32.387848
2023-06-20,30.20495
2023-06-21,30.691355
2023-06-22,28.641499
2023-06-23,22.211113
2023-06-26,23.986696
2023-06-27,31.939783
2023-06-28,28.984772
2023-06-30,30.429838
2023-07-03,31.128504
2023-07-04,31.245186
2023-07-05,32.137657
2023-07-06,29.95085
2023-07-07,30.873842
2023-07-10,32.50352
2023-07-11,32.740818
2023-07-12,32.10978
2023-07-13,29.863405
2023-07-14,28.725895
2023-07-17,32.387596
2023-07-18,33.02201
2023-07-19,33.151516
2023-07-20,36.666508
2023-07-21,31.6571
2023-07-24,30.809584
2023-07-25,28.17599
2023-07-26,25.812275
2023-07-27,23.154552
2023-07-28,21.473904
2023-07-31,22.270275
2023-08-01,22.271961
2023-08-02,23.201925
2023-08-03,22.52465
2023-08-04,20.788887
2023-08-07,22.560074
2023-08-08,23.900652
2023-08-09,23.494781
2023-08-10,22.82806
2023-08-11,22.265102
2023-08-14,22.68991
2023-08-16,21.855923
2023-08-17,22.352026
2023-08-18,20.983126
2023-08-21,19.775345
2023-08-22,20.988604
2023-08-23,21.360758
2023-08-24,19.964031
2023-08-25,19.495197
2023-08-28,25.834003
2023-08-29,23.998373
2023-08-30,22.82557
2023-08-31,24.171528
2023-09-01,21.766281
2023-09-04,22.594349
2023-09-05,23.581207
2023-09-06,23.415783
2023-09-07,22.678661
2023-09-08,21.688093
2023-09-11,23.038225
2023-09-12,22.674036
2023-09-13,23.584093
2023-09-14,23.801233
2023-09-15,23.511404
2023-09-18,23.858896
2023-09-20,23.317814
2023-09-21,21.611202
2023-09-22,19.091753
2023-09-25,21.986233
2023-09-26,20.709253
2023-09-27,23.545311
2023-09-28,31.983603
2023-09-29,21.496468
2023-10-03,23.83422
