date,iv_atm
2017-07-04,21.936035
2017-07-05,21.506233
2017-07-06,20.90332
2017-07-07,20.949707
2017-07-10,21.1792
2017-07-11,22.175293
2017-07-12,21.166992
2017-07-13,22.026367
2017-07-14,20.90332
2017-07-17,24.052734
2017-07-18,23.276367
2017-07-19,25.34668
2017-07-20,27.84668
2017-07-21,29.79004
2017-07-24,40.26367
2017-07-25,48.242188
2017-07-27,19.14583
2017-07-28,17.839355
2017-07-31,19.019655
2017-08-01,20.046387
2017-08-02,19.42627
2017-08-03,18.9917
2017-08-04,19.16748
2017-08-07,19.421066
2017-08-08,19.801788
2017-08-09,20.622559
2017-08-10,21.199175
2017-08-11,22.924805
2017-08-14,22.65625
2017-08-16,23.364258
2017-08-17,21.570986
2017-08-18,20.742188
2017-08-21,21.66748
2017-08-22,21.78711
2017-08-23,20.703125
2017-08-24,19.716797
2017-08-28,26.923828
2017-08-29,31.260628
2017-08-30,26.152895
2017-08-31,19.839125
2017-09-01,21.92627
2017-09-04,21.59668
2017-09-05,22.163086
2017-09-06,22.39746
2017-09-07,22.243652
2017-09-08,21.698786
2017-09-11,21.992188
2017-09-12,21.551798
2017-09-13,23.242188
2017-09-14,21.115723
2017-09-15,21.967773
2017-09-18,24.32129
2017-09-19,22.67334
2017-09-20,26.02539
2017-09-21,22.973633
2017-09-22,26.074219
2017-09-25,27.397432
2017-09-26,28.886719
2017-09-27,52.929688
2017-09-28,24.650879
2017-09-29,24.53125
2017-10-03,23.735352
2017-10-04,22.363281
2017-10-05,21.42334
2017-10-06,21.738281
2017-10-09,23.869629
2017-10-10,23.511436
2017-10-11,24.79004
2017-10-12,22.075195
2017-10-13,21.999512
2017-10-16,21.97754
2017-10-17,20.517578
2017-10-18,18.98681
2017-10-23,27.54181
2017-10-24,29.052734
2017-10-25,32.60742
2017-10-26,22.214355
2017-10-27,23.034668
2017-10-30,26.513672
2017-10-31,25.90332
2017-11-01,26.560059
2017-11-02,21.166992
2017-11-03,20.289274
2017-11-06,21.580774
2017-11-07,22.717285
2017-11-08,22.822079
2017-11-09,22.161718
2017-11-10,20.046387
