date,iv_atm
2017-07-04,32.734375
2017-07-05,31.5625
2017-07-06,30.78125
2017-07-07,29.53125
2017-07-10,31.225885
2017-07-11,33.085938
2017-07-12,33.59375
2017-07-13,33.867188
2017-07-14,33.162098
2017-07-17,33.75
2017-07-18,33.046875
2017-07-19,31.796875
2017-07-20,30.703125
2017-07-21,26.640625
2017-07-24,33.541195
2017-07-25,39.24993
2017-07-27,31.132812
2017-07-28,31.640625
2017-07-31,33.41837
2017-08-01,33.476562
2017-08-02,33.125
2017-08-03,33.046875
2017-08-04,31.875
2017-08-07,33.515625
2017-08-08,35.234375
2017-08-09,35.442974
2017-08-10,38.15264
2017-08-11,41.132812
2017-08-14,33.203125
2017-08-16,32.148438
2017-08-17,33.125
2017-08-18,33.125
2017-08-21,36.835938
2017-08-22,34.84375
2017-08-23,31.171875
2017-08-24,30.15625
2017-08-28,40.46875
2017-08-29,49.19036
2017-08-30,41.875
2017-08-31,33.671875
2017-09-01,32.94922
2017-09-04,34.648438
2017-09-05,33.4375
2017-09-06,33.632812
2017-09-07,32.734375
2017-09-08,32.382812
2017-09-11,32.070312
2017-09-12,31.015625
2017-09-13,31.171875
2017-09-14,30.546875
2017-09-15,31.09375
2017-09-18,33.046875
2017-09-19,33.772617
2017-09-20,34.921875
2017-09-21,32.34375
2017-09-22,35.46875
2017-09-25,43.90625
2017-09-26,40.87983
2017-09-27,43.75
2017-09-28,32.472553
2017-09-29,31.054688
2017-10-03,30.9375
2017-10-04,30.664062
2017-10-05,31.210938
2017-10-06,29.179688
2017-10-09,31.289062
2017-10-10,30.625
2017-10-11,31.835938
2017-10-12,31.914062
2017-10-13,31.484375
2017-10-16,30.930527
2017-10-17,28.026127
2017-10-18,26.25
2017-10-23,34.375
2017-10-24,36.09375
2017-10-25,41.5625
2017-10-26,33.76953
2017-10-27,34.804688
2017-10-30,35.722656
2017-10-31,36.347656
2017-11-01,37.578125
2017-11-02,36.83402
2017-11-03,32.443806
2017-11-06,32.734375
2017-11-07,33.971195
2017-11-08,33.359375
2017-11-09,33.945312
2017-11-10,31.953125
2017-11-13,32.5
2017-11-14,31.328125
2017-11-15,33.320312
2017-11-16,30.742188
2017-11-17,31.445312
2017-11-20,35.703125
2017-11-21,33.90625
2017-11-22,32.64297
2017-11-23,31.5625
2017-11-24,32.421875
2017-11-27,35.078125
2017-11-28,35.0
2017-11-29,37.728794
2017-11-30,34.0625
2017-12-01,33.476562
2017-12-04,32.96875
2017-12-05,32.929688
2017-12-06,33.125
2017-12-07,30.703125
2017-12-08,30.0
2017-12-11,32.226562
2017-12-12,33.90625
2017-12-13,35.3125
2017-12-14,36.328125
2017-12-15,32.65625
2017-12-18,31.205109
2017-12-19,28.203125
2017-12-20,27.03125
2017-12-21,28.320312
2017-12-22,25.625
2017-12-26,35.390625
2017-12-27,39.0625
2017-12-28,32.03125
2017-12-29,31.40625
2018-01-01,33.2393
2018-01-02,33.359375
2018-01-03,33.632812
2018-01-04,34.21875
2018-01-05,33.203125
2018-01-08,35.234375
2018-01-09,35.039062
2018-01-10,35.195312
2018-01-11,33.59375
2018-01-12,31.523438
2018-01-15,35.273438
2018-01-16,34.492188
2018-01-17,33.125
2018-01-18,32.612274
2018-01-19,29.84375
2018-01-22,38.28125
2018-01-23,42.5
2018-01-24,49.375
2018-01-25,42.65625
2018-01-29,43.046875
2018-01-30,39.182217
2018-01-31,40.585938
2018-02-01,37.382812
2018-02-02,41.14372
2018-02-05,41.015625
2018-02-06,46.13934
2018-02-07,44.84375
2018-02-08,44.54016
2018-02-09,45.351562
2018-02-12,44.257812
2018-02-14,41.953125
2018-02-15,36.638107
2018-02-16,37.96875
2018-02-19,41.09375
2018-02-20,42.65625
2018-02-21,49.713394
2018-02-22,32.929688
2018-02-23,30.625
2018-02-26,30.78125
2018-02-27,31.089598
2018-02-28,31.66572
2018-03-01,32.65625
2018-03-05,38.678715
2018-03-06,38.671875
2018-03-07,39.179688
2018-03-08,38.75
2018-03-09,39.296875
2018-03-12,37.578125
2018-03-13,39.140625
2018-03-14,36.953125
2018-03-15,35.859375
2018-03-16,36.71875
2018-03-19,40.859375
2018-03-20,37.5
2018-03-21,38.984375
2018-03-22,37.8125
2018-03-23,38.75
2018-03-26,43.151478
2018-03-27,44.6875
2018-03-28,34.677673
2018-04-02,36.835938
2018-04-03,37.421875
2018-04-04,42.109375
2018-04-05,36.289062
2018-04-06,37.265625
2018-04-09,38.59375
2018-04-10,37.773438
2018-04-11,36.484375
2018-04-12,36.875
2018-04-13,35.0
2018-04-16,35.171074
2018-04-17,37.96875
2018-04-18,36.694733
2018-04-19,40.859375
2018-04-20,37.895847
2018-04-23,45.0
2018-04-24,49.84375
2018-04-25,49.375
2018-04-26,36.796875
2018-04-27,36.554222
2018-04-30,37.56752
2018-05-02,39.881035
2018-05-03,40.708004
2018-05-04,42.109375
2018-05-07,42.96875
2018-05-08,43.215523
2018-05-09,43.59375
2018-05-10,42.533134
2018-05-11,39.140625
2018-05-14,41.835938
2018-05-15,39.882812
2018-05-16,36.210938
2018-05-17,34.804688
2018-05-18,33.59375
2018-05-21,34.882812
2018-05-22,33.11471
2018-05-23,37.158604
2018-05-24,32.34375
2018-05-25,32.03125
2018-05-28,40.9375
2018-05-29,40.15625
2018-05-30,41.25
2018-05-31,36.171875
2018-06-01,36.02574
2018-06-04,36.914062
2018-06-05,36.953125
2018-06-06,33.359375
2018-06-07,34.335938
2018-06-08,34.179688
2018-06-11,35.0
2018-06-12,36.25
2018-06-13,34.765625
2018-06-14,34.6875
2018-06-15,35.46875
2018-06-18,40.9375
2018-06-19,43.398438
2018-06-20,38.515625
2018-06-21,37.8125
2018-06-22,33.828125
2018-06-25,40.78125
2018-06-26,36.09375
2018-06-27,37.65625
2018-06-28,35.429688
2018-06-29,34.609375
2018-07-02,37.890625
2018-07-03,36.054688
2018-07-04,36.015625
2018-07-05,37.5
2018-07-06,37.890625
2018-07-09,38.359375
2018-07-10,36.25
2018-07-11,39.375
2018-07-12,39.257812
2018-07-13,38.359375
2018-07-16,43.359375
2018-07-17,39.765625
2018-07-18,43.984375
2018-07-19,60.46875
2018-07-20,57.010395
2018-07-23,60.3125
2018-07-24,53.75
2018-07-25,54.53125
