date,iv_atm
2021-12-31,71.30503
2022-01-03,71.78284
2022-01-04,46.891655
2022-01-05,49.453236
2022-01-06,50.93722
2022-01-07,50.808426
2022-01-10,50.674183
2022-01-11,50.474293
2022-01-12,52.97298
2022-01-13,55.49335
2022-01-14,55.15912
2022-01-17,56.595924
2022-01-18,50.266983
2022-01-19,44.583103
2022-01-20,51.57727
2022-01-21,46.223026
2022-01-24,49.225014
2022-01-25,45.376408
2022-01-27,57.90609
2022-01-28,53.95911
2022-01-31,57.276417
2022-02-01,67.87749
2022-02-02,69.34412
2022-02-03,46.90883
2022-02-04,58.265556
2022-02-07,48.369274
2022-02-08,47.86925
2022-02-09,44.387882
2022-02-10,70.86532
2022-02-11,53.216248
2022-02-14,68.13333
2022-02-15,50.350662
2022-02-16,48.552902
2022-02-17,45.43801
2022-02-18,22.164648
2022-02-21,70.63868
2022-02-22,51.533295
2022-02-23,74.00248
2022-02-24,60.405365
2022-02-25,68.09957
2022-02-28,68.55689
2022-03-02,54.47316
2022-03-03,52.48368
2022-03-04,53.710453
2022-03-07,57.13891
2022-03-08,63.6272
2022-03-09,60.42595
2022-03-10,59.276707
2022-03-11,61.860714
2022-03-14,63.90426
2022-03-15,63.430557
2022-03-16,59.404926
2022-03-17,58.02196
2022-03-21,64.4725
2022-03-22,70.47746
2022-03-23,56.15948
2022-03-24,70.11832
2022-03-25,52.879307
2022-03-28,47.32145
2022-03-29,58.399048
2022-03-30,64.78998
2022-03-31,59.592747
2022-04-01,52.825367
2022-04-04,49.744534
2022-04-05,67.98936
2022-04-06,53.62678
2022-04-07,66.2777
2022-04-08,69.87963
2022-04-11,52.061695
2022-04-12,47.432686
2022-04-13,48.003674
2022-04-18,51.852848
2022-04-19,58.182995
2022-04-20,56.613045
2022-04-21,56.94143
2022-04-22,69.12315
2022-04-25,42.887344
2022-04-26,38.280834
2022-04-27,46.991528
2022-04-28,46.514633
2022-04-29,47.407726
2022-05-02,66.301765
2022-05-04,47.606792
2022-05-05,64.60301
2022-05-06,45.17711
2022-05-09,59.452908
2022-05-10,58.669834
2022-05-11,52.327793
2022-05-12,58.145283
2022-05-13,53.578114
2022-05-16,51.20863
2022-05-17,47.835537
2022-05-18,47.48448
2022-05-19,52.74156
2022-05-20,48.09413
2022-05-23,62.771214
2022-05-24,56.45219
2022-05-25,55.20986
2022-05-26,67.397606
2022-05-27,66.191414
2022-05-30,38.49029
2022-05-31,44.89151
2022-06-01,45.86161
2022-06-02,44.518154
2022-06-03,42.298496
2022-06-06,43.281685
2022-06-07,45.269913
2022-06-08,45.298634
2022-06-09,65.5908
2022-06-10,44.99195
2022-06-13,48.329704
2022-06-14,51.027588
2022-06-15,45.671333
2022-06-16,55.778465
2022-06-17,52.325024
2022-06-20,53.454224
2022-06-21,62.355595
2022-06-22,66.95619
2022-06-23,62.81508
2022-06-24,61.13756
2022-06-27,65.594666
2022-06-28,59.771847
2022-06-29,62.90007
2022-06-30,48.99926
2022-07-01,66.99014
2022-07-04,67.11346
2022-07-05,69.92767
2022-07-06,52.55499
2022-07-07,54.096245
2022-07-08,49.619568
2022-07-11,55.05501
2022-07-12,53.12519
2022-07-13,52.49018
2022-07-14,54.13829
2022-07-15,51.15518
2022-07-18,56.75939
2022-07-19,52.515957
2022-07-20,49.053535
2022-07-21,47.511536
2022-07-22,42.982273
2022-07-25,44.908604
2022-07-26,56.22898
2022-07-27,44.58519
2022-07-28,45.92302
2022-07-29,65.358055
2022-08-01,46.930153
2022-08-02,47.77918
2022-08-03,47.207676
2022-08-04,47.37152
2022-08-05,45.20186
2022-08-08,50.416245
2022-08-10,49.23169
2022-08-11,48.97406
2022-08-12,47.51373
2022-08-16,51.41033
2022-08-17,50.08129
2022-08-18,47.394466
2022-08-19,45.56128
2022-08-22,45.44683
