date,iv_atm
2019-01-16,32.5
2019-01-17,31.875
2019-01-18,31.09375
2019-01-21,32.5
2019-01-22,33.4375
2019-01-23,34.0625
2019-01-24,36.875
2019-01-25,39.375
2019-01-28,46.875
2019-01-29,40.0
2019-01-30,53.125
2019-01-31,37.5
2019-02-01,34.375
2019-02-04,40.625
2019-02-05,41.25
2019-02-06,40.3125
2019-02-07,35.46875
2019-02-08,35.9375
2019-02-11,39.375
2019-02-12,34.92718
2019-02-13,34.33235
2019-02-14,33.4375
2019-02-15,39.434902
2019-02-18,42.88347
2019-02-19,38.75
2019-02-20,34.0625
2019-02-21,37.5
2019-02-22,33.75
2019-02-25,40.625
2019-02-26,41.25
2019-02-27,46.25
2019-02-28,30.78125
2019-03-01,30.9375
2019-03-05,37.65625
2019-03-06,38.4375
2019-03-07,37.5
2019-03-08,36.71875
2019-03-11,34.375
2019-03-12,39.0625
2019-03-13,40.3125
2019-03-14,39.6875
2019-03-15,36.5625
2019-03-18,41.5625
2019-03-19,36.5625
2019-03-20,32.8125
2019-03-22,28.75
2019-03-25,37.952168
2019-03-26,30.0
2019-03-27,42.5
2019-03-28,36.40625
2019-03-29,37.679188
2019-04-01,40.3125
2019-04-02,40.393456
2019-04-03,41.40625
2019-04-04,37.1875
2019-04-05,38.59375
2019-04-08,42.34375
2019-04-09,39.375
2019-04-10,40.0
2019-04-11,36.71875
2019-04-12,33.75
2019-04-15,34.802155
2019-04-16,32.5
2019-04-18,25.625
2019-04-22,34.375
2019-04-23,35.0
2019-04-24,28.125
2019-04-25,34.802498
2019-04-26,32.5
2019-04-30,35.9375
2019-05-02,36.5625
2019-05-03,41.71875
2019-05-06,46.5625
2019-05-07,46.5625
2019-05-08,47.65625
2019-05-09,45.9375
2019-05-10,47.5
2019-05-13,60.3125
2019-05-14,57.8125
2019-05-15,61.25
2019-05-16,69.375
2019-05-17,63.4375
2019-05-20,64.0625
2019-05-21,61.25
2019-05-22,73.125
2019-05-23,40.0
2019-05-24,32.8125
2019-05-27,42.5
2019-05-28,38.75
2019-05-29,38.75
2019-05-30,34.53125
2019-05-31,34.6875
2019-06-03,35.46875
2019-06-04,34.84375
2019-06-06,37.1875
2019-06-07,35.9375
2019-06-10,35.67926
2019-06-11,35.437725
2019-06-12,35.21846
2019-06-13,35.787292
2019-06-14,35.0
2019-06-17,38.75
2019-06-18,34.375
2019-06-19,38.4375
2019-06-20,32.1875
2019-06-21,33.947403
2019-06-24,35.625
2019-06-25,37.5
2019-06-26,47.5
2019-06-27,30.15625
2019-06-28,30.3125
2019-07-01,30.625
2019-07-02,30.9375
2019-07-03,31.25
2019-07-04,32.03125
2019-07-05,30.15625
2019-07-08,33.90418
2019-07-09,32.735638
2019-07-10,35.3125
2019-07-11,32.8125
2019-07-12,31.875
2019-07-15,39.6875
2019-07-16,39.0625
2019-07-17,40.3125
2019-07-18,43.75
2019-07-19,53.77488
2019-07-22,50.0
2019-07-23,65.625
2019-07-24,122.5
2019-07-25,37.5
2019-07-26,35.15625
2019-07-29,37.1875
2019-07-30,39.0625
2019-07-31,38.28125
2019-08-01,38.59375
2019-08-02,40.46875
2019-08-05,40.15625
2019-08-06,40.0
2019-08-07,39.375
2019-08-08,37.5
2019-08-09,35.46875
2019-08-13,42.1875
2019-08-14,35.14323
2019-08-16,39.563892
2019-08-19,41.74204
2019-08-20,40.9375
2019-08-21,42.5
2019-08-22,50.0
2019-08-23,41.875
2019-08-26,46.875
2019-08-27,45.230057
2019-08-28,60.0
2019-08-29,40.46875
2019-08-30,38.75
2019-09-03,41.25
2019-09-04,40.9375
2019-09-05,42.1875
2019-09-06,38.125
2019-09-09,36.5625
2019-09-11,36.510212
2019-09-12,38.75
2019-09-13,38.63263
2019-09-16,40.625
2019-09-17,40.0
2019-09-18,37.5
2019-09-19,34.375
2019-09-20,40.0
2019-09-23,43.75
2019-09-24,47.202923
2019-09-25,56.25
2019-09-26,38.28125
2019-09-27,37.8125
2019-09-30,50.3125
2019-10-01,61.010338
2019-10-03,63.1517
2019-10-04,45.0
2019-10-07,56.875
2019-10-09,43.125
2019-10-10,48.125
2019-10-11,46.25
2019-10-14,47.1875
2019-10-15,42.8125
2019-10-16,41.5625
2019-10-17,37.5
2019-10-18,42.979607
2019-10-22,51.5625
2019-10-23,50.0
2019-10-24,54.685604
2019-10-25,36.875
2019-10-29,51.25
2019-10-30,51.25
2019-10-31,38.75
2019-11-01,41.875
2019-11-04,44.21875
2019-11-05,42.5
2019-11-06,43.125
2019-11-07,39.0625
2019-11-08,39.6875
2019-11-11,38.4375
2019-11-13,38.963375
2019-11-14,41.05702
2019-11-15,37.782772
2019-11-18,42.5
2019-11-19,44.562096
2019-11-20,44.375
2019-11-21,42.5
2019-11-22,43.4375
2019-11-25,53.125
2019-11-26,63.125
2019-11-27,45.0
2019-11-28,36.5625
2019-11-29,43.67728
2019-12-02,46.5625
2019-12-03,41.71875
2019-12-04,40.625
2019-12-05,39.6875
2019-12-06,38.59375
2019-12-09,37.96875
2019-12-10,37.8125
2019-12-11,38.75
2019-12-12,36.914326
2019-12-13,36.968098
2019-12-16,39.6875
2019-12-17,37.5
2019-12-18,34.375
2019-12-19,38.125
2019-12-20,31.875
2019-12-23,30.625
2019-12-24,27.5
2019-12-26,30.46875
2019-12-27,31.5625
2019-12-30,31.875
2019-12-31,31.875
2020-01-01,32.96875
2020-01-02,33.75
2020-01-03,34.6875
2020-01-06,37.34375
2020-01-07,37.03125
2020-01-08,35.625
2020-01-09,34.6875
2020-01-10,32.1875
2020-01-13,35.053337
2020-01-14,37.5
2020-01-15,39.0625
2020-01-16,39.0625
2020-01-17,39.131844
2020-01-20,42.079063
2020-01-21,44.375
2020-01-22,42.5
2020-01-23,45.625
2020-01-24,42.5
2020-01-27,60.0
2020-01-28,66.25
2020-01-29,93.75
2020-01-30,38.125
2020-01-31,38.4375
2020-02-01,36.25
2020-02-03,33.983513
2020-02-04,34.0625
2020-02-05,35.3125
2020-02-06,34.0625
2020-02-07,31.875
2020-02-10,31.5625
2020-02-11,32.1875
2020-02-12,31.875
2020-02-13,32.1875
2020-02-14,32.5
2020-02-17,39.0625
2020-02-18,36.875
2020-02-19,35.0
2020-02-20,27.1875
2020-02-24,48.75
2020-02-25,48.75
2020-02-26,50.0
2020-02-27,33.125
2020-02-28,40.0
2020-03-02,44.375
2020-03-03,40.9375
2020-03-04,43.125
