date,iv_atm
2021-08-27,36.32027
2021-08-30,37.67122
2021-08-31,42.492767
2021-09-01,49.17505
2021-09-02,51.20572
2021-09-03,49.23624
2021-09-06,52.53717
2021-09-07,51.216232
2021-09-08,53.003113
2021-09-09,55.5618
2021-09-13,57.783802
2021-09-14,55.44411
2021-09-15,56.20699
2021-09-16,55.66996
2021-09-17,55.41517
2021-09-20,63.337208
2021-09-21,54.827606
2021-09-22,58.593815
2021-09-23,56.281933
2021-09-24,51.56298
2021-09-27,61.51381
2021-09-28,61.570435
2021-09-29,55.861633
2021-09-30,67.03292
2021-10-01,56.33816
2021-10-04,58.268997
2021-10-05,57.9108
2021-10-06,57.01173
2021-10-07,60.14536
2021-10-08,69.2714
2021-10-11,69.00741
2021-10-12,70.01869
2021-10-13,72.58984
2021-10-14,69.842995
2021-10-18,82.54315
2021-10-19,117.13942
2021-10-20,138.76219
2021-10-21,130.83646
2021-10-22,85.67427
2021-10-25,71.465904
2021-10-26,80.57319
2021-10-27,81.2133
2021-10-28,57.466637
2021-10-29,54.74406
2021-11-01,57.554577
2021-11-02,54.230488
2021-11-03,50.1006
2021-11-04,49.828213
2021-11-08,53.64551
2021-11-09,55.564564
2021-11-10,55.823906
2021-11-11,56.8642
2021-11-12,52.818996
2021-11-15,52.008984
2021-11-16,51.81386
2021-11-17,51.96846
2021-11-18,38.091522
2021-11-22,45.394497
2021-11-23,51.257957
2021-11-24,36.78191
2021-11-25,33.863003
2021-11-26,39.892094
2021-11-29,41.665977
2021-11-30,42.948483
2021-12-01,46.830727
2021-12-02,47.768364
2021-12-03,45.836185
2021-12-06,46.4086
2021-12-07,42.445187
2021-12-08,36.35504
2021-12-09,32.67811
2021-12-10,39.12988
2021-12-13,41.25189
2021-12-14,43.378025
2021-12-15,52.767532
2021-12-16,51.140133
2021-12-17,50.99496
2021-12-20,58.928993
2021-12-21,51.613304
2021-12-22,46.14656
2021-12-23,48.341824
2021-12-24,44.066345
2021-12-27,48.02217
2021-12-28,49.691204
2021-12-29,42.33951
2021-12-30,42.81395
2021-12-31,39.64487
2022-01-03,43.105824
2022-01-04,41.847683
2022-01-05,42.237534
2022-01-06,44.319046
2022-01-07,43.277225
2022-01-10,47.050797
2022-01-11,48.55778
2022-01-12,47.098156
2022-01-13,46.988594
2022-01-14,47.952797
2022-01-17,55.776714
2022-01-18,53.267033
2022-01-19,54.819267
2022-01-20,48.61546
2022-01-21,43.605087
2022-01-24,62.739872
2022-01-25,29.409374
2022-01-27,56.53236
2022-01-28,56.93545
2022-01-31,53.111378
2022-02-01,53.03785
2022-02-02,45.98723
2022-02-03,47.294243
2022-02-04,45.9875
2022-02-07,48.6234
2022-02-08,46.744793
2022-02-09,47.648384
2022-02-10,43.94569
2022-02-11,45.175594
2022-02-14,48.95037
2022-02-15,44.210968
2022-02-16,45.242023
2022-02-17,44.124752
2022-02-18,42.619694
2022-02-21,45.954975
2022-02-22,51.426613
2022-02-23,44.605793
2022-02-24,49.040123
2022-02-25,42.673244
2022-02-28,44.94081
2022-03-02,45.499123
2022-03-03,44.910255
2022-03-04,47.148647
2022-03-07,51.115856
