date,iv_atm
2017-07-04,38.085938
2017-07-05,37.148438
2017-07-06,38.046875
2017-07-07,36.367188
2017-07-10,38.75
2017-07-11,38.359375
2017-07-12,37.65625
2017-07-13,40.195312
2017-07-14,39.921875
2017-07-17,41.5625
2017-07-18,43.4375
2017-07-19,42.03125
2017-07-20,46.535408
2017-07-21,42.03125
2017-07-24,52.03125
2017-07-25,53.59375
2017-07-27,45.0
2017-07-28,38.4375
2017-07-31,37.06506
2017-08-01,37.174984
2017-08-02,36.015625
2017-08-03,35.859375
2017-08-04,32.617188
2017-08-07,33.164062
2017-08-08,49.921875
2017-08-09,28.368475
2017-08-10,248.51562
2017-08-11,48.125
2017-08-14,41.796875
2017-08-16,40.15625
2017-08-17,44.375
2017-08-18,43.4375
2017-08-21,46.201633
2017-08-22,41.015625
2017-08-23,39.375
2017-08-24,39.375
2017-08-28,45.46875
2017-08-29,50.3125
2017-08-30,52.1875
2017-08-31,29.726562
2017-09-01,39.140625
2017-09-04,42.5
2017-09-05,42.34375
2017-09-06,43.4375
2017-09-07,42.96875
2017-09-08,42.734375
2017-09-11,42.282887
2017-09-12,39.512737
2017-09-13,37.65625
2017-09-14,39.900642
2017-09-15,40.0
2017-09-18,41.40625
2017-09-19,42.96875
2017-09-20,42.421875
2017-09-21,40.390625
2017-09-22,37.8125
2017-09-25,62.03125
2017-09-26,54.21875
2017-09-27,68.125
2017-09-28,38.164062
2017-09-29,37.5
2017-10-03,38.203125
2017-10-04,38.515625
2017-10-05,37.695312
2017-10-06,37.109375
2017-10-09,39.023438
2017-10-10,39.6875
2017-10-11,44.21875
2017-10-12,40.625
2017-10-13,38.28125
2017-10-16,38.984375
2017-10-17,36.875
2017-10-18,37.03125
2017-10-23,49.68917
2017-10-24,58.17102
2017-10-25,54.0625
2017-10-26,43.353558
2017-10-27,42.453083
2017-10-30,41.1006
2017-10-31,45.898438
2017-11-01,44.882812
2017-11-02,45.429688
2017-11-03,45.703125
2017-11-06,53.28125
2017-11-07,52.975395
2017-11-08,52.109375
2017-11-09,58.128765
2017-11-10,40.078125
2017-11-13,47.96875
2017-11-14,53.28125
2017-11-15,56.25
2017-11-16,43.978443
2017-11-17,48.984375
2017-11-20,46.640625
2017-11-21,42.5
2017-11-22,42.03125
2017-11-23,42.8125
2017-11-24,39.21875
2017-11-27,51.09375
2017-11-28,49.0625
2017-11-29,51.875
2017-11-30,36.523438
2017-12-01,40.078125
2017-12-04,41.953125
2017-12-05,38.984375
2017-12-06,40.859375
2017-12-07,38.984375
2017-12-08,36.25
2017-12-11,40.859375
2017-12-12,41.484375
2017-12-13,45.0
2017-12-14,52.109375
2017-12-15,45.3125
2017-12-18,42.124252
2017-12-19,40.078125
2017-12-20,38.515625
