date,iv_atm
2021-08-27,29.988716
2021-08-30,32.166523
2021-08-31,38.877316
2021-09-01,38.73807
2021-09-02,40.068707
2021-09-03,39.593678
2021-09-06,48.639973
2021-09-07,49.246044
2021-09-08,50.666714
2021-09-09,50.693844
2021-09-13,53.971466
2021-09-14,54.457775
2021-09-15,56.71915
2021-09-16,56.22886
2021-09-17,53.190605
2021-09-20,63.127525
2021-09-21,54.993935
2021-09-22,52.767483
2021-09-23,61.197693
2021-09-24,50.647804
2021-09-27,56.160686
2021-09-28,47.435974
2021-09-29,48.940704
2021-09-30,59.497356
2021-10-01,56.166817
2021-10-04,45.69171
2021-10-05,54.387135
2021-10-06,56.18925
2021-10-07,54.917576
2021-10-08,57.913292
2021-10-11,56.33543
2021-10-12,63.63188
2021-10-13,59.106243
2021-10-14,57.381435
2021-10-18,56.84509
2021-10-19,55.179665
2021-10-20,102.40464
2021-10-21,99.31441
2021-10-22,76.46659
2021-10-25,54.27214
2021-10-26,52.35739
2021-10-27,60.537853
2021-10-28,58.41502
2021-10-29,59.26325
2021-11-01,56.235687
2021-11-02,59.285324
2021-11-03,53.85387
2021-11-04,55.245937
2021-11-08,56.37933
2021-11-09,55.071175
2021-11-10,50.49663
2021-11-11,51.856117
2021-11-12,52.287865
2021-11-15,53.787598
2021-11-16,49.987442
2021-11-17,55.94439
2021-11-18,42.88812
2021-11-22,55.014057
2021-11-23,46.22516
2021-11-24,76.91079
2021-11-25,57.6345
2021-11-26,35.52728
2021-11-29,53.401978
2021-11-30,37.573006
2021-12-01,59.251823
2021-12-02,37.01298
2021-12-03,40.95273
2021-12-06,56.67059
2021-12-07,36.920254
2021-12-08,57.333347
2021-12-09,38.02305
2021-12-10,41.688637
2021-12-13,43.59229
2021-12-14,39.68934
2021-12-15,41.67208
2021-12-16,55.191116
2021-12-17,43.127598
2021-12-20,54.980335
2021-12-21,51.14038
2021-12-22,42.402992
2021-12-23,42.493668
2021-12-24,41.404823
2021-12-27,42.346413
2021-12-28,47.38776
2021-12-29,33.578873
2021-12-30,39.708096
2021-12-31,39.498306
2022-01-03,55.65198
2022-01-04,36.7196
2022-01-05,42.128647
2022-01-06,44.57855
2022-01-07,41.546356
2022-01-10,54.581486
2022-01-11,43.672993
2022-01-12,48.678127
2022-01-13,48.29257
2022-01-14,45.864693
2022-01-17,47.704304
2022-01-18,43.502327
2022-01-19,40.476696
2022-01-20,37.69648
2022-01-21,48.593956
2022-01-24,98.03948
2022-01-25,73.01921
2022-01-27,71.48645
2022-01-28,62.466225
2022-01-31,59.59451
2022-02-01,37.655704
2022-02-02,50.07861
2022-02-03,50.51778
2022-02-04,87.36905
2022-02-07,52.780994
2022-02-08,39.07432
2022-02-09,45.908787
2022-02-10,46.036488
2022-02-11,47.438534
2022-02-14,158.75409
2022-02-15,52.389927
2022-02-16,53.54398
2022-02-17,54.492043
2022-02-18,51.98105
2022-02-21,62.568176
2022-02-22,64.71429
2022-02-23,60.49654
2022-02-24,28.337791
2022-02-25,51.7825
2022-02-28,52.257668
2022-03-02,53.461166
2022-03-03,80.80337
2022-03-04,73.4062
2022-03-07,63.83217
2022-03-08,59.75965
2022-03-09,52.908745
2022-03-10,46.142735
2022-03-11,47.774345
2022-03-14,54.249588
2022-03-15,59.540134
2022-03-16,50.022358
2022-03-17,50.278664
2022-03-21,59.125343
2022-03-22,54.988194
2022-03-23,54.602966
2022-03-24,52.145554
2022-03-25,48.45388
2022-03-28,50.04948
2022-03-29,50.2147
2022-03-30,64.62519
2022-03-31,56.587574
2022-04-01,46.556347
2022-04-04,45.598587
2022-04-05,50.690228
2022-04-06,52.19182
2022-04-07,52.823204
2022-04-08,48.046993
