date,iv_atm
2017-07-04,31.18164
2017-07-05,44.072266
2017-07-06,34.296875
2017-07-07,46.47461
2017-07-10,31.552734
2017-07-11,32.45117
2017-07-12,32.13867
2017-07-13,29.521484
2017-07-14,27.226562
2017-07-17,31.123047
2017-07-18,25.605469
2017-07-19,25.078125
2017-07-20,23.066406
2017-07-21,24.375
2017-07-24,17.226562
2017-07-25,38.359375
2017-07-27,27.104492
2017-07-28,36.29883
2017-07-31,38.14453
2017-08-01,39.23828
2017-08-02,35.36133
2017-08-03,50.29034
2017-08-04,29.101562
2017-08-07,36.186523
2017-08-08,38.759766
2017-08-09,34.347588
2017-08-10,32.452965
2017-08-11,47.94922
2017-08-14,46.25
2017-08-16,25.917969
2017-08-17,24.248047
2017-08-18,31.591797
2017-08-21,31.5625
2017-08-22,33.603516
2017-08-23,26.25659
2017-08-24,23.671875
2017-08-28,39.648438
2017-08-29,87.44141
2017-08-30,43.125
2017-08-31,28.007812
2017-09-01,40.7959
2017-09-04,28.359375
2017-09-05,27.939453
2017-09-06,29.082031
2017-09-07,29.28711
2017-09-08,25.38904
2017-09-11,30.029297
2017-09-12,27.90039
2017-09-13,26.748047
2017-09-14,31.884766
2017-09-15,32.695312
2017-09-18,36.347633
2017-09-19,38.691406
2017-09-20,32.1875
2017-09-21,33.554688
2017-09-22,31.035156
2017-09-25,46.479694
2017-09-26,31.914062
2017-09-27,94.604164
2017-09-28,33.914146
2017-09-29,29.46289
2017-10-03,29.91211
2017-10-04,26.884766
2017-10-05,26.230469
2017-10-06,26.16211
2017-10-09,30.371094
2017-10-10,72.62695
2017-10-11,26.767578
2017-10-12,18.125
2017-10-13,20.878906
2017-10-16,93.39844
2017-10-17,47.158203
2017-10-18,22.871094
2017-10-23,226.99219
2017-10-24,20.3125
2017-10-25,33.59375
2017-10-26,29.980469
2017-10-27,35.039062
2017-10-30,36.049805
2017-10-31,58.50586
2017-11-01,23.017578
2017-11-02,23.867188
2017-11-03,33.320312
