date,iv_atm
2017-07-04,20.859375
2017-07-05,21.513672
2017-07-06,21.5625
2017-07-07,21.953125
2017-07-10,23.588867
2017-07-11,21.513672
2017-07-12,19.21875
2017-07-13,18.305664
2017-07-14,17.939453
2017-07-17,19.580078
2017-07-18,19.511719
2017-07-19,18.001312
2017-07-20,17.822266
2017-07-21,16.455078
2017-07-24,18.79972
2017-07-25,18.359375
2017-07-27,17.172852
2017-07-28,18.330845
2017-07-31,19.589844
2017-08-01,18.955078
2017-08-02,19.023438
2017-08-03,16.801758
2017-08-04,15.908203
2017-08-07,16.44043
2017-08-08,17.143555
2017-08-09,17.607422
2017-08-10,17.451172
2017-08-11,19.301758
2017-08-14,17.358398
2017-08-16,19.399414
2017-08-17,20.410156
2017-08-18,20.454102
2017-08-21,20.498047
2017-08-22,20.184624
2017-08-23,16.552734
2017-08-24,16.357422
2017-08-28,20.527344
2017-08-29,21.142492
2017-08-30,18.164062
2017-08-31,16.948242
2017-09-01,17.96875
2017-09-04,19.453125
2017-09-05,19.814453
2017-09-06,20.473633
2017-09-07,20.703125
2017-09-08,20.195312
2017-09-11,24.941406
2017-09-12,23.759766
2017-09-13,23.97461
2017-09-14,23.007812
2017-09-15,22.636719
2017-09-18,24.555664
2017-09-19,23.720703
2017-09-20,23.740234
2017-09-21,21.503906
2017-09-22,19.833984
2017-09-25,24.472656
2017-09-26,26.146523
2017-09-27,31.679688
2017-09-28,22.862934
2017-09-29,21.435547
2017-10-03,23.789062
2017-10-04,23.492338
2017-10-05,24.208559
2017-10-06,25.308426
2017-10-09,26.855469
2017-10-10,25.039062
2017-10-11,25.419922
2017-10-12,22.646484
2017-10-13,22.172852
2017-10-16,21.992188
2017-10-17,21.972656
2017-10-18,21.47461
2017-10-23,23.085938
2017-10-24,22.285156
2017-10-25,45.585938
2017-10-26,24.575195
2017-10-27,19.854015
2017-10-30,18.476562
2017-10-31,18.779297
2017-11-01,18.28125
2017-11-02,18.354492
2017-11-03,18.66211
2017-11-06,20.25879
2017-11-07,20.732422
2017-11-08,21.71875
2017-11-09,21.582031
2017-11-10,20.52246
2017-11-13,21.069336
2017-11-14,22.558594
2017-11-15,22.441406
2017-11-16,20.634766
2017-11-17,19.350586
2017-11-20,21.228107
2017-11-21,20.605469
2017-11-22,21.835938
2017-11-23,20.078125
2017-11-24,20.742188
2017-11-27,21.972656
2017-11-28,23.632812
2017-11-29,25.351562
2017-11-30,20.261078
2017-12-01,20.40039
2017-12-04,20.717773
2017-12-05,19.277344
2017-12-06,19.936523
2017-12-07,19.44336
2017-12-08,19.21875
2017-12-11,20.351562
2017-12-12,22.958984
2017-12-13,23.378906
2017-12-14,23.325195
2017-12-15,20.69336
2017-12-18,20.10254
2017-12-19,19.85937
2017-12-20,18.466797
2017-12-21,17.5
2017-12-22,14.591993
2017-12-26,18.828125
2017-12-27,20.078125
2017-12-28,19.702242
2017-12-29,20.1147
2018-01-01,23.269472
2018-01-02,23.549805
2018-01-03,25.161133
2018-01-04,24.171793
2018-01-05,23.83789
2018-01-08,24.350586
2018-01-09,24.401062
2018-01-10,23.295898
2018-01-11,20.71289
2018-01-12,18.364258
2018-01-15,18.713932
2018-01-16,19.577477
2018-01-17,20.097633
2018-01-18,18.916016
2018-01-19,17.402344
2018-01-22,21.464844
2018-01-23,25.253906
2018-01-24,28.359375
2018-01-25,20.401798
2018-01-29,22.607422
2018-01-30,21.728516
2018-01-31,21.14746
2018-02-01,21.298828
2018-02-02,20.885376
2018-02-05,23.066406
2018-02-06,26.265945
2018-02-07,27.548828
2018-02-08,23.4375
2018-02-09,24.72168
2018-02-12,22.646484
2018-02-14,23.156975
2018-02-15,21.884766
2018-02-16,21.315891
2018-02-19,31.132812
2018-02-20,31.660156
2018-02-21,33.203125
2018-02-22,20.390625
2018-02-23,18.862305
2018-02-26,19.384766
2018-02-27,19.758863
2018-02-28,19.776773
2018-03-01,19.708437
2018-03-05,21.884766
2018-03-06,23.100586
2018-03-07,23.048002
2018-03-08,21.645508
2018-03-09,21.513672
2018-03-12,19.960938
2018-03-13,20.771484
2018-03-14,20.405273
2018-03-15,20.136719
2018-03-16,20.65918
2018-03-19,22.558594
2018-03-20,22.5
2018-03-21,21.31836
2018-03-22,20.15625
2018-03-23,20.175781
2018-03-26,24.550781
2018-03-27,22.636719
2018-03-28,21.103516
2018-04-02,21.87029
2018-04-03,21.904297
2018-04-04,22.368164
2018-04-05,21.449768
2018-04-06,21.68457
2018-04-09,22.488613
2018-04-10,22.239027
2018-04-11,22.15332
2018-04-12,22.207031
2018-04-13,22.197266
2018-04-16,24.257812
2018-04-17,24.15039
2018-04-18,24.233398
2018-04-19,20.71289
2018-04-20,19.980469
2018-04-23,25.742188
2018-04-24,23.346899
2018-04-25,21.992188
2018-04-26,16.448158
2018-04-27,17.11682
2018-04-30,16.296947
2018-05-02,17.514648
2018-05-03,17.366695
2018-05-04,17.841797
2018-05-07,18.266945
2018-05-08,19.360352
2018-05-09,18.648848
2018-05-10,19.389648
2018-05-11,19.345703
2018-05-14,21.333008
2018-05-15,18.847656
2018-05-16,19.941406
2018-05-17,18.28125
2018-05-18,18.149414
2018-05-21,20.0
2018-05-22,18.076172
2018-05-23,19.804688
2018-05-24,18.457031
2018-05-25,17.773438
2018-05-28,22.177734
2018-05-29,24.277344
2018-05-30,28.203125
2018-05-31,19.722862
2018-06-01,21.416016
2018-06-04,22.673107
2018-06-05,21.938477
2018-06-06,21.14746
2018-06-07,20.864258
2018-06-08,21.152344
2018-06-11,21.299177
2018-06-12,21.113281
2018-06-13,19.921875
2018-06-14,20.092773
2018-06-15,18.955078
2018-06-18,20.722656
2018-06-19,21.064453
2018-06-20,20.449219
2018-06-21,18.779297
2018-06-22,17.919922
2018-06-25,21.289062
2018-06-26,22.734375
2018-06-27,22.8125
2018-06-28,23.881836
2018-06-29,23.598633
2018-07-02,24.707031
2018-07-03,23.554688
2018-07-04,24.550781
2018-07-05,24.086914
2018-07-06,23.90625
2018-07-09,26.235352
2018-07-10,23.276367
2018-07-11,22.177734
2018-07-12,20.72754
2018-07-13,20.019531
2018-07-16,22.001953
2018-07-17,21.65039
2018-07-18,23.173828
2018-07-19,21.971447
2018-07-20,20.146484
2018-07-23,24.296875
2018-07-24,25.273438
2018-07-25,26.3597
2018-07-26,19.360352
2018-07-27,17.57369
2018-07-30,16.987305
2018-07-31,17.649832
2018-08-01,17.958984
2018-08-02,18.510742
2018-08-03,18.110352
2018-08-06,18.676954
2018-08-07,17.84668
2018-08-08,17.890625
2018-08-09,18.393099
2018-08-10,18.59375
2018-08-13,19.169922
2018-08-14,18.183594
2018-08-16,19.355469
2018-08-17,18.208008
2018-08-20,19.086914
2018-08-21,19.658203
2018-08-23,18.81836
2018-08-24,17.617188
2018-08-27,23.515625
2018-08-28,23.828125
2018-08-29,29.785156
2018-08-30,21.591797
2018-08-31,19.640398
2018-09-03,20.146484
2018-09-04,21.572266
2018-09-05,21.469727
2018-09-06,20.90332
2018-09-07,20.996094
2018-09-10,23.54004
2018-09-11,22.636719
2018-09-12,20.019531
2018-09-14,19.433594
2018-09-17,21.39432
2018-09-18,21.570213
2018-09-19,21.23868
2018-09-21,28.05664
2018-09-24,45.820312
2018-09-25,43.222656
2018-09-26,42.96875
2018-09-27,30.126953
2018-09-28,30.820312
2018-10-01,35.820312
2018-10-03,37.104492
2018-10-04,41.51367
2018-10-05,38.34961
2018-10-08,44.84375
2018-10-09,43.027344
2018-10-10,41.44043
2018-10-11,45.839844
2018-10-12,40.72754
2018-10-15,37.96875
2018-10-16,34.384766
2018-10-17,33.789062
2018-10-19,33.68164
2018-10-22,71.21121
2018-10-23,53.26172
2018-10-24,45.625
2018-10-25,34.868164
2018-10-26,34.536133
2018-10-29,37.231445
2018-10-30,40.756836
2018-10-31,38.100586
2018-11-01,35.60547
2018-11-02,32.460938
2018-11-05,33.720703
2018-11-06,33.38379
2018-11-09,32.91504
2018-11-12,34.316406
2018-11-13,33.656033
2018-11-14,32.060547
2018-11-15,32.186855
2018-11-16,33.38867
2018-11-19,33.326096
2018-11-20,31.503906
2018-11-21,29.072266
2018-11-22,26.33789
2018-11-26,28.710938
2018-11-27,34.82422
2018-11-28,33.027344
2018-11-29,24.814453
2018-11-30,28.320312
2018-12-03,28.427734
2018-12-04,27.607422
2018-12-05,29.907227
2018-12-06,31.831055
2018-12-07,31.035156
2018-12-10,33.83789
2018-12-11,32.685547
2018-12-12,29.589844
2018-12-13,28.515625
2018-12-14,27.631836
2018-12-17,28.320312
2018-12-18,27.353516
2018-12-19,29.267578
2018-12-20,28.046875
2018-12-21,30.341797
2018-12-24,32.03125
2018-12-26,36.42578
2018-12-27,28.046875
2018-12-28,27.260742
2018-12-31,27.260742
2019-01-01,27.573242
2019-01-02,28.833008
2019-01-03,31.782227
2019-01-04,30.84961
2019-01-07,33.61328
2019-01-08,29.780273
2019-01-09,27.485352
2019-01-10,24.63007
2019-01-11,23.691406
2019-01-14,25.112305
2019-01-15,23.027344
2019-01-16,21.420898
2019-01-17,20.654297
2019-01-18,22.270508
2019-01-21,23.945312
2019-01-22,24.199219
2019-01-23,24.980469
2019-01-24,25.84961
2019-01-25,26.523438
2019-01-28,41.953533
2019-01-29,36.07422
2019-01-30,31.132812
2019-01-31,24.350586
2019-02-01,21.926565
2019-02-04,23.613281
2019-02-05,23.759766
2019-02-06,23.70061
2019-02-07,23.027344
2019-02-08,23.388672
2019-02-11,23.808594
2019-02-12,24.61914
2019-02-13,23.203125
2019-02-14,23.81836
2019-02-15,26.132812
2019-02-18,29.824219
2019-02-19,30.136719
2019-02-20,28.779297
2019-02-21,26.502405
2019-02-22,25.546875
2019-02-25,28.886719
2019-02-26,30.898438
2019-02-27,37.94922
2019-02-28,25.234375
2019-03-01,24.902344
2019-03-05,22.995634
2019-03-06,22.75879
2019-03-07,23.364258
2019-03-08,22.753906
2019-03-11,24.257812
2019-03-12,26.987305
2019-03-13,26.894531
2019-03-14,29.194336
2019-03-15,30.029297
2019-03-18,29.960938
2019-03-19,28.271484
2019-03-20,25.878906
2019-03-22,23.965017
2019-03-25,26.31836
2019-03-26,29.492188
2019-03-27,50.820312
2019-03-28,32.143555
2019-03-29,32.192383
2019-04-01,34.04297
2019-04-02,32.39746
2019-04-03,31.904297
2019-04-04,33.623047
2019-04-05,31.142578
2019-04-08,33.134766
2019-04-09,32.006836
2019-04-10,30.878906
2019-04-11,30.361328
2019-04-12,31.00586
2019-04-15,32.558594
2019-04-16,30.46875
2019-04-18,30.107422
2019-04-22,36.18164
2019-04-23,36.347656
2019-04-24,30.859375
2019-04-25,32.80894
2019-04-26,31.362305
2019-04-30,36.66504
2019-05-02,41.645508
2019-05-03,44.467773
2019-05-06,51.850586
2019-05-07,50.584286
2019-05-08,50.41992
2019-05-09,49.585148
2019-05-10,51.43133
2019-05-13,57.850044
2019-05-14,55.2978
2019-05-15,64.73804
2019-05-16,65.04351
2019-05-17,64.22638
2019-05-20,63.85742
2019-05-21,76.50391
2019-05-22,81.71875
2019-05-23,44.072266
2019-05-24,30.703125
2019-05-27,37.178303
2019-05-28,35.371094
2019-05-29,32.734375
2019-05-30,32.0166
2019-05-31,31.416016
2019-06-03,31.557617
2019-06-04,31.845703
2019-06-06,37.65625
2019-06-07,35.927734
2019-06-10,36.152344
2019-06-11,33.085938
2019-06-12,33.916016
2019-06-13,37.70508
2019-06-14,42.958984
2019-06-17,44.072266
2019-06-18,43.22539
2019-06-19,43.36282
2019-06-20,38.41797
2019-06-21,37.958984
2019-06-24,42.578125
2019-06-25,43.515625
2019-06-26,40.351562
2019-06-27,35.67383
2019-06-28,37.79297
2019-07-01,36.606445
2019-07-02,36.73828
2019-07-03,34.70703
2019-07-04,34.248047
2019-07-05,32.20703
2019-07-08,39.140625
2019-07-09,38.99414
2019-07-10,41.635742
2019-07-11,38.203125
2019-07-12,32.65625
2019-07-15,33.066406
2019-07-16,31.347656
2019-07-17,31.054688
2019-07-18,29.648438
2019-07-19,32.09961
2019-07-22,35.95703
2019-07-23,36.152344
2019-07-24,40.234375
2019-07-25,31.450195
2019-07-26,30.600586
2019-07-29,30.371094
2019-07-30,37.0166
2019-07-31,37.20215
2019-08-01,36.396484
2019-08-02,38.79883
2019-08-05,38.012695
2019-08-06,34.11621
2019-08-07,34.42383
2019-08-08,31.82129
2019-08-09,33.027344
2019-08-13,41.12793
2019-08-14,36.51367
2019-08-16,34.744884
2019-08-19,36.23988
2019-08-20,40.10742
2019-08-21,42.402344
2019-08-22,40.683594
2019-08-23,46.523438
2019-08-26,45.585938
2019-08-27,52.03125
2019-08-28,47.851562
