date,iv_atm
2017-07-04,31.191406
2017-07-05,30.878906
2017-07-06,31.582031
2017-07-07,32.470703
2017-07-10,35.751953
2017-07-11,36.523438
2017-07-12,37.353516
2017-07-13,34.84375
2017-07-14,22.363281
2017-07-17,22.148438
2017-07-18,22.792969
2017-07-19,22.226562
2017-07-20,24.082031
2017-07-21,22.5
2017-07-24,29.882812
2017-07-25,28.164062
2017-07-27,21.367188
2017-07-28,20.46875
2017-07-31,22.216797
2017-08-01,21.992188
2017-08-02,22.041016
2017-08-03,19.990234
2017-08-04,21.689453
2017-08-07,22.404488
2017-08-08,20.444294
2017-08-09,21.748047
2017-08-10,23.798828
2017-08-11,24.70518
2017-08-14,24.560547
2017-08-16,24.518965
2017-08-17,30.292969
2017-08-18,49.140625
2017-08-21,44.882812
2017-08-22,40.078125
2017-08-23,41.445312
2017-08-24,39.762375
2017-08-28,35.878906
2017-08-29,38.046875
2017-08-30,33.203125
2017-08-31,26.171875
2017-09-01,22.631952
2017-09-04,25.53711
2017-09-05,25.695133
2017-09-06,24.609375
2017-09-07,22.705078
2017-09-08,22.421875
2017-09-11,22.460938
2017-09-12,20.898438
2017-09-13,21.503906
2017-09-14,23.183594
2017-09-15,22.34375
2017-09-18,22.949219
2017-09-19,22.558594
2017-09-20,22.460938
2017-09-21,21.40625
2017-09-22,22.08505
2017-09-25,25.410156
2017-09-26,26.484375
2017-09-27,32.734375
2017-09-28,25.361328
2017-09-29,24.30664
2017-10-03,23.896484
2017-10-04,24.129372
2017-10-05,23.639313
2017-10-06,24.433594
2017-10-09,25.945742
2017-10-10,25.546875
2017-10-11,25.878906
2017-10-12,25.898438
2017-10-13,26.376953
2017-10-16,27.550884
2017-10-17,28.632812
2017-10-18,29.140625
2017-10-23,48.885517
2017-10-24,64.765625
2017-10-25,35.039062
2017-10-26,22.421875
2017-10-27,21.18164
2017-10-30,21.47461
2017-10-31,19.355469
2017-11-01,19.003906
2017-11-02,17.27539
2017-11-03,17.753906
2017-11-06,18.613281
2017-11-07,20.84679
2017-11-08,19.951172
2017-11-09,19.532093
2017-11-10,18.886719
2017-11-13,20.410156
2017-11-14,19.951172
2017-11-15,19.628906
2017-11-16,21.953125
2017-11-17,21.015625
2017-11-20,20.527344
2017-11-21,21.269531
2017-11-22,20.644531
2017-11-23,24.160156
2017-11-24,27.356031
2017-11-27,28.203125
2017-11-28,27.070312
2017-11-29,26.40625
2017-11-30,25.449219
2017-12-01,26.572266
2017-12-04,23.123795
2017-12-05,23.59375
2017-12-06,23.927296
2017-12-07,22.451172
2017-12-08,22.216797
2017-12-11,22.778662
2017-12-12,22.96875
2017-12-13,23.515625
2017-12-14,23.91292
2017-12-15,23.90625
2017-12-18,21.914062
2017-12-19,22.041016
2017-12-20,21.533203
2017-12-21,22.460938
2017-12-22,21.152344
2017-12-26,26.777344
2017-12-27,26.992188
2017-12-28,27.34375
2017-12-29,28.564453
2018-01-01,30.0
2018-01-02,32.41211
2018-01-03,31.96289
2018-01-04,32.11914
2018-01-05,33.603516
2018-01-08,36.816406
2018-01-09,37.304688
2018-01-10,38.691406
2018-01-11,34.472656
2018-01-12,30.859375
2018-01-15,23.076172
2018-01-16,22.246094
2018-01-17,22.871094
2018-01-18,22.910156
2018-01-19,19.882812
2018-01-22,30.46875
2018-01-23,34.51172
2018-01-24,37.070312
2018-01-25,25.419922
2018-01-29,27.88086
2018-01-30,26.396484
2018-01-31,26.074219
2018-02-01,23.740234
2018-02-02,25.229492
2018-02-05,28.623047
2018-02-06,32.56836
2018-02-07,32.382812
2018-02-08,28.759766
2018-02-09,28.847656
2018-02-12,28.05664
2018-02-14,26.00586
2018-02-15,24.277344
2018-02-16,23.779297
2018-02-19,28.710938
2018-02-20,28.222656
2018-02-21,27.34375
2018-02-22,18.4375
2018-02-23,19.59961
2018-02-26,20.546875
2018-02-27,20.458984
2018-02-28,20.844727
2018-03-01,20.371094
2018-03-05,22.519531
2018-03-06,21.738281
2018-03-07,21.675676
2018-03-08,20.52246
2018-03-09,19.804688
2018-03-12,20.322266
2018-03-13,20.1642
2018-03-14,19.970703
2018-03-15,20.206121
2018-03-16,19.853516
2018-03-19,22.402344
2018-03-20,21.396484
2018-03-21,19.257812
2018-03-22,18.945312
2018-03-23,21.757812
2018-03-26,26.171875
2018-03-27,29.414062
2018-03-28,27.73997
2018-04-02,30.859375
2018-04-03,31.376953
2018-04-04,32.310688
2018-04-05,32.285156
2018-04-06,33.44667
2018-04-09,37.685707
2018-04-10,38.702972
2018-04-11,37.36328
2018-04-12,33.427734
2018-04-13,35.01953
2018-04-16,24.882812
2018-04-17,22.236328
2018-04-18,21.855469
2018-04-19,21.132812
2018-04-20,23.251953
2018-04-23,30.9375
2018-04-24,25.507812
2018-04-25,31.757812
2018-04-26,20.332031
2018-04-27,19.160156
2018-04-30,20.517578
2018-05-02,21.235352
2018-05-03,20.976562
2018-05-04,21.157227
2018-05-07,21.044922
2018-05-08,20.944893
2018-05-09,20.673828
2018-05-10,21.250626
2018-05-11,20.947266
2018-05-14,21.634958
2018-05-15,20.859375
2018-05-16,21.191406
2018-05-17,20.834324
2018-05-18,20.40039
2018-05-21,21.894531
2018-05-22,22.001953
2018-05-23,21.855469
2018-05-24,21.582031
2018-05-25,22.851562
2018-05-28,24.433594
2018-05-29,26.855469
2018-05-30,27.890625
2018-05-31,22.861328
2018-06-01,21.796875
2018-06-04,22.070312
2018-06-05,21.879883
2018-06-06,20.326925
2018-06-07,19.04914
2018-06-08,19.60312
2018-06-11,20.175781
2018-06-12,19.736328
2018-06-13,20.693285
2018-06-14,20.654297
2018-06-15,21.972656
2018-06-18,22.56836
2018-06-19,21.894531
2018-06-20,21.09375
2018-06-21,19.423828
2018-06-22,18.339844
2018-06-25,25.820312
2018-06-26,25.0
2018-06-27,30.117188
2018-06-28,29.368622
2018-06-29,29.516764
2018-07-02,31.547852
2018-07-03,31.767578
2018-07-04,31.990067
2018-07-05,35.9228
2018-07-06,34.256676
2018-07-09,35.01953
2018-07-10,36.54297
2018-07-11,36.96289
2018-07-12,40.36133
2018-07-13,37.87191
2018-07-16,27.988281
2018-07-17,25.253906
2018-07-18,23.339844
2018-07-19,22.070312
2018-07-20,22.705078
2018-07-23,29.199219
2018-07-24,31.152344
2018-07-25,27.226562
2018-07-26,20.821966
2018-07-27,18.876953
2018-07-30,18.623047
2018-07-31,19.609375
2018-08-01,19.545898
2018-08-02,19.853516
2018-08-03,18.828125
2018-08-06,20.53711
2018-08-07,19.61914
2018-08-08,19.267578
2018-08-09,18.271484
2018-08-10,18.55957
2018-08-13,20.478516
2018-08-14,19.633236
2018-08-16,20.185547
2018-08-17,20.244513
2018-08-20,25.22461
2018-08-21,22.460938
2018-08-23,22.226562
2018-08-24,21.464844
2018-08-27,24.804688
2018-08-28,25.976051
2018-08-29,27.65625
2018-08-30,22.460938
2018-08-31,21.59668
2018-09-03,23.007812
2018-09-04,24.746094
2018-09-05,24.397383
2018-09-06,23.28125
2018-09-07,23.173828
2018-09-10,25.703125
2018-09-11,24.13086
2018-09-12,23.222656
2018-09-14,23.261719
2018-09-17,26.679688
2018-09-18,24.785156
2018-09-19,22.890625
2018-09-21,28.59375
2018-09-24,33.984375
2018-09-25,38.359375
2018-09-26,36.002037
2018-09-27,35.13672
2018-09-28,34.746094
2018-10-01,36.972656
2018-10-03,39.228516
2018-10-04,42.246094
2018-10-05,41.875
2018-10-08,45.683594
2018-10-09,46.835938
2018-10-10,51.11328
2018-10-11,57.490234
2018-10-12,47.265625
2018-10-15,48.14453
2018-10-16,52.265625
2018-10-17,31.757812
2018-10-19,31.06973
2018-10-22,36.914062
2018-10-23,40.507812
2018-10-24,39.84375
2018-10-25,27.470703
2018-10-26,27.138672
2018-10-29,28.08333
2018-10-30,27.803984
2018-10-31,27.767967
2018-11-01,27.191744
2018-11-02,28.471815
2018-11-05,30.566406
2018-11-06,27.550951
2018-11-09,27.636719
2018-11-12,28.085938
2018-11-13,25.839844
2018-11-14,26.894531
2018-11-15,26.210938
2018-11-16,26.621094
2018-11-19,30.058594
2018-11-20,28.225666
2018-11-21,29.882812
2018-11-22,25.546875
2018-11-26,31.601562
2018-11-27,34.296875
2018-11-28,44.16238
2018-11-29,28.838228
2018-11-30,28.26544
2018-12-03,28.886719
2018-12-04,27.902672
2018-12-05,28.320312
2018-12-06,31.402943
2018-12-07,30.175781
2018-12-10,33.984375
2018-12-11,27.910156
2018-12-12,26.777344
2018-12-13,25.703125
2018-12-14,25.097656
2018-12-17,25.175781
2018-12-18,26.875
2018-12-19,28.206005
2018-12-20,27.084436
2018-12-21,30.351562
2018-12-24,30.117188
2018-12-26,36.953125
2018-12-27,34.79492
2018-12-28,33.984375
2018-12-31,33.984375
2019-01-01,34.08203
2019-01-02,34.765625
2019-01-03,34.628906
2019-01-04,35.88867
2019-01-07,36.347656
2019-01-08,35.898438
2019-01-09,34.335938
2019-01-10,32.617188
2019-01-11,29.846182
2019-01-14,24.355469
2019-01-15,22.480469
2019-01-16,21.503906
2019-01-17,20.976562
2019-01-18,18.847656
2019-01-21,22.65625
2019-01-22,23.476562
2019-01-23,23.59375
2019-01-24,23.320312
2019-01-25,21.5625
2019-01-28,29.101562
2019-01-29,31.328125
2019-01-30,31.5625
2019-01-31,22.929688
2019-02-01,24.492188
2019-02-04,24.072266
2019-02-05,23.574219
2019-02-06,22.216797
2019-02-07,21.621094
2019-02-08,21.982422
2019-02-11,22.597656
2019-02-12,22.519531
2019-02-13,22.03125
2019-02-14,22.070312
2019-02-15,22.949219
2019-02-18,24.804688
2019-02-19,29.023438
2019-02-20,26.875
2019-02-21,24.433594
2019-02-22,22.519531
2019-02-25,27.851562
2019-02-26,36.25
2019-02-27,40.234375
2019-02-28,22.576077
2019-03-01,21.503906
2019-03-05,23.828125
2019-03-06,23.90625
2019-03-07,25.131247
2019-03-08,24.765625
2019-03-11,25.449219
2019-03-12,25.488281
2019-03-13,26.386719
2019-03-14,27.363281
2019-03-15,26.25
2019-03-18,30.742188
2019-03-19,29.082031
2019-03-20,25.917969
2019-03-22,25.0
2019-03-25,32.8125
2019-03-26,26.757812
2019-03-27,31.152374
2019-03-28,32.070312
2019-03-29,31.591797
2019-04-01,31.513672
2019-04-02,32.265625
2019-04-03,31.230469
2019-04-04,31.816406
2019-04-05,31.21387
2019-04-08,34.140625
2019-04-09,36.132812
2019-04-10,37.265625
2019-04-11,35.351562
2019-04-12,33.515625
2019-04-15,24.023438
2019-04-16,22.100191
2019-04-18,20.625
2019-04-22,27.1875
2019-04-23,25.29655
2019-04-24,26.484375
2019-04-25,21.171875
2019-04-26,20.195312
2019-04-30,19.414062
2019-05-02,22.25586
2019-05-03,24.824219
2019-05-06,27.836664
2019-05-07,26.72518
2019-05-08,26.920004
2019-05-09,26.484375
2019-05-10,26.266666
2019-05-13,28.085938
2019-05-14,28.955078
2019-05-15,29.023438
2019-05-16,28.476562
2019-05-17,28.515625
2019-05-20,31.796875
2019-05-21,38.085938
2019-05-22,36.816406
2019-05-23,28.967478
2019-05-24,20.800781
2019-05-27,25.546875
2019-05-28,28.085938
2019-05-29,31.171875
2019-05-30,20.976562
2019-05-31,21.632534
2019-06-03,20.732422
2019-06-04,20.136719
2019-06-06,20.126953
2019-06-07,20.06836
2019-06-10,19.980469
2019-06-11,20.078125
2019-06-12,19.859798
2019-06-13,18.388672
2019-06-14,18.125
2019-06-17,19.257812
2019-06-18,18.838118
2019-06-19,18.945312
2019-06-20,19.394531
2019-06-21,19.414062
2019-06-24,21.891464
2019-06-25,21.40625
2019-06-26,23.164062
2019-06-27,25.722656
2019-06-28,25.798037
2019-07-01,27.33787
2019-07-02,27.695312
2019-07-03,27.7277
2019-07-04,27.265625
2019-07-05,27.639114
2019-07-08,29.062965
2019-07-09,30.280382
2019-07-10,30.355576
2019-07-11,29.082031
2019-07-12,26.074219
2019-07-15,23.886719
2019-07-16,19.453125
2019-07-17,19.433594
2019-07-18,18.75
2019-07-19,16.035156
2019-07-22,21.015625
2019-07-23,22.265625
2019-07-24,23.789062
2019-07-25,17.919922
2019-07-26,17.958984
2019-07-29,19.648438
2019-07-30,19.404297
2019-07-31,19.53125
2019-08-01,21.02539
2019-08-02,20.82863
2019-08-05,22.792969
2019-08-06,22.714844
2019-08-07,21.94336
2019-08-08,19.59961
2019-08-09,19.21875
2019-08-13,24.658203
2019-08-14,22.5
2019-08-16,23.398438
2019-08-19,23.789062
2019-08-20,23.632812
2019-08-21,21.328125
2019-08-22,22.65625
2019-08-23,23.653542
2019-08-26,28.515625
2019-08-27,29.339376
2019-08-28,34.0625
2019-08-29,22.695738
2019-08-30,20.46524
2019-09-03,21.201172
2019-09-04,21.083984
2019-09-05,19.84375
2019-09-06,20.820312
2019-09-09,19.746094
2019-09-11,19.316406
2019-09-12,18.886719
2019-09-13,17.929688
2019-09-16,19.394531
2019-09-17,20.351562
2019-09-18,20.664062
2019-09-19,19.642494
2019-09-20,26.445312
2019-09-23,50.78125
2019-09-24,41.171875
2019-09-25,41.210938
2019-09-26,29.824219
2019-09-27,29.863281
2019-09-30,29.189453
2019-10-01,29.970703
2019-10-03,31.02539
2019-10-04,30.69336
2019-10-07,34.208984
2019-10-09,34.08203
2019-10-10,35.566406
2019-10-11,35.273438
2019-10-14,25.898438
2019-10-15,25.722656
2019-10-16,25.390625
2019-10-17,24.121094
2019-10-18,25.351562
2019-10-22,74.609375
2019-10-23,59.296875
2019-10-24,52.734375
2019-10-25,44.648438
2019-10-29,51.04944
2019-10-30,36.015625
2019-10-31,34.902344
2019-11-01,35.429688
2019-11-04,37.60742
2019-11-05,37.36328
2019-11-06,34.697266
2019-11-07,33.007812
2019-11-08,32.8125
2019-11-11,33.496094
2019-11-13,33.92578
2019-11-14,32.95374
2019-11-15,30.644531
2019-11-18,35.097656
2019-11-19,30.859375
2019-11-20,31.835938
2019-11-21,42.79297
2019-11-22,38.28125
2019-11-25,36.132812
2019-11-26,40.859375
2019-11-27,36.015625
2019-11-28,24.804688
2019-11-29,24.248047
2019-12-02,25.566406
2019-12-03,23.81836
2019-12-04,23.52539
2019-12-05,23.232422
2019-12-06,23.544922
2019-12-09,23.769531
2019-12-10,23.378906
2019-12-11,24.238281
2019-12-12,28.535156
2019-12-13,24.511719
2019-12-16,25.761719
2019-12-17,23.808594
2019-12-18,24.389908
2019-12-19,24.648438
2019-12-20,20.097656
2019-12-23,23.476562
2019-12-24,15.1953125
2019-12-26,23.001007
2019-12-27,23.330078
2019-12-30,24.648438
2019-12-31,26.914062
2020-01-01,26.855469
2020-01-02,27.8125
2020-01-03,29.267578
2020-01-06,29.609375
2020-01-07,30.84961
2020-01-08,32.939453
2020-01-09,32.197266
2020-01-10,31.748047
2020-01-13,24.179688
2020-01-14,21.894531
2020-01-15,21.679688
2020-01-16,20.878906
2020-01-17,20.878906
2020-01-20,21.113281
2020-01-21,20.683594
2020-01-22,20.585938
2020-01-23,19.628906
2020-01-24,19.003906
2020-01-27,21.09375
2020-01-28,21.679688
2020-01-29,22.578125
2020-01-30,21.279297
2020-01-31,21.838163
2020-02-01,23.19336
2020-02-03,22.705078
2020-02-04,20.742188
2020-02-05,20.800781
2020-02-06,22.773438
2020-02-07,20.644531
2020-02-10,22.539062
2020-02-11,21.230469
2020-02-12,19.6875
2020-02-13,20.175781
2020-02-14,20.605469
2020-02-17,20.546875
2020-02-18,21.519068
2020-02-19,21.582031
2020-02-20,18.476562
2020-02-24,26.601562
2020-02-25,25.117188
2020-02-26,27.96875
2020-02-27,24.013672
2020-02-28,31.757812
2020-03-02,32.91992
2020-03-03,30.78125
2020-03-04,29.21875
2020-03-05,27.851562
2020-03-06,31.503906
2020-03-09,43.095703
2020-03-11,40.78125
2020-03-12,56.171875
2020-03-13,56.660156
2020-03-16,120.546875
2020-03-17,92.94922
2020-03-18,83.24219
2020-03-19,105.546875
2020-03-20,77.109375
2020-03-23,116.40625
2020-03-24,123.125
2020-03-25,122.65625
2020-03-26,69.27734
2020-03-27,61.259766
2020-03-30,107.343
2020-03-31,64.28711
2020-04-01,66.30859
2020-04-03,63.75554
2020-04-07,54.658203
2020-04-08,59.55078
2020-04-09,58.046875
2020-04-13,61.757812
2020-04-15,64.8891
2020-04-16,66.54297
2020-04-17,57.929688
2020-04-20,64.53125
2020-04-21,58.4375
2020-04-22,47.64874
2020-04-23,46.210938
2020-04-24,42.96875
2020-04-27,47.357033
2020-04-28,44.570312
2020-04-29,37.748554
2020-04-30,34.941406
2020-05-04,43.652344
2020-05-05,43.632812
2020-05-06,41.69922
2020-05-07,41.210938
2020-05-08,38.125
2020-05-11,37.63491
2020-05-12,38.984375
2020-05-13,42.16797
2020-05-14,50.17578
2020-05-15,48.14453
2020-05-18,45.273438
2020-05-19,38.242188
2020-05-20,33.398438
2020-05-21,30.820312
2020-05-22,27.760006
2020-05-26,39.453125
2020-05-27,34.375
2020-05-28,30.585938
2020-05-29,30.292969
2020-06-01,29.990234
2020-06-02,29.492188
2020-06-03,29.902344
2020-06-04,31.904297
2020-06-05,31.794613
2020-06-08,36.71875
2020-06-09,36.19062
2020-06-10,36.23047
2020-06-11,36.07422
2020-06-12,35.683594
2020-06-15,38.828125
2020-06-16,35.546875
2020-06-17,33.046875
2020-06-18,30.292969
2020-06-19,26.40625
2020-06-22,36.36829
2020-06-23,40.80577
2020-06-24,36.015625
2020-06-25,35.078125
2020-06-26,35.166016
2020-06-29,33.90625
2020-06-30,33.52539
2020-07-01,33.164062
2020-07-02,31.894531
2020-07-03,31.132812
2020-07-06,32.216797
2020-07-07,33.027344
2020-07-08,34.335938
2020-07-09,33.652344
2020-07-10,34.19922
2020-07-13,36.445312
2020-07-14,38.28125
2020-07-15,42.67578
2020-07-16,38.398438
2020-07-17,34.11133
2020-07-20,38.984375
2020-07-21,36.29883
2020-07-22,34.531857
2020-07-23,33.515625
2020-07-24,33.222656
2020-07-27,37.109375
2020-07-28,37.96875
2020-07-29,29.101562
2020-07-30,34.86328
2020-07-31,34.77539
2020-08-03,34.160156
2020-08-04,33.59375
2020-08-05,33.83789
2020-08-06,32.32422
2020-08-07,32.128906
2020-08-10,34.023438
2020-08-11,33.4375
2020-08-12,34.296875
2020-08-13,33.320312
2020-08-14,32.60742
2020-08-17,34.79492
2020-08-18,31.152344
2020-08-19,32.335743
2020-08-20,34.023438
2020-08-21,27.265625
2020-08-24,28.155579
2020-08-25,29.179688
2020-08-26,37.5
2020-08-27,27.050781
2020-08-28,28.623047
2020-08-31,33.10547
2020-09-01,31.386719
2020-09-02,30.029297
2020-09-03,28.34961
2020-09-04,29.785156
2020-09-07,32.490234
2020-09-08,28.134766
2020-09-09,29.472656
2020-09-10,28.603516
2020-09-11,27.998047
2020-09-14,32.861572
2020-09-15,33.41797
2020-09-16,36.247234
2020-09-17,35.300266
2020-09-18,28.535156
2020-09-21,38.828125
2020-09-22,41.09375
2020-09-23,34.296875
2020-09-24,38.847656
2020-09-25,36.220703
2020-09-28,36.503906
2020-09-29,36.870117
2020-09-30,37.076267
2020-10-01,35.88867
2020-10-05,39.42383
2020-10-06,40.322266
2020-10-07,44.140625
2020-10-08,46.73828
2020-10-09,50.566406
2020-10-12,59.73633
2020-10-13,60.742188
2020-10-14,48.203125
2020-10-15,37.597656
2020-10-16,32.490234
2020-10-19,32.734375
2020-10-20,32.998047
2020-10-21,29.482422
