date,iv_atm
2017-07-04,26.618198
2017-07-05,25.9375
2017-07-06,25.820312
2017-07-07,25.195312
2017-07-10,25.078125
2017-07-11,25.507812
2017-07-12,26.875
2017-07-13,33.085938
2017-07-14,32.265625
2017-07-17,34.101562
2017-07-18,32.734375
2017-07-19,34.960938
2017-07-20,33.00619
2017-07-21,25.859375
2017-07-24,32.96875
2017-07-25,31.328125
2017-07-27,25.351562
2017-07-28,26.933594
2017-07-31,28.261719
2017-08-01,29.453125
2017-08-02,28.808594
2017-08-03,28.515625
2017-08-04,27.519531
2017-08-07,27.851562
2017-08-08,28.815025
2017-08-09,31.972656
2017-08-10,30.976562
2017-08-11,33.632812
2017-08-14,32.109375
2017-08-16,30.291367
2017-08-17,29.746094
2017-08-18,30.15625
2017-08-21,33.945312
2017-08-22,31.640625
2017-08-23,28.28125
2017-08-24,26.132812
2017-08-28,32.603897
2017-08-29,35.78125
2017-08-30,41.25
2017-08-31,29.511719
2017-09-01,30.078125
2017-09-04,31.640625
2017-09-05,30.371094
2017-09-06,30.800781
2017-09-07,30.195312
2017-09-08,30.410156
2017-09-11,29.902344
2017-09-12,29.042969
2017-09-13,46.914062
2017-09-14,38.88672
2017-09-15,39.570312
2017-09-18,40.546875
2017-09-19,39.179688
2017-09-20,38.671875
2017-09-21,37.5
2017-09-22,40.78793
2017-09-25,50.703125
2017-09-26,53.75
2017-09-27,58.90625
2017-09-28,31.328125
2017-09-29,30.3125
2017-10-03,31.835938
2017-10-04,29.648438
2017-10-05,29.609375
2017-10-06,26.972656
2017-10-09,28.964844
2017-10-10,27.890625
2017-10-11,29.973175
2017-10-12,29.023438
2017-10-13,28.339844
2017-10-16,28.4375
2017-10-17,28.242188
2017-10-18,26.328125
2017-10-23,30.703125
2017-10-24,37.109375
2017-10-25,43.59375
2017-10-26,34.51619
2017-10-27,35.878906
2017-10-30,34.0625
2017-10-31,33.73047
2017-11-01,34.160156
2017-11-02,32.285156
2017-11-03,31.40625
2017-11-06,31.796875
2017-11-07,33.242188
2017-11-08,35.0
2017-11-09,33.378906
2017-11-10,31.640625
2017-11-13,34.570312
2017-11-14,33.496094
2017-11-15,32.1875
2017-11-16,29.921875
2017-11-17,30.898438
2017-11-20,30.625
2017-11-21,35.507812
2017-11-22,32.304688
2017-11-23,29.492188
2017-11-24,29.769503
2017-11-27,31.953125
2017-11-28,31.40625
2017-11-29,31.09375
2017-11-30,29.667969
2017-12-01,28.808594
2017-12-04,28.144531
2017-12-05,27.347559
2017-12-06,27.382812
2017-12-07,27.929688
2017-12-08,27.148438
2017-12-11,28.359375
2017-12-12,29.492188
2017-12-13,28.470999
2017-12-14,28.962166
2017-12-15,26.757812
2017-12-18,26.835938
2017-12-19,25.0
2017-12-20,24.882812
2017-12-21,25.585938
2017-12-22,21.640625
2017-12-26,34.6875
2017-12-27,33.046875
2017-12-28,26.542969
2017-12-29,26.289062
2018-01-01,28.164062
2018-01-02,29.0625
2018-01-03,28.398438
2018-01-04,30.039062
2018-01-05,28.28125
2018-01-08,29.882812
2018-01-09,29.316406
2018-01-10,31.328125
2018-01-11,31.171875
2018-01-12,28.90625
2018-01-15,30.195312
2018-01-16,29.492188
2018-01-17,29.093197
2018-01-18,28.75
2018-01-19,28.75
2018-01-22,31.953125
2018-01-23,38.4375
2018-01-24,40.0
2018-01-25,37.8125
2018-01-29,41.69922
2018-01-30,38.632812
2018-01-31,36.972656
2018-02-01,31.835938
2018-02-02,33.125
2018-02-05,34.726562
2018-02-06,34.19922
2018-02-07,34.253063
2018-02-08,31.484375
2018-02-09,31.679688
2018-02-12,30.703125
2018-02-14,28.945312
2018-02-15,28.4375
2018-02-16,25.234375
2018-02-19,26.953125
2018-02-20,30.15625
2018-02-21,36.09375
2018-02-22,25.87357
2018-02-23,24.023438
2018-02-26,24.804688
2018-02-27,24.94944
2018-02-28,24.296875
2018-03-01,23.76977
2018-03-05,26.464844
2018-03-06,26.367643
2018-03-07,26.914062
2018-03-08,25.3125
2018-03-09,25.390625
2018-03-12,24.980469
2018-03-13,26.699219
2018-03-14,25.15625
2018-03-15,24.84375
2018-03-16,27.65625
2018-03-19,33.75
2018-03-20,33.90625
2018-03-21,34.240368
2018-03-22,32.236702
