date,iv_atm
2021-02-26,0.3125
2021-03-01,0.3125
2021-03-02,60.751953
2021-03-03,54.838867
2021-03-04,61.166992
2021-03-05,61.850586
2021-03-08,63.359375
2021-03-09,59.570312
2021-03-10,54.663086
2021-03-12,54.853516
2021-03-15,50.126953
2021-03-16,46.972656
2021-03-17,39.277344
2021-03-18,42.29492
2021-03-19,39.658203
2021-03-22,44.13086
2021-03-23,47.578125
2021-03-24,38.828125
2021-03-25,39.65576
2021-03-26,37.929688
2021-03-30,40.364624
2021-03-31,40.072834
2021-04-01,41.132812
2021-04-05,41.835938
2021-04-06,38.92578
2021-04-07,40.066677
2021-04-08,41.14258
2021-04-09,37.802734
2021-04-12,47.0166
2021-04-13,37.265625
2021-04-15,40.195312
2021-04-16,37.98828
2021-04-19,38.74026
2021-04-20,38.759766
2021-04-22,35.390625
2021-04-23,32.36328
2021-04-26,30.30822
2021-04-27,56.640625
2021-04-28,29.296875
2021-04-29,40.20996
2021-04-30,0.078125
2021-05-03,0.078125
2021-05-04,0.0048828125
2021-05-05,38.4375
2021-05-06,35.581055
2021-05-07,36.50879
2021-05-10,42.76367
2021-05-11,41.567383
2021-05-12,36.54297
2021-05-14,36.992188
2021-05-17,37.54225
2021-05-18,37.65625
2021-05-19,40.26367
2021-05-20,41.552734
2021-05-21,33.964844
2021-05-24,30.703125
2021-05-25,30.458984
2021-05-26,32.65625
2021-05-27,38.50586
2021-05-28,37.2141
2021-05-31,37.114258
2021-06-01,34.995117
2021-06-02,33.88672
2021-06-03,34.770508
2021-06-04,34.27246
2021-06-07,49.86328
2021-06-08,46.674805
2021-06-09,45.996094
2021-06-10,45.615234
2021-06-11,46.020508
2021-06-14,47.001953
2021-06-15,51.18164
2021-06-16,53.75312
2021-06-17,48.79473
2021-06-18,34.932777
2021-06-21,43.775467
2021-06-22,30.4206
2021-06-23,32.091156
2021-06-24,46.627342
2021-06-25,35.25001
2021-06-28,38.367947
2021-06-29,39.074703
2021-06-30,34.938164
2021-07-01,32.66131
2021-07-02,32.176407
2021-07-05,31.799662
2021-07-06,33.69748
2021-07-07,33.448566
2021-07-08,33.212803
2021-07-09,32.720818
2021-07-12,32.76068
2021-07-13,31.250711
2021-07-14,28.95306
2021-07-15,29.987627
2021-07-16,33.38717
2021-07-19,34.45297
2021-07-20,29.974165
2021-07-22,29.292652
2021-07-23,27.508797
2021-07-26,33.75725
2021-07-27,33.33928
2021-07-28,27.09754
2021-07-29,45.906616
2021-07-30,37.024208
2021-08-02,40.014885
2021-08-03,38.57928
2021-08-04,39.735252
2021-08-05,40.61848
2021-08-06,40.81531
2021-08-09,45.067333
2021-08-10,45.08404
2021-08-11,45.382713
2021-08-12,41.66076
2021-08-13,36.518597
2021-08-16,34.963127
2021-08-17,36.413013
2021-08-18,33.55011
2021-08-20,35.989964
2021-08-23,47.37389
2021-08-24,37.567
2021-08-25,30.65642
2021-08-26,37.79349
2021-08-27,35.92389
2021-08-30,34.275646
2021-08-31,35.579384
2021-09-01,35.017918
2021-09-02,34.198814
2021-09-03,34.468525
2021-09-06,38.813564
2021-09-07,46.377068
2021-09-08,45.876064
2021-09-09,37.996986
2021-09-13,45.45559
2021-09-14,48.642063
2021-09-15,48.308727
2021-09-16,49.388466
2021-09-17,51.38109
2021-09-20,48.320457
2021-09-21,51.841297
2021-09-22,50.673306
2021-09-23,51.06091
2021-09-24,49.221485
2021-09-27,79.80437
2021-09-28,81.64792
2021-09-29,60.15825
2021-09-30,47.836533
2021-10-01,59.079525
2021-10-04,64.65805
2021-10-05,59.077377
2021-10-06,61.70317
2021-10-07,61.66503
2021-10-08,62.32696
2021-10-11,62.470444
2021-10-12,64.35237
2021-10-13,51.93431
2021-10-14,68.59241
2021-10-18,85.325874
2021-10-19,106.48429
2021-10-20,60.99701
2021-10-21,57.882824
2021-10-22,57.030243
2021-10-25,59.106888
2021-10-26,115.78584
2021-10-27,60.771515
2021-10-28,61.92361
2021-10-29,96.582245
2021-11-01,84.30299
2021-11-02,65.71079
2021-11-03,63.908863
2021-11-04,64.45416
2021-11-08,65.839745
2021-11-09,64.012215
2021-11-10,64.97201
2021-11-11,59.567986
2021-11-12,59.454113
2021-11-15,63.6441
2021-11-16,63.26087
2021-11-17,46.500328
2021-11-18,40.939926
2021-11-22,68.53381
2021-11-23,64.75492
2021-11-24,58.735397
2021-11-25,37.572205
2021-11-26,42.520294
2021-11-29,47.17724
2021-11-30,44.67956
2021-12-01,44.161766
2021-12-02,41.17404
2021-12-03,39.745163
2021-12-06,43.82133
2021-12-07,38.553734
2021-12-08,37.833935
2021-12-09,36.013275
2021-12-10,37.050076
2021-12-13,39.156647
2021-12-14,38.914867
2021-12-15,39.49372
2021-12-16,38.590836
2021-12-17,36.599693
2021-12-20,42.418293
2021-12-21,35.5143
2021-12-22,31.825752
2021-12-23,30.81516
2021-12-24,27.439705
2021-12-27,30.572948
2021-12-28,43.204502
2021-12-29,30.694122
2021-12-30,39.365776
2021-12-31,39.32617
2022-01-03,37.726612
2022-01-04,37.156723
2022-01-05,38.508286
2022-01-06,38.28284
2022-01-07,40.109898
2022-01-10,44.140106
2022-01-11,44.64786
2022-01-12,45.397484
2022-01-13,44.99827
2022-01-14,46.619537
2022-01-17,51.615154
2022-01-18,46.07281
2022-01-19,46.260612
2022-01-20,42.984577
2022-01-21,35.905098
2022-01-24,46.77247
2022-01-25,32.13177
2022-01-27,48.26306
2022-01-28,45.43618
2022-01-31,50.090763
2022-02-01,50.56388
2022-02-02,47.544735
2022-02-03,47.92748
2022-02-04,47.10939
2022-02-07,49.397446
2022-02-08,50.637695
2022-02-09,44.52609
2022-02-10,42.737705
2022-02-11,42.00392
2022-02-14,46.64386
2022-02-15,40.20814
2022-02-16,40.945652
2022-02-17,39.76285
2022-02-18,35.545876
2022-02-21,37.162647
2022-02-22,40.18524
2022-02-23,32.6934
2022-02-24,48.763275
2022-02-25,38.959286
2022-02-28,39.97447
2022-03-02,42.135838
2022-03-03,42.215298
2022-03-04,59.548737
2022-03-07,68.22221
2022-03-08,62.21884
2022-03-09,54.210224
2022-03-10,50.51004
2022-03-11,50.06276
2022-03-14,53.49665
2022-03-15,51.56567
2022-03-16,46.5614
2022-03-17,42.228607
2022-03-21,48.11075
2022-03-22,45.888863
2022-03-23,47.31936
2022-03-24,47.044937
2022-03-25,43.136623
2022-03-28,45.63706
2022-03-29,36.323162
2022-03-30,52.58504
2022-03-31,47.350716
2022-04-01,41.056732
2022-04-04,42.464165
2022-04-05,41.040306
2022-04-06,55.545353
2022-04-07,48.46909
2022-04-08,45.828213
2022-04-11,45.568295
2022-04-12,45.744232
2022-04-13,40.92513
2022-04-18,40.41808
2022-04-19,42.130432
2022-04-20,39.696247
2022-04-21,36.527542
2022-04-22,35.245167
2022-04-25,35.19366
2022-04-26,34.067932
2022-04-27,42.106594
2022-04-28,39.10019
2022-04-29,39.168774
2022-05-02,40.72187
2022-05-04,41.809727
2022-05-05,39.99573
2022-05-06,40.08917
2022-05-09,43.44645
2022-05-10,46.192337
2022-05-11,43.081345
2022-05-12,51.935234
2022-05-13,43.80708
2022-05-16,42.93217
2022-05-17,39.721874
2022-05-18,39.456726
2022-05-19,39.863525
2022-05-20,34.654495
2022-05-23,44.403393
2022-05-24,40.23049
2022-05-25,44.198368
2022-05-26,48.117516
2022-05-27,44.90842
2022-05-30,46.670216
2022-05-31,44.37999
2022-06-01,42.85522
2022-06-02,42.107723
2022-06-03,43.172497
2022-06-06,42.440624
2022-06-07,43.61007
2022-06-08,43.258114
2022-06-09,41.0467
2022-06-10,42.509598
2022-06-13,45.41853
2022-06-14,44.649727
2022-06-15,43.86001
2022-06-16,45.94089
2022-06-17,43.27277
2022-06-20,43.25679
2022-06-21,41.115177
2022-06-22,43.083073
2022-06-23,41.3395
2022-06-24,36.883595
2022-06-27,38.8039
2022-06-28,36.928947
2022-06-29,37.737473
2022-06-30,45.71399
2022-07-01,43.81305
2022-07-04,42.798805
2022-07-05,45.728813
2022-07-06,41.7044
2022-07-07,41.409485
2022-07-08,41.71459
2022-07-11,42.28501
2022-07-12,43.456337
2022-07-13,43.48903
2022-07-14,42.125084
2022-07-15,38.471058
2022-07-18,38.98221
2022-07-19,41.01369
2022-07-20,35.81702
2022-07-21,37.500137
2022-07-22,34.436115
2022-07-25,37.51352
2022-07-26,31.14453
2022-07-27,27.89232
2022-07-28,36.359013
2022-07-29,40.55272
2022-08-01,42.34719
2022-08-02,42.288536
2022-08-03,42.86035
2022-08-04,44.861145
2022-08-05,44.10423
2022-08-08,49.808163
2022-08-10,46.462677
2022-08-11,39.461468
2022-08-12,36.087326
2022-08-16,39.16358
2022-08-17,38.603302
2022-08-18,55.91054
2022-08-19,54.765972
2022-08-22,55.965374
2022-08-23,50.513107
2022-08-24,46.004276
2022-08-25,44.45609
2022-08-26,40.95275
2022-08-29,42.355858
2022-08-30,40.403057
2022-09-01,42.175816
2022-09-02,43.19559
2022-09-05,41.99379
2022-09-06,42.304413
2022-09-07,42.20705
2022-09-08,41.90703
2022-09-09,41.20088
2022-09-12,43.078655
2022-09-13,41.62172
2022-09-14,42.73838
2022-09-15,48.37492
2022-09-16,55.738483
2022-09-19,49.49216
2022-09-20,45.663105
2022-09-21,45.435574
2022-09-22,38.848083
2022-09-23,35.94426
2022-09-26,37.226425
2022-09-27,32.538837
2022-09-28,32.46304
2022-09-29,40.817043
2022-09-30,39.755615
2022-10-03,40.69613
2022-10-04,38.41899
2022-10-06,40.7691
2022-10-07,39.842224
2022-10-10,41.502693
2022-10-11,41.533398
2022-10-12,40.782085
2022-10-13,42.955727
2022-10-14,38.58547
2022-10-17,37.62092
2022-10-18,36.59228
2022-10-19,40.31091
2022-10-20,35.853294
2022-10-21,29.998892
2022-10-24,33.27534
2022-10-25,27.738558
2022-10-27,39.00045
2022-10-28,36.701324
2022-10-31,38.59501
2022-11-01,37.3869
2022-11-02,39.82048
2022-11-03,39.989964
2022-11-04,39.966946
2022-11-07,41.458313
2022-11-09,41.484818
2022-11-10,42.228687
2022-11-11,44.141697
2022-11-14,49.196815
2022-11-15,35.50246
2022-11-16,33.45427
2022-11-17,33.90953
2022-11-18,24.80452
2022-11-21,25.366058
2022-11-22,25.991674
2022-11-23,21.72956
2022-11-24,27.379414
2022-11-25,26.15243
2022-11-28,27.718699
2022-11-29,27.438858
2022-11-30,27.58382
2022-12-01,26.404572
2022-12-02,26.82788
2022-12-05,27.677767
2022-12-06,30.599522
2022-12-07,29.59524
2022-12-08,27.472185
2022-12-09,26.254744
2022-12-12,25.873024
2022-12-13,26.934145
2022-12-14,30.300346
2022-12-15,26.897257
2022-12-16,19.10992
2022-12-19,45.64127
2022-12-20,46.13167
2022-12-21,19.408041
2022-12-22,48.09068
2022-12-23,36.387196
2022-12-26,36.84523
2022-12-27,32.869804
2022-12-28,32.277363
2022-12-29,28.428982
2022-12-30,27.570292
2023-01-02,27.419556
2023-01-03,28.553083
2023-01-04,28.429014
2023-01-05,28.045574
2023-01-06,26.603806
2023-01-09,26.239944
2023-01-10,26.432384
2023-01-11,25.900425
2023-01-12,25.026901
2023-01-13,22.949001
2023-01-16,23.299147
2023-01-17,23.232773
2023-01-18,20.081503
2023-01-19,18.854786
2023-01-20,17.848759
2023-01-23,22.752556
2023-01-24,21.742847
2023-01-25,26.609535
2023-01-27,32.764153
2023-01-30,32.205906
2023-01-31,31.510015
2023-02-01,32.528168
2023-02-02,31.438555
2023-02-03,29.93825
2023-02-06,30.908945
2023-02-07,30.787329
2023-02-08,30.984715
2023-02-09,29.847864
2023-02-10,23.91778
2023-02-13,23.526304
2023-02-14,22.249754
2023-02-15,22.041626
2023-02-16,21.02401
2023-02-17,18.74561
2023-02-20,22.877762
2023-02-21,20.984686
2023-02-22,29.362175
2023-02-23,25.64907
2023-02-24,23.446081
2023-02-27,22.871426
2023-02-28,22.053265
2023-03-01,21.206207
2023-03-02,20.950077
2023-03-03,20.558401
2023-03-06,20.705173
2023-03-08,20.426508
2023-03-09,21.542831
2023-03-10,21.370321
2023-03-13,24.968391
2023-03-14,22.852299
2023-03-15,22.781944
2023-03-16,23.07509
2023-03-17,22.526571
2023-03-20,23.978456
2023-03-21,23.666954
2023-03-22,24.092821
2023-03-23,21.05495
2023-03-24,21.865074
2023-03-27,39.82077
2023-03-28,51.19423
2023-03-29,27.19949
2023-03-31,25.70216
2023-04-03,24.833475
2023-04-05,24.669035
2023-04-06,23.766499
2023-04-10,24.18364
2023-04-11,22.431257
2023-04-12,21.652472
2023-04-13,22.043417
2023-04-17,24.929209
2023-04-18,24.937374
2023-04-19,26.105587
2023-04-20,24.482746
2023-04-21,23.034187
2023-04-24,27.530512
2023-04-25,35.30907
2023-04-26,33.647247
2023-04-27,24.073355
2023-04-28,21.910727
2023-05-02,25.475315
2023-05-03,25.83333
2023-05-04,23.572708
2023-05-05,24.145672
2023-05-08,24.69144
2023-05-09,25.713682
2023-05-10,24.02229
2023-05-11,23.167788
2023-05-12,21.875565
2023-05-15,24.211016
2023-05-16,22.438831
2023-05-17,22.168898
2023-05-18,20.895023
2023-05-19,20.664333
2023-05-22,25.198326
2023-05-23,33.0533
2023-05-24,25.025515
2023-05-25,26.48313
2023-05-26,26.783257
2023-05-29,29.39862
2023-05-30,24.669912
2023-05-31,23.365662
2023-06-01,23.365942
2023-06-02,22.86794
2023-06-05,23.92521
2023-06-06,21.973183
2023-06-07,22.830696
2023-06-08,23.823727
2023-06-09,23.57063
2023-06-12,23.685957
2023-06-13,23.801962
2023-06-14,24.535975
2023-06-15,24.195084
2023-06-16,28.30681
2023-06-19,30.809546
2023-06-20,27.981747
2023-06-21,27.568636
2023-06-22,24.97983
2023-06-23,20.367325
2023-06-26,25.100117
2023-06-27,18.939766
2023-06-28,23.891943
2023-06-30,25.105074
2023-07-03,26.053793
