date,iv_atm
2021-01-01,40.163574
2021-01-04,40.612793
2021-01-05,39.5166
2021-01-06,43.867188
2021-01-07,38.10547
2021-01-08,38.149414
2021-01-11,42.20703
2021-01-12,43.73535
2021-01-13,41.020508
2021-01-14,29.27246
2021-01-15,52.570282
2021-01-18,1.25
2021-01-19,60.825195
2021-01-20,46.708984
2021-01-21,25.351562
2021-01-22,33.361702
2021-01-25,20.917969
2021-01-27,29.53125
2021-01-28,0.3125
2021-01-29,0.3125
2021-02-01,30.898438
2021-02-02,30.007324
2021-02-03,36.293945
2021-02-04,41.11084
2021-02-05,26.298828
2021-02-08,45.24414
2021-02-09,40.699097
2021-02-10,39.277344
2021-02-11,30.058594
2021-02-12,27.104492
2021-02-15,41.69922
2021-02-16,42.895508
2021-02-17,54.375
2021-02-18,51.63086
2021-02-19,53.808594
2021-02-22,51.914062
2021-02-23,51.25
2021-02-24,57.929688
2021-02-25,0.625
2021-02-26,48.11035
2021-03-01,35.53711
2021-03-02,45.180664
2021-03-03,47.29004
2021-03-04,0.3125
2021-03-05,47.34375
2021-03-08,47.646484
2021-03-09,33.841686
2021-03-10,47.09961
2021-03-12,44.658203
2021-03-15,42.695312
2021-03-16,54.160156
2021-03-17,39.223633
2021-03-18,40.33203
2021-03-19,41.51367
2021-03-22,79.93164
2021-03-23,32.871365
2021-03-24,40.64453
2021-03-25,38.45215
2021-03-26,70.166016
2021-03-30,0.625
2021-03-31,39.282227
2021-04-01,0.625
2021-04-05,44.699707
2021-04-06,0.15625
2021-04-07,44.16992
2021-04-08,0.625
2021-04-09,0.625
2021-04-12,61.359863
2021-04-13,0.625
2021-04-15,68.34775
2021-04-16,61.383896
2021-04-19,63.87207
2021-04-20,70.200195
2021-04-22,68.44238
2021-04-23,60.737305
2021-04-26,59.26758
2021-04-27,51.61133
2021-04-28,116.16211
2021-04-29,0.15625
2021-04-30,55.161133
2021-05-03,44.296875
2021-05-04,0.15625
2021-05-05,0.3125
2021-05-06,0.3125
2021-05-07,0.625
2021-05-10,46.82617
2021-05-11,0.0024414062
2021-05-12,47.734375
2021-05-14,0.625
2021-05-17,59.174805
2021-05-18,48.282055
2021-05-19,52.08008
2021-05-20,57.929764
2021-05-21,56.398582
2021-05-24,42.753906
2021-05-25,34.257812
2021-05-26,50.878906
2021-05-27,34.956055
2021-05-28,34.067383
2021-05-31,0.625
2021-06-01,35.97168
2021-06-02,34.677734
