date,iv_atm
2017-07-04,21.557617
2017-07-05,20.576172
2017-07-06,20.253687
2017-07-07,20.3125
2017-07-10,20.629883
2017-07-11,20.498047
2017-07-12,20.419922
2017-07-13,20.290764
2017-07-14,18.769531
2017-07-17,19.628906
2017-07-18,20.410156
2017-07-19,19.042969
2017-07-20,20.898438
2017-07-21,19.648438
2017-07-24,24.257812
2017-07-25,23.964844
2017-07-27,26.154892
2017-07-28,26.607735
2017-07-31,22.03125
2017-08-01,21.18164
2017-08-02,21.367188
2017-08-03,21.044922
2017-08-04,20.766602
2017-08-07,21.40625
2017-08-08,20.996094
2017-08-09,22.832031
2017-08-10,22.919922
2017-08-11,26.972656
2017-08-14,21.298828
2017-08-16,21.895433
2017-08-17,22.246094
2017-08-18,22.863583
2017-08-21,25.8776
2017-08-22,22.382812
2017-08-23,19.629303
2017-08-24,17.402344
2017-08-28,22.5
2017-08-29,25.195312
2017-08-30,19.765625
2017-08-31,20.283203
2017-09-01,19.638672
2017-09-04,21.25
2017-09-05,19.853516
2017-09-06,20.664062
2017-09-07,20.292969
2017-09-08,22.167969
2017-09-11,24.433594
2017-09-12,21.679688
2017-09-13,21.425781
2017-09-14,20.810547
2017-09-15,21.191406
2017-09-18,22.27539
2017-09-19,22.128906
2017-09-20,23.21483
2017-09-21,22.792969
2017-09-22,29.722887
2017-09-25,34.6875
2017-09-26,30.902973
2017-09-27,33.28125
2017-09-28,23.261719
2017-09-29,23.242188
2017-10-03,23.339844
2017-10-04,21.206055
2017-10-05,21.933594
2017-10-06,20.771484
2017-10-09,22.56836
2017-10-10,22.951702
2017-10-11,24.30664
2017-10-12,21.044922
2017-10-13,21.151205
2017-10-16,22.480469
2017-10-17,23.007812
2017-10-18,23.359375
2017-10-23,30.15625
2017-10-24,30.351562
2017-10-25,42.148438
2017-10-26,27.075247
2017-10-27,25.15625
2017-10-30,26.035156
2017-10-31,25.732422
2017-11-01,26.103516
2017-11-02,26.733398
2017-11-03,28.154297
2017-11-06,30.429688
2017-11-07,33.03711
2017-11-08,33.203125
2017-11-09,33.408203
2017-11-10,32.407227
2017-11-13,26.523438
2017-11-14,24.61914
2017-11-15,24.222864
2017-11-16,24.033203
2017-11-17,23.740234
2017-11-20,28.813911
2017-11-21,27.490234
2017-11-22,25.273438
2017-11-23,26.878149
2017-11-24,28.300781
2017-11-27,30.351562
2017-11-28,31.54125
2017-11-29,30.039062
2017-11-30,21.50879
2017-12-01,24.189453
2017-12-04,23.305664
2017-12-05,23.100586
2017-12-06,23.798828
2017-12-07,22.646484
2017-12-08,21.28418
2017-12-11,23.154297
2017-12-12,24.550781
2017-12-13,26.396484
2017-12-14,27.460938
2017-12-15,24.814453
2017-12-18,22.578125
2017-12-19,20.039062
2017-12-20,21.835938
2017-12-21,21.054688
2017-12-22,19.765625
2017-12-26,26.289062
2017-12-27,25.917969
2017-12-28,21.689453
2017-12-29,22.299805
2018-01-01,22.148438
2018-01-02,22.607422
2018-01-03,23.34961
2018-01-04,25.507812
2018-01-05,23.857422
2018-01-08,24.257812
2018-01-09,24.248047
2018-01-10,27.680664
2018-01-11,25.029297
2018-01-12,24.588366
2018-01-15,25.419922
2018-01-16,24.830269
2018-01-17,23.632812
2018-01-18,21.601562
2018-01-19,19.277344
2018-01-22,26.972656
2018-01-23,34.101562
2018-01-24,46.85547
2018-01-25,31.875
2018-01-29,33.81836
2018-01-30,31.333008
2018-01-31,30.654297
2018-02-01,24.208984
2018-02-02,25.767557
2018-02-05,28.583984
2018-02-06,31.103516
2018-02-07,30.816946
2018-02-08,26.240234
2018-02-09,27.832031
2018-02-12,27.617188
2018-02-14,27.34375
2018-02-15,24.472656
2018-02-16,23.242188
2018-02-19,26.152344
2018-02-20,27.617188
2018-02-21,22.65625
2018-02-22,20.512695
2018-02-23,20.791016
2018-02-26,21.435547
2018-02-27,21.484375
2018-02-28,21.31836
2018-03-01,20.595703
2018-03-05,22.851562
2018-03-06,23.984375
2018-03-07,23.876953
2018-03-08,21.464844
2018-03-09,19.91211
2018-03-12,19.939629
2018-03-13,21.347656
2018-03-14,21.269531
2018-03-15,21.298828
2018-03-16,23.627775
2018-03-19,23.463612
2018-03-20,20.185547
2018-03-21,21.347656
2018-03-22,20.722656
2018-03-23,22.304688
2018-03-26,22.65625
2018-03-27,22.265625
2018-03-28,20.205078
2018-04-02,20.791016
2018-04-03,20.800781
2018-04-04,21.80664
2018-04-05,20.10254
2018-04-06,21.079102
2018-04-09,21.287098
2018-04-10,21.235352
2018-04-11,21.005663
2018-04-12,20.634766
2018-04-13,19.707031
2018-04-16,20.69336
2018-04-17,21.63086
2018-04-18,21.94336
2018-04-19,21.312809
2018-04-20,18.276474
2018-04-23,25.234375
2018-04-24,29.140625
2018-04-25,25.0
2018-04-26,20.600586
2018-04-27,21.015625
2018-04-30,21.152344
2018-05-02,22.544935
2018-05-03,23.276367
2018-05-04,23.393555
2018-05-07,23.81836
2018-05-08,24.658203
2018-05-09,23.398438
2018-05-10,24.140625
2018-05-11,23.398438
2018-05-14,25.46875
2018-05-15,25.53711
2018-05-16,25.512695
2018-05-17,25.390625
2018-05-18,27.128906
2018-05-21,30.673828
2018-05-22,29.84375
2018-05-23,31.00586
2018-05-24,30.947266
2018-05-25,33.54492
2018-05-28,51.933594
2018-05-29,28.59375
2018-05-30,25.15625
2018-05-31,22.280273
2018-06-01,22.451172
2018-06-04,23.305664
2018-06-05,22.070312
2018-06-06,20.908203
2018-06-07,20.966797
2018-06-08,20.917969
2018-06-11,21.982422
2018-06-12,20.546875
2018-06-13,21.02539
2018-06-14,19.736328
2018-06-15,19.53125
2018-06-18,21.152344
2018-06-19,21.884766
2018-06-20,20.527344
2018-06-21,19.980469
2018-06-22,17.167969
2018-06-25,22.890625
2018-06-26,26.054688
2018-06-27,31.679688
2018-06-28,22.763672
2018-06-29,21.513672
2018-07-02,22.519531
2018-07-03,22.5
2018-07-04,22.128906
2018-07-05,22.734375
2018-07-06,21.542969
2018-07-09,21.133318
2018-07-10,21.894531
2018-07-11,24.023438
2018-07-12,26.582031
2018-07-13,29.160156
2018-07-16,32.43164
2018-07-17,30.439453
2018-07-18,30.859375
2018-07-19,34.28711
2018-07-20,34.19922
2018-07-23,44.35547
2018-07-24,63.671875
2018-07-25,85.625
2018-07-26,22.011719
2018-07-27,20.605469
2018-07-30,21.12793
2018-07-31,22.03125
2018-08-01,21.71875
2018-08-02,22.294922
2018-08-03,21.298828
2018-08-06,21.865234
2018-08-07,21.621094
2018-08-08,20.996094
2018-08-09,21.80664
2018-08-10,22.373047
2018-08-13,23.359375
2018-08-14,22.646484
2018-08-16,23.115234
2018-08-17,20.820072
2018-08-20,30.722656
2018-08-21,28.632812
2018-08-23,25.615234
2018-08-24,22.1875
2018-08-27,24.902344
2018-08-28,24.355469
2018-08-29,24.414062
2018-08-30,20.024414
2018-08-31,19.91211
2018-09-03,20.566406
2018-09-04,21.279297
2018-09-05,20.419922
2018-09-06,19.794922
2018-09-07,20.166016
2018-09-10,20.166016
2018-09-11,20.52246
2018-09-12,19.61914
2018-09-14,19.697266
2018-09-17,20.322266
2018-09-18,18.75
2018-09-19,16.455078
2018-09-21,19.648438
2018-09-24,23.613281
2018-09-25,24.160156
2018-09-26,26.875
2018-09-27,21.967773
2018-09-28,24.951172
2018-10-01,28.28125
2018-10-03,30.175781
2018-10-04,32.143555
2018-10-05,33.164062
2018-10-08,35.55664
2018-10-09,34.6875
2018-10-10,31.992188
2018-10-11,35.078125
2018-10-12,32.23633
2018-10-15,34.101562
2018-10-16,28.847656
2018-10-17,25.654297
2018-10-19,25.722656
2018-10-22,29.688753
2018-10-23,28.730469
2018-10-24,26.523438
2018-10-25,26.593924
2018-10-26,26.25
2018-10-29,25.86914
2018-10-30,25.996124
2018-10-31,24.44336
2018-11-01,22.285156
2018-11-02,20.86914
2018-11-05,22.1875
2018-11-06,20.942383
2018-11-09,18.94043
2018-11-12,21.09375
2018-11-13,20.71289
2018-11-14,20.800781
2018-11-15,20.058594
2018-11-16,20.048828
2018-11-19,19.867714
2018-11-20,19.6875
2018-11-21,19.199219
2018-11-22,17.001953
2018-11-26,20.489912
2018-11-27,22.324219
2018-11-28,23.867188
2018-11-29,21.611328
2018-11-30,21.40625
2018-12-03,22.55371
2018-12-04,22.705078
2018-12-05,23.134766
2018-12-06,23.076172
2018-12-07,22.373047
2018-12-10,25.292969
2018-12-11,22.421875
2018-12-12,19.638672
2018-12-13,19.023438
2018-12-14,18.613281
2018-12-17,19.726562
2018-12-18,19.0625
2018-12-19,16.71875
2018-12-20,19.482422
2018-12-21,18.095703
2018-12-24,21.054688
2018-12-26,24.375
2018-12-27,20.341797
2018-12-28,19.521484
2018-12-31,19.672852
2019-01-01,19.282227
2019-01-02,20.297852
2019-01-03,21.05957
2019-01-04,20.874023
2019-01-07,22.055664
2019-01-08,20.55664
2019-01-09,20.341797
2019-01-10,20.141602
2019-01-11,21.611328
2019-01-14,23.613281
2019-01-15,24.033203
2019-01-16,24.53125
2019-01-17,24.296875
2019-01-18,27.382812
2019-01-21,33.378906
2019-01-22,31.835938
2019-01-23,31.933594
2019-01-24,36.80664
2019-01-25,41.484375
2019-01-28,36.054688
2019-01-29,29.355469
2019-01-30,29.882812
2019-01-31,23.574219
2019-02-01,22.485352
2019-02-04,22.353516
2019-02-05,23.032227
2019-02-06,22.041016
2019-02-07,23.21289
2019-02-08,25.390625
2019-02-11,25.488281
2019-02-12,24.21875
2019-02-13,24.951172
2019-02-14,26.210938
2019-02-15,27.890625
2019-02-18,29.6875
2019-02-19,26.95912
2019-02-20,23.671875
2019-02-21,22.929688
2019-02-22,21.601562
2019-02-25,27.011719
2019-02-26,29.375
2019-02-27,39.179688
2019-02-28,21.33789
2019-03-01,20.625
2019-03-05,22.036133
2019-03-06,24.345703
2019-03-07,22.783203
2019-03-08,23.554688
2019-03-11,22.675781
2019-03-12,21.904297
2019-03-13,21.347656
2019-03-14,21.201172
2019-03-15,22.58789
2019-03-18,24.282404
2019-03-19,26.611328
2019-03-20,22.990133
2019-03-22,23.144531
2019-03-25,26.660156
2019-03-26,27.942907
2019-03-27,26.132812
2019-03-28,22.739258
2019-03-29,24.101562
2019-04-01,26.132507
2019-04-02,26.850586
2019-04-03,25.888672
2019-04-04,25.703125
2019-04-05,25.15625
2019-04-08,25.08789
2019-04-09,24.492188
2019-04-10,24.301758
2019-04-11,24.121094
2019-04-12,22.824911
2019-04-15,23.310547
2019-04-16,21.71875
2019-04-18,21.992188
2019-04-22,27.8125
2019-04-23,28.242188
2019-04-24,24.830637
2019-04-25,27.226562
2019-04-26,25.332031
2019-04-30,26.191406
2019-05-02,29.21875
2019-05-03,31.923828
2019-05-06,35.776367
2019-05-07,35.60547
2019-05-08,35.53711
2019-05-09,34.819336
2019-05-10,35.81543
2019-05-13,36.69922
2019-05-14,36.030273
2019-05-15,38.364586
2019-05-16,39.208984
2019-05-17,37.29492
2019-05-20,38.14453
2019-05-21,39.746094
2019-05-22,52.1875
2019-05-23,31.25
2019-05-24,23.544922
2019-05-27,31.152344
2019-05-28,29.335938
2019-05-29,31.484375
2019-05-30,22.885742
2019-05-31,23.761168
2019-06-03,24.09668
2019-06-04,23.150017
2019-06-06,23.889307
2019-06-07,22.841797
2019-06-10,22.695312
2019-06-11,21.259766
2019-06-12,19.990234
2019-06-13,20.06836
2019-06-14,19.580078
2019-06-17,21.769474
2019-06-18,21.191406
2019-06-19,22.041016
2019-06-20,19.882812
2019-06-21,21.132812
2019-06-24,25.097656
2019-06-25,25.898438
2019-06-26,28.164062
2019-06-27,23.427734
2019-06-28,23.574219
2019-07-01,24.145418
2019-07-02,24.032637
2019-07-03,25.644531
2019-07-04,25.419922
2019-07-05,25.186415
2019-07-08,27.753906
2019-07-09,27.421875
2019-07-10,29.291992
2019-07-11,28.55957
2019-07-12,29.199219
2019-07-15,31.230469
2019-07-16,30.527344
2019-07-17,29.960938
2019-07-18,31.00586
2019-07-19,32.089844
2019-07-22,45.859375
2019-07-23,51.69922
2019-07-24,29.804688
2019-07-25,21.904297
2019-07-26,20.956942
2019-07-29,21.552734
2019-07-30,21.833742
2019-07-31,21.972656
