date,iv_atm
2021-02-26,0.15625
2021-03-01,41.950684
2021-03-02,53.8916
2021-03-03,53.520508
2021-03-04,59.72412
2021-03-05,0.625
2021-03-08,50.24414
2021-03-09,52.885742
2021-03-10,50.20508
2021-03-12,55.341797
2021-03-15,55.317383
2021-03-16,46.562103
2021-03-17,52.09961
2021-03-18,49.61914
2021-03-19,43.83789
2021-03-22,48.59375
2021-03-23,37.54883
2021-03-24,169.55078
2021-03-25,39.560547
2021-03-26,0.625
2021-03-30,0.625
2021-03-31,0.625
2021-04-01,0.15625
2021-04-05,0.625
2021-04-06,36.220703
2021-04-07,0.3125
2021-04-08,54.641052
2021-04-09,43.271484
2021-04-12,42.089844
2021-04-13,43.03711
2021-04-15,40.249023
2021-04-16,28.417969
2021-04-19,28.041992
2021-04-20,36.28418
2021-04-22,1.25
2021-04-23,38.15918
2021-04-26,44.59961
2021-04-27,44.648438
2021-04-28,35.33203
2021-04-29,0.3125
2021-04-30,0.625
2021-05-03,49.28711
2021-05-04,44.440918
2021-05-05,41.896973
2021-05-06,50.927734
2021-05-07,0.625
2021-05-10,39.956055
2021-05-11,0.625
2021-05-12,0.625
2021-05-14,0.625
2021-05-17,57.34375
2021-05-18,0.078125
2021-05-19,42.43164
2021-05-20,38.779297
2021-05-21,36.721012
2021-05-24,48.14453
2021-05-25,60.115772
2021-05-26,37.63672
2021-05-27,35.410156
2021-05-28,0.625
2021-05-31,31.430664
2021-06-01,0.15625
2021-06-02,29.418945
2021-06-03,0.625
2021-06-04,38.205566
2021-06-07,37.382812
2021-06-08,25.576172
2021-06-09,0.625
2021-06-10,43.637695
2021-06-11,41.279297
2021-06-14,35.185547
2021-06-15,36.396484
2021-06-16,47.064003
2021-06-17,46.384293
2021-06-18,37.37894
2021-06-21,46.98451
2021-06-22,26.39922
2021-06-23,17.38976
2021-06-24,48.222645
2021-06-25,28.891134
2021-06-28,29.517126
2021-06-29,27.123798
2021-06-30,28.660458
2021-07-01,31.533052
2021-07-02,32.19296
2021-07-05,47.80234
2021-07-06,35.95794
2021-07-07,31.840187
2021-07-08,35.784157
2021-07-09,47.943943
2021-07-12,37.17713
2021-07-13,48.136955
2021-07-14,39.152584
2021-07-15,52.850246
2021-07-16,27.646341
2021-07-19,28.692339
2021-07-20,26.130142
2021-07-22,22.420961
2021-07-23,20.976645
2021-07-26,21.292027
2021-07-27,23.289944
2021-07-28,21.539606
2021-07-29,38.721016
2021-07-30,33.971287
2021-08-02,53.97519
2021-08-03,53.76092
2021-08-04,34.08528
2021-08-05,36.17973
2021-08-06,52.296207
2021-08-09,37.44309
2021-08-10,36.649075
2021-08-11,53.005253
2021-08-12,53.20898
2021-08-13,52.177547
2021-08-16,37.07302
2021-08-17,37.478775
2021-08-18,34.484978
2021-08-20,40.075066
2021-08-23,43.000565
2021-08-24,38.61576
2021-08-25,39.569275
2021-08-26,50.957943
2021-08-27,38.040627
2021-08-30,39.302242
2021-08-31,39.390503
2021-09-01,37.538273
2021-09-02,51.59714
2021-09-03,52.0081
2021-09-06,52.570183
2021-09-07,43.144173
2021-09-08,52.693386
2021-09-09,42.76168
2021-09-13,45.27547
2021-09-14,51.91137
2021-09-15,42.60354
2021-09-16,43.189312
2021-09-17,46.37992
2021-09-20,53.15401
2021-09-21,42.2024
2021-09-22,44.078217
2021-09-23,42.950886
2021-09-24,40.044144
2021-09-27,35.78925
2021-09-28,38.640312
2021-09-29,57.115864
2021-09-30,51.043865
2021-10-01,50.31896
2021-10-04,49.522366
2021-10-05,53.7297
2021-10-06,54.995857
2021-10-07,58.181255
2021-10-08,56.4435
2021-10-11,59.602383
2021-10-12,62.77655
2021-10-13,61.38689
2021-10-14,71.46901
2021-10-18,51.783417
2021-10-19,109.32754
2021-10-20,49.331642
2021-10-21,73.96501
2021-10-22,42.71106
2021-10-25,57.360497
2021-10-26,48.125343
2021-10-27,45.931435
2021-10-28,48.593357
2021-10-29,49.147293
2021-11-01,48.733055
2021-11-02,49.570854
2021-11-03,37.303143
2021-11-04,36.101048
2021-11-08,38.415554
2021-11-09,37.190464
2021-11-10,51.243134
2021-11-11,38.40901
2021-11-12,50.31133
2021-11-15,39.68481
2021-11-16,49.166332
2021-11-17,38.04636
2021-11-18,42.685757
2021-11-22,50.2997
2021-11-23,42.3788
2021-11-24,51.786064
2021-11-25,49.689457
2021-11-26,46.63176
2021-11-29,49.972076
2021-11-30,37.536438
2021-12-01,48.309765
2021-12-02,37.749973
2021-12-03,36.65534
2021-12-06,51.84008
2021-12-07,37.04667
2021-12-08,37.191452
2021-12-09,33.47914
2021-12-10,33.864838
2021-12-13,38.371822
2021-12-14,50.956306
2021-12-15,41.20676
2021-12-16,51.25565
2021-12-17,49.267925
2021-12-20,50.32203
2021-12-21,41.525955
2021-12-22,28.117723
2021-12-23,35.377277
2021-12-24,50.066364
2021-12-27,45.369038
2021-12-28,41.38156
2021-12-29,48.170475
2021-12-30,44.71375
2021-12-31,38.29837
2022-01-03,39.04305
2022-01-04,39.606304
2022-01-05,49.55673
2022-01-06,49.24564
2022-01-07,42.228584
2022-01-10,46.97143
2022-01-11,49.59178
2022-01-12,51.011395
2022-01-13,48.684727
2022-01-14,49.67643
2022-01-17,52.412746
2022-01-18,53.684326
2022-01-19,40.266018
2022-01-20,40.157017
2022-01-21,40.320015
2022-01-24,54.84893
2022-01-25,39.126385
2022-01-27,45.805714
2022-01-28,46.51471
2022-01-31,43.50962
2022-02-01,51.28157
2022-02-02,38.4257
2022-02-03,40.44398
2022-02-04,38.574646
2022-02-07,50.91667
2022-02-08,50.22794
2022-02-09,39.693
2022-02-10,39.64549
2022-02-11,42.614376
2022-02-14,54.456234
2022-02-15,46.893135
2022-02-16,43.722137
2022-02-17,45.617306
2022-02-18,38.85503
2022-02-21,42.202236
2022-02-22,50.49902
2022-02-23,41.077026
2022-02-24,55.52389
2022-02-25,35.97635
2022-02-28,36.373215
2022-03-02,39.351707
2022-03-03,37.567886
2022-03-04,39.258274
2022-03-07,45.34307
2022-03-08,45.63668
2022-03-09,39.15926
2022-03-10,37.388416
2022-03-11,37.241657
2022-03-14,38.446136
2022-03-15,41.141514
2022-03-16,40.06515
2022-03-17,38.74765
2022-03-21,45.167477
2022-03-22,41.796703
2022-03-23,37.95137
2022-03-24,47.783096
2022-03-25,42.02613
2022-03-28,48.966446
2022-03-29,46.128365
2022-03-30,40.85192
2022-03-31,48.49842
2022-04-01,42.33687
2022-04-04,49.934753
2022-04-05,46.245724
2022-04-06,47.368248
2022-04-07,49.35183
2022-04-08,46.446568
2022-04-11,50.50937
2022-04-12,47.537567
2022-04-13,47.369907
2022-04-18,55.14083
2022-04-19,59.809933
2022-04-20,60.898262
2022-04-21,60.209507
2022-04-22,44.436348
2022-04-25,46.747242
2022-04-26,46.965137
2022-04-27,49.49042
2022-04-28,42.991516
2022-04-29,40.369896
2022-05-02,41.07211
2022-05-04,43.774933
2022-05-05,41.33028
2022-05-06,42.222153
2022-05-09,44.580513
2022-05-10,44.65396
2022-05-11,41.624577
2022-05-12,45.74166
2022-05-13,43.767418
2022-05-16,46.78228
2022-05-17,39.95992
2022-05-18,37.838737
2022-05-19,46.591805
2022-05-20,38.493874
2022-05-23,46.01357
2022-05-24,46.8472
2022-05-25,51.341858
2022-05-26,42.866116
2022-05-27,41.957508
2022-05-30,38.991478
2022-05-31,42.3677
2022-06-01,41.327618
2022-06-02,40.15065
2022-06-03,41.351074
2022-06-06,41.888172
2022-06-07,41.41691
2022-06-08,41.11988
2022-06-09,39.55723
2022-06-10,40.029472
2022-06-13,48.176834
2022-06-14,45.05782
2022-06-15,44.98954
2022-06-16,47.02636
2022-06-17,45.89569
2022-06-20,47.7894
2022-06-21,42.05988
2022-06-22,41.462517
2022-06-23,42.322594
2022-06-24,39.142952
2022-06-27,51.330463
2022-06-28,50.70634
2022-06-29,56.83691
2022-06-30,45.4243
2022-07-01,44.698757
2022-07-04,48.500854
2022-07-05,46.232426
2022-07-06,43.736435
2022-07-07,43.0112
2022-07-08,44.60976
2022-07-11,44.47633
2022-07-12,47.075974
2022-07-13,48.26727
2022-07-14,48.010696
2022-07-15,43.630203
2022-07-18,41.08749
2022-07-19,40.36208
2022-07-20,40.315086
2022-07-21,38.615555
2022-07-22,35.99596
2022-07-25,37.24264
2022-07-26,44.299847
2022-07-27,36.922947
2022-07-28,37.384354
2022-07-29,37.590847
2022-08-01,38.677563
2022-08-02,39.46994
2022-08-03,40.79771
2022-08-04,40.986504
2022-08-05,39.12458
2022-08-08,39.41425
2022-08-10,38.544315
2022-08-11,36.46687
2022-08-12,34.39364
2022-08-16,36.70275
2022-08-17,51.153126
2022-08-18,42.80329
2022-08-19,40.378273
2022-08-22,43.52819
2022-08-23,43.565063
2022-08-24,44.237217
2022-08-25,48.055817
2022-08-26,37.69499
2022-08-29,37.031845
2022-08-30,38.172928
2022-09-01,39.50703
2022-09-02,48.62919
2022-09-05,49.723484
2022-09-06,40.52728
2022-09-07,40.14364
2022-09-08,40.26974
2022-09-09,40.579426
2022-09-12,40.18726
2022-09-13,40.233757
2022-09-14,47.366817
2022-09-15,46.413483
2022-09-16,53.3592
2022-09-19,51.55155
2022-09-20,44.983463
2022-09-21,48.379784
2022-09-22,47.699986
2022-09-23,44.562355
2022-09-26,58.267994
2022-09-27,45.23988
2022-09-28,29.602879
2022-09-29,60.971714
2022-09-30,58.632923
2022-10-03,59.65854
2022-10-04,45.439907
2022-10-06,40.144333
2022-10-07,44.267532
2022-10-10,42.3464
2022-10-11,44.925632
2022-10-12,41.84014
2022-10-13,40.442123
2022-10-14,40.692818
2022-10-17,42.832634
2022-10-18,39.537674
2022-10-19,35.567432
2022-10-20,28.8451
2022-10-21,25.771944
2022-10-24,24.349016
2022-10-25,29.35509
2022-10-27,30.960423
2022-10-28,32.275375
2022-10-31,30.628773
2022-11-01,32.391872
2022-11-02,31.00429
2022-11-03,30.218294
2022-11-04,29.844133
2022-11-07,29.292738
2022-11-09,33.099922
2022-11-10,33.165154
2022-11-11,32.228535
2022-11-14,40.99314
2022-11-15,33.69517
2022-11-16,38.91228
2022-11-17,33.88402
2022-11-18,28.015438
2022-11-21,35.924183
2022-11-22,30.530937
2022-11-23,30.433569
2022-11-24,28.345644
2022-11-25,28.984613
2022-11-28,28.237473
2022-11-29,29.347355
2022-11-30,29.41405
2022-12-01,32.46563
2022-12-02,32.17254
2022-12-05,32.40429
2022-12-06,31.918854
2022-12-07,32.340508
2022-12-08,30.47314
2022-12-09,30.183355
2022-12-12,32.409744
2022-12-13,32.653538
2022-12-14,32.641964
2022-12-15,32.908115
2022-12-16,29.532976
2022-12-19,30.943275
2022-12-20,27.84809
2022-12-21,31.829819
2022-12-22,31.84754
2022-12-23,27.18286
2022-12-26,27.97916
2022-12-27,32.693398
2022-12-28,27.221281
2022-12-29,33.249313
2022-12-30,35.18483
2023-01-02,32.625664
2023-01-03,32.875946
2023-01-04,33.049503
2023-01-05,32.864662
2023-01-06,31.551132
2023-01-09,35.216507
2023-01-10,32.744316
2023-01-11,34.56406
2023-01-12,34.533382
2023-01-13,32.91699
2023-01-16,34.44842
2023-01-17,33.47223
2023-01-18,33.115414
2023-01-19,36.7308
2023-01-20,28.099483
2023-01-23,26.936493
2023-01-24,39.032448
2023-01-25,31.667074
2023-01-27,34.716873
2023-01-30,35.492058
2023-01-31,32.702946
2023-02-01,33.775772
2023-02-02,35.404087
2023-02-03,31.768805
2023-02-06,30.989067
2023-02-07,32.18822
2023-02-08,30.073988
2023-02-09,27.409273
2023-02-10,25.218657
2023-02-13,27.849188
2023-02-14,28.815126
2023-02-15,29.027283
2023-02-16,30.961086
2023-02-17,27.68542
2023-02-20,32.449
2023-02-21,33.59127
2023-02-22,29.778187
2023-02-23,28.979256
2023-02-24,29.01186
2023-02-27,29.01481
2023-02-28,29.983332
2023-03-01,28.756723
2023-03-02,28.953535
2023-03-03,29.063694
2023-03-06,37.152798
2023-03-08,41.31021
2023-03-09,35.366196
2023-03-10,31.823084
2023-03-13,34.48139
2023-03-14,35.68012
2023-03-15,33.181282
2023-03-16,34.228348
2023-03-17,32.85982
2023-03-20,34.665657
2023-03-21,37.99096
2023-03-22,37.702415
2023-03-23,33.2388
2023-03-24,35.170734
2023-03-27,36.52254
2023-03-28,39.95056
2023-03-29,63.410965
2023-03-31,28.328564
2023-04-03,61.425327
2023-04-05,29.85451
2023-04-06,28.55006
2023-04-10,28.247906
2023-04-11,28.925884
2023-04-12,30.013727
2023-04-13,29.640224
2023-04-17,35.799393
2023-04-18,32.58295
2023-04-19,33.17173
2023-04-20,34.124428
2023-04-21,30.894121
2023-04-24,40.587734
2023-04-25,42.62434
2023-04-26,61.73934
2023-04-27,29.318022
2023-04-28,26.729664
2023-05-02,27.197832
2023-05-03,27.994402
2023-05-04,27.8943
2023-05-05,27.903599
2023-05-08,28.842072
2023-05-09,29.683754
2023-05-10,32.063572
2023-05-11,31.501205
2023-05-12,30.039278
2023-05-15,32.922363
2023-05-16,31.454283
2023-05-17,31.690989
2023-05-18,31.18669
2023-05-19,28.311005
2023-05-22,35.759586
2023-05-23,32.415077
2023-05-24,27.37362
2023-05-25,29.80256
2023-05-26,28.720236
2023-05-29,30.081377
2023-05-30,30.384815
2023-05-31,29.045431
2023-06-01,29.809015
2023-06-02,29.61339
2023-06-05,30.643171
2023-06-06,30.727295
2023-06-07,39.60867
2023-06-08,31.292374
2023-06-09,31.24037
2023-06-12,31.715176
2023-06-13,31.317595
2023-06-14,33.66183
2023-06-15,34.32518
2023-06-16,32.88485
2023-06-19,35.092075
2023-06-20,37.744003
2023-06-21,37.062454
2023-06-22,33.354553
2023-06-23,27.792646
2023-06-26,26.97796
2023-06-27,21.936592
2023-06-28,29.72066
2023-06-30,32.557705
2023-07-03,35.471542
2023-07-04,38.105495
2023-07-05,39.612995
2023-07-06,39.06606
2023-07-07,39.822044
2023-07-10,40.905354
2023-07-11,39.592327
2023-07-12,42.803528
2023-07-13,40.36674
2023-07-14,40.740784
2023-07-17,46.124977
2023-07-18,45.665638
2023-07-19,37.819675
2023-07-20,33.901077
2023-07-21,29.610483
2023-07-24,31.964859
2023-07-25,30.327995
2023-07-26,35.09979
2023-07-27,28.579098
2023-07-28,28.466242
2023-07-31,29.034143
2023-08-01,28.83351
2023-08-02,28.821003
2023-08-03,29.781109
2023-08-04,30.12743
2023-08-07,29.5854
2023-08-08,31.514046
2023-08-09,30.35813
2023-08-10,30.545393
2023-08-11,31.32744
2023-08-14,31.108246
2023-08-16,32.160397
2023-08-17,30.81831
2023-08-18,30.770756
2023-08-21,31.20675
2023-08-22,28.961058
2023-08-23,29.748373
2023-08-24,29.28822
2023-08-25,29.270903
2023-08-28,28.4435
2023-08-29,25.534525
2023-08-30,27.277588
2023-08-31,30.481289
2023-09-01,28.925774
2023-09-04,28.974474
2023-09-05,28.709625
2023-09-06,28.472467
2023-09-07,27.919891
2023-09-08,27.883776
2023-09-11,29.368786
2023-09-12,30.776024
2023-09-13,28.73328
2023-09-14,31.485308
2023-09-15,27.986523
2023-09-18,27.771887
2023-09-20,28.270021
2023-09-21,29.969793
2023-09-22,26.521687
2023-09-25,32.768963
2023-09-26,33.74538
2023-09-27,33.948017
2023-09-28,28.178305
2023-09-29,27.122011
2023-10-03,29.523676
