date,iv_atm
2017-07-04,20.175781
2017-07-05,20.776367
2017-07-06,19.726562
2017-07-07,19.624023
2017-07-10,20.546875
2017-07-11,19.814453
2017-07-12,20.756355
2017-07-13,19.467209
2017-07-14,18.2408
2017-07-17,19.990234
2017-07-18,21.565247
2017-07-19,20.527344
2017-07-20,19.59961
2017-07-21,18.133625
2017-07-24,23.710938
2017-07-25,24.316406
2017-07-27,20.765036
2017-07-28,20.854305
2017-07-31,23.055645
2017-08-01,22.93822
2017-08-02,23.798828
2017-08-03,23.642578
2017-08-04,20.014648
2017-08-07,20.625
2017-08-08,20.688477
2017-08-09,20.957031
2017-08-10,21.801758
2017-08-11,24.199219
2017-08-14,21.884766
2017-08-16,21.159992
2017-08-17,20.644531
2017-08-18,20.917969
2017-08-21,22.382812
2017-08-22,19.179688
2017-08-23,17.861328
2017-08-24,16.669922
2017-08-28,20.429688
2017-08-29,22.617188
2017-08-30,25.976562
2017-08-31,19.643555
2017-09-01,19.311523
2017-09-04,20.36621
2017-09-05,20.742188
2017-09-06,20.351562
2017-09-07,19.780273
2017-09-08,23.19336
2017-09-11,21.16211
2017-09-12,20.52246
2017-09-13,20.736996
2017-09-14,21.747162
2017-09-15,20.605469
2017-09-18,22.72461
2017-09-19,22.229492
2017-09-20,24.277344
2017-09-21,23.19336
2017-09-22,23.83789
2017-09-25,28.75
2017-09-26,25.195312
2017-09-27,32.695312
2017-09-28,24.106445
2017-09-29,21.225586
2017-10-03,23.271484
2017-10-04,21.113281
2017-10-05,21.313477
2017-10-06,20.107422
2017-10-09,20.166016
2017-10-10,21.082924
2017-10-11,20.283203
2017-10-12,18.398438
2017-10-13,19.179688
2017-10-16,19.326172
2017-10-17,18.955078
2017-10-18,17.763672
2017-10-23,25.097656
2017-10-24,27.226562
2017-10-25,27.929688
2017-10-26,19.667969
2017-10-27,21.164883
2017-10-30,20.859375
2017-10-31,22.1875
2017-11-01,22.72461
2017-11-02,22.089844
2017-11-03,22.968075
2017-11-06,25.480627
2017-11-07,25.189508
2017-11-08,26.699219
2017-11-09,26.904297
2017-11-10,25.06836
2017-11-13,24.59961
2017-11-14,23.81836
2017-11-15,23.730469
2017-11-16,22.27539
2017-11-17,21.40625
2017-11-20,21.083939
2017-11-21,20.3125
2017-11-22,23.041039
2017-11-23,20.820312
2017-11-24,21.49414
2017-11-27,26.25
2017-11-28,25.507812
2017-11-29,25.859375
2017-11-30,23.393555
2017-12-01,21.992188
2017-12-04,21.92871
2017-12-05,21.411133
2017-12-06,21.826172
2017-12-07,19.819336
2017-12-08,19.189453
2017-12-11,21.142578
2017-12-12,21.826172
2017-12-13,22.910156
2017-12-14,24.057617
2017-12-15,25.488281
2017-12-18,27.695312
2017-12-19,25.595703
2017-12-20,25.898438
2017-12-21,19.179688
2017-12-22,17.089844
2017-12-26,22.734375
2017-12-27,28.046875
2017-12-28,19.30664
2017-12-29,19.121094
2018-01-01,21.34613
2018-01-02,21.142578
2018-01-03,20.634766
2018-01-04,20.566406
2018-01-05,19.667969
2018-01-08,19.179688
2018-01-09,20.06836
2018-01-10,19.980469
2018-01-11,19.628906
2018-01-12,17.910156
2018-01-15,19.865452
2018-01-16,20.507812
2018-01-17,19.667969
2018-01-18,19.589844
2018-01-19,19.589844
2018-01-22,22.421875
2018-01-23,22.754892
2018-01-24,36.289062
2018-01-25,27.558594
2018-01-29,27.929688
2018-01-30,27.282675
2018-01-31,30.185547
2018-02-01,27.216797
2018-02-02,29.570312
2018-02-05,32.499958
2018-02-06,34.43846
2018-02-07,36.5625
2018-02-08,33.515625
2018-02-09,35.41992
2018-02-12,28.75
2018-02-14,26.152344
2018-02-15,23.347351
2018-02-16,19.804688
2018-02-19,25.45356
2018-02-20,30.625
2018-02-21,32.1875
2018-02-22,18.798828
2018-02-23,20.53711
2018-02-26,19.296875
2018-02-27,19.013672
2018-02-28,20.546875
2018-03-01,19.21875
2018-03-05,20.820312
2018-03-06,21.601562
2018-03-07,21.855469
2018-03-08,20.917969
2018-03-09,21.083984
2018-03-12,20.019531
2018-03-13,20.097656
2018-03-14,19.990234
2018-03-15,19.53125
2018-03-16,21.289062
2018-03-19,22.925142
2018-03-20,22.5
2018-03-21,21.10674
2018-03-22,20.878906
2018-03-23,21.40625
2018-03-26,24.045916
2018-03-27,23.60588
2018-03-28,20.24414
2018-04-02,19.609375
2018-04-03,19.648438
2018-04-04,21.074219
2018-04-05,19.44336
2018-04-06,18.828125
2018-04-09,20.86914
2018-04-10,21.923828
2018-04-11,21.064453
2018-04-12,20.15625
2018-04-13,19.980469
2018-04-16,22.246094
2018-04-17,23.066406
2018-04-18,20.878906
2018-04-19,18.59375
2018-04-20,18.164062
2018-04-23,24.609375
2018-04-24,26.289062
2018-04-25,31.015625
2018-04-26,23.05664
2018-04-27,21.445312
2018-04-30,21.374868
2018-05-02,22.695192
2018-05-03,23.554688
2018-05-04,23.486328
2018-05-07,24.541016
2018-05-08,25.019531
2018-05-09,25.122763
2018-05-10,26.142578
2018-05-11,24.199678
2018-05-14,28.466797
2018-05-15,28.532007
2018-05-16,26.772177
2018-05-17,29.204523
2018-05-18,25.449219
2018-05-21,28.164062
2018-05-22,28.984375
2018-05-23,31.035156
2018-05-24,32.63672
2018-05-25,32.96875
2018-05-28,49.023438
2018-05-29,42.226562
2018-05-30,46.875
2018-05-31,25.449219
2018-06-01,25.40039
2018-06-04,26.464844
2018-06-05,25.683594
2018-06-06,24.042969
2018-06-07,23.398438
2018-06-08,23.896484
2018-06-11,24.117205
2018-06-12,25.189684
2018-06-13,24.91211
2018-06-14,25.058594
2018-06-15,24.882812
2018-06-18,26.591797
2018-06-19,27.753906
2018-06-20,26.933594
2018-06-21,26.289062
2018-06-22,24.726562
2018-06-25,29.21875
2018-06-26,28.789062
2018-06-27,35.078125
2018-06-28,25.517578
2018-06-29,25.927734
2018-07-02,26.18164
2018-07-03,25.078125
2018-07-04,25.25795
2018-07-05,24.609375
2018-07-06,25.24414
2018-07-09,25.859375
2018-07-10,25.605469
2018-07-11,26.611328
2018-07-12,25.530882
2018-07-13,26.875
2018-07-16,28.808594
2018-07-17,26.308594
2018-07-18,28.378906
2018-07-19,27.480469
2018-07-20,26.837276
2018-07-23,32.65625
2018-07-24,35.429688
2018-07-25,41.40625
2018-07-26,26.601562
2018-07-27,25.917969
2018-07-30,27.705078
2018-07-31,27.851562
2018-08-01,26.94336
2018-08-02,28.242188
2018-08-03,26.94336
2018-08-06,29.277344
2018-08-07,26.972656
2018-08-08,25.959602
2018-08-09,24.941406
2018-08-10,25.019531
2018-08-13,25.786398
2018-08-14,25.414045
2018-08-16,26.58169
2018-08-17,23.603516
2018-08-20,23.642578
2018-08-21,23.339844
2018-08-23,23.984375
2018-08-24,22.695312
2018-08-27,26.40625
2018-08-28,25.761719
2018-08-29,31.09375
2018-08-30,22.832031
2018-08-31,24.44336
2018-09-03,24.580078
2018-09-04,26.33789
2018-09-05,24.765625
2018-09-06,24.638672
2018-09-07,23.876953
2018-09-10,26.523438
2018-09-11,26.40625
2018-09-12,25.669764
2018-09-14,24.44336
2018-09-17,26.31836
2018-09-18,23.808594
2018-09-19,24.052734
2018-09-21,30.625
2018-09-24,47.734375
2018-09-25,47.1875
2018-09-26,46.015625
2018-09-27,32.304688
2018-09-28,35.76172
2018-10-01,38.75
2018-10-03,41.464844
2018-10-04,41.33789
2018-10-05,29.199219
2018-10-08,45.664062
2018-10-09,45.86914
2018-10-10,44.21875
2018-10-11,46.757812
2018-10-12,41.601562
2018-10-15,45.29297
2018-10-16,39.98047
2018-10-17,38.242188
2018-10-19,40.410156
2018-10-22,47.578125
2018-10-23,46.289062
2018-10-24,44.140625
2018-10-25,36.85547
2018-10-26,35.820312
2018-10-29,35.351562
2018-10-30,37.216797
2018-10-31,34.53125
2018-11-01,36.308594
2018-11-02,34.08203
2018-11-05,32.597656
2018-11-06,29.59961
2018-11-09,29.511719
2018-11-12,33.496094
2018-11-13,32.939453
2018-11-14,32.23633
2018-11-15,29.628906
2018-11-16,28.310547
2018-11-19,28.945312
2018-11-20,26.953125
2018-11-21,25.957031
2018-11-22,26.445312
2018-11-26,29.609375
2018-11-27,29.53125
2018-11-28,30.898438
2018-11-29,26.269531
2018-11-30,27.109375
2018-12-03,31.132812
2018-12-04,31.78711
2018-12-05,33.916016
2018-12-06,35.585938
2018-12-07,33.28125
2018-12-10,37.36328
2018-12-11,32.734375
2018-12-12,28.105469
2018-12-13,26.757812
2018-12-14,25.605469
2018-12-17,26.171875
2018-12-18,26.328125
2018-12-19,23.352886
2018-12-20,25.410156
2018-12-21,27.910156
2018-12-24,29.375
2018-12-26,32.376865
2018-12-27,26.416016
2018-12-28,24.003906
2018-12-31,24.277344
2019-01-01,27.070312
2019-01-02,28.164062
2019-01-03,30.234375
2019-01-04,28.125
2019-01-07,27.363281
2019-01-08,27.285156
2019-01-09,26.404612
2019-01-10,25.398293
2019-01-11,24.558657
2019-01-14,25.097656
2019-01-15,23.183594
2019-01-16,23.90625
2019-01-17,25.371094
2019-01-18,23.964844
2019-01-21,25.703125
2019-01-22,27.421875
2019-01-23,29.21875
2019-01-24,26.914062
2019-01-25,27.851562
2019-01-28,34.414062
2019-01-29,33.085938
2019-01-30,35.72475
2019-01-31,30.644531
2019-02-01,30.527344
2019-02-04,30.947266
2019-02-05,29.726107
2019-02-06,29.378845
2019-02-07,31.09375
2019-02-08,30.139893
2019-02-11,30.742188
2019-02-12,28.945312
2019-02-13,27.8125
2019-02-14,29.355469
2019-02-15,31.054688
2019-02-18,33.808594
2019-02-19,31.914062
2019-02-20,30.176727
2019-02-21,27.890625
2019-02-22,27.03125
2019-02-25,28.4375
2019-02-26,33.515625
2019-02-27,39.921875
2019-02-28,29.726562
2019-03-01,27.851933
2019-03-05,27.996758
2019-03-06,28.059328
2019-03-07,27.88086
2019-03-08,27.734375
2019-03-11,26.503906
2019-03-12,25.878906
2019-03-13,26.679688
2019-03-14,26.523438
2019-03-15,25.722656
2019-03-18,28.457031
2019-03-19,27.235
2019-03-20,25.566406
2019-03-22,25.175781
2019-03-25,30.078125
2019-03-26,28.828125
2019-03-27,36.640625
2019-03-28,26.484375
2019-03-29,27.400309
2019-04-01,29.199219
2019-04-02,27.71895
2019-04-03,26.933594
2019-04-04,27.29222
2019-04-05,25.507812
2019-04-08,27.666016
2019-04-09,27.148438
2019-04-10,26.757812
2019-04-11,26.25
2019-04-12,23.945312
2019-04-15,24.470749
2019-04-16,23.945312
2019-04-18,20.996094
2019-04-22,25.0
2019-04-23,26.40625
2019-04-24,24.21875
2019-04-25,25.800781
2019-04-26,25.146484
2019-04-30,27.395021
2019-05-02,30.458984
2019-05-03,32.685547
2019-05-06,37.089844
2019-05-07,36.875
2019-05-08,37.929688
2019-05-09,37.1875
2019-05-10,37.32422
2019-05-13,40.039062
2019-05-14,39.726562
2019-05-15,42.16797
2019-05-16,43.398438
2019-05-17,42.460938
2019-05-20,42.441406
2019-05-21,47.36328
2019-05-22,52.63672
2019-05-23,36.132812
2019-05-24,31.621094
2019-05-27,39.84375
2019-05-28,53.007812
2019-05-29,45.546875
2019-05-30,27.011719
2019-05-31,26.464844
2019-06-03,26.517878
2019-06-04,26.884766
2019-06-06,26.064453
2019-06-07,24.160156
2019-06-10,24.707031
2019-06-11,24.902344
2019-06-12,24.179688
2019-06-13,22.480469
2019-06-14,22.109375
2019-06-17,24.628906
2019-06-18,22.851562
2019-06-19,24.609375
2019-06-20,23.274471
2019-06-21,25.195312
2019-06-24,29.589785
2019-06-25,25.273438
2019-06-26,29.723457
2019-06-27,23.447266
2019-06-28,24.570312
2019-07-01,26.132812
2019-07-02,24.892578
2019-07-03,25.117188
2019-07-04,24.990234
2019-07-05,26.142578
2019-07-08,25.917969
2019-07-09,25.390625
2019-07-10,26.386719
2019-07-11,23.867188
2019-07-12,22.8125
2019-07-15,23.476562
2019-07-16,24.609375
2019-07-17,24.433594
2019-07-18,27.382812
2019-07-19,24.960938
2019-07-22,31.27688
2019-07-23,29.626814
2019-07-24,36.171875
2019-07-25,25.686737
2019-07-26,25.478516
2019-07-29,27.910156
2019-07-30,28.190926
2019-07-31,28.261267
2019-08-01,29.023438
2019-08-02,29.208984
2019-08-05,31.80021
2019-08-06,31.289062
2019-08-07,35.15625
2019-08-08,28.964844
2019-08-09,30.039062
2019-08-13,34.746094
2019-08-14,32.539062
2019-08-16,31.816406
2019-08-19,35.507812
2019-08-20,34.882812
2019-08-21,35.629166
2019-08-22,35.273438
2019-08-23,31.835938
2019-08-26,41.875
2019-08-27,40.351562
2019-08-28,35.46875
2019-08-29,32.916832
2019-08-30,31.5625
2019-09-03,34.51172
2019-09-04,34.323483
2019-09-05,32.246094
2019-09-06,30.371094
2019-09-09,31.5625
2019-09-11,29.316406
2019-09-12,28.515625
2019-09-13,26.936235
2019-09-16,31.796875
2019-09-17,32.695312
2019-09-18,32.01172
2019-09-19,32.734375
2019-09-20,38.007812
2019-09-23,58.032696
2019-09-24,52.427917
2019-09-25,50.78125
2019-09-26,32.773438
2019-09-27,32.871094
2019-09-30,33.808594
2019-10-01,35.820312
2019-10-03,37.070312
2019-10-04,34.66797
2019-10-07,34.589844
2019-10-09,34.726562
2019-10-10,33.67321
2019-10-11,34.433594
2019-10-14,33.30078
2019-10-15,31.542969
2019-10-16,29.980469
2019-10-17,31.425781
2019-10-18,27.949219
2019-10-22,32.070312
2019-10-23,32.265625
2019-10-24,30.04468
2019-10-25,28.28125
2019-10-29,35.820312
2019-10-30,32.578125
2019-10-31,34.609375
2019-11-01,36.66992
2019-11-04,38.41797
2019-11-05,37.8125
2019-11-06,36.558113
2019-11-07,37.216797
2019-11-08,31.875
2019-11-11,31.464844
2019-11-13,30.605469
2019-11-14,30.253906
2019-11-15,31.523438
2019-11-18,34.140625
2019-11-19,34.375
2019-11-20,35.33203
2019-11-21,33.358173
2019-11-22,28.945312
2019-11-25,38.476562
2019-11-26,31.445312
2019-11-27,36.796875
2019-11-28,31.02539
2019-11-29,32.48047
2019-12-02,30.859375
2019-12-03,32.285156
2019-12-04,31.679688
2019-12-05,32.070312
2019-12-06,33.964844
2019-12-09,32.929688
2019-12-10,33.26172
2019-12-11,32.34375
2019-12-12,29.686108
2019-12-13,33.4375
2019-12-16,33.125
2019-12-17,32.851562
2019-12-18,31.933594
2019-12-19,30.195312
2019-12-20,29.101562
2019-12-23,30.859375
2019-12-24,18.28125
2019-12-26,25.507812
2019-12-27,23.457031
2019-12-30,24.53125
2019-12-31,25.86914
2020-01-01,26.425781
2020-01-02,25.078125
2020-01-03,25.683594
2020-01-06,27.382812
2020-01-07,27.167969
2020-01-08,26.40625
2020-01-09,25.507812
2020-01-10,26.601562
2020-01-13,24.863281
2020-01-14,22.421934
2020-01-15,23.007812
2020-01-16,22.929688
2020-01-17,21.894531
2020-01-20,24.573278
2020-01-21,25.546875
2020-01-22,24.84375
2020-01-23,22.773438
2020-01-24,21.953125
2020-01-27,26.95056
2020-01-28,24.023438
2020-01-29,28.267307
2020-01-30,34.91211
2020-01-31,34.472656
2020-02-01,35.222782
2020-02-03,33.095703
2020-02-04,30.292969
2020-02-05,12.910156
2020-02-06,29.628906
2020-02-07,33.30078
2020-02-10,33.61328
2020-02-11,32.226562
2020-02-12,30.351562
2020-02-13,28.684868
2020-02-14,28.105469
2020-02-17,31.41793
2020-02-18,29.257812
2020-02-19,25.820312
2020-02-20,25.3125
2020-02-24,32.71937
2020-02-25,35.859375
2020-02-26,32.72124
2020-02-27,33.88672
2020-02-28,41.38672
2020-03-02,42.468246
2020-03-03,41.914062
2020-03-04,39.86328
2020-03-05,39.04297
2020-03-06,39.648438
2020-03-09,55.48828
2020-03-11,54.882812
2020-03-12,75.64453
2020-03-13,75.27344
2020-03-16,91.40625
2020-03-17,123.16406
2020-03-18,2.5
2020-03-19,139.45312
2020-03-20,92.8125
2020-03-23,127.65625
2020-03-24,155.0
2020-03-25,83.4375
2020-03-26,109.359535
2020-03-27,85.68359
2020-03-30,101.796875
2020-03-31,88.75
2020-04-01,87.94922
2020-04-03,81.60156
2020-04-07,76.015625
2020-04-08,76.21094
2020-04-09,79.96094
2020-04-13,82.14844
2020-04-15,82.67578
2020-04-16,76.5625
2020-04-17,73.2065
2020-04-20,78.08594
2020-04-21,77.578125
2020-04-22,72.8125
2020-04-23,71.484375
2020-04-24,62.382812
2020-04-27,78.28125
2020-04-28,69.453125
2020-04-29,56.40625
2020-04-30,61.5625
2020-05-04,70.89844
2020-05-05,71.67969
2020-05-06,72.734375
2020-05-07,64.25781
2020-05-08,66.640625
2020-05-11,68.78906
2020-05-12,67.07031
