date,iv_atm
2017-07-04,43.671875
2017-07-05,43.90625
2017-07-06,47.16678
2017-07-07,41.875
2017-07-10,46.328125
2017-07-11,39.375
2017-07-12,43.4375
2017-07-13,43.75
2017-07-14,42.421875
2017-07-17,47.34375
2017-07-18,50.46875
2017-07-19,45.9375
2017-07-20,55.78125
2017-07-21,40.625
2017-07-24,45.3125
2017-07-25,42.648052
2017-07-27,42.578125
2017-07-28,47.109375
2017-07-31,53.28125
2017-08-01,43.131943
2017-08-02,44.162254
2017-08-03,40.13805
2017-08-04,52.5
2017-08-07,50.15625
2017-08-08,49.84375
2017-08-09,58.75
2017-08-10,31.988409
2017-08-11,58.75
2017-08-14,47.34375
2017-08-16,45.625
2017-08-17,49.53125
2017-08-18,48.59375
2017-08-21,63.125
2017-08-22,47.023926
2017-08-23,34.6875
2017-08-24,32.34375
2017-08-28,37.8125
2017-08-29,57.5
2017-08-30,46.744534
2017-08-31,44.15781
2017-09-01,43.07508
2017-09-04,57.1875
2017-09-05,50.625
2017-09-06,53.515625
2017-09-07,51.953125
2017-09-08,55.635384
2017-09-11,55.429928
2017-09-12,54.14078
2017-09-13,47.1875
2017-09-14,54.84375
2017-09-15,54.21875
2017-09-18,53.4375
2017-09-19,54.0625
2017-09-20,55.3125
2017-09-21,50.78125
2017-09-22,53.90625
2017-09-25,50.9375
2017-09-26,53.125
2017-09-27,63.993855
2017-09-28,48.059834
2017-09-29,46.91165
2017-10-03,48.046875
2017-10-04,46.35026
2017-10-05,43.984375
2017-10-06,40.3125
2017-10-09,42.65625
2017-10-10,44.53125
2017-10-11,47.96875
2017-10-12,45.9375
2017-10-13,46.5625
2017-10-16,51.40625
2017-10-17,47.1875
2017-10-18,47.5
2017-10-23,44.6875
2017-10-24,53.83837
2017-10-25,88.75
2017-10-26,45.703125
2017-10-27,36.91457
2017-10-30,40.6325
2017-10-31,48.359375
2017-11-01,48.359375
2017-11-02,47.265625
2017-11-03,50.46875
2017-11-06,63.90625
2017-11-07,65.9375
2017-11-08,48.4375
2017-11-09,46.5625
2017-11-10,45.3125
2017-11-13,45.0
2017-11-14,44.6875
2017-11-15,41.015625
2017-11-16,51.09375
2017-11-17,47.8125
2017-11-20,46.875
2017-11-21,51.71875
2017-11-22,55.625
2017-11-23,54.6875
2017-11-24,55.625
2017-11-27,46.875
2017-11-28,56.5625
2017-11-29,49.375
2017-11-30,48.203125
2017-12-01,42.890625
2017-12-04,45.0
2017-12-05,43.28125
2017-12-06,43.28125
2017-12-07,42.5
2017-12-08,42.96875
2017-12-11,41.25
