date,iv_atm
2021-06-25,53.100113
2021-06-28,50.470314
2021-06-29,52.821842
2021-06-30,53.156414
2021-07-01,51.398205
2021-07-02,37.34326
2021-07-05,53.39593
2021-07-06,51.65371
2021-07-07,37.450863
2021-07-08,36.57423
2021-07-09,40.29063
2021-07-12,41.25976
2021-07-13,36.25341
2021-07-14,40.858925
2021-07-15,40.950623
2021-07-16,37.652428
2021-07-19,40.555004
2021-07-20,39.376663
2021-07-22,40.213314
2021-07-23,34.018948
2021-07-26,35.55219
2021-07-27,41.133556
2021-07-28,39.907036
2021-07-29,41.332317
2021-07-30,51.83302
2021-08-02,52.639965
2021-08-03,46.581356
2021-08-04,41.0626
2021-08-05,47.116528
2021-08-06,45.55431
2021-08-09,47.65662
2021-08-10,50.503407
2021-08-11,44.272064
2021-08-12,49.859554
2021-08-13,43.1077
2021-08-16,50.39173
2021-08-17,42.022842
2021-08-18,45.505775
2021-08-20,40.81412
2021-08-23,46.58353
2021-08-24,41.476627
2021-08-25,46.1198
2021-08-26,34.00626
2021-08-27,50.66697
2021-08-30,35.93958
2021-08-31,40.337337
2021-09-01,39.630375
2021-09-02,40.70638
2021-09-03,41.02098
2021-09-06,46.120667
2021-09-07,46.815777
2021-09-08,45.650326
2021-09-09,45.162632
2021-09-13,49.07726
2021-09-14,47.802097
2021-09-15,47.2519
2021-09-16,48.576584
2021-09-17,47.94476
2021-09-20,48.267403
2021-09-21,49.4771
2021-09-22,51.927876
2021-09-23,54.951942
2021-09-24,37.719547
2021-09-27,48.884434
2021-09-28,51.331314
2021-09-29,47.724834
2021-09-30,48.947586
2021-10-01,58.81132
2021-10-04,51.068024
2021-10-05,53.261677
2021-10-06,34.800884
2021-10-07,38.781418
2021-10-08,75.189766
2021-10-11,34.954372
2021-10-12,36.36929
2021-10-13,49.072823
2021-10-14,49.093906
2021-10-18,57.99457
2021-10-19,62.95863
2021-10-20,71.39912
2021-10-21,70.37692
2021-10-22,50.60206
2021-10-25,39.9098
2021-10-26,49.932076
2021-10-27,66.0197
2021-10-28,69.970856
2021-10-29,34.31873
2021-11-01,45.71044
2021-11-02,37.365173
2021-11-03,49.478367
2021-11-04,48.314045
2021-11-08,26.89117
2021-11-09,29.828241
2021-11-10,78.81182
2021-11-11,58.716873
2021-11-12,32.970795
2021-11-15,45.041317
2021-11-16,52.50631
2021-11-17,43.777573
2021-11-18,30.99952
2021-11-22,138.04924
2021-11-23,39.105816
2021-11-24,51.45381
2021-11-25,53.38425
2021-11-26,49.234135
2021-11-29,46.60574
2021-11-30,46.78708
2021-12-01,50.70873
2021-12-02,51.892643
2021-12-03,51.88911
2021-12-06,50.400658
2021-12-07,47.368248
2021-12-08,44.452507
2021-12-09,43.660744
2021-12-10,40.98934
2021-12-13,43.873894
2021-12-14,50.514484
2021-12-15,43.3765
2021-12-16,41.067497
2021-12-17,49.26602
2021-12-20,50.27635
2021-12-21,43.758537
2021-12-22,38.932854
2021-12-23,46.303467
2021-12-24,41.707546
2021-12-27,45.771645
2021-12-28,54.1018
2021-12-29,45.72936
2021-12-30,48.638893
2021-12-31,50.616726
2022-01-03,46.284084
2022-01-04,43.009663
2022-01-05,44.910633
2022-01-06,51.165764
2022-01-07,45.39906
2022-01-10,48.69986
2022-01-11,47.110268
2022-01-12,48.0211
2022-01-13,45.55828
2022-01-14,49.66769
2022-01-17,42.822266
2022-01-18,51.148613
2022-01-19,41.67165
2022-01-20,48.483982
2022-01-21,49.04703
2022-01-24,49.336235
2022-01-25,48.26975
2022-01-27,54.402092
2022-01-28,57.912094
2022-01-31,56.52582
2022-02-01,50.486736
2022-02-02,51.531406
2022-02-03,47.667347
2022-02-04,46.251087
2022-02-07,49.762875
2022-02-08,50.939507
2022-02-09,49.57922
2022-02-10,49.27816
2022-02-11,79.5252
2022-02-14,74.308014
2022-02-15,66.32203
2022-02-16,63.88965
2022-02-17,58.894863
2022-02-18,52.282978
2022-02-21,55.955566
2022-02-22,54.12464
2022-02-23,53.26875
2022-02-24,50.704563
2022-02-25,50.515
2022-02-28,53.47989
2022-03-02,53.384407
2022-03-03,53.664894
2022-03-04,57.888664
2022-03-07,54.108173
2022-03-08,58.007584
2022-03-09,52.617
2022-03-10,54.42141
2022-03-11,53.405483
2022-03-14,57.752747
2022-03-15,59.80525
2022-03-16,55.479725
2022-03-17,50.932476
2022-03-21,56.65862
2022-03-22,55.47468
2022-03-23,58.463024
2022-03-24,53.488453
2022-03-25,51.12666
2022-03-28,52.39385
2022-03-29,59.90224
2022-03-30,53.728176
2022-03-31,52.5577
2022-04-01,47.34159
2022-04-04,45.460224
2022-04-05,50.409924
2022-04-06,49.19932
2022-04-07,50.974716
2022-04-08,45.721363
2022-04-11,46.70917
2022-04-12,45.59281
2022-04-13,43.485283
2022-04-18,48.768814
2022-04-19,48.410755
2022-04-20,38.4202
2022-04-21,42.96891
2022-04-22,40.92344
2022-04-25,43.36245
2022-04-26,42.43288
2022-04-27,45.882526
2022-04-28,47.529453
2022-04-29,64.169136
2022-05-02,44.196594
2022-05-04,46.758686
2022-05-05,47.32519
2022-05-06,65.63142
2022-05-09,40.675755
2022-05-10,40.522545
2022-05-11,62.428745
2022-05-12,50.338474
2022-05-13,39.48159
2022-05-16,59.455124
2022-05-17,31.944702
2022-05-18,68.75263
2022-05-19,66.384415
2022-05-20,71.09951
2022-05-23,93.34175
2022-05-24,125.4429
2022-05-25,89.736946
2022-05-26,61.9886
2022-05-27,52.020226
2022-05-30,53.918385
2022-05-31,54.402924
2022-06-01,53.85471
2022-06-02,53.8179
2022-06-03,50.886635
2022-06-06,54.34629
2022-06-07,53.79041
2022-06-08,56.32498
2022-06-09,53.781048
2022-06-10,55.78362
2022-06-13,59.308365
2022-06-14,61.82169
2022-06-15,60.532963
2022-06-16,59.09057
2022-06-17,56.14113
2022-06-20,55.551907
2022-06-21,54.776814
2022-06-22,52.056725
2022-06-23,46.86461
2022-06-24,44.65761
2022-06-27,54.569447
2022-06-28,48.603836
2022-06-29,50.546307
2022-06-30,53.780296
2022-07-01,53.623775
2022-07-04,53.539722
2022-07-05,47.92833
2022-07-06,54.161488
2022-07-07,53.216133
2022-07-08,46.45576
2022-07-11,53.5581
2022-07-12,52.576866
2022-07-13,59.899323
2022-07-14,52.459896
2022-07-15,50.89668
2022-07-18,51.22296
2022-07-19,47.110302
2022-07-20,54.04017
2022-07-21,51.930107
2022-07-22,48.244244
2022-07-25,39.732597
2022-07-26,45.912663
2022-07-27,45.0367
2022-07-28,51.90553
2022-07-29,53.231197
2022-08-01,50.83754
2022-08-02,51.586327
2022-08-03,51.948174
2022-08-04,53.040314
2022-08-05,52.417343
2022-08-08,54.14998
2022-08-10,52.575714
2022-08-11,47.62574
2022-08-12,52.372635
2022-08-16,50.93183
2022-08-17,53.6753
2022-08-18,51.896603
2022-08-19,52.604847
2022-08-22,47.766598
2022-08-23,42.082043
2022-08-24,45.835613
2022-08-25,50.045296
2022-08-26,48.580368
2022-08-29,50.949036
2022-08-30,51.55754
2022-09-01,45.766426
2022-09-02,49.515198
2022-09-05,50.351524
2022-09-06,48.98371
2022-09-07,47.501183
2022-09-08,46.61427
2022-09-09,43.570213
2022-09-12,45.169464
2022-09-13,45.29966
2022-09-14,47.16311
2022-09-15,50.41339
2022-09-16,56.725204
2022-09-19,48.56523
2022-09-20,55.81312
2022-09-21,50.994255
2022-09-22,46.93485
2022-09-23,46.594246
2022-09-26,60.69043
2022-09-27,57.87678
2022-09-28,43.788223
2022-09-29,49.628094
2022-09-30,53.483482
2022-10-03,50.59643
2022-10-04,45.82559
2022-10-06,48.498085
2022-10-07,44.18032
2022-10-10,44.30273
2022-10-11,50.453793
2022-10-12,35.95384
2022-10-13,47.747158
2022-10-14,44.75864
2022-10-17,40.856197
2022-10-18,47.878735
2022-10-19,49.08668
2022-10-20,39.51877
2022-10-21,47.87504
2022-10-24,53.604965
2022-10-25,26.977488
2022-10-27,38.830704
2022-10-28,38.892395
2022-10-31,41.06911
2022-11-01,38.21115
2022-11-02,43.913815
2022-11-03,61.38029
2022-11-04,47.071297
2022-11-07,43.68374
2022-11-09,70.65266
2022-11-10,67.82774
2022-11-11,41.130665
2022-11-14,44.16782
2022-11-15,52.16701
2022-11-16,52.115314
2022-11-17,45.104866
2022-11-18,37.74564
2022-11-21,49.286243
2022-11-22,36.34328
2022-11-23,38.670284
2022-11-24,48.85126
2022-11-25,50.511353
2022-11-28,33.00218
2022-11-29,48.758453
2022-11-30,50.27257
2022-12-01,49.30943
2022-12-02,49.25089
2022-12-05,50.2751
2022-12-06,33.97019
2022-12-07,50.5834
2022-12-08,34.74622
2022-12-09,50.169964
2022-12-12,35.025414
2022-12-13,36.810852
2022-12-14,38.444515
2022-12-15,41.243565
2022-12-16,38.218548
2022-12-19,37.353447
2022-12-20,34.48275
2022-12-21,42.367363
2022-12-22,39.804493
2022-12-23,39.467167
2022-12-26,45.788963
2022-12-27,44.99734
2022-12-28,48.79439
2022-12-29,48.63388
2022-12-30,37.645386
2023-01-02,48.00813
2023-01-03,36.095707
2023-01-04,34.885002
2023-01-05,34.68303
2023-01-06,35.185173
2023-01-09,49.250748
2023-01-10,38.675613
2023-01-11,34.797806
2023-01-12,46.323418
2023-01-13,47.404762
2023-01-16,48.05399
2023-01-17,46.70684
2023-01-18,34.049137
2023-01-19,36.1066
2023-01-20,28.063868
2023-01-23,35.26591
2023-01-24,28.46653
2023-01-25,31.665442
2023-01-27,34.39517
2023-01-30,45.529392
2023-01-31,44.678818
2023-02-01,34.929058
2023-02-02,49.690914
2023-02-03,44.698692
2023-02-06,42.76495
2023-02-07,44.747524
2023-02-08,36.99001
2023-02-09,39.9399
2023-02-10,49.786964
2023-02-13,42.21772
2023-02-14,43.209473
2023-02-15,38.412262
2023-02-16,31.552439
2023-02-17,27.47142
2023-02-20,33.018875
2023-02-21,28.89522
2023-02-22,35.450165
2023-02-23,48.9751
2023-02-24,46.69675
2023-02-27,47.932808
2023-02-28,47.617397
2023-03-01,28.190151
2023-03-02,47.474472
2023-03-03,46.34152
2023-03-06,48.00914
2023-03-08,32.512447
2023-03-09,31.897505
2023-03-10,32.81921
2023-03-13,37.583828
2023-03-14,35.000443
2023-03-15,34.14611
2023-03-16,34.05896
2023-03-17,33.564133
2023-03-20,38.178474
2023-03-21,39.2768
2023-03-22,40.959034
2023-03-23,38.07039
2023-03-24,29.077515
2023-03-27,37.28055
2023-03-28,32.264454
2023-03-29,44.505943
2023-03-31,29.361742
2023-04-03,46.589294
2023-04-05,46.950977
2023-04-06,29.709352
2023-04-10,31.840427
2023-04-11,32.023094
2023-04-12,33.453663
2023-04-13,31.382324
2023-04-17,44.980602
2023-04-18,32.92934
2023-04-19,35.730515
2023-04-20,30.7536
2023-04-21,25.977692
2023-04-24,27.651001
2023-04-25,35.22562
2023-04-26,41.315807
2023-04-27,30.324425
2023-04-28,29.114529
2023-05-02,32.64932
2023-05-03,31.031971
2023-05-04,29.45573
2023-05-05,33.720543
2023-05-08,45.38923
2023-05-09,35.25239
2023-05-10,36.65598
2023-05-11,36.237625
2023-05-12,37.213734
2023-05-15,44.935326
2023-05-16,46.85595
2023-05-17,38.941177
2023-05-18,36.06635
2023-05-19,28.569363
2023-05-22,29.61285
2023-05-23,31.827427
2023-05-24,21.605022
2023-05-25,44.250145
2023-05-26,31.620695
2023-05-29,33.88588
2023-05-30,32.779022
2023-05-31,31.88803
2023-06-01,32.317783
2023-06-02,31.483936
2023-06-05,44.312504
2023-06-06,35.366013
2023-06-07,45.00125
2023-06-08,35.31237
2023-06-09,35.161854
2023-06-12,37.50072
2023-06-13,44.938442
2023-06-14,41.47704
2023-06-15,44.208027
2023-06-16,42.331398
2023-06-19,43.41926
2023-06-20,42.65221
2023-06-21,45.535835
2023-06-22,41.150764
2023-06-23,34.601265
2023-06-26,38.014446
2023-06-27,27.50338
2023-06-28,41.04858
2023-06-30,40.01961
2023-07-03,40.345463
2023-07-04,40.882717
2023-07-05,42.572723
2023-07-06,44.660004
2023-07-07,42.92315
2023-07-10,44.7556
2023-07-11,44.673622
2023-07-12,43.077633
2023-07-13,39.27641
2023-07-14,39.28958
2023-07-17,43.769646
2023-07-18,42.74814
2023-07-19,40.532047
2023-07-20,40.936554
2023-07-21,35.57709
2023-07-24,35.412487
2023-07-25,28.53086
2023-07-26,29.668522
2023-07-27,39.35446
2023-07-28,37.098087
2023-07-31,41.316605
2023-08-01,43.050205
2023-08-02,38.454777
2023-08-03,37.778786
2023-08-04,37.381046
2023-08-07,36.671764
2023-08-08,36.766487
2023-08-09,37.538364
2023-08-10,37.06425
2023-08-11,34.099747
2023-08-14,33.02845
2023-08-16,42.87325
2023-08-17,34.893936
2023-08-18,35.42577
2023-08-21,32.910378
2023-08-22,40.842373
2023-08-23,39.339504
2023-08-24,34.25895
2023-08-25,37.222706
2023-08-28,34.24647
2023-08-29,35.91197
2023-08-30,35.551716
2023-08-31,41.379997
2023-09-01,32.611504
2023-09-04,32.778976
2023-09-05,34.18838
2023-09-06,42.04878
2023-09-07,36.052574
2023-09-08,39.72551
2023-09-11,40.980362
2023-09-12,37.475437
2023-09-13,37.18596
2023-09-14,37.116676
2023-09-15,36.161648
2023-09-18,38.490734
2023-09-20,35.62795
2023-09-21,31.04615
2023-09-22,25.358707
2023-09-25,26.587488
2023-09-26,27.547268
2023-09-27,36.753105
2023-09-28,36.931652
2023-09-29,35.30702
2023-10-03,35.221043
