date,iv_atm
2017-07-04,47.545166
2017-07-05,64.53491
2017-07-06,45.573154
2017-07-07,50.1709
2017-07-10,58.95508
2017-07-11,62.736816
2017-07-12,63.026123
2017-07-13,67.351074
2017-07-14,68.03467
2017-07-17,24.350586
2017-07-18,90.009766
2017-07-19,106.30615
2017-07-20,41.276855
2017-07-21,100.97168
2017-07-24,154.58008
2017-07-25,172.79785
2017-07-27,27.677002
2017-07-28,53.16162
2017-07-31,32.905273
2017-08-01,50.69702
2017-08-02,37.48291
2017-08-03,55.01709
2017-08-04,52.926025
2017-08-07,59.855957
2017-08-08,57.29126
2017-08-09,42.03125
2017-08-10,51.147602
2017-08-11,49.120766
2017-08-14,62.419434
2017-08-16,54.733887
2017-08-17,69.350586
2017-08-18,72.31201
2017-08-21,76.19385
2017-08-22,79.82178
2017-08-23,84.333496
2017-08-24,89.072266
2017-08-28,238.05176
2017-08-29,145.86914
2017-08-30,408.0957
2017-08-31,55.739746
2017-09-01,48.582764
2017-09-04,40.03784
2017-09-05,52.48535
2017-09-06,17.851562
2017-09-07,63.708496
2017-09-08,69.87671
2017-09-11,85.98511
2017-09-12,13.377686
2017-09-13,20.646973
2017-09-14,89.7168
2017-09-15,104.41226
2017-09-18,113.45947
2017-09-19,112.995605
2017-09-20,27.211914
2017-09-21,24.892578
2017-09-22,25.86914
2017-09-25,57.544098
2017-09-26,181.37695
2017-09-27,269.2578
2017-09-28,20.784546
2017-09-29,53.808594
2017-10-03,64.14429
2017-10-04,70.17212
2017-10-05,61.02417
2017-10-06,73.55713
2017-10-09,11.794434
2017-10-10,12.285156
2017-10-11,21.39038
2017-10-12,94.489746
2017-10-13,91.381836
2017-10-16,26.159668
2017-10-17,13.38623
2017-10-18,22.653809
2017-10-23,33.547363
2017-10-24,41.23535
2017-10-25,76.67969
2017-10-26,54.33716
2017-10-27,22.774658
2017-10-30,55.926514
2017-10-31,58.078613
2017-11-01,20.003572
2017-11-02,18.460693
2017-11-03,73.082275
2017-11-06,90.62622
2017-11-07,35.47119
2017-11-08,111.47705
2017-11-09,32.79541
2017-11-10,29.324951
2017-11-13,41.384277
2017-11-14,111.74927
2017-11-15,123.92822
2017-11-16,48.4372
2017-11-17,47.56836
2017-11-20,152.68555
2017-11-21,160.62744
2017-11-22,67.40234
2017-11-23,72.72705
2017-11-24,14.504395
2017-11-27,19.125977
2017-11-28,21.518555
2017-11-29,32.265625
2017-11-30,20.644531
2017-12-01,20.29541
2017-12-04,21.611328
2017-12-05,23.463135
2017-12-06,23.330078
2017-12-07,95.24536
2017-12-08,106.70776
2017-12-11,20.612852
2017-12-12,20.848562
2017-12-13,21.182829
2017-12-14,26.12915
2017-12-15,126.51245
2017-12-18,24.937143
2017-12-19,159.14795
2017-12-20,176.03271
2017-12-21,18.654785
2017-12-22,193.73047
2017-12-26,69.663086
2017-12-27,110.94238
2017-12-28,70.53223
2017-12-29,17.51831
2018-01-01,17.504883
2018-01-02,90.822754
2018-01-03,92.60498
2018-01-04,13.967285
2018-01-05,93.14575
2018-01-08,17.32666
2018-01-09,99.173584
2018-01-10,107.44385
2018-01-11,13.0078125
2018-01-12,109.73633
2018-01-15,21.738281
2018-01-16,22.943115
2018-01-17,25.012207
2018-01-18,29.030762
2018-01-19,58.26172
2018-01-22,85.20508
2018-01-23,219.89502
2018-01-24,193.33984
2018-01-25,50.809326
2018-01-29,25.700684
2018-01-30,22.701004
2018-01-31,19.249077
2018-02-01,79.32739
2018-02-02,12.91748
2018-02-05,113.43872
2018-02-06,132.90771
2018-02-07,138.51074
2018-02-08,12.8515625
2018-02-09,19.592285
2018-02-12,18.469238
2018-02-14,137.29713
2018-02-15,50.12207
2018-02-16,15.324707
2018-02-19,67.05078
2018-02-20,92.33887
2018-02-21,34.970703
2018-02-22,42.991333
2018-02-23,39.44336
2018-02-26,18.341064
2018-02-27,24.364014
2018-02-28,24.694824
2018-03-01,10.699463
2018-03-05,38.36405
2018-03-06,10.410065
2018-03-07,40.40049
2018-03-08,41.258904
2018-03-09,32.678223
2018-03-12,24.00728
2018-03-13,49.19331
2018-03-14,37.608643
2018-03-15,32.590332
2018-03-16,53.927418
2018-03-19,47.84912
2018-03-20,53.493652
2018-03-21,56.94336
2018-03-22,60.20508
2018-03-23,27.971191
2018-03-26,109.541016
2018-03-27,232.50488
