date,iv_atm
2017-07-04,26.875
2017-07-05,25.057774
2017-07-06,27.035143
2017-07-07,26.953125
2017-07-10,30.3125
2017-07-11,24.765625
2017-07-12,26.875
2017-07-13,25.390625
2017-07-14,28.76591
2017-07-17,29.87983
2017-07-18,32.96875
2017-07-19,35.798412
2017-07-20,28.75
2017-07-21,20.634714
2017-07-24,22.65625
2017-07-25,38.75
2017-07-27,27.734375
2017-07-28,28.554688
2017-07-31,30.000841
2017-08-01,28.984375
2017-08-02,27.65625
2017-08-03,29.21875
2017-08-04,28.125
2017-08-07,30.46875
2017-08-08,33.515625
2017-08-09,39.53125
2017-08-10,68.046875
2017-08-11,46.71875
2017-08-14,40.078125
2017-08-16,37.1875
2017-08-17,30.625
2017-08-18,37.8125
2017-08-21,38.125
2017-08-22,37.5
2017-08-23,45.0
2017-08-24,33.987495
2017-08-28,46.25
2017-08-29,45.3125
2017-08-30,58.759743
2017-08-31,33.984375
2017-09-01,32.226562
2017-09-04,36.25
2017-09-05,32.210533
2017-09-06,33.515625
2017-09-07,33.841045
2017-09-08,32.734375
2017-09-11,33.4375
2017-09-12,34.84375
2017-09-13,33.828125
2017-09-14,33.90625
2017-09-15,33.59375
2017-09-18,32.913284
2017-09-19,32.5
2017-09-20,35.78125
2017-09-21,34.84375
2017-09-22,65.625
2017-09-25,47.5
2017-09-26,39.434776
2017-09-27,46.875
2017-09-28,34.84375
2017-09-29,33.125
2017-10-03,35.234375
2017-10-04,31.953125
2017-10-05,33.984375
2017-10-06,31.015625
2017-10-09,32.03125
2017-10-10,30.46875
2017-10-11,30.9375
2017-10-12,32.03125
2017-10-13,32.96875
2017-10-16,35.46875
2017-10-17,31.640625
2017-10-18,32.5
2017-10-23,37.1875
2017-10-24,40.625
2017-10-25,51.25
2017-10-26,35.859375
2017-10-27,39.453125
2017-10-30,39.21875
2017-10-31,31.31339
2017-11-01,36.171875
2017-11-02,39.0625
2017-11-03,39.042397
2017-11-06,44.21875
2017-11-07,46.875
2017-11-08,46.25
2017-11-09,38.318825
2017-11-10,40.57395
2017-11-13,38.28125
2017-11-14,34.296875
2017-11-15,24.978912
2017-11-16,33.359375
2017-11-17,36.25
2017-11-20,40.0
2017-11-21,39.0625
2017-11-22,35.734882
2017-11-23,39.38675
2017-11-24,31.875
2017-11-27,46.875
2017-11-28,45.78125
2017-11-29,52.8125
2017-11-30,32.34375
2017-12-01,33.365524
2017-12-04,34.84375
2017-12-05,34.140625
2017-12-06,35.15625
2017-12-07,31.71875
2017-12-08,31.953125
2017-12-11,35.703125
2017-12-12,34.21875
2017-12-13,37.03125
2017-12-14,43.75
2017-12-15,32.96875
2017-12-18,32.230095
2017-12-19,30.684874
2017-12-20,31.875
2017-12-21,32.578125
2017-12-22,29.21875
2017-12-26,41.09375
2017-12-27,40.053406
2017-12-28,31.914062
2017-12-29,30.920862
2018-01-01,32.109375
2018-01-02,36.47163
2018-01-03,35.09733
2018-01-04,34.0625
2018-01-05,34.21875
2018-01-08,32.578125
2018-01-09,28.59375
2018-01-10,32.421875
2018-01-11,28.59375
2018-01-12,25.0
2018-01-15,26.171875
2018-01-16,29.21875
2018-01-17,30.78125
2018-01-18,34.53125
2018-01-19,27.03125
2018-01-22,38.59375
2018-01-23,46.25
2018-01-24,39.51802
2018-01-25,35.351562
2018-01-29,35.0
2018-01-30,34.84375
2018-01-31,36.171875
2018-02-01,35.078125
2018-02-02,34.921875
2018-02-05,39.70562
2018-02-06,42.734375
2018-02-07,42.296993
2018-02-08,42.5
2018-02-09,42.22526
2018-02-12,42.734375
2018-02-14,35.464684
2018-02-15,29.838533
2018-02-16,33.125
2018-02-19,42.5
2018-02-20,48.75
2018-02-21,42.5
2018-02-22,28.59375
2018-02-23,29.709455
2018-02-26,28.828125
2018-02-27,27.421875
2018-02-28,26.875
2018-03-01,24.21875
2018-03-05,35.538662
2018-03-06,35.625
2018-03-07,36.09375
2018-03-08,36.640625
2018-03-09,27.623314
2018-03-12,33.28125
2018-03-13,32.890625
2018-03-14,31.015625
2018-03-15,35.390625
2018-03-16,31.640625
2018-03-19,35.244507
2018-03-20,38.4375
2018-03-21,36.85247
2018-03-22,35.3125
2018-03-23,28.125
2018-03-26,40.03128
2018-03-27,42.1875
2018-03-28,30.234375
2018-04-02,30.390625
2018-04-03,30.859375
2018-04-04,33.4375
2018-04-05,32.421875
2018-04-06,30.859375
2018-04-09,30.3125
2018-04-10,31.25
2018-04-11,30.3125
2018-04-12,31.71875
2018-04-13,28.4375
2018-04-16,29.086203
2018-04-17,30.633116
2018-04-18,24.0625
2018-04-19,29.21875
2018-04-20,29.375
2018-04-23,32.199627
2018-04-24,36.875
2018-04-25,35.625
2018-04-26,24.296875
2018-04-27,24.6875
2018-04-30,24.921875
2018-05-02,26.328125
2018-05-03,24.296875
2018-05-04,26.09375
2018-05-07,26.953125
2018-05-08,25.78125
2018-05-09,23.75
2018-05-10,29.609375
2018-05-11,28.203125
2018-05-14,31.484375
2018-05-15,26.5625
2018-05-16,27.96875
2018-05-17,28.489658
2018-05-18,33.28125
2018-05-21,40.9375
2018-05-22,41.25
2018-05-23,48.046875
2018-05-24,45.625
2018-05-25,45.78125
2018-05-28,56.5625
2018-05-29,40.3125
2018-05-30,28.125
2018-05-31,28.90625
2018-06-01,27.578125
2018-06-04,29.921875
2018-06-05,30.390625
2018-06-06,28.28125
2018-06-07,25.064571
2018-06-08,27.03125
2018-06-11,29.401117
2018-06-12,27.109375
2018-06-13,29.439539
2018-06-14,27.43033
2018-06-15,29.84375
2018-06-18,34.84375
2018-06-19,46.620373
2018-06-20,38.4375
2018-06-21,36.875
2018-06-22,27.1875
2018-06-25,34.0625
2018-06-26,35.625
2018-06-27,56.5625
2018-06-28,37.96875
2018-06-29,52.890625
2018-07-02,33.359375
2018-07-03,35.859375
2018-07-04,35.078125
2018-07-05,33.90625
2018-07-06,32.8125
2018-07-09,35.625
2018-07-10,32.8125
2018-07-11,27.03125
2018-07-12,36.5625
2018-07-13,42.96875
2018-07-16,45.625
2018-07-17,43.4375
2018-07-18,47.589203
2018-07-19,45.15625
2018-07-20,42.34375
2018-07-23,34.0625
2018-07-24,91.092285
2018-07-25,69.08891
2018-07-26,34.453125
2018-07-27,34.872803
2018-07-30,36.25
2018-07-31,33.671875
2018-08-01,36.09375
2018-08-02,42.65625
2018-08-03,36.953125
2018-08-06,39.609375
2018-08-07,40.234375
2018-08-08,37.65625
2018-08-09,35.78125
2018-08-10,34.296875
2018-08-13,33.515625
2018-08-14,36.5625
2018-08-16,34.375
2018-08-17,30.058666
2018-08-20,34.84375
2018-08-21,38.28125
2018-08-23,38.75
2018-08-24,39.53125
2018-08-27,46.875
2018-08-28,49.828682
2018-08-29,45.625
2018-08-30,33.046875
2018-08-31,36.328125
2018-09-03,34.296875
2018-09-04,35.9375
2018-09-05,30.703125
2018-09-06,37.1875
2018-09-07,34.453125
2018-09-10,35.078125
2018-09-11,35.3125
2018-09-12,37.65625
2018-09-14,35.390625
2018-09-17,37.1875
2018-09-18,39.6875
2018-09-19,37.5
2018-09-21,34.0625
2018-09-24,40.0
2018-09-25,56.25
2018-09-26,58.125
2018-09-27,36.5625
2018-09-28,37.75596
2018-10-01,39.819267
2018-10-03,38.046875
2018-10-04,40.390625
2018-10-05,44.116344
2018-10-08,56.687263
2018-10-09,48.28125
2018-10-10,41.5625
2018-10-11,49.21875
2018-10-12,42.03125
2018-10-15,49.453125
2018-10-16,52.8125
2018-10-17,48.4375
2018-10-19,44.003323
2018-10-22,40.625
2018-10-23,54.375
2018-10-24,50.0
2018-10-25,44.609375
2018-10-26,40.16968
2018-10-29,38.75587
2018-10-30,38.28125
2018-10-31,37.254787
2018-11-01,35.703125
2018-11-02,33.254
2018-11-05,38.60113
2018-11-06,39.780605
2018-11-09,41.113407
2018-11-12,43.90625
2018-11-13,36.40625
2018-11-14,41.25
2018-11-15,34.921875
2018-11-16,52.8125
2018-11-19,48.4375
2018-11-20,43.125
2018-11-21,37.8125
2018-11-22,33.125
2018-11-26,45.021027
2018-11-27,42.77457
2018-11-28,53.125
2018-11-29,38.90625
2018-11-30,37.96875
2018-12-03,42.03125
2018-12-04,37.890625
2018-12-05,41.484375
2018-12-06,43.828125
2018-12-07,43.75
2018-12-10,43.984375
2018-12-11,36.875
2018-12-12,36.875
2018-12-13,36.94495
2018-12-14,36.71875
2018-12-17,36.9856
2018-12-18,30.625
2018-12-19,30.46875
2018-12-20,26.875
2018-12-21,28.75
2018-12-24,25.9375
2018-12-26,31.875
2018-12-27,47.405563
2018-12-28,31.640625
2018-12-31,32.8125
2019-01-01,33.671875
2019-01-02,33.59375
2019-01-03,31.5625
2019-01-04,32.03125
2019-01-07,31.953125
2019-01-08,31.09375
2019-01-09,24.609375
2019-01-10,23.046875
2019-01-11,20.546875
2019-01-14,18.4375
2019-01-15,18.671875
2019-01-16,17.34375
2019-01-17,14.21875
2019-01-18,17.96875
2019-01-21,18.75
2019-01-22,21.25
2019-01-23,20.15625
2019-01-24,21.25
2019-01-25,20.9375
2019-01-28,26.5625
2019-01-29,29.187656
2019-01-30,71.875
2019-01-31,24.921875
2019-02-01,25.259869
2019-02-04,25.298143
2019-02-05,24.21875
2019-02-06,25.0
2019-02-07,24.21875
2019-02-08,24.84375
2019-02-11,27.203484
2019-02-12,25.078125
2019-02-13,24.6875
2019-02-14,26.5625
2019-02-15,27.65625
2019-02-18,28.75
2019-02-19,26.09375
2019-02-20,27.531963
2019-02-21,21.875
2019-02-22,31.25
2019-02-25,34.0625
2019-02-26,35.625
2019-02-27,36.875
2019-02-28,38.292168
2019-03-01,35.78125
2019-03-05,33.828125
2019-03-06,34.453125
2019-03-07,34.375
2019-03-08,35.9375
2019-03-11,37.578125
2019-03-12,36.25
2019-03-13,42.34375
2019-03-14,42.34375
2019-03-15,41.875
2019-03-18,43.75
2019-03-19,40.9375
2019-03-20,39.090515
2019-03-22,38.206627
2019-03-25,48.75
2019-03-26,50.0
2019-03-27,43.75
2019-03-28,35.0
2019-03-29,35.78125
2019-04-01,39.21875
2019-04-02,39.0625
2019-04-03,38.828125
2019-04-04,36.796875
2019-04-05,35.78125
2019-04-08,37.8125
2019-04-09,34.53125
2019-04-10,33.59375
2019-04-11,30.77096
2019-04-12,29.740246
2019-04-15,27.8125
2019-04-16,30.78125
2019-04-18,27.65625
2019-04-22,41.25
2019-04-23,40.3125
2019-04-24,51.394695
2019-04-25,32.03125
2019-04-26,31.71875
2019-04-30,34.0625
2019-05-02,33.828125
2019-05-03,39.21875
2019-05-06,50.3125
2019-05-07,46.95477
2019-05-08,47.1875
2019-05-09,43.90625
2019-05-10,43.515625
2019-05-13,43.75
2019-05-14,46.25
2019-05-15,48.90625
2019-05-16,50.46875
2019-05-17,49.6875
2019-05-20,55.46875
2019-05-21,56.40625
2019-05-22,58.90625
2019-05-23,40.9375
2019-05-24,40.625
2019-05-27,79.6875
2019-05-28,89.375
2019-05-29,46.875
2019-05-30,33.4375
2019-05-31,35.390625
2019-06-03,33.125
2019-06-04,32.578125
2019-06-06,33.046875
2019-06-07,30.390625
2019-06-10,33.515625
2019-06-11,35.859375
2019-06-12,32.8125
2019-06-13,34.0625
2019-06-14,32.44485
2019-06-17,34.6875
2019-06-18,36.123077
2019-06-19,32.03125
2019-06-20,31.25
2019-06-21,32.96875
2019-06-24,37.8125
2019-06-25,29.6875
2019-06-26,35.0
2019-06-27,28.28125
2019-06-28,25.15625
2019-07-01,27.96875
2019-07-02,28.203125
2019-07-03,29.0625
2019-07-04,28.75
2019-07-05,31.484375
2019-07-08,29.765625
2019-07-09,32.1875
