date,iv_atm
2021-10-01,56.2334
2021-10-04,58.23348
2021-10-05,67.11446
2021-10-06,57.284885
2021-10-07,67.73496
2021-10-08,61.395958
2021-10-11,68.05653
2021-10-12,68.05201
2021-10-13,67.30989
2021-10-14,76.35053
2021-10-18,83.39999
2021-10-19,90.935814
2021-10-20,60.49223
2021-10-21,60.22759
2021-10-22,65.683624
2021-10-25,56.226067
2021-10-26,59.374157
2021-10-27,55.74307
2021-10-28,56.43124
2021-10-29,55.224266
2021-11-01,55.68277
2021-11-02,50.972656
2021-11-03,52.25954
2021-11-04,51.347645
2021-11-08,52.48031
2021-11-09,53.982456
2021-11-10,50.71139
2021-11-11,45.497128
2021-11-12,43.384098
2021-11-15,40.072487
2021-11-16,40.03709
2021-11-17,37.40915
2021-11-18,38.964577
2021-11-22,47.314518
2021-11-23,48.87541
2021-11-24,56.663197
2021-11-25,33.256687
2021-11-26,40.877773
2021-11-29,42.553818
2021-11-30,42.23109
2021-12-01,42.101463
2021-12-02,40.335754
2021-12-03,40.155724
2021-12-06,43.05836
2021-12-07,39.289795
2021-12-08,57.320873
2021-12-09,58.336678
2021-12-10,36.302998
2021-12-13,38.876293
2021-12-14,37.500607
2021-12-15,35.821716
2021-12-16,33.064487
2021-12-17,36.157673
2021-12-20,38.648476
2021-12-21,37.981003
2021-12-22,31.580877
2021-12-23,56.259842
2021-12-24,29.659697
2021-12-27,33.633385
2021-12-28,27.535172
2021-12-29,25.388908
2021-12-30,37.140823
2021-12-31,39.211124
2022-01-03,42.16544
2022-01-04,40.620567
2022-01-05,56.135193
2022-01-06,43.55526
2022-01-07,41.437485
2022-01-10,42.063778
2022-01-11,43.68304
2022-01-12,42.251137
2022-01-13,41.74338
2022-01-14,44.370056
2022-01-17,45.069717
2022-01-18,48.53075
2022-01-19,45.19944
2022-01-20,42.530987
2022-01-21,39.816406
2022-01-24,40.190212
2022-01-25,47.76249
2022-01-27,48.17802
2022-01-28,47.875538
2022-01-31,47.90228
2022-02-01,42.72938
2022-02-02,39.723312
2022-02-03,40.859768
2022-02-04,43.40127
2022-02-07,42.786903
2022-02-08,38.784954
2022-02-09,56.151962
