date,iv_atm
2017-07-04,22.919922
2017-07-05,22.685547
2017-07-06,22.773438
2017-07-07,24.379883
2017-07-10,24.365234
2017-07-11,24.082031
2017-07-12,24.506836
2017-07-13,23.359375
2017-07-14,23.901367
2017-07-17,26.31836
2017-07-18,27.041016
2017-07-19,29.042969
2017-07-20,28.857422
2017-07-21,23.261719
2017-07-24,26.96289
2017-07-25,24.882812
2017-07-27,21.914062
2017-07-28,20.957031
2017-07-31,21.05957
2017-08-01,21.261177
2017-08-02,20.239258
2017-08-03,20.078125
2017-08-04,19.99886
2017-08-07,21.328125
2017-08-08,20.668945
2017-08-09,21.884766
2017-08-10,23.596476
2017-08-11,23.80371
2017-08-14,22.617188
2017-08-16,22.158203
2017-08-17,23.955078
2017-08-18,23.583984
2017-08-21,23.935547
2017-08-22,22.43164
2017-08-23,20.548164
2017-08-24,20.69336
2017-08-28,23.144531
2017-08-29,28.144531
2017-08-30,21.269958
2017-08-31,20.668945
2017-09-01,19.243164
2017-09-04,21.269531
2017-09-05,21.09375
2017-09-06,20.947266
2017-09-07,20.019531
2017-09-08,19.30664
2017-09-11,19.21875
2017-09-12,19.355469
2017-09-13,21.757812
2017-09-14,21.367188
2017-09-15,22.265625
2017-09-18,22.363281
2017-09-19,21.933594
2017-09-20,24.140625
2017-09-21,23.57085
2017-09-22,27.304688
2017-09-25,36.015625
2017-09-26,35.625
2017-09-27,35.46875
2017-09-28,28.300781
2017-09-29,26.308594
2017-10-03,26.757812
2017-10-04,25.681702
2017-10-05,25.62566
2017-10-06,24.6875
2017-10-09,27.451172
2017-10-10,28.03672
2017-10-11,29.414062
2017-10-12,30.11701
2017-10-13,30.542686
2017-10-16,26.357422
2017-10-17,24.824219
2017-10-18,25.429688
2017-10-23,32.539062
2017-10-24,33.476562
2017-10-25,32.226562
2017-10-26,25.371094
2017-10-27,24.882812
2017-10-30,23.876953
2017-10-31,23.99414
2017-11-01,24.13086
2017-11-02,23.955078
2017-11-03,24.13086
2017-11-06,24.853516
2017-11-07,26.416016
2017-11-08,27.675781
2017-11-09,27.207031
2017-11-10,27.363281
2017-11-13,26.40625
2017-11-14,26.601562
2017-11-15,27.382812
2017-11-16,26.308594
2017-11-17,25.195312
2017-11-20,26.09375
2017-11-21,26.054688
2017-11-22,26.367188
2017-11-23,26.386719
2017-11-24,26.484375
2017-11-27,30.378803
2017-11-28,28.984375
2017-11-29,26.757812
2017-11-30,25.517578
2017-12-01,26.230469
2017-12-04,25.654297
2017-12-05,26.074219
2017-12-06,25.753399
2017-12-07,26.855469
2017-12-08,27.158203
2017-12-11,28.4375
2017-12-12,31.308594
2017-12-13,32.65625
2017-12-14,33.125
2017-12-15,31.953125
2017-12-18,28.75
2017-12-19,25.839844
2017-12-20,25.800781
2017-12-21,26.933594
2017-12-22,24.199219
2017-12-26,42.382812
2017-12-27,38.515625
2017-12-28,27.050781
2017-12-29,26.953125
2018-01-01,28.789062
2018-01-02,28.603516
2018-01-03,29.121094
2018-01-04,28.085938
2018-01-05,28.535156
2018-01-08,31.103516
2018-01-09,31.855469
2018-01-10,31.513672
2018-01-11,32.1875
2018-01-12,31.09375
2018-01-15,33.95508
2018-01-16,35.097656
2018-01-17,37.1875
2018-01-18,38.357563
2018-01-19,37.460938
2018-01-22,39.70703
2018-01-23,36.44768
2018-01-24,35.742188
2018-01-25,26.845703
2018-01-29,28.19336
2018-01-30,26.94336
2018-01-31,27.539062
2018-02-01,25.08789
2018-02-02,29.121094
2018-02-05,30.498047
2018-02-06,34.140625
2018-02-07,33.222656
2018-02-08,28.531485
2018-02-09,30.083126
2018-02-12,28.75
2018-02-14,27.304688
2018-02-15,25.039062
2018-02-16,22.929688
2018-02-19,27.460938
2018-02-20,27.539062
2018-02-21,26.640625
2018-02-22,20.432112
2018-02-23,20.009766
2018-02-26,20.371094
2018-02-27,20.703125
2018-02-28,21.103516
2018-03-01,20.292969
2018-03-05,23.026207
2018-03-06,23.984375
2018-03-07,23.464687
2018-03-08,20.820312
2018-03-09,19.667969
2018-03-12,19.472656
2018-03-13,20.06836
2018-03-14,19.785156
2018-03-15,22.236328
2018-03-16,25.107422
2018-03-19,25.917969
2018-03-20,25.253906
2018-03-21,22.890625
2018-03-22,22.285156
2018-03-23,24.121094
2018-03-26,27.773438
2018-03-27,29.53125
2018-03-28,24.423828
2018-04-02,24.13086
2018-04-03,23.133402
2018-04-04,23.657442
2018-04-05,22.382812
2018-04-06,22.695583
2018-04-09,23.466797
2018-04-10,23.169258
2018-04-11,23.330078
2018-04-12,22.597656
2018-04-13,21.347656
2018-04-16,22.646484
2018-04-17,23.710938
2018-04-18,23.378906
2018-04-19,20.898438
2018-04-20,20.019531
2018-04-23,22.226562
2018-04-24,35.898438
2018-04-25,41.118942
2018-04-26,26.61621
2018-04-27,25.898438
2018-04-30,22.416992
2018-05-02,22.695312
2018-05-03,22.207031
2018-05-04,21.708984
2018-05-07,21.78711
2018-05-08,22.666016
2018-05-09,22.519531
2018-05-10,22.675781
2018-05-11,21.816406
2018-05-14,22.898972
2018-05-15,21.738281
2018-05-16,21.884766
2018-05-17,21.855469
2018-05-18,21.757812
2018-05-21,22.8125
2018-05-22,22.792969
2018-05-23,23.203125
2018-05-24,21.210938
2018-05-25,20.898438
2018-05-28,25.664062
2018-05-29,29.023438
2018-05-30,26.25
2018-05-31,21.572266
2018-06-01,22.001724
2018-06-04,21.777344
2018-06-05,20.292969
2018-06-06,19.208984
2018-06-07,18.99414
2018-06-08,20.585938
2018-06-11,21.251871
2018-06-12,21.708984
2018-06-13,22.09961
2018-06-14,22.714844
2018-06-15,22.548828
2018-06-18,24.628906
2018-06-19,24.53125
2018-06-20,23.710938
2018-06-21,23.320312
2018-06-22,21.464844
2018-06-25,27.382812
2018-06-26,27.929688
2018-06-27,25.390625
2018-06-28,25.458984
2018-06-29,25.488281
2018-07-02,26.992188
2018-07-03,27.09961
2018-07-04,27.792969
2018-07-05,26.523438
2018-07-06,26.49414
2018-07-09,26.464844
2018-07-10,25.825945
2018-07-11,26.826172
2018-07-12,32.197266
2018-07-13,33.291016
2018-07-16,31.953125
2018-07-17,31.960615
2018-07-18,29.355469
2018-07-19,28.730469
2018-07-20,29.84375
2018-07-23,30.644531
2018-07-24,33.554688
2018-07-25,30.9375
2018-07-26,26.640625
2018-07-27,25.20357
2018-07-30,22.65625
2018-07-31,23.105469
2018-08-01,22.861328
2018-08-02,22.421875
2018-08-03,22.363281
2018-08-06,23.583984
2018-08-07,23.564453
2018-08-08,23.085938
2018-08-09,22.841797
2018-08-10,22.480469
2018-08-13,24.101562
2018-08-14,23.730469
2018-08-16,24.257812
2018-08-17,23.554688
2018-08-20,23.439669
2018-08-21,22.519531
2018-08-23,23.652344
2018-08-24,22.41211
2018-08-27,25.527344
2018-08-28,27.691664
2018-08-29,35.976562
2018-08-30,25.234375
2018-08-31,24.375
2018-09-03,26.012957
2018-09-04,25.878906
2018-09-05,26.71875
2018-09-06,26.210938
2018-09-07,25.90332
2018-09-10,28.466797
2018-09-11,28.642578
2018-09-12,27.470703
2018-09-14,27.8125
2018-09-17,30.585938
2018-09-18,28.271484
2018-09-19,23.847656
2018-09-21,30.579279
2018-09-24,35.29297
2018-09-25,37.109375
2018-09-26,34.921875
2018-09-27,27.993093
2018-09-28,28.925781
2018-10-01,31.083984
2018-10-03,34.982353
2018-10-04,41.69922
2018-10-05,44.404297
2018-10-08,43.54492
2018-10-09,45.005527
2018-10-10,42.509766
2018-10-11,46.306805
2018-10-12,42.48047
2018-10-15,44.350895
2018-10-16,43.164062
2018-10-17,41.40625
2018-10-19,35.878906
2018-10-22,45.383167
2018-10-23,42.382812
2018-10-24,42.1875
2018-10-25,34.345703
2018-10-26,32.83203
2018-10-29,30.550617
2018-10-30,33.350254
2018-10-31,32.890625
2018-11-01,32.490234
2018-11-02,32.021484
2018-11-05,31.982422
2018-11-06,29.863281
2018-11-09,29.257812
2018-11-12,30.097656
2018-11-13,28.144531
2018-11-14,28.457031
2018-11-15,28.34961
2018-11-16,27.021484
2018-11-19,28.216267
2018-11-20,26.568426
2018-11-21,26.5625
2018-11-22,22.578125
2018-11-26,27.617188
2018-11-27,26.835938
2018-11-28,30.703125
2018-11-29,26.25
2018-11-30,27.539062
2018-12-03,28.526268
2018-12-04,28.564453
2018-12-05,29.186895
2018-12-06,30.566406
2018-12-07,30.644531
2018-12-10,37.03125
2018-12-11,31.25
2018-12-12,29.658203
2018-12-13,29.28711
2018-12-14,28.59375
2018-12-17,26.855469
2018-12-18,25.209177
2018-12-19,25.215769
2018-12-20,24.511719
2018-12-21,26.621094
2018-12-24,25.585938
2018-12-26,34.570312
