date,iv_atm
2017-07-04,30.3125
2017-07-05,29.84375
2017-07-06,28.75
2017-07-07,27.96875
2017-07-10,31.25
2017-07-11,29.6875
2017-07-12,28.28125
2017-07-13,28.020332
2017-07-14,28.490662
2017-07-17,30.15625
2017-07-18,30.9375
2017-07-19,33.75
2017-07-20,31.875
2017-07-21,27.5
2017-07-24,30.625
2017-07-25,35.0
2017-07-27,33.4375
2017-07-28,29.6875
2017-07-31,32.34375
2017-08-01,30.78125
2017-08-02,31.5625
2017-08-03,31.5625
2017-08-04,31.875
2017-08-07,32.03125
2017-08-08,34.6875
2017-08-09,35.46875
2017-08-10,39.84375
2017-08-11,40.9375
2017-08-14,38.28125
2017-08-16,37.65625
2017-08-17,36.5625
2017-08-18,33.75
2017-08-21,38.4375
2017-08-22,37.5
2017-08-23,33.4375
2017-08-24,32.1875
2017-08-28,39.375
2017-08-29,48.125
2017-08-30,49.375
2017-08-31,31.875
2017-09-01,31.5625
2017-09-04,32.8125
2017-09-05,34.375
2017-09-06,35.3125
2017-09-07,34.84375
2017-09-08,36.71875
2017-09-11,35.625
2017-09-12,34.6875
2017-09-13,31.25
2017-09-14,30.9375
2017-09-15,34.6875
2017-09-18,35.625
2017-09-19,36.875
2017-09-20,35.3125
2017-09-21,32.8125
2017-09-22,33.75
2017-09-25,44.375
2017-09-26,41.25
2017-09-27,50.0
2017-09-28,38.90625
2017-09-29,34.53125
2017-10-03,36.25
2017-10-04,35.0
2017-10-05,33.125
2017-10-06,31.40625
2017-10-09,33.125
2017-10-10,32.34375
2017-10-11,34.375
2017-10-12,30.3125
2017-10-13,27.96875
2017-10-16,30.9375
2017-10-17,34.6875
2017-10-18,26.875
2017-10-23,35.625
2017-10-24,46.576065
2017-10-25,86.875
2017-10-26,58.59375
2017-10-27,56.5625
2017-10-30,60.15625
2017-10-31,55.563763
2017-11-01,55.0
2017-11-02,52.35036
2017-11-03,51.769672
2017-11-06,58.046875
2017-11-07,56.71875
2017-11-08,53.28125
2017-11-09,48.90625
2017-11-10,46.25
2017-11-13,49.53125
2017-11-14,46.71875
2017-11-15,46.79624
2017-11-16,43.75
2017-11-17,45.92651
2017-11-20,50.15625
2017-11-21,56.48936
2017-11-22,51.84312
2017-11-23,51.00339
2017-11-24,49.21875
2017-11-27,59.375
2017-11-28,56.5625
2017-11-29,50.174667
2017-11-30,43.59375
2017-12-01,43.75
2017-12-04,42.96875
2017-12-05,43.4375
2017-12-06,42.8125
2017-12-07,41.25
2017-12-08,43.28125
2017-12-11,47.96875
2017-12-12,48.4375
2017-12-13,50.625
2017-12-14,51.09375
2017-12-15,44.53125
2017-12-18,45.0
2017-12-19,45.0
2017-12-20,43.90625
2017-12-21,43.4375
2017-12-22,35.0
2017-12-26,43.75
2017-12-27,50.625
2017-12-28,44.21875
2017-12-29,42.282955
2018-01-01,42.265625
2018-01-02,44.0625
