date,iv_atm
2020-05-04,63.125
2020-05-05,58.57422
2020-05-06,50.439453
2020-05-07,48.710938
2020-05-08,43.945312
2020-05-11,40.88867
2020-05-12,43.691406
2020-05-13,49.32617
2020-05-14,47.128906
2020-05-15,43.76953
2020-05-18,46.85547
2020-05-19,37.734375
2020-05-20,46.875
2020-05-21,42.070312
2020-05-22,39.21875
2020-05-26,38.710938
2020-05-27,35.78125
2020-05-28,33.476562
2020-05-29,0.3125
2020-06-01,0.625
2020-06-02,39.628906
2020-06-03,41.07422
2020-06-04,39.179688
2020-06-05,36.89453
2020-06-08,43.710938
2020-06-09,47.539062
2020-06-10,41.777344
2020-06-11,40.44922
2020-06-12,41.640625
2020-06-15,41.706223
2020-06-16,45.820312
2020-06-17,37.890625
2020-06-18,42.578125
2020-06-19,42.070312
2020-06-22,39.18851
2020-06-23,42.773438
2020-06-24,26.875
2020-06-25,40.478516
2020-06-26,35.390625
2020-06-29,33.320312
2020-06-30,35.980278
2020-07-01,35.390625
2020-07-02,29.941406
2020-07-03,32.13867
2020-07-06,34.003906
2020-07-07,32.802734
2020-07-08,31.25
2020-07-09,30.488281
2020-07-10,34.248047
2020-07-13,35.0
2020-07-14,38.652344
2020-07-15,36.58203
2020-07-16,37.783203
2020-07-17,45.24414
2020-07-20,53.867188
2020-07-21,43.691406
2020-07-22,41.054688
2020-07-23,35.253906
2020-07-24,28.242188
2020-07-27,34.494656
2020-07-28,28.398438
2020-07-29,27.734375
2020-07-30,41.65871
2020-07-31,36.777344
2020-08-03,35.625
2020-08-04,34.384766
2020-08-05,35.097656
2020-08-06,30.966797
2020-08-07,33.28125
2020-08-10,34.970703
2020-08-11,35.60547
2020-08-12,34.82422
2020-08-13,32.264946
2020-08-14,35.57617
2020-08-17,32.441406
2020-08-18,30.585938
2020-08-19,27.65625
2020-08-20,27.207031
2020-08-21,26.171875
2020-08-24,25.957031
2020-08-25,28.59375
2020-08-26,30.976562
2020-08-27,32.148438
2020-08-28,32.41211
2020-08-31,39.178947
2020-09-01,33.623047
2020-09-02,31.660156
2020-09-03,32.539062
2020-09-04,33.476562
2020-09-07,33.789062
2020-09-08,30.233057
2020-09-09,34.140625
2020-09-10,33.45703
2020-09-11,37.128906
2020-09-14,37.814972
2020-09-15,36.132812
2020-09-16,36.117912
2020-09-17,31.777344
2020-09-18,27.539062
2020-09-21,32.851562
2020-09-22,26.914062
2020-09-23,47.851562
2020-09-24,27.285156
2020-09-25,31.826172
2020-09-28,26.777344
2020-09-29,29.355469
2020-09-30,27.695312
2020-10-01,27.646484
2020-10-05,29.541016
2020-10-06,30.478516
2020-10-07,32.1875
2020-10-08,34.375
2020-10-09,33.183594
2020-10-12,39.08203
2020-10-13,38.83789
2020-10-14,37.32422
2020-10-15,35.703125
2020-10-16,30.55664
2020-10-19,38.027344
2020-10-20,36.601562
2020-10-21,39.27204
2020-10-22,36.40625
2020-10-23,38.027344
2020-10-26,39.804688
2020-10-27,35.820312
2020-10-28,32.062542
2020-10-29,30.185547
2020-10-30,30.46875
2020-11-02,32.128906
2020-11-03,30.55664
2020-11-04,27.543926
2020-11-05,25.546875
2020-11-06,26.357422
2020-11-09,28.687927
2020-11-10,27.382812
2020-11-11,27.752386
2020-11-12,30.292969
2020-11-13,26.835938
2020-11-14,27.929688
2020-11-17,32.79297
2020-11-18,28.867188
2020-11-19,24.121094
2020-11-20,27.324219
2020-11-23,26.289062
2020-11-24,29.921875
2020-11-25,25.546875
2020-11-26,31.914062
2020-11-27,30.263672
2020-12-01,31.33789
2020-12-02,31.71875
2020-12-03,34.26758
2020-12-04,32.578125
2020-12-07,36.875
2020-12-08,35.73242
2020-12-09,35.722656
2020-12-10,34.785156
2020-12-11,35.742188
2020-12-14,36.85547
2020-12-15,36.92383
2020-12-16,35.117188
2020-12-17,34.902344
2020-12-18,32.96875
2020-12-21,32.460938
2020-12-22,27.011719
2020-12-23,26.25
2020-12-24,25.722656
2020-12-28,34.101562
2020-12-29,35.546875
2020-12-30,22.494371
2020-12-31,34.091797
2021-01-01,33.57422
2021-01-04,35.40039
2021-01-05,35.41992
2021-01-06,34.716797
2021-01-07,34.84375
2021-01-08,32.67578
2021-01-11,36.523438
2021-01-12,38.496094
2021-01-13,43.305023
2021-01-14,42.822266
2021-01-15,43.45703
2021-01-18,40.029297
2021-01-19,42.03125
2021-01-20,40.478516
2021-01-21,42.734375
2021-01-22,32.98828
2021-01-25,25.742188
2021-01-27,37.851562
2021-01-28,35.744232
2021-01-29,32.216797
2021-02-01,34.433594
2021-02-02,36.25
2021-02-03,37.5
2021-02-04,38.222656
2021-02-05,36.11328
2021-02-08,37.089844
2021-02-09,37.94922
2021-02-10,37.79297
2021-02-11,37.03125
2021-02-12,34.433594
2021-02-15,33.92578
2021-02-16,31.210938
2021-02-17,32.81372
2021-02-18,33.964844
2021-02-19,22.792969
2021-02-22,27.578125
2021-02-23,34.296875
2021-02-24,34.960938
2021-02-25,31.357422
2021-02-26,33.339844
2021-03-01,33.57422
2021-03-02,32.158203
2021-03-03,29.648438
2021-03-04,32.177734
2021-03-05,30.175781
2021-03-08,32.285156
2021-03-09,34.70703
2021-03-10,34.960938
2021-03-12,31.661522
2021-03-15,33.603516
2021-03-16,30.722656
2021-03-17,23.398438
2021-03-18,24.277344
2021-03-19,22.981833
2021-03-22,23.789062
2021-03-23,23.535156
2021-03-24,18.359375
2021-03-25,24.6875
2021-03-26,21.63086
2021-03-30,22.451172
2021-03-31,23.066406
2021-04-01,20.855093
2021-04-05,24.208984
2021-04-06,22.402344
2021-04-07,24.335938
2021-04-08,24.091797
2021-04-09,23.75
2021-04-12,27.695312
2021-04-13,24.892578
2021-04-15,22.34375
2021-04-16,22.8125
2021-04-19,22.626953
2021-04-20,25.703125
2021-04-22,23.988857
2021-04-23,22.366814
2021-04-26,34.882812
2021-04-27,25.976562
2021-04-28,21.484375
2021-04-29,33.19336
2021-04-30,34.052734
2021-05-03,35.10742
2021-05-04,29.726562
2021-05-05,31.47461
2021-05-06,32.23633
2021-05-07,28.066406
2021-05-10,28.046875
2021-05-11,26.396484
2021-05-12,29.59961
2021-05-14,24.765625
2021-05-17,25.9375
2021-05-18,22.8125
2021-05-19,26.621094
2021-05-20,22.96875
2021-05-21,19.863281
2021-05-24,20.800781
2021-05-25,18.75
2021-05-26,25.703125
2021-05-27,27.56836
2021-05-28,25.22461
2021-05-31,24.707031
2021-06-01,24.814453
2021-06-02,21.591797
2021-06-03,23.066406
2021-06-04,22.509766
2021-06-07,22.060547
2021-06-08,23.115234
2021-06-09,24.404297
2021-06-10,25.332031
2021-06-11,25.358515
2021-06-14,25.410156
2021-06-15,27.37642
2021-06-16,26.223106
2021-06-17,24.396872
2021-06-18,18.772469
2021-06-21,19.595232
2021-06-22,18.12487
2021-06-23,14.5397
2021-06-24,24.769196
2021-06-25,22.204159
2021-06-28,22.793484
2021-06-29,21.44378
2021-06-30,19.520674
2021-07-01,20.036499
2021-07-02,19.787682
2021-07-05,18.778706
2021-07-06,19.01632
2021-07-07,19.75084
2021-07-08,20.612812
2021-07-09,19.020252
2021-07-12,20.34366
2021-07-13,19.54319
2021-07-14,17.289854
2021-07-15,16.145111
2021-07-16,15.872188
2021-07-19,16.607113
2021-07-20,17.377651
2021-07-22,20.337006
2021-07-23,21.925892
2021-07-26,41.914116
2021-07-27,31.656809
2021-07-28,33.31744
2021-07-29,20.302132
2021-07-30,22.067219
2021-08-02,23.927578
2021-08-03,23.430376
2021-08-04,22.961355
2021-08-05,22.93474
2021-08-06,22.04008
2021-08-09,22.504827
2021-08-10,23.538
2021-08-11,21.50981
2021-08-12,21.918629
2021-08-13,19.807676
2021-08-16,19.321833
2021-08-17,21.072212
2021-08-18,22.872833
2021-08-20,20.902847
2021-08-23,24.72934
2021-08-24,28.3052
2021-08-25,14.925466
2021-08-26,25.657639
2021-08-27,22.878622
2021-08-30,21.143288
2021-08-31,21.211487
2021-09-01,35.684498
2021-09-02,22.066322
2021-09-03,20.981596
2021-09-06,20.899748
2021-09-07,21.830433
2021-09-08,22.014408
2021-09-09,25.736305
2021-09-13,25.6327
2021-09-14,24.3356
2021-09-15,24.121763
2021-09-16,26.36005
2021-09-17,25.037615
2021-09-20,28.433529
2021-09-21,26.228054
2021-09-22,27.751585
2021-09-23,22.875164
2021-09-24,20.19518
2021-09-27,20.561077
2021-09-28,21.873114
2021-09-29,18.821556
2021-09-30,34.43263
2021-10-01,29.85309
2021-10-04,28.067812
2021-10-05,28.72018
2021-10-06,33.469727
2021-10-07,32.401863
2021-10-08,32.157127
2021-10-11,30.524958
2021-10-12,35.861263
2021-10-13,33.952908
2021-10-14,29.334599
2021-10-18,34.87606
2021-10-19,35.135868
2021-10-20,37.74874
2021-10-21,33.821903
2021-10-22,29.849583
2021-10-25,39.10257
2021-10-26,48.786827
2021-10-27,82.322174
2021-10-28,36.177605
2021-10-29,25.901493
2021-11-01,21.415377
2021-11-02,19.01664
2021-11-03,18.886248
2021-11-04,34.62984
2021-11-08,19.867838
2021-11-09,19.867863
2021-11-10,20.029469
2021-11-11,21.263721
2021-11-12,18.856592
2021-11-15,20.110594
2021-11-16,20.359785
2021-11-17,20.738657
2021-11-18,16.023119
2021-11-22,24.704636
2021-11-23,25.160444
2021-11-24,26.237295
2021-11-25,34.89532
2021-11-26,24.399609
2021-11-29,24.14313
2021-11-30,22.473621
2021-12-01,21.844446
2021-12-02,20.157969
2021-12-03,21.149776
2021-12-06,22.843958
2021-12-07,21.086882
2021-12-08,21.156586
2021-12-09,20.178228
2021-12-10,20.106142
2021-12-13,21.576153
2021-12-14,21.62694
2021-12-15,20.92259
2021-12-16,19.229076
2021-12-17,20.545998
2021-12-20,35.375954
2021-12-21,19.551014
2021-12-22,20.295195
2021-12-23,20.327595
2021-12-24,19.902878
2021-12-27,18.54303
2021-12-28,17.789314
2021-12-29,17.16795
2021-12-30,23.517214
2021-12-31,21.22679
2022-01-03,33.97334
2022-01-04,18.79483
2022-01-05,18.759607
2022-01-06,33.59927
2022-01-07,18.96271
2022-01-10,23.117226
2022-01-11,22.253757
2022-01-12,21.545053
2022-01-13,20.344206
2022-01-14,21.628511
2022-01-17,25.71482
2022-01-18,24.734993
2022-01-19,24.037449
2022-01-20,23.821447
2022-01-21,24.39757
2022-01-24,18.334023
2022-01-25,11.545983
2022-01-27,32.595917
2022-01-28,33.394855
2022-01-31,23.565731
2022-02-01,23.131037
2022-02-02,22.661459
2022-02-03,24.099459
2022-02-04,23.750673
2022-02-07,25.159336
2022-02-08,24.590912
2022-02-09,24.972908
2022-02-10,25.048695
2022-02-11,26.117636
2022-02-14,32.824738
2022-02-15,28.94174
2022-02-16,30.297573
2022-02-17,30.49414
2022-02-18,25.547598
2022-02-21,28.137442
2022-02-22,22.717882
2022-02-23,19.918344
2022-02-24,34.69488
2022-02-25,34.92662
2022-02-28,26.1462
2022-03-02,30.75366
2022-03-03,32.528446
2022-03-04,33.99586
2022-03-07,41.370914
2022-03-08,34.10175
2022-03-09,33.065975
2022-03-10,32.143463
2022-03-11,32.088596
2022-03-14,35.25473
2022-03-15,32.88514
2022-03-16,32.405914
2022-03-17,21.385157
2022-03-21,25.405497
2022-03-22,25.323591
2022-03-23,27.896246
2022-03-24,28.31702
2022-03-25,23.821281
2022-03-28,44.474606
2022-03-29,28.714157
2022-03-30,16.34632
2022-03-31,32.681263
2022-04-01,31.980906
2022-04-04,34.92087
2022-04-05,30.316954
2022-04-06,32.745544
2022-04-07,35.56278
2022-04-08,26.321772
2022-04-11,27.178066
2022-04-12,27.044748
2022-04-13,25.35537
2022-04-18,26.466257
2022-04-19,27.900501
2022-04-20,28.061764
2022-04-21,23.128944
2022-04-22,22.31309
2022-04-25,37.675346
2022-04-26,36.392227
2022-04-27,44.098515
2022-04-28,36.09455
2022-04-29,28.901367
2022-05-02,29.084263
2022-05-04,30.153202
2022-05-05,27.847088
2022-05-06,29.927958
2022-05-09,28.783981
2022-05-10,28.943098
2022-05-11,28.119852
2022-05-12,31.24276
2022-05-13,29.74305
2022-05-16,27.385246
2022-05-17,26.187283
2022-05-18,26.169418
2022-05-19,29.583412
2022-05-20,24.802895
2022-05-23,30.420956
2022-05-24,31.076939
2022-05-25,36.367096
2022-05-26,29.227762
2022-05-27,32.908165
2022-05-30,26.790768
2022-05-31,32.962196
2022-06-01,26.746359
2022-06-02,26.36734
2022-06-03,24.878689
2022-06-06,24.04164
2022-06-07,25.281197
2022-06-08,22.82248
2022-06-09,22.652102
2022-06-10,22.557732
2022-06-13,25.213936
2022-06-14,24.443245
2022-06-15,24.082354
2022-06-16,33.953598
2022-06-17,22.94638
2022-06-20,25.73772
2022-06-21,23.851347
2022-06-22,26.062164
2022-06-23,25.210587
2022-06-24,36.102776
2022-06-27,26.324146
2022-06-28,28.14038
2022-06-29,32.398136
2022-06-30,27.76607
2022-07-01,24.642231
2022-07-04,21.063667
2022-07-05,20.871479
2022-07-06,19.959612
2022-07-07,18.98772
2022-07-08,20.023542
2022-07-11,20.052322
2022-07-12,20.179218
2022-07-13,19.644142
2022-07-14,18.107483
2022-07-15,18.854155
2022-07-18,20.826183
2022-07-19,19.342146
2022-07-20,21.836624
2022-07-21,20.480919
2022-07-22,19.809772
2022-07-25,18.162844
2022-07-26,19.289623
2022-07-27,26.303421
2022-07-28,32.53372
2022-07-29,27.375206
2022-08-01,24.694046
2022-08-02,25.007988
2022-08-03,24.368277
2022-08-04,24.666157
2022-08-05,24.059559
2022-08-08,23.317986
2022-08-10,23.898613
2022-08-11,23.708132
2022-08-12,21.962357
2022-08-16,24.392452
2022-08-17,25.558533
2022-08-18,27.80063
2022-08-19,24.667927
2022-08-22,23.529913
2022-08-23,27.564814
2022-08-24,19.934542
2022-08-25,27.974089
2022-08-26,25.811523
2022-08-29,25.38408
2022-08-30,24.23612
2022-09-01,25.403227
2022-09-02,25.626778
2022-09-05,24.19429
2022-09-06,23.499434
2022-09-07,23.62737
2022-09-08,23.915943
2022-09-09,24.42193
2022-09-12,25.602184
2022-09-13,26.989513
2022-09-14,27.880344
2022-09-15,31.399218
2022-09-16,35.35852
2022-09-19,32.474617
2022-09-20,28.27564
2022-09-21,26.425385
2022-09-22,26.27045
2022-09-23,24.217379
2022-09-26,27.35496
2022-09-27,30.646912
2022-09-28,24.179485
2022-09-29,29.117678
2022-09-30,26.290863
2022-10-03,29.2829
2022-10-04,33.234726
2022-10-06,28.418104
2022-10-07,28.956955
2022-10-10,29.558352
2022-10-11,31.349386
2022-10-12,30.774778
2022-10-13,31.76244
2022-10-14,30.103352
2022-10-17,30.886885
2022-10-18,29.583872
2022-10-19,30.484608
2022-10-20,28.970287
2022-10-21,27.575956
2022-10-24,25.275173
2022-10-25,25.754496
2022-10-27,23.987278
2022-10-28,22.06507
2022-10-31,21.043144
2022-11-01,21.992687
2022-11-02,21.925049
2022-11-03,20.9826
2022-11-04,22.020674
2022-11-07,22.49625
2022-11-09,23.55301
2022-11-10,23.423489
2022-11-11,22.827679
2022-11-14,24.156107
2022-11-15,22.406488
2022-11-16,21.603518
2022-11-17,20.525026
2022-11-18,18.700327
2022-11-21,25.812027
2022-11-22,22.769901
2022-11-23,22.55468
2022-11-24,23.301184
2022-11-25,22.278872
2022-11-28,23.26036
2022-11-29,23.009981
2022-11-30,23.70758
2022-12-01,22.849117
2022-12-02,22.21715
2022-12-05,22.437897
2022-12-06,24.843939
2022-12-07,24.456942
2022-12-08,23.446892
2022-12-09,22.80779
2022-12-12,22.978418
2022-12-13,22.830124
2022-12-14,22.768812
2022-12-15,23.853905
2022-12-16,22.510324
2022-12-19,21.803274
2022-12-20,22.979029
2022-12-21,23.135086
2022-12-22,22.697422
2022-12-23,21.985464
2022-12-26,24.468853
2022-12-27,22.973171
2022-12-28,20.699038
2022-12-29,27.235863
2022-12-30,24.39554
2023-01-02,22.880924
2023-01-03,23.700462
2023-01-04,21.546682
2023-01-05,20.145191
2023-01-06,21.004446
2023-01-09,22.223932
2023-01-10,21.253237
2023-01-11,20.886753
2023-01-12,23.047607
2023-01-13,22.056925
2023-01-16,22.171463
2023-01-17,22.200754
2023-01-18,24.030542
2023-01-19,23.839687
2023-01-20,22.599844
2023-01-23,21.363554
2023-01-24,14.7094965
2023-01-25,21.812492
2023-01-27,25.820892
2023-01-30,27.330317
2023-01-31,26.271088
2023-02-01,34.442993
2023-02-02,29.319962
2023-02-03,26.296412
2023-02-06,27.53479
2023-02-07,26.572016
2023-02-08,25.21603
2023-02-09,24.205648
2023-02-10,23.029842
2023-02-13,24.326563
2023-02-14,23.947754
2023-02-15,22.481218
2023-02-16,22.310354
2023-02-17,20.559479
2023-02-20,24.547913
2023-02-21,24.865782
2023-02-22,23.765827
2023-02-23,22.041359
2023-02-24,21.543976
2023-02-27,21.108753
2023-02-28,21.194212
2023-03-01,21.451412
2023-03-02,22.002462
2023-03-03,21.591713
2023-03-06,21.337666
2023-03-08,22.733095
2023-03-09,25.461483
2023-03-10,24.23135
2023-03-13,26.430937
2023-03-14,26.50759
2023-03-15,27.23872
2023-03-16,27.178753
2023-03-17,24.769306
2023-03-20,26.844597
2023-03-21,24.41345
2023-03-22,25.043385
2023-03-23,22.340631
2023-03-24,23.418617
2023-03-27,25.621397
2023-03-28,19.45864
2023-03-29,23.944103
2023-03-31,23.387535
2023-04-03,23.763191
2023-04-05,25.09664
2023-04-06,22.209223
2023-04-10,22.493517
2023-04-11,24.24827
2023-04-12,21.700018
2023-04-13,20.022303
2023-04-17,18.671207
2023-04-18,18.348528
2023-04-19,21.114809
2023-04-20,20.558517
2023-04-21,22.67513
2023-04-24,31.210094
2023-04-25,37.899914
2023-04-26,45.32793
2023-04-27,21.649326
2023-04-28,19.37085
2023-05-02,19.64913
2023-05-03,18.643658
2023-05-04,16.518137
2023-05-05,14.551091
2023-05-08,14.584782
2023-05-09,14.796695
2023-05-10,15.266973
2023-05-11,14.358893
2023-05-12,13.594741
2023-05-15,14.185911
2023-05-16,13.341547
2023-05-17,13.408491
2023-05-18,13.033529
2023-05-19,12.349076
2023-05-22,13.757223
2023-05-23,13.260881
2023-05-24,9.714886
2023-05-25,19.16529
2023-05-26,17.970545
2023-05-29,18.837574
2023-05-30,18.543001
2023-05-31,16.803093
2023-06-01,16.000404
2023-06-02,14.627221
2023-06-05,15.323985
2023-06-06,14.493232
2023-06-07,15.371447
2023-06-08,15.551349
2023-06-09,14.342333
2023-06-12,15.707272
2023-06-13,16.195993
2023-06-14,16.469868
2023-06-15,15.97474
2023-06-16,19.22569
2023-06-19,21.828594
2023-06-20,21.8733
2023-06-21,23.029663
2023-06-22,18.998688
2023-06-23,14.795326
2023-06-26,14.672454
2023-06-27,16.077917
2023-06-28,24.369764
2023-06-30,25.084053
2023-07-03,25.537115
2023-07-04,25.884491
2023-07-05,25.346407
2023-07-06,24.053295
2023-07-07,23.325375
2023-07-10,25.006283
2023-07-11,24.761406
2023-07-12,24.702497
2023-07-13,22.659555
2023-07-14,21.75173
2023-07-17,24.52946
2023-07-18,25.699135
2023-07-19,25.454485
2023-07-20,26.532515
2023-07-21,29.322866
2023-07-24,38.49596
2023-07-25,44.337917
2023-07-26,24.535217
2023-07-27,21.767195
2023-07-28,21.295938
2023-07-31,21.975735
2023-08-01,21.344791
2023-08-02,21.870575
2023-08-03,20.921095
2023-08-04,20.474863
2023-08-07,19.983444
2023-08-08,22.293133
2023-08-09,20.557869
2023-08-10,19.496058
2023-08-11,19.095371
2023-08-14,18.500357
2023-08-16,17.557705
2023-08-17,17.063028
2023-08-18,17.119255
2023-08-21,16.848925
2023-08-22,19.182302
2023-08-23,17.31772
2023-08-24,15.356441
2023-08-25,14.823905
2023-08-28,17.58799
2023-08-29,14.356104
2023-08-30,11.038534
2023-08-31,21.224371
2023-09-01,19.971304
2023-09-04,20.450624
2023-09-05,21.664228
2023-09-06,20.53447
2023-09-07,19.863764
2023-09-08,19.272484
2023-09-11,19.126728
2023-09-12,18.227718
2023-09-13,17.612614
2023-09-14,18.461895
2023-09-15,17.760582
2023-09-18,20.305471
2023-09-20,17.779629
2023-09-21,16.40293
2023-09-22,14.505427
2023-09-25,21.996069
2023-09-26,22.495314
2023-09-27,20.43715
2023-09-28,20.815872
2023-09-29,21.053137
2023-10-03,22.002449
