date,iv_atm
2017-07-04,36.184082
2017-07-05,44.491577
2017-07-06,102.41638
2017-07-07,111.38672
2017-07-10,42.51831
2017-07-11,45.47058
2017-07-12,124.124146
2017-07-13,59.086914
2017-07-14,56.32263
2017-07-17,68.357544
2017-07-18,58.656006
2017-07-19,61.59668
2017-07-20,194.41528
2017-07-21,69.99634
2017-07-24,277.66846
2017-07-25,117.271126
2017-07-27,66.87805
2017-07-28,70.22583
2017-07-31,74.35028
2017-08-01,47.04651
2017-08-02,79.25842
2017-08-03,74.523926
2017-08-04,75.85632
2017-08-07,65.24536
2017-08-08,76.11755
2017-08-09,76.62842
2017-08-10,97.058716
2017-08-11,70.652466
2017-08-14,97.86133
2017-08-16,81.4801
2017-08-17,118.40393
2017-08-18,122.873535
2017-08-21,84.66431
2017-08-22,93.09387
2017-08-23,98.671875
2017-08-24,95.14526
2017-08-28,237.4585
2017-08-29,208.04199
2017-08-30,329.33105
2017-08-31,31.486204
2017-09-01,32.63855
2017-09-04,34.88098
2017-09-05,68.323364
2017-09-06,76.85913
2017-09-07,46.792603
2017-09-08,78.90869
2017-09-11,51.118164
2017-09-12,90.90088
2017-09-13,52.824707
2017-09-14,97.27112
2017-09-15,107.88757
2017-09-18,67.20581
2017-09-19,127.00806
2017-09-20,132.2107
2017-09-21,136.36597
2017-09-22,147.8357
2017-09-25,99.81453
2017-09-26,246.94669
2017-09-27,171.97266
2017-09-28,57.75145
2017-09-29,61.637123
2017-10-03,79.92676
2017-10-04,78.45398
2017-10-05,73.76465
2017-10-06,76.97632
2017-10-09,77.90524
2017-10-10,88.392334
2017-10-11,102.666626
2017-10-12,84.75464
2017-10-13,105.99304
2017-10-16,108.36792
2017-10-17,108.72318
2017-10-18,59.607895
2017-10-23,175.28198
2017-10-24,245.34058
2017-10-25,404.6997
2017-10-26,60.116577
2017-10-27,57.32544
2017-10-30,61.26526
2017-10-31,33.466797
2017-11-01,33.76892
2017-11-02,37.165222
2017-11-03,35.27466
2017-11-06,69.63959
2017-11-07,39.018555
2017-11-08,83.308716
2017-11-09,55.10559
2017-11-10,74.05322
2017-11-13,80.33688
2017-11-14,82.72032
2017-11-15,87.13318
