date,iv_atm
2022-12-20,34.137184
2022-12-21,37.698174
2022-12-22,35.11084
2022-12-23,30.692753
2022-12-26,35.557438
2022-12-27,32.440693
2022-12-28,31.67064
2022-12-29,34.5592
2022-12-30,32.23112
2023-01-02,33.6437
2023-01-03,32.76703
2023-01-04,33.430077
2023-01-05,33.009575
2023-01-06,32.899773
2023-01-09,32.94631
2023-01-10,31.160017
2023-01-11,31.902409
2023-01-12,31.94609
2023-01-13,31.43757
2023-01-16,32.46603
2023-01-17,31.214287
2023-01-18,28.303171
2023-01-19,26.794415
2023-01-20,25.507835
2023-01-23,29.173944
2023-01-24,29.915493
2023-01-25,30.632904
2023-01-27,34.306644
2023-01-30,35.2988
2023-01-31,31.794476
2023-02-01,33.472847
2023-02-02,32.52976
2023-02-03,31.393078
2023-02-06,30.28597
2023-02-07,30.525587
2023-02-08,28.64534
2023-02-09,26.476177
2023-02-10,26.985088
2023-02-13,29.819214
2023-02-14,27.585922
2023-02-15,27.57823
2023-02-16,29.772457
2023-02-17,26.37334
2023-02-20,39.452045
2023-02-21,38.66023
2023-02-22,51.053864
2023-02-23,26.993559
2023-02-24,44.198555
2023-02-27,25.94271
2023-02-28,27.953154
2023-03-01,26.578848
2023-03-02,26.992512
2023-03-03,25.284079
2023-03-06,26.323433
2023-03-08,28.453836
2023-03-09,27.93342
2023-03-10,27.580996
2023-03-13,30.905403
2023-03-14,30.099838
2023-03-15,30.582409
2023-03-16,30.225233
2023-03-17,28.103367
2023-03-20,30.484394
2023-03-21,27.832287
2023-03-22,27.89586
2023-03-23,25.370388
2023-03-24,25.310125
2023-03-27,32.06597
2023-03-28,37.10614
2023-03-29,43.854633
2023-03-31,44.4202
2023-04-03,24.858274
2023-04-05,25.208956
2023-04-06,24.136806
2023-04-10,24.705118
2023-04-11,24.212162
2023-04-12,24.364092
2023-04-13,22.686153
2023-04-17,27.646633
2023-04-18,24.543558
2023-04-19,26.35834
2023-04-20,23.845516
2023-04-21,20.30639
2023-04-24,26.221691
2023-04-25,34.3786
2023-04-26,40.89735
2023-04-27,31.882896
2023-04-28,26.605198
2023-05-02,26.93515
2023-05-03,27.371582
2023-05-04,27.350477
2023-05-05,27.821243
2023-05-08,26.756952
2023-05-09,27.869001
2023-05-10,26.716106
2023-05-11,26.294092
2023-05-12,26.83606
2023-05-15,27.723623
2023-05-16,29.619371
2023-05-17,27.886389
2023-05-18,27.997393
2023-05-19,24.729263
2023-05-22,29.927902
2023-05-23,35.856407
2023-05-24,27.129375
2023-05-25,50.21927
2023-05-26,25.55699
2023-05-29,27.521685
2023-05-30,27.656143
2023-05-31,26.776217
2023-06-01,27.053904
2023-06-02,26.049679
2023-06-05,27.85879
2023-06-06,28.19589
2023-06-07,29.832502
2023-06-08,31.613586
2023-06-09,29.98937
2023-06-12,31.231798
2023-06-13,30.975292
2023-06-14,33.81719
2023-06-15,33.551872
2023-06-16,31.701376
2023-06-19,35.908024
2023-06-20,36.859276
2023-06-21,45.840202
2023-06-22,35.738773
2023-06-23,27.549583
2023-06-26,34.39985
2023-06-27,27.522177
2023-06-28,25.961031
2023-06-30,32.544933
2023-07-03,32.3621
2023-07-04,42.63046
2023-07-05,33.67017
2023-07-06,32.745182
2023-07-07,30.232374
2023-07-10,31.0347
2023-07-11,30.365202
2023-07-12,32.33226
2023-07-13,27.916546
2023-07-14,25.813105
2023-07-17,28.084047
2023-07-18,29.439505
2023-07-19,31.413385
2023-07-20,30.689
2023-07-21,33.539116
2023-07-24,34.141846
2023-07-25,32.925552
2023-07-26,71.8905
2023-07-27,28.928782
2023-07-28,26.653856
2023-07-31,28.23801
2023-08-01,27.382797
2023-08-02,27.653648
2023-08-03,27.75203
2023-08-04,27.169283
2023-08-07,26.73818
2023-08-08,26.931105
2023-08-09,26.985376
2023-08-10,26.635311
2023-08-11,27.171026
2023-08-14,26.802275
2023-08-16,26.21102
2023-08-17,29.686106
2023-08-18,27.60952
2023-08-21,29.170712
2023-08-22,29.504986
2023-08-23,29.756884
2023-08-24,29.236917
2023-08-25,25.431463
2023-08-28,29.486006
2023-08-29,30.526535
2023-08-30,26.262167
2023-08-31,28.97501
2023-09-01,27.078089
2023-09-04,27.702923
2023-09-05,26.910227
2023-09-06,26.948803
2023-09-07,26.628838
2023-09-08,28.349024
2023-09-11,29.347921
2023-09-12,28.822664
2023-09-13,30.44713
2023-09-14,29.557516
2023-09-15,27.110277
2023-09-18,31.349173
2023-09-20,32.579807
2023-09-21,29.446901
2023-09-22,25.630825
2023-09-25,33.24807
2023-09-26,37.612846
2023-09-27,32.159016
2023-09-28,27.13979
2023-09-29,26.019579
2023-10-03,27.75194
