date,iv_atm
2017-07-04,23.28125
2017-07-05,25.898438
2017-07-06,26.513672
2017-07-07,29.677536
2017-07-10,28.574219
2017-07-11,27.382812
2017-07-12,26.015625
2017-07-13,28.964844
2017-07-14,25.429688
2017-07-17,24.84375
2017-07-18,24.941406
2017-07-19,24.492188
2017-07-20,21.640625
2017-07-21,20.234375
2017-07-24,23.28125
2017-07-25,27.734375
2017-07-27,28.046875
2017-07-28,23.321428
2017-07-31,26.7903
2017-08-01,26.466787
2017-08-02,26.218773
2017-08-03,26.73363
2017-08-04,26.582031
2017-08-07,27.926115
2017-08-08,33.789062
2017-08-09,25.410156
2017-08-10,23.935547
2017-08-11,26.835938
2017-08-14,25.9375
2017-08-16,25.917969
2017-08-17,27.089844
2017-08-18,26.601562
2017-08-21,37.773438
2017-08-22,26.933594
2017-08-23,21.113281
2017-08-24,23.59375
2017-08-28,30.390625
2017-08-29,31.523438
2017-08-30,29.140625
2017-08-31,28.339844
2017-09-01,23.085938
2017-09-04,26.542969
2017-09-05,25.117188
2017-09-06,25.888672
2017-09-07,30.275242
2017-09-08,28.671875
2017-09-11,30.371094
2017-09-12,28.417969
2017-09-13,27.089844
2017-09-14,27.011719
2017-09-15,26.074219
2017-09-18,28.222656
2017-09-19,32.539062
2017-09-20,31.445312
2017-09-21,29.676374
2017-09-22,30.0
2017-09-25,31.601562
2017-09-26,29.0625
2017-09-27,43.359375
2017-09-28,28.474838
2017-09-29,25.625
2017-10-03,31.269531
2017-10-04,26.660156
2017-10-05,29.805542
2017-10-06,28.828125
2017-10-09,30.3125
2017-10-10,30.253906
2017-10-11,31.835938
2017-10-12,29.492188
2017-10-13,29.433594
2017-10-16,29.726562
2017-10-17,28.710938
2017-10-18,25.859375
2017-10-23,35.318676
2017-10-24,30.625
2017-10-25,32.734375
2017-10-26,29.30664
2017-10-27,27.56836
2017-10-30,29.365234
2017-10-31,30.732422
2017-11-01,31.445312
2017-11-02,31.621094
2017-11-03,32.851562
2017-11-06,36.933594
2017-11-07,42.265625
2017-11-08,40.527344
2017-11-09,42.714844
2017-11-10,37.333984
2017-11-13,37.871094
2017-11-14,31.328125
2017-11-15,3.8476562
2017-11-16,31.914062
2017-11-17,31.191406
2017-11-20,37.118538
2017-11-21,38.59375
2017-11-22,37.94922
2017-11-23,35.78125
2017-11-24,34.316406
2017-11-27,41.054688
2017-11-28,40.898438
2017-11-29,39.6875
2017-11-30,28.222656
2017-12-01,26.416975
2017-12-04,27.138672
2017-12-05,26.747911
2017-12-06,27.447
2017-12-07,26.034363
2017-12-08,27.020588
2017-12-11,28.877445
2017-12-12,30.9375
2017-12-13,30.185547
2017-12-14,33.164062
2017-12-15,28.164062
2017-12-18,26.699219
2017-12-19,26.914062
2017-12-20,26.875
2017-12-21,26.914062
2017-12-22,24.277344
2017-12-26,33.828125
2017-12-27,25.0
2017-12-28,26.093897
2017-12-29,24.806211
2018-01-01,25.332031
2018-01-02,28.398872
2018-01-03,32.1875
2018-01-04,30.761719
2018-01-05,31.40625
2018-01-08,35.185547
2018-01-09,34.19922
2018-01-10,32.490234
2018-01-11,33.41031
2018-01-12,35.473957
2018-01-15,36.26953
2018-01-16,30.097656
2018-01-17,29.960938
2018-01-18,32.05078
2018-01-19,27.851562
2018-01-22,33.4375
2018-01-23,34.023438
2018-01-24,36.914062
2018-01-25,30.917969
2018-01-29,33.027344
2018-01-30,30.927734
2018-01-31,38.03711
2018-02-01,29.609375
2018-02-02,31.923828
2018-02-05,35.458958
2018-02-06,34.43771
2018-02-07,34.121094
2018-02-08,27.96875
2018-02-09,28.457031
2018-02-12,28.925781
2018-02-14,24.746094
2018-02-15,24.386719
2018-02-16,22.34375
2018-02-19,33.398438
2018-02-20,37.265625
2018-02-21,34.375
2018-02-22,24.84375
2018-02-23,23.294699
2018-02-26,22.753906
2018-02-27,23.632812
2018-02-28,22.265625
2018-03-01,22.626953
2018-03-05,26.03015
2018-03-06,25.605469
2018-03-07,24.794922
2018-03-08,25.3125
2018-03-09,23.144531
2018-03-12,24.609375
2018-03-13,24.453125
2018-03-14,23.300781
2018-03-15,23.431112
2018-03-16,23.378906
2018-03-19,27.929688
2018-03-20,26.015625
2018-03-21,26.640625
2018-03-22,25.195312
2018-03-23,24.53125
2018-03-26,30.039062
2018-03-27,40.329693
2018-03-28,22.216797
2018-04-02,23.642578
2018-04-03,25.9375
2018-04-04,25.917969
2018-04-05,24.86572
2018-04-06,23.90625
2018-04-09,24.453125
2018-04-10,23.261719
2018-04-11,26.914062
2018-04-12,26.152344
2018-04-13,23.058393
2018-04-16,25.3125
2018-04-17,25.78125
2018-04-18,26.895493
2018-04-19,25.019531
2018-04-20,23.75
2018-04-23,27.404682
2018-04-24,22.96875
2018-04-25,25.859375
2018-04-26,23.945312
2018-04-27,24.140625
2018-04-30,26.728516
2018-05-02,29.179688
2018-05-03,29.677734
2018-05-04,30.234375
2018-05-07,29.208984
2018-05-08,27.236774
2018-05-09,26.923487
2018-05-10,27.167969
2018-05-11,26.545885
2018-05-14,30.88337
2018-05-15,28.925781
2018-05-16,29.980469
2018-05-17,33.046875
2018-05-18,32.64301
2018-05-21,29.316406
2018-05-22,27.382812
2018-05-23,26.269531
2018-05-24,26.503906
2018-05-25,25.3125
2018-05-28,26.171875
2018-05-29,31.171875
2018-05-30,30.3125
2018-05-31,26.523438
2018-06-01,26.855999
2018-06-04,27.011719
2018-06-05,26.767578
2018-06-06,25.498047
2018-06-07,24.667969
2018-06-08,25.517578
2018-06-11,28.027344
2018-06-12,27.578125
2018-06-13,29.472656
2018-06-14,29.140625
2018-06-15,26.523438
2018-06-18,28.242188
2018-06-19,27.773438
2018-06-20,28.398438
2018-06-21,26.09375
2018-06-22,22.5
2018-06-25,27.460938
2018-06-26,30.3125
2018-06-27,30.979876
2018-06-28,27.158203
2018-06-29,26.958496
2018-07-02,30.273438
2018-07-03,30.976562
2018-07-04,29.800026
2018-07-05,29.765625
2018-07-06,28.125
2018-07-09,28.125
2018-07-10,28.75
2018-07-11,32.51953
2018-07-12,29.707031
2018-07-13,28.085938
2018-07-16,29.785156
2018-07-17,28.632812
2018-07-18,29.785156
2018-07-19,28.808594
2018-07-20,27.773438
2018-07-23,32.10004
2018-07-24,33.671875
2018-07-25,39.296875
2018-07-26,29.326172
2018-07-27,27.792969
2018-07-30,28.398438
2018-07-31,28.59375
2018-08-01,27.273838
2018-08-02,29.238281
2018-08-03,30.058594
2018-08-06,30.019531
2018-08-07,32.753906
2018-08-08,34.189453
2018-08-09,33.59734
2018-08-10,34.19922
2018-08-13,33.359375
2018-08-14,30.546875
2018-08-16,30.371094
2018-08-17,30.234375
2018-08-20,32.070312
2018-08-21,32.460938
2018-08-23,31.582031
2018-08-24,29.6875
2018-08-27,33.359375
2018-08-28,35.15625
2018-08-29,31.015625
2018-08-30,29.208984
2018-08-31,27.704737
2018-09-03,29.511719
2018-09-04,29.15039
2018-09-05,27.792006
2018-09-06,28.242188
2018-09-07,27.136272
2018-09-10,28.671875
2018-09-11,28.867188
2018-09-12,29.453125
2018-09-14,28.398438
2018-09-17,30.390625
2018-09-18,27.578125
2018-09-19,24.101562
2018-09-21,32.165
2018-09-24,37.070312
2018-09-25,32.539062
2018-09-26,42.695312
2018-09-27,32.021484
2018-09-28,35.64453
2018-10-01,32.558594
2018-10-03,34.75586
2018-10-04,40.69336
2018-10-05,37.539062
2018-10-08,39.072098
2018-10-09,42.20703
2018-10-10,35.268124
2018-10-11,41.308594
2018-10-12,33.26172
2018-10-15,40.46875
2018-10-16,34.6875
2018-10-17,26.484375
2018-10-19,37.421875
2018-10-22,55.3125
2018-10-23,39.921875
2018-10-24,54.0625
2018-10-25,30.761719
2018-10-26,38.183594
2018-10-29,33.164062
2018-10-30,32.890625
2018-10-31,31.308594
2018-11-01,29.0625
2018-11-02,32.666016
2018-11-05,32.20703
2018-11-06,32.078487
2018-11-09,30.898438
2018-11-12,32.460938
2018-11-13,32.702583
2018-11-14,31.272932
2018-11-15,33.805313
2018-11-16,31.992188
2018-11-19,32.929688
2018-11-20,32.617188
2018-11-21,31.679688
2018-11-22,28.590885
2018-11-26,34.492188
2018-11-27,38.9951
2018-11-28,37.1875
2018-11-29,28.945312
2018-11-30,29.492188
2018-12-03,30.302734
2018-12-04,30.30726
2018-12-05,31.727919
2018-12-06,32.27542
2018-12-07,29.89953
2018-12-10,38.847656
2018-12-11,28.701172
2018-12-12,24.882812
2018-12-13,25.46875
2018-12-14,27.34375
2018-12-17,29.609375
2018-12-18,30.546875
2018-12-19,29.902344
2018-12-20,26.319145
2018-12-21,25.273438
2018-12-24,47.5
2018-12-26,36.328125
2018-12-27,26.220703
2018-12-28,25.963583
2018-12-31,24.736328
2019-01-01,25.839844
2019-01-02,25.146484
2019-01-03,26.503906
2019-01-04,24.788773
2019-01-07,25.419922
2019-01-08,24.414062
2019-01-09,25.898438
2019-01-10,22.558594
2019-01-11,23.828125
2019-01-14,22.148438
2019-01-15,21.054688
2019-01-16,23.90625
2019-01-17,22.167969
2019-01-18,21.738281
2019-01-21,22.832031
2019-01-22,22.167969
2019-01-23,21.445312
2019-01-24,34.84375
2019-01-25,20.976562
2019-01-28,28.007812
2019-01-29,22.34375
2019-01-30,39.882812
2019-01-31,28.68164
2019-02-01,25.019531
2019-02-04,30.976562
2019-02-05,29.804688
2019-02-06,33.81708
2019-02-07,30.456272
2019-02-08,29.785156
2019-02-11,31.933594
2019-02-12,31.40625
2019-02-13,31.113281
2019-02-14,31.289062
2019-02-15,31.699219
2019-02-18,37.148438
2019-02-19,32.14535
2019-02-20,27.226562
2019-02-21,29.101562
2019-02-22,26.289062
2019-02-25,36.5625
2019-02-26,31.757812
2019-02-27,37.109375
2019-02-28,28.55244
2019-03-01,29.537895
2019-03-05,27.871094
2019-03-06,28.925781
2019-03-07,29.160156
2019-03-08,31.353552
2019-03-11,30.195312
2019-03-12,30.722656
2019-03-13,31.503906
2019-03-14,31.210938
2019-03-15,30.058594
2019-03-18,35.253906
2019-03-19,34.902344
2019-03-20,31.71875
2019-03-22,25.15625
2019-03-25,32.88421
2019-03-26,27.148438
2019-03-27,24.84375
2019-03-28,28.896154
2019-03-29,30.488281
2019-04-01,30.527344
2019-04-02,30.214844
2019-04-03,29.892578
2019-04-04,29.970703
2019-04-05,29.53125
2019-04-08,30.976562
2019-04-09,28.75
2019-04-10,32.285156
2019-04-11,26.972656
2019-04-12,25.46875
2019-04-15,26.207937
2019-04-16,24.609375
2019-04-18,22.460938
2019-04-22,29.960938
2019-04-23,30.78125
2019-04-24,27.8125
2019-04-25,28.125
2019-04-26,26.894531
2019-04-30,29.394531
2019-05-02,31.59692
2019-05-03,40.01953
2019-05-06,42.27539
2019-05-07,37.714844
2019-05-08,36.54297
2019-05-09,35.80078
2019-05-10,33.710938
2019-05-13,39.453125
2019-05-14,39.882812
2019-05-15,40.00588
2019-05-16,43.349937
2019-05-17,42.246815
2019-05-20,43.448174
2019-05-21,42.460938
2019-05-22,41.210938
2019-05-23,27.96875
2019-05-24,22.441406
2019-05-27,28.476562
2019-05-28,32.109375
2019-05-29,26.875
2019-05-30,25.722656
2019-05-31,23.779297
2019-06-03,23.417969
2019-06-04,26.49414
2019-06-06,25.71289
2019-06-07,26.25
2019-06-10,25.253906
2019-06-11,25.3125
2019-06-12,25.039062
2019-06-13,24.023438
2019-06-14,25.0
2019-06-17,24.257812
2019-06-18,23.199507
2019-06-19,26.374758
2019-06-20,25.976562
2019-06-21,26.054688
2019-06-24,35.3125
2019-06-25,25.9375
2019-06-26,33.203125
2019-06-27,25.205078
2019-06-28,26.777344
2019-07-01,24.6875
2019-07-02,26.054688
2019-07-03,24.560547
2019-07-04,23.828125
2019-07-05,24.033203
2019-07-08,27.148438
2019-07-09,26.328125
2019-07-10,25.996094
2019-07-11,24.667969
2019-07-12,24.570312
2019-07-15,26.132812
2019-07-16,25.507812
2019-07-17,30.390625
2019-07-18,28.085938
2019-07-19,23.046875
2019-07-22,25.703125
2019-07-23,30.390625
