date,iv_atm
2020-02-27,33.359375
2020-02-28,0.625
2020-03-02,58.329422
2020-03-03,34.804688
2020-03-04,35.625
2020-03-05,32.285156
2020-03-06,36.992188
2020-03-09,38.046875
2020-03-11,43.398438
2020-03-12,0.625
2020-03-13,62.421875
2020-03-16,90.58594
2020-03-17,1.25
2020-03-18,123.75
2020-03-19,76.171875
2020-03-20,136.46391
2020-03-23,5.0
2020-03-24,18.125
2020-03-25,475.9375
2020-03-26,70.83984
2020-03-27,0.625
2020-03-30,112.3783
2020-03-31,0.3125
2020-04-01,64.58678
2020-04-03,79.53125
2020-04-07,0.625
2020-04-08,0.625
2020-04-09,63.287704
2020-04-13,0.625
2020-04-15,63.75
2020-04-16,70.70175
2020-04-17,53.59375
2020-04-20,93.4375
2020-04-21,66.015625
2020-04-22,35.9375
2020-04-23,35.703125
2020-04-24,47.304688
2020-04-27,53.359375
2020-04-28,24.609375
2020-04-29,42.8125
2020-04-30,36.054688
2020-05-04,55.69631
2020-05-05,55.720978
2020-05-06,54.179688
2020-05-07,40.976562
2020-05-08,48.496094
2020-05-11,0.625
2020-05-12,55.0
2020-05-13,51.601562
2020-05-14,54.570312
2020-05-15,47.851562
2020-05-18,56.132812
2020-05-19,47.540565
2020-05-20,43.984375
2020-05-21,39.0625
2020-05-22,30.820312
2020-05-26,38.203125
2020-05-27,51.875
2020-05-28,37.8125
2020-05-29,37.714844
2020-06-01,36.640625
2020-06-02,35.390625
2020-06-03,36.5625
2020-06-04,35.703125
2020-06-05,35.13672
2020-06-08,37.8125
2020-06-09,39.51172
2020-06-10,40.13672
2020-06-11,38.242188
2020-06-12,40.351562
2020-06-15,42.929688
2020-06-16,39.921875
2020-06-17,35.664062
2020-06-18,33.984375
2020-06-19,31.054688
2020-06-22,33.4375
2020-06-23,42.03125
2020-06-24,44.0625
2020-06-25,34.51172
2020-06-26,34.179688
2020-06-29,38.515625
2020-06-30,34.882812
2020-07-01,33.984375
2020-07-02,33.59375
2020-07-03,31.953125
2020-07-06,34.39453
2020-07-07,33.14453
2020-07-08,36.71875
2020-07-09,35.429688
2020-07-10,34.375
2020-07-13,35.234375
2020-07-14,36.445312
2020-07-15,32.51706
2020-07-16,31.816406
2020-07-17,36.875
2020-07-20,37.67578
2020-07-21,41.122284
2020-07-22,41.40625
2020-07-23,39.765625
2020-07-24,36.71875
2020-07-27,45.78125
2020-07-28,45.46875
2020-07-29,47.65625
2020-07-30,43.88672
2020-07-31,42.265625
2020-08-03,42.49962
2020-08-04,41.328125
2020-08-05,36.464844
2020-08-06,35.76172
2020-08-07,37.128906
2020-08-10,38.652344
2020-08-11,38.26172
2020-08-12,37.20703
2020-08-13,38.10547
2020-08-14,35.44922
2020-08-17,37.265625
2020-08-18,36.09375
2020-08-19,33.808594
2020-08-20,34.07801
2020-08-21,28.945312
2020-08-24,29.609375
2020-08-25,29.53125
2020-08-26,27.265625
2020-08-27,38.203125
2020-08-28,38.691406
2020-08-31,36.289062
2020-09-01,38.281853
2020-09-02,39.414062
2020-09-03,37.890625
2020-09-04,38.398438
2020-09-07,41.445312
2020-09-08,40.245182
2020-09-09,42.36328
2020-09-10,42.929688
2020-09-11,38.76953
2020-09-14,45.820312
2020-09-15,43.76953
2020-09-16,45.15625
2020-09-17,45.78125
2020-09-18,45.9375
2020-09-21,50.703125
2020-09-22,47.382812
2020-09-23,43.515625
2020-09-24,40.91797
2020-09-25,35.751953
2020-09-28,38.496094
2020-09-29,39.70703
2020-09-30,38.10547
2020-10-01,36.748047
2020-10-05,41.328125
2020-10-06,41.484375
2020-10-07,41.11328
2020-10-08,42.128906
2020-10-09,44.35547
2020-10-12,47.471
2020-10-13,46.035156
2020-10-14,44.19922
2020-10-15,41.972656
2020-10-16,42.871094
2020-10-19,45.195312
2020-10-20,44.414062
2020-10-21,39.960938
2020-10-22,39.453125
2020-10-23,34.179688
2020-10-26,44.53125
2020-10-27,45.234375
2020-10-28,39.375
2020-10-29,42.714844
2020-10-30,43.691406
2020-11-02,45.91797
2020-11-03,50.390625
2020-11-04,49.23828
2020-11-05,44.882812
2020-11-06,43.75
2020-11-09,40.625
2020-11-10,42.5
2020-11-11,41.25
2020-11-12,41.042786
2020-11-13,41.191406
2020-11-14,42.890625
2020-11-17,43.242188
2020-11-18,45.15625
2020-11-19,44.882812
2020-11-20,40.9375
2020-11-23,44.265324
2020-11-24,47.8125
2020-11-25,37.87864
2020-11-26,36.23047
2020-11-27,36.835938
2020-12-01,38.339844
2020-12-02,37.01172
2020-12-03,35.283203
2020-12-04,34.277344
2020-12-07,35.88801
2020-12-08,34.765625
2020-12-09,35.429688
2020-12-10,40.546875
2020-12-11,40.546875
2020-12-14,40.683594
2020-12-15,39.0625
2020-12-16,41.679688
2020-12-17,40.46875
2020-12-18,35.820312
2020-12-21,41.875
2020-12-22,36.171875
2020-12-23,36.992188
2020-12-24,29.648438
2020-12-28,38.125
2020-12-29,39.21875
2020-12-30,24.453125
2020-12-31,39.921875
2021-01-01,40.38086
2021-01-04,39.003906
2021-01-05,38.59375
2021-01-06,39.277344
2021-01-07,40.17578
2021-01-08,37.94922
2021-01-11,42.1875
