date,iv_atm
2017-07-04,29.179688
2017-07-05,27.757591
2017-07-06,26.132812
2017-07-07,26.25
2017-07-10,26.314348
2017-07-11,25.507812
2017-07-12,25.390625
2017-07-13,25.410156
2017-07-14,24.570312
2017-07-17,26.601562
2017-07-18,26.25
2017-07-19,26.132812
2017-07-20,25.742188
2017-07-21,24.84375
2017-07-24,28.203125
2017-07-25,33.125
2017-07-27,30.234375
2017-07-28,29.238281
2017-07-31,30.78125
2017-08-01,31.386719
2017-08-02,31.875
2017-08-03,31.621094
2017-08-04,31.835938
2017-08-07,35.80078
2017-08-08,37.148438
2017-08-09,40.91797
2017-08-10,36.953125
2017-08-11,36.367188
2017-08-14,32.8125
2017-08-16,31.24935
2017-08-17,29.6875
2017-08-18,28.828125
2017-08-21,31.679688
2017-08-22,29.882812
2017-08-23,26.523438
2017-08-24,25.429688
2017-08-28,31.087198
2017-08-29,42.1875
2017-08-30,30.625
2017-08-31,30.292969
2017-09-01,28.632812
2017-09-04,32.089844
2017-09-05,30.703125
2017-09-06,31.367188
2017-09-07,30.273438
2017-09-08,30.859375
2017-09-11,29.101562
2017-09-12,28.359375
2017-09-13,26.914062
2017-09-14,28.789062
2017-09-15,29.589844
2017-09-18,32.03125
2017-09-19,29.375
2017-09-20,29.570312
2017-09-21,28.515625
2017-09-22,33.75
2017-09-25,40.78125
2017-09-26,37.451355
2017-09-27,41.25
2017-09-28,31.5625
2017-09-29,31.5625
2017-10-03,30.9375
2017-10-04,28.619244
2017-10-05,27.539062
2017-10-06,27.79279
2017-10-09,28.95297
2017-10-10,29.0625
2017-10-11,29.53252
2017-10-12,27.130905
2017-10-13,27.011719
2017-10-16,27.5
2017-10-17,28.945312
2017-10-18,27.34375
2017-10-23,35.0
2017-10-24,38.59375
2017-10-25,45.3125
2017-10-26,32.539062
2017-10-27,33.164062
2017-10-30,35.742188
2017-10-31,38.066406
2017-11-01,38.203125
2017-11-02,37.81019
2017-11-03,39.589844
2017-11-06,43.59375
2017-11-07,46.484375
2017-11-08,47.619076
2017-11-09,39.785156
2017-11-10,36.89453
2017-11-13,36.85547
2017-11-14,36.796875
2017-11-15,35.742188
2017-11-16,33.789062
2017-11-17,31.755182
2017-11-20,33.242188
2017-11-21,33.515625
2017-11-22,32.88965
2017-11-23,30.234375
2017-11-24,32.421875
2017-11-27,31.328125
2017-11-28,34.296875
2017-11-29,36.5625
2017-11-30,33.203125
2017-12-01,32.734375
2017-12-04,33.085938
2017-12-05,33.632812
2017-12-06,34.140625
2017-12-07,31.328125
2017-12-08,30.898438
2017-12-11,32.460938
2017-12-12,33.828125
2017-12-13,36.09375
2017-12-14,36.603493
2017-12-15,32.1875
2017-12-18,29.6875
2017-12-19,28.886719
2017-12-20,26.640625
2017-12-21,24.44415
2017-12-22,22.421875
2017-12-26,30.234375
2017-12-27,30.15625
2017-12-28,28.398438
2017-12-29,28.90625
2018-01-01,31.777344
2018-01-02,31.132812
2018-01-03,31.386719
2018-01-04,30.605469
2018-01-05,30.351562
2018-01-08,30.78125
2018-01-09,32.03125
