date,iv_atm
2017-07-04,24.6875
2017-07-05,23.515625
2017-07-06,21.875
2017-07-07,24.21875
2017-07-10,26.5625
2017-07-11,25.15625
2017-07-12,25.9375
2017-07-13,24.808336
2017-07-14,21.875
2017-07-17,23.75
2017-07-18,26.09375
2017-07-19,24.6875
2017-07-20,23.28125
2017-07-21,24.6875
2017-07-24,26.875
2017-07-25,24.0625
2017-07-27,22.8125
2017-07-28,21.640625
2017-07-31,23.75
2017-08-01,25.0
2017-08-02,25.0
2017-08-03,23.125
2017-08-04,23.90625
2017-08-07,25.625
2017-08-08,25.46875
2017-08-09,27.1875
2017-08-10,29.375
2017-08-11,33.093395
2017-08-14,27.96875
2017-08-16,29.375
2017-08-17,28.4375
2017-08-18,25.78125
2017-08-21,26.09375
2017-08-22,25.625
2017-08-23,23.90625
2017-08-24,23.75
2017-08-28,31.875
2017-08-29,27.8125
2017-08-30,26.25
2017-08-31,23.75
2017-09-01,22.421875
2017-09-04,25.390625
2017-09-05,24.53125
2017-09-06,23.90625
2017-09-07,24.609375
2017-09-08,23.90625
2017-09-11,27.8125
2017-09-12,27.65625
2017-09-13,31.71875
2017-09-14,29.84375
2017-09-15,30.46875
2017-09-18,32.5
2017-09-19,32.03125
2017-09-20,33.59375
2017-09-21,30.78125
2017-09-22,29.375
2017-09-25,56.875
2017-09-26,44.6875
2017-09-27,38.125
2017-09-28,32.65625
2017-09-29,30.536108
2017-10-03,30.486616
2017-10-04,30.46875
2017-10-05,28.90625
2017-10-06,26.71875
2017-10-09,28.515625
2017-10-10,27.96875
2017-10-11,28.125
2017-10-12,27.5
2017-10-13,27.65625
2017-10-16,29.6875
2017-10-17,26.25
2017-10-18,26.543512
2017-10-23,33.125
2017-10-24,33.125
2017-10-25,39.375
2017-10-26,32.8125
2017-10-27,33.515625
2017-10-30,35.9375
2017-10-31,35.625
2017-11-01,36.015625
2017-11-02,35.3125
2017-11-03,30.46875
2017-11-06,30.46875
2017-11-07,31.484375
2017-11-08,31.25
2017-11-09,30.3125
2017-11-10,29.84375
2017-11-13,28.59375
2017-11-14,29.0625
2017-11-15,30.78125
2017-11-16,33.125
2017-11-17,37.629513
2017-11-20,46.40625
2017-11-21,42.96875
2017-11-22,44.6875
2017-11-23,44.6875
2017-11-24,43.90625
2017-11-27,48.75
2017-11-28,50.3125
2017-11-29,51.875
2017-11-30,40.650753
2017-12-01,37.421875
2017-12-04,37.65625
2017-12-05,37.265625
2017-12-06,36.40625
2017-12-07,36.09375
2017-12-08,37.1875
2017-12-11,40.9375
2017-12-12,40.300114
2017-12-13,41.09375
2017-12-14,44.609375
2017-12-15,43.28125
2017-12-18,38.90625
2017-12-19,34.84375
2017-12-20,33.125
2017-12-21,35.3125
2017-12-22,33.4375
2017-12-26,45.0
2017-12-27,45.625
2017-12-28,35.78125
2017-12-29,39.84375
2018-01-01,44.921875
2018-01-02,44.2194
2018-01-03,43.28125
2018-01-04,41.5625
2018-01-05,42.890625
2018-01-08,43.828125
2018-01-09,42.8125
2018-01-10,40.859375
2018-01-11,39.6875
2018-01-12,39.609375
2018-01-15,44.50082
2018-01-16,39.21875
2018-01-17,39.0625
2018-01-18,38.4375
2018-01-19,32.8125
2018-01-22,38.64871
2018-01-23,41.25
2018-01-24,39.375
2018-01-25,36.5625
2018-01-29,39.84375
2018-01-30,39.21875
2018-01-31,40.15625
2018-02-01,36.09375
2018-02-02,39.84375
2018-02-05,39.375
2018-02-06,45.3125
2018-02-07,43.4375
2018-02-08,41.40625
2018-02-09,42.085373
2018-02-12,44.0625
