date,iv_atm
2017-07-04,27.207031
2017-07-05,26.914062
2017-07-06,25.683594
2017-07-07,25.664062
2017-07-10,26.523438
2017-07-11,26.699219
2017-07-12,27.109375
2017-07-13,26.328125
2017-07-14,25.625
2017-07-17,26.953125
2017-07-18,25.9375
2017-07-19,25.546875
2017-07-20,24.589844
2017-07-21,21.640625
2017-07-24,28.476562
2017-07-25,30.546875
2017-07-27,25.820312
2017-07-28,27.078342
2017-07-31,28.654696
2017-08-01,28.96325
2017-08-02,28.662619
2017-08-03,28.60876
2017-08-04,29.103453
2017-08-07,29.941406
2017-08-08,25.195312
2017-08-09,25.800781
2017-08-10,27.070312
2017-08-11,30.546875
2017-08-14,28.789062
2017-08-16,27.890625
2017-08-17,26.464844
2017-08-18,25.644531
2017-08-21,27.851562
2017-08-22,26.640625
2017-08-23,24.453125
2017-08-24,21.171875
2017-08-28,25.57176
2017-08-29,29.62163
2017-08-30,27.5
2017-08-31,25.488281
2017-09-01,25.390625
2017-09-04,26.40625
2017-09-05,25.9375
2017-09-06,25.742188
2017-09-07,25.3125
2017-09-08,25.058594
2017-09-11,24.53125
2017-09-12,25.429688
2017-09-13,23.83789
2017-09-14,22.929688
2017-09-15,22.617188
2017-09-18,23.985691
2017-09-19,24.64872
2017-09-20,26.640625
2017-09-21,26.507534
2017-09-22,25.976562
2017-09-25,29.84375
2017-09-26,28.203125
2017-09-27,34.6875
2017-09-28,26.328125
2017-09-29,25.292969
2017-10-03,24.6875
2017-10-04,24.628906
2017-10-05,24.003906
2017-10-06,23.847656
2017-10-09,25.3125
2017-10-10,25.449219
2017-10-11,25.898438
2017-10-12,25.488281
2017-10-13,24.199219
2017-10-16,23.515625
2017-10-17,24.238281
2017-10-18,22.53397
2017-10-23,28.789062
2017-10-24,30.78125
2017-10-25,32.17189
2017-10-26,30.273438
2017-10-27,31.40625
2017-10-30,32.72461
2017-10-31,28.574219
2017-11-01,28.310547
2017-11-02,27.109375
2017-11-03,26.713547
2017-11-06,27.818832
2017-11-07,29.589844
2017-11-08,28.095703
2017-11-09,28.007812
2017-11-10,27.962717
2017-11-13,29.199219
2017-11-14,27.792969
2017-11-15,27.27539
2017-11-16,26.953125
2017-11-17,27.226562
2017-11-20,29.53125
2017-11-21,28.886719
2017-11-22,29.160156
2017-11-23,28.52922
2017-11-24,28.278877
2017-11-27,28.085938
2017-11-28,29.93097
2017-11-29,32.109375
2017-11-30,28.964844
2017-12-01,28.302996
2017-12-04,27.460938
2017-12-05,28.066406
2017-12-06,28.475288
2017-12-07,26.633827
2017-12-08,25.288397
2017-12-11,27.519531
2017-12-12,29.460087
2017-12-13,32.86731
2017-12-14,32.342514
2017-12-15,30.371094
2017-12-18,27.265625
2017-12-19,26.054688
2017-12-20,25.800781
2017-12-21,23.789062
2017-12-22,22.148438
2017-12-26,30.062561
2017-12-27,28.4375
2017-12-28,26.96289
2017-12-29,27.021484
2018-01-01,27.734259
2018-01-02,27.246094
2018-01-03,27.076462
2018-01-04,28.996532
2018-01-05,28.339844
2018-01-08,29.275826
2018-01-09,29.492188
2018-01-10,29.433594
2018-01-11,28.691406
2018-01-12,27.109375
2018-01-15,27.578125
2018-01-16,27.421875
2018-01-17,26.914062
2018-01-18,30.117188
2018-01-19,26.347656
2018-01-22,32.65625
2018-01-23,35.9375
2018-01-24,30.859375
2018-01-25,32.03125
2018-01-29,34.01367
2018-01-30,30.957031
2018-01-31,33.632812
2018-02-01,32.70508
2018-02-02,37.558594
2018-02-05,39.32617
2018-02-06,44.04297
2018-02-07,43.945312
2018-02-08,41.363163
2018-02-09,42.441406
2018-02-12,33.57422
2018-02-14,31.035156
2018-02-15,29.101562
2018-02-16,26.305311
2018-02-19,44.960938
2018-02-20,39.726562
2018-02-21,38.046875
2018-02-22,29.814453
2018-02-23,28.007841
2018-02-26,29.697266
2018-02-27,30.301222
2018-02-28,30.019531
2018-03-01,29.84375
2018-03-05,32.43164
2018-03-06,32.16219
2018-03-07,33.237034
2018-03-08,31.953125
2018-03-09,36.06452
2018-03-12,33.515625
2018-03-13,31.933594
2018-03-14,31.640625
2018-03-15,31.542969
2018-03-16,31.367188
2018-03-19,36.953125
2018-03-20,33.10547
2018-03-21,34.765625
2018-03-22,31.523438
2018-03-23,35.031105
2018-03-26,41.484375
2018-03-27,45.625
2018-03-28,33.967155
2018-04-02,33.668797
2018-04-03,34.453125
2018-04-04,37.617188
2018-04-05,33.339844
2018-04-06,33.858047
2018-04-09,35.996094
2018-04-10,34.414062
2018-04-11,33.066406
2018-04-12,32.128906
2018-04-13,32.48047
2018-04-16,33.59375
2018-04-17,31.640625
2018-04-18,30.273438
2018-04-19,29.492188
2018-04-20,28.4375
2018-04-23,34.726562
2018-04-24,31.875
2018-04-25,39.0625
2018-04-26,29.53125
2018-04-27,29.407251
2018-04-30,29.995363
2018-05-02,33.59375
2018-05-03,31.757812
2018-05-04,31.848936
2018-05-07,32.539062
2018-05-08,32.766533
2018-05-09,34.53125
2018-05-10,34.77539
2018-05-11,33.154297
2018-05-14,35.44922
2018-05-15,34.902344
2018-05-16,36.163013
2018-05-17,31.25
2018-05-18,29.726562
2018-05-21,32.539062
2018-05-22,30.097656
2018-05-23,40.9375
2018-05-24,32.695312
2018-05-25,28.828125
2018-05-28,33.90625
2018-05-29,35.75154
2018-05-30,35.693962
2018-05-31,33.271484
2018-06-01,35.5344
2018-06-04,34.98047
2018-06-05,33.372093
2018-06-06,30.710026
2018-06-07,30.039062
2018-06-08,29.960129
2018-06-11,32.871094
2018-06-12,33.066406
2018-06-13,36.308594
2018-06-14,34.648438
2018-06-15,32.851562
2018-06-18,34.6875
2018-06-19,36.816406
2018-06-20,32.842365
2018-06-21,32.265625
2018-06-22,28.671875
2018-06-25,35.078125
2018-06-26,41.328125
2018-06-27,39.140625
2018-06-28,35.17578
2018-06-29,32.237667
2018-07-02,36.61133
2018-07-03,34.433796
2018-07-04,33.137566
2018-07-05,33.740234
2018-07-06,33.066406
2018-07-09,34.941406
2018-07-10,32.070312
2018-07-11,34.609375
2018-07-12,34.53125
2018-07-13,33.632812
2018-07-16,45.15625
2018-07-17,37.011284
2018-07-18,49.257812
2018-07-19,50.625
2018-07-20,44.0625
2018-07-23,44.84375
2018-07-24,41.015625
2018-07-25,44.140625
2018-07-26,34.42383
2018-07-27,33.222656
2018-07-30,33.583984
2018-07-31,33.717106
2018-08-01,33.847656
2018-08-02,35.690502
2018-08-03,34.785156
2018-08-06,36.796875
2018-08-07,36.640625
2018-08-08,35.6785
2018-08-09,35.573143
2018-08-10,36.183235
2018-08-13,40.585938
2018-08-14,34.728146
2018-08-16,36.85547
2018-08-17,33.085938
2018-08-20,33.007812
2018-08-21,34.804688
2018-08-23,35.078125
2018-08-24,34.003906
2018-08-27,36.71875
2018-08-28,43.28125
2018-08-29,45.78125
2018-08-30,32.94922
2018-08-31,32.27539
2018-09-03,33.05664
2018-09-04,34.224125
2018-09-05,33.476562
2018-09-06,33.203125
2018-09-07,32.914825
2018-09-10,35.859375
2018-09-11,35.46875
2018-09-12,33.476562
2018-09-14,32.695312
2018-09-17,36.054688
2018-09-18,36.816406
2018-09-19,32.265625
2018-09-21,39.492188
2018-09-24,52.97961
2018-09-25,49.411827
2018-09-26,49.921875
2018-09-27,37.783203
2018-09-28,41.25
2018-10-01,41.171875
2018-10-03,42.8125
2018-10-04,42.79297
2018-10-05,46.89453
2018-10-08,46.816406
2018-10-09,46.06861
2018-10-10,43.156685
