date,iv_atm
2017-07-04,29.179688
2017-07-05,25.859375
2017-07-06,26.708723
2017-07-07,26.944881
2017-07-10,28.320312
2017-07-11,27.519531
2017-07-12,27.1875
2017-07-13,26.953125
2017-07-14,25.546875
2017-07-17,29.179688
2017-07-18,29.101562
2017-07-19,28.984375
2017-07-20,28.979858
2017-07-21,29.453125
2017-07-24,38.671875
2017-07-25,34.0625
2017-07-27,33.75
2017-07-28,31.289062
2017-07-31,33.007812
2017-08-01,27.675781
2017-08-02,25.78125
2017-08-03,26.015625
2017-08-04,24.960938
2017-08-07,26.093424
2017-08-08,25.3125
2017-08-09,25.917969
2017-08-10,27.480469
2017-08-11,27.34375
2017-08-14,27.011719
2017-08-16,28.066406
2017-08-17,27.460938
2017-08-18,28.964844
2017-08-21,29.726562
2017-08-22,26.40625
2017-08-23,24.414062
2017-08-24,24.023438
2017-08-28,31.40625
2017-08-29,34.453125
2017-08-30,40.495853
2017-08-31,26.679688
2017-09-01,25.976562
2017-09-04,29.492188
2017-09-05,28.476562
2017-09-06,27.851562
2017-09-07,27.167969
2017-09-08,25.625
2017-09-11,27.265625
2017-09-12,25.651976
2017-09-13,24.941406
2017-09-14,27.226562
2017-09-15,27.226562
2017-09-18,28.046875
2017-09-19,28.320312
2017-09-20,26.640625
2017-09-21,25.273438
2017-09-22,27.109375
2017-09-25,32.335636
2017-09-26,34.21875
2017-09-27,40.15625
2017-09-28,28.4375
2017-09-29,25.117188
2017-10-03,24.609375
2017-10-04,23.710938
2017-10-05,22.617188
2017-10-06,22.700136
2017-10-09,23.828125
2017-10-10,24.257812
2017-10-11,23.808594
2017-10-12,22.558594
2017-10-13,20.585938
2017-10-16,23.203125
2017-10-17,21.398619
2017-10-18,18.867188
2017-10-23,25.78125
2017-10-24,31.40625
2017-10-25,33.398304
2017-10-26,31.191406
2017-10-27,31.289062
2017-10-30,33.75
2017-10-31,33.964844
2017-11-01,35.48828
2017-11-02,28.691406
2017-11-03,27.519531
2017-11-06,27.1875
2017-11-07,28.847656
2017-11-08,28.75
2017-11-09,27.910156
2017-11-10,26.210938
2017-11-13,28.203125
2017-11-14,25.898438
2017-11-15,28.867188
2017-11-16,26.875
2017-11-17,29.042969
2017-11-20,29.609375
2017-11-21,30.976562
2017-11-22,31.035156
2017-11-23,30.429688
2017-11-24,31.679688
2017-11-27,38.046875
2017-11-28,34.708206
2017-11-29,35.9375
2017-11-30,27.988281
2017-12-01,27.1875
2017-12-04,29.511719
2017-12-05,29.511719
2017-12-06,28.808594
2017-12-07,29.023438
2017-12-08,28.144531
2017-12-11,29.785156
2017-12-12,30.390625
2017-12-13,30.214844
2017-12-14,30.677378
2017-12-15,28.046875
2017-12-18,28.339844
2017-12-19,28.320312
2017-12-20,25.78125
2017-12-21,23.75
2017-12-22,23.671875
2017-12-26,30.3125
2017-12-27,34.959045
2017-12-28,28.007812
2017-12-29,26.640625
2018-01-01,29.003906
2018-01-02,28.554688
2018-01-03,27.773438
2018-01-04,27.402344
2018-01-05,28.535156
2018-01-08,29.199219
2018-01-09,28.242188
2018-01-10,28.59375
2018-01-11,27.226562
2018-01-12,25.105389
2018-01-15,24.0625
2018-01-16,26.412851
2018-01-17,24.0625
2018-01-18,24.84375
